Language1, Language2, SimilarityScore, Time
bat-smg, bat-smg, 1.0, 5.507469177246094e-05
bat-smg, nds, 0.003289473684210526, 0.00011420249938964844
bat-smg, eu, 0.002258433060981738, 0.004958152770996094
bat-smg, fi, 0.0020575929497747775, 0.015593767166137695
bat-smg, id, 0.0029916881681440795, 0.0032913684844970703
bat-smg, lb, 0.015662382874708343, 0.0002694129943847656
bat-smg, ast, 0.006764330108683443, 0.013963937759399414
bat-smg, kl, 0.2111111111111111, 3.0517578125e-05
bat-smg, fo, 0.07894736842105263, 1.811981201171875e-05
bat-smg, ba, 0.044444444444444446, 1.7881393432617188e-05
bat-smg, eo, 0.0040350844368203425, 0.0024089813232421875
bat-smg, tn, 0.0, 2.0742416381835938e-05
bat-smg, sco, 0.011571458175036265, 0.0005218982696533203
bat-smg, tk, 0.24705882352941178, 2.193450927734375e-05
bat-smg, vep, 0.05869788106630212, 6.246566772460938e-05
bat-smg, ar, 0.01507537688442211, 2.47955322265625e-05
bat-smg, mhr, 0.038461538461538464, 1.4066696166992188e-05
bat-smg, fr, 0.0005869127777552364, 0.07807183265686035
bat-smg, stq, 0.023809523809523808, 7.796287536621094e-05
bat-smg, ia, 0.059439359267734554, 8.225440979003906e-05
bat-smg, br, 0.012672512672512673, 0.00047135353088378906
bat-smg, av, 0.038461538461538464, 2.4080276489257812e-05
bat-smg, mr, 0.0625, 2.0742416381835938e-05
bat-smg, hsb, 0.04838709677419355, 9.584426879882812e-05
bat-smg, map-bms, 0.021739130434782608, 4.2438507080078125e-05
bat-smg, tw, 0.05555555555555555, 3.457069396972656e-05
bat-smg, tr, 0.0020831272812904746, 0.0202176570892334
bat-smg, bcl, 0.11740890688259109, 3.6716461181640625e-05
bat-smg, lv, 0.01113599601841483, 0.0005731582641601562
bat-smg, mzn, 0.025, 1.8596649169921875e-05
bat-smg, el, 0.02, 2.6702880859375e-05
bat-smg, frr, 0.05901244480128462, 4.482269287109375e-05
bat-smg, nap, 0.03761854583772392, 5.841255187988281e-05
bat-smg, ang, 0.03333333333333333, 1.6927719116210938e-05
bat-smg, sa, 0.0, 1.621246337890625e-05
bat-smg, ce, 0.07142857142857142, 1.6689300537109375e-05
bat-smg, vo, 0.045454545454545456, 2.288818359375e-05
bat-smg, nah, 0.11805555555555555, 1.811981201171875e-05
bat-smg, hr, 0.0021383075523202914, 0.020051240921020508
bat-smg, sc, 0.06694343539180073, 5.5789947509765625e-05
bat-smg, inh, 0.038461538461538464, 1.5497207641601562e-05
bat-smg, nn, 0.006867030965391621, 0.0010371208190917969
bat-smg, xmf, 0.0375, 2.1696090698242188e-05
bat-smg, rue, 0.029411764705882353, 1.5497207641601562e-05
bat-smg, es, 0.0011115540138234652, 0.04107522964477539
bat-smg, fiu-vro, 0.0, 3.2901763916015625e-05
bat-smg, pl, 0.0012380982962397393, 0.03133511543273926
bat-smg, mg, 0.029365079365079365, 0.0001010894775390625
bat-smg, vi, 0.0027994739905503672, 0.003523588180541992
bat-smg, zh-yue, 0.1, 2.0742416381835938e-05
bat-smg, sm, 0.0, 1.9311904907226562e-05
bat-smg, gd, 0.07083333333333333, 2.9087066650390625e-05
bat-smg, uk, 0.0075, 0.00015234947204589844
bat-smg, ban, 0.07894736842105263, 1.8596649169921875e-05
bat-smg, de, 0.0005237793694491791, 0.061865806579589844
bat-smg, km, 0.0, 4.4345855712890625e-05
bat-smg, hif, 0.09523809523809523, 2.6941299438476562e-05
bat-smg, diq, 0.0425531914893617, 5.53131103515625e-05
bat-smg, pap, 0.10882352941176471, 2.0742416381835938e-05
bat-smg, pcd, 0.03571428571428571, 1.6450881958007812e-05
bat-smg, myv, 0.03571428571428571, 1.5735626220703125e-05
bat-smg, an, 0.03125, 4.9591064453125e-05
bat-smg, kn, 0.05172413793103448, 1.9311904907226562e-05
bat-smg, bh, 0.06666666666666667, 1.621246337890625e-05
bat-smg, bar, 0.005208333333333333, 9.107589721679688e-05
bat-smg, yo, 0.058823529411764705, 1.9550323486328125e-05
bat-smg, ny, 0.03571428571428571, 1.6689300537109375e-05
bat-smg, ml, 0.03731343283582089, 2.09808349609375e-05
bat-smg, io, 0.06701030927835051, 9.226799011230469e-05
bat-smg, pa, 0.05405405405405406, 1.9311904907226562e-05
bat-smg, sh, 0.0018257399422033109, 0.02901315689086914
bat-smg, et, 0.009838422924074462, 0.0006585121154785156
bat-smg, cs, 0.0024592651211146756, 0.014180183410644531
bat-smg, ug, 0.07142857142857142, 3.0040740966796875e-05
bat-smg, tg, 0.023809523809523808, 1.71661376953125e-05
bat-smg, yi, 0.14705882352941177, 1.621246337890625e-05
bat-smg, nl, 0.0013882003478373941, 0.019224882125854492
bat-smg, fj, 0.0, 3.314018249511719e-05
bat-smg, si, 0.047619047619047616, 1.7642974853515625e-05
bat-smg, pt, 0.0012467306664408356, 0.03131270408630371
bat-smg, sd, 0.0, 3.409385681152344e-05
bat-smg, na, 0.03125, 1.9550323486328125e-05
bat-smg, ro, 0.0036746775186675047, 0.014815568923950195
bat-smg, sq, 0.009016679765959304, 0.0005009174346923828
bat-smg, ja, 0.016574585635359115, 3.0517578125e-05
bat-smg, ne, 0.02127659574468085, 1.8835067749023438e-05
bat-smg, zh-min-nan, 0.025578519696166754, 0.00013017654418945312
bat-smg, min, 0.00819672131147541, 4.935264587402344e-05
bat-smg, haw, 0.23214285714285715, 1.811981201171875e-05
bat-smg, ht, 0.025, 2.0742416381835938e-05
bat-smg, fy, 0.02266609768907563, 0.00017309188842773438
bat-smg, gcr, 0.07692307692307693, 1.6689300537109375e-05
bat-smg, lij, 0.13810741687979539, 2.4080276489257812e-05
bat-smg, ki, 0.14835164835164835, 1.5974044799804688e-05
bat-smg, be-tarask, 0.10344827586206896, 1.7404556274414062e-05
bat-smg, jbo, 0.0, 1.6927719116210938e-05
bat-smg, be, 0.019736842105263157, 4.076957702636719e-05
bat-smg, is, 0.024422047757463802, 0.00019097328186035156
bat-smg, bjn, 0.039484451718494275, 4.5299530029296875e-05
bat-smg, kaa, 0.026383114806523826, 4.601478576660156e-05
bat-smg, ta, 0.0410958904109589, 1.9073486328125e-05
bat-smg, lfn, 0.026785714285714284, 4.1961669921875e-05
bat-smg, kw, 0.2303921568627451, 2.09808349609375e-05
bat-smg, qu, 0.022834864940128097, 0.0001354217529296875
bat-smg, hy, 0.02586206896551724, 2.3126602172851562e-05
bat-smg, rw, 0.15587044534412955, 2.0742416381835938e-05
bat-smg, cy, 0.008819092669845053, 0.0005862712860107422
bat-smg, zea, 0.023809523809523808, 2.288818359375e-05
bat-smg, wo, 0.02631578947368421, 1.9311904907226562e-05
bat-smg, simple, 0.006640770810003732, 0.01247715950012207
bat-smg, am, 0.05128205128205128, 3.457069396972656e-05
bat-smg, nds-nl, 0.0, 3.2901763916015625e-05
bat-smg, tyv, 0.0, 1.4543533325195312e-05
bat-smg, la, 0.005615193040910722, 0.001344442367553711
bat-smg, new, 0.125, 2.002716064453125e-05
bat-smg, bo, 0.058823529411764705, 1.621246337890625e-05
bat-smg, os, 0.03571428571428571, 1.4543533325195312e-05
bat-smg, kbp, 0.10714285714285714, 1.71661376953125e-05
bat-smg, ka, 0.017361111111111112, 2.4557113647460938e-05
bat-smg, tt, 0.045454545454545456, 4.291534423828125e-05
bat-smg, it, 0.0005820722795568706, 0.08130502700805664
bat-smg, olo, 0.10427807486631016, 5.245208740234375e-05
bat-smg, kab, 0.05309139784946236, 3.695487976074219e-05
bat-smg, ceb, 0.009945403619697025, 0.0005118846893310547
bat-smg, glk, 0.038461538461538464, 2.2411346435546875e-05
bat-smg, he, 0.017341040462427744, 3.218650817871094e-05
bat-smg, da, 0.002840662162696061, 0.02768087387084961
bat-smg, arc, 0.02631578947368421, 6.532669067382812e-05
bat-smg, cv, 0.019230769230769232, 2.0265579223632812e-05
bat-smg, fa, 0.016216216216216217, 3.814697265625e-05
bat-smg, scn, 0.0724360858066412, 8.249282836914062e-05
bat-smg, ps, 0.075, 1.9073486328125e-05
bat-smg, got, 0.038461538461538464, 1.5735626220703125e-05
bat-smg, en, 0.00016359831610071644, 0.3559856414794922
bat-smg, als, 0.026229466990083827, 0.00029754638671875
bat-smg, cdo, 0.03571428571428571, 1.9073486328125e-05
bat-smg, ksh, 0.0, 3.337860107421875e-05
bat-smg, tl, 0.018025078369905956, 0.00036907196044921875
bat-smg, sk, 0.005055446836268754, 0.001630544662475586
bat-smg, sw, 0.011833023609026844, 0.0005404949188232422
bat-smg, th, 0.05555555555555555, 2.193450927734375e-05
bat-smg, mt, 0.0, 2.09808349609375e-05
bat-smg, zh-classical, 0.0625, 1.52587890625e-05
bat-smg, dv, 0.029411764705882353, 1.4781951904296875e-05
bat-smg, ku, 0.051249362570117286, 3.743171691894531e-05
bat-smg, sr, 0.011461318051575931, 0.00017833709716796875
bat-smg, lmo, 0.017170524326877656, 0.00010704994201660156
bat-smg, lrc, 0.03125, 1.5974044799804688e-05
bat-smg, pih, 0.0, 1.621246337890625e-05
bat-smg, gv, 0.041666666666666664, 2.288818359375e-05
bat-smg, gn, 0.1, 1.6450881958007812e-05
bat-smg, azb, 0.030303030303030304, 2.0503997802734375e-05
bat-smg, sv, 0.0018375462969273952, 0.019048213958740234
bat-smg, tpi, 0.021739130434782608, 3.600120544433594e-05
bat-smg, oc, 0.009173445400100748, 0.0007598400115966797
bat-smg, sat, 0.03571428571428571, 1.8835067749023438e-05
bat-smg, li, 0.046875, 5.5789947509765625e-05
bat-smg, sah, 0.038461538461538464, 4.100799560546875e-05
bat-smg, no, 0.0018866589733685722, 0.007163047790527344
bat-smg, as, 0.08823529411764706, 3.075599670410156e-05
bat-smg, pam, 0.015625, 3.314018249511719e-05
bat-smg, rm, 0.0, 1.9073486328125e-05
bat-smg, bg, 0.01910828025477707, 2.6226043701171875e-05
bat-smg, my, 0.038461538461538464, 1.8835067749023438e-05
bat-smg, pi, 0.0, 1.5020370483398438e-05
bat-smg, ckb, 0.07692307692307693, 1.6689300537109375e-05
bat-smg, ady, 0.03571428571428571, 1.5020370483398438e-05
bat-smg, frp, 0.1125, 1.8596649169921875e-05
bat-smg, cu, 0.029411764705882353, 1.5974044799804688e-05
bat-smg, gu, 0.021739130434782608, 1.6450881958007812e-05
bat-smg, eml, 0.03125, 1.6689300537109375e-05
bat-smg, ky, 0.07142857142857142, 0.015825748443603516
bat-smg, bn, 0.052083333333333336, 2.2411346435546875e-05
bat-smg, hak, 0.012740424132829196, 0.0001499652862548828
bat-smg, hyw, 0.07894736842105263, 2.0742416381835938e-05
bat-smg, vls, 0.0, 2.288818359375e-05
bat-smg, or, 0.045454545454545456, 1.9311904907226562e-05
bat-smg, ru, 0.010309278350515464, 4.029273986816406e-05
bat-smg, ie, 0.13392857142857142, 2.0265579223632812e-05
bat-smg, so, 0.023412698412698413, 7.295608520507812e-05
bat-smg, tcy, 0.0, 1.7642974853515625e-05
bat-smg, roa-tara, 0.026586157173756307, 6.127357482910156e-05
bat-smg, hi, 0.04918032786885246, 2.2649765014648438e-05
bat-smg, pms, 0.10476190476190475, 2.5510787963867188e-05
bat-smg, nov, 0.04726890756302521, 3.266334533691406e-05
bat-smg, wuu, 0.08064516129032258, 2.09808349609375e-05
bat-smg, sn, 0.11805555555555555, 2.002716064453125e-05
bat-smg, arz, 0.027777777777777776, 2.0503997802734375e-05
bat-smg, kbd, 0.038461538461538464, 1.7881393432617188e-05
bat-smg, az, 0.007590608882354313, 0.0007376670837402344
bat-smg, pfl, 0.0, 1.8596649169921875e-05
bat-smg, bs, 0.008298800436205017, 0.0006859302520751953
bat-smg, te, 0.019230769230769232, 2.0503997802734375e-05
bat-smg, zh, 0.016129032258064516, 2.8371810913085938e-05
bat-smg, dty, 0.0, 1.621246337890625e-05
bat-smg, ace, 0.05335068314899154, 4.792213439941406e-05
bat-smg, mk, 0.04477611940298507, 2.0265579223632812e-05
bat-smg, ext, 0.16077441077441076, 3.0279159545898438e-05
bat-smg, sl, 0.00309465562253969, 0.016253232955932617
bat-smg, su, 0.034482758620689655, 4.220008850097656e-05
bat-smg, ga, 0.0360748584092588, 0.0001068115234375
bat-smg, gl, 0.00384479628882614, 0.0027043819427490234
bat-smg, hu, 0.0021724767495813913, 0.01786184310913086
bat-smg, uz, 0.012653760838878805, 0.0003829002380371094
bat-smg, co, 0.0, 2.4080276489257812e-05
bat-smg, szl, 0.03920099875156055, 7.534027099609375e-05
bat-smg, af, 0.006227508147683707, 0.0013165473937988281
bat-smg, mn, 0.08695652173913043, 1.9788742065429688e-05
bat-smg, mwl, 0.07, 4.1484832763671875e-05
bat-smg, ko, 0.021897810218978103, 2.5272369384765625e-05
bat-smg, ln, 0.1464285714285714, 2.2649765014648438e-05
bat-smg, mrj, 0.038461538461538464, 1.5020370483398438e-05
bat-smg, ms, 0.0068012808542116335, 0.0009570121765136719
bat-smg, ca, 0.0013138664994252387, 0.03851318359375
bat-smg, pnb, 0.07317073170731707, 3.62396240234375e-05
bat-smg, ilo, 0.016822901871666192, 0.0001354217529296875
bat-smg, lad, 0.03982843137254902, 4.744529724121094e-05
bat-smg, war, 0.05787234042553192, 8.20159912109375e-05
bat-smg, vec, 0.02793560606060606, 7.891654968261719e-05
bat-smg, dsb, 0.0, 2.4318695068359375e-05
bat-smg, lt, 0.0037334771514559223, 0.01612401008605957
bat-smg, mai, 0.013888888888888888, 3.600120544433594e-05
bat-smg, kk, 0.05555555555555555, 1.8835067749023438e-05
bat-smg, jv, 0.03183937274846366, 0.00017786026000976562
bat-smg, bxr, 0.07692307692307693, 1.6689300537109375e-05
bat-smg, ur, 0.0375, 1.8835067749023438e-05
bat-smg, lez, 0.038461538461538464, 1.4781951904296875e-05
bat-smg, ha, 0.24444444444444444, 1.8596649169921875e-05
bat-smg, nrm, 0.021739130434782608, 2.09808349609375e-05
bat-smg, union, 0.00012467619051782685, 1.306995153427124
nds, nds, 1.0, 0.0002734661102294922
nds, eu, 0.011556961867864103, 0.005639553070068359
nds, fi, 0.011394480106086255, 0.027312755584716797
nds, id, 0.008547768114169619, 0.0034813880920410156
nds, lb, 0.04161324512368156, 0.0003943443298339844
nds, ast, 0.020881042180262776, 0.001066446304321289
nds, kl, 0.003472222222222222, 0.00010204315185546875
nds, fo, 0.006802721088435374, 9.703636169433594e-05
nds, ba, 0.0, 9.489059448242188e-05
nds, eo, 0.016910818186963182, 0.0024030208587646484
nds, tn, 0.0, 0.00010418891906738281
nds, sco, 0.024937555856000364, 0.0006058216094970703
nds, tk, 0.006802721088435374, 0.00010037422180175781
nds, vep, 0.009708737864077669, 0.00015163421630859375
nds, ar, 0.00764525993883792, 0.00010633468627929688
nds, mhr, 0.0, 9.083747863769531e-05
nds, fr, 0.0040750555453227645, 0.05466151237487793
nds, stq, 0.02108433734939759, 0.00017070770263671875
nds, ia, 0.043772227276486636, 0.0001804828643798828
nds, br, 0.02850970548370839, 0.01157069206237793
nds, av, 0.0, 0.0001366138458251953
nds, mr, 0.0, 0.00010848045349121094
nds, hsb, 0.0, 0.0001461505889892578
nds, map-bms, 0.0, 0.00011014938354492188
nds, tw, 0.006896551724137931, 0.00010704994201660156
nds, tr, 0.009182281189959396, 0.00628352165222168
nds, bcl, 0.006802721088435374, 0.00011754035949707031
nds, lv, 0.021360167589405954, 0.0006189346313476562
nds, mzn, 0.0, 9.72747802734375e-05
nds, el, 0.005357142857142857, 0.00011444091796875
nds, frr, 0.005494505494505495, 0.00012993812561035156
nds, nap, 0.02337288745055735, 0.0001475811004638672
nds, ang, 0.0, 9.894371032714844e-05
