Language1, Language2, SimilarityScore, Time
bat-smg, bat-smg, 1.0, 2.1219253540039062e-05
bat-smg, nds, 1.0, 7.62939453125e-06
bat-smg, eu, 1.0, 1.1444091796875e-05
bat-smg, fi, 1.0, 1.6689300537109375e-05
bat-smg, id, 1.0, 1.4543533325195312e-05
bat-smg, lb, 1.0, 1.0251998901367188e-05
bat-smg, ast, 1.0, 1.0013580322265625e-05
bat-smg, fo, 1.0, 6.67572021484375e-06
bat-smg, ba, 1.0, 9.775161743164062e-06
bat-smg, eo, 0.6666666666666666, 1.5497207641601562e-05
bat-smg, sco, 1.0, 1.049041748046875e-05
bat-smg, ar, 1.0, 9.775161743164062e-06
bat-smg, fr, 1.0, 2.4318695068359375e-05
bat-smg, stq, 1.0, 1.049041748046875e-05
bat-smg, pdc, 1.0, 9.775161743164062e-06
bat-smg, ia, 1.0, 1.0251998901367188e-05
bat-smg, br, 1.0, 1.0013580322265625e-05
bat-smg, csb, 1.0, 9.775161743164062e-06
bat-smg, mr, 1.0, 1.0013580322265625e-05
bat-smg, tr, 1.0, 9.775161743164062e-06
bat-smg, lv, 1.0, 1.0013580322265625e-05
bat-smg, el, 1.0, 9.5367431640625e-06
bat-smg, nap, 1.0, 9.775161743164062e-06
bat-smg, nah, 1.0, 6.4373016357421875e-06
bat-smg, hr, 1.0, 1.0967254638671875e-05
bat-smg, sc, 1.0, 1.0013580322265625e-05
bat-smg, bm, 1.0, 9.5367431640625e-06
bat-smg, nn, 1.0, 1.0013580322265625e-05
bat-smg, rue, 1.0, 9.775161743164062e-06
bat-smg, es, 1.0, 2.4080276489257812e-05
bat-smg, fiu-vro, 1.0, 1.0251998901367188e-05
bat-smg, pl, 1.0, 1.239776611328125e-05
bat-smg, mg, 1.0, 6.9141387939453125e-06
bat-smg, vi, 1.0, 1.1682510375976562e-05
bat-smg, zh-yue, 1.0, 1.0967254638671875e-05
bat-smg, gd, 1.0, 6.9141387939453125e-06
bat-smg, uk, 1.0, 1.0013580322265625e-05
bat-smg, de, 1.0, 0.008956193923950195
bat-smg, km, 1.0, 1.1205673217773438e-05
bat-smg, hif, 1.0, 1.0013580322265625e-05
bat-smg, pap, 1.0, 6.4373016357421875e-06
bat-smg, pcd, 1.0, 1.0013580322265625e-05
bat-smg, an, 1.0, 9.5367431640625e-06
bat-smg, kn, 1.0, 9.775161743164062e-06
bat-smg, bh, 1.0, 9.775161743164062e-06
bat-smg, bar, 1.0, 9.5367431640625e-06
bat-smg, yo, 1.0, 9.775161743164062e-06
bat-smg, ml, 1.0, 9.775161743164062e-06
bat-smg, io, 1.0, 9.775161743164062e-06
bat-smg, pa, 1.0, 1.0013580322265625e-05
bat-smg, sh, 1.0, 1.049041748046875e-05
bat-smg, et, 1.0, 1.0967254638671875e-05
bat-smg, cs, 1.0, 1.2159347534179688e-05
bat-smg, tg, 1.0, 1.0013580322265625e-05
bat-smg, yi, 1.0, 9.5367431640625e-06
bat-smg, nl, 0.6666666666666666, 2.2172927856445312e-05
bat-smg, si, 1.0, 1.1444091796875e-05
bat-smg, pt, 0.6666666666666666, 2.09808349609375e-05
bat-smg, sd, 1.0, 7.867813110351562e-06
bat-smg, ro, 1.0, 1.2636184692382812e-05
bat-smg, sq, 1.0, 1.0251998901367188e-05
bat-smg, ja, 1.0, 9.775161743164062e-06
bat-smg, ne, 1.0, 9.298324584960938e-06
bat-smg, zh-min-nan, 1.0, 9.775161743164062e-06
bat-smg, min, 1.0, 6.4373016357421875e-06
bat-smg, ht, 1.0, 9.775161743164062e-06
bat-smg, fy, 1.0, 1.0013580322265625e-05
bat-smg, gcr, 1.0, 9.5367431640625e-06
bat-smg, be-tarask, 1.0, 1.7881393432617188e-05
bat-smg, jbo, 1.0, 6.9141387939453125e-06
bat-smg, be, 1.0, 1.0251998901367188e-05
bat-smg, is, 1.0, 1.0251998901367188e-05
bat-smg, bjn, 1.0, 6.67572021484375e-06
bat-smg, ta, 1.0, 1.049041748046875e-05
bat-smg, lfn, 1.0, 1.0013580322265625e-05
bat-smg, hy, 1.0, 1.0251998901367188e-05
bat-smg, cy, 1.0, 9.775161743164062e-06
bat-smg, wo, 1.0, 9.5367431640625e-06
bat-smg, simple, 1.0, 1.0013580322265625e-05
bat-smg, nds-nl, 1.0, 9.775161743164062e-06
bat-smg, jam, 1.0, 9.775161743164062e-06
bat-smg, la, 1.0, 1.0251998901367188e-05
bat-smg, new, 1.0, 6.4373016357421875e-06
bat-smg, bo, 1.0, 1.0013580322265625e-05
bat-smg, kbp, 1.0, 9.298324584960938e-06
bat-smg, ka, 1.0, 9.5367431640625e-06
bat-smg, tt, 1.0, 9.5367431640625e-06
bat-smg, it, 1.0, 1.8835067749023438e-05
bat-smg, kab, 1.0, 6.9141387939453125e-06
bat-smg, ceb, 1.0, 6.4373016357421875e-06
bat-smg, he, 1.0, 1.0251998901367188e-05
bat-smg, da, 1.0, 1.0728836059570312e-05
bat-smg, cv, 1.0, 1.0013580322265625e-05
bat-smg, fa, 1.0, 9.775161743164062e-06
bat-smg, scn, 1.0, 9.5367431640625e-06
