Language1, Language2, SimilarityScore, Time
bat-smg, bat-smg, 1.0, 4.1484832763671875e-05
bat-smg, nds, 0.0, 4.6253204345703125e-05
bat-smg, eu, 0.00909090909090909, 0.0001919269561767578
bat-smg, fi, 0.0008389261744966443, 0.0009920597076416016
bat-smg, id, 0.0020920502092050207, 0.00035071372985839844
bat-smg, lb, 0.07142857142857142, 2.002716064453125e-05
bat-smg, ast, 0.014705882352941176, 5.245208740234375e-05
bat-smg, fo, 0.0, 9.059906005859375e-06
bat-smg, ba, 0.3333333333333333, 9.059906005859375e-06
bat-smg, eo, 0.0014858841010401188, 0.0005016326904296875
bat-smg, sco, 0.125, 1.5735626220703125e-05
bat-smg, ar, 0.043478260869565216, 1.1205673217773438e-05
bat-smg, fr, 0.0003359086328518643, 0.002598285675048828
bat-smg, stq, 0.3333333333333333, 1.9073486328125e-05
bat-smg, pdc, 0.3333333333333333, 1.0728836059570312e-05
bat-smg, ia, 0.045454545454545456, 2.574920654296875e-05
bat-smg, br, 0.02127659574468085, 3.6716461181640625e-05
bat-smg, csb, 1.0, 8.821487426757812e-06
bat-smg, mr, 0.2, 9.298324584960938e-06
bat-smg, tr, 0.02631578947368421, 2.9802322387695312e-05
bat-smg, lv, 0.05, 2.002716064453125e-05
bat-smg, el, 0.08333333333333333, 9.5367431640625e-06
bat-smg, nap, 0.16666666666666666, 1.239776611328125e-05
bat-smg, nah, 0.0, 1.049041748046875e-05
bat-smg, hr, 0.002793296089385475, 0.00036597251892089844
bat-smg, sc, 0.5, 1.1444091796875e-05
bat-smg, bm, 1.0, 8.344650268554688e-06
bat-smg, nn, 0.008620689655172414, 8.106231689453125e-05
bat-smg, rue, 1.0, 9.059906005859375e-06
bat-smg, es, 0.0005112474437627812, 0.0016934871673583984
bat-smg, fiu-vro, 1.0, 1.4543533325195312e-05
bat-smg, pl, 0.0011890606420927466, 0.006188392639160156
bat-smg, mg, 0.0, 2.1219253540039062e-05
bat-smg, vi, 0.0018214936247723133, 0.00038123130798339844
bat-smg, zh-yue, 0.25, 1.4066696166992188e-05
bat-smg, gd, 0.0, 1.2874603271484375e-05
bat-smg, uk, 0.038461538461538464, 1.5497207641601562e-05
bat-smg, de, 0.00042140750105351877, 0.002117633819580078
bat-smg, km, 1.0, 2.1696090698242188e-05
bat-smg, hif, 1.0, 9.775161743164062e-06
bat-smg, pap, 0.0, 1.1444091796875e-05
bat-smg, pcd, 0.5, 1.0728836059570312e-05
bat-smg, an, 0.08333333333333333, 1.7881393432617188e-05
bat-smg, kn, 0.2, 1.0251998901367188e-05
