Language1, Language2, SimilarityScore, Kernel, Time
bat-smg, bat-smg, 1.0, 1.3276188435361738, 0.001299142837524414
bat-smg, nds, 1.0, 1.0, 0.0001163482666015625
bat-smg, eu, 0.71604762094509, 1.2915516162495129, 0.00089263916015625
bat-smg, fi, 0.711827158748231, 1.3278236379117008, 0.0008561611175537109
bat-smg, id, 0.7297417850378566, 1.3148861114078905, 0.0007865428924560547
bat-smg, lb, 0.7640118216439066, 1.2034503443259228, 0.0005488395690917969
bat-smg, ast, 0.6951745041481339, 1.2504807841146817, 0.0006859302520751953
bat-smg, kl, 1.0, 1.0605333951762528, 0.00019216537475585938
bat-smg, fo, 1.0, 1.0450000000000004, 0.0001881122589111328
bat-smg, ba, 1.0, 1.0900000000000025, 0.00029850006103515625
bat-smg, eo, 0.39645214543070817, 1.3456013089380474, 0.0008256435394287109
bat-smg, sco, 0.7583848369651028, 1.273314881261807, 0.0005986690521240234
bat-smg, tk, 1.0, 1.117979399517863, 0.0002892017364501953
bat-smg, vep, 1.0, 1.1784282728432265, 0.0003426074981689453
bat-smg, ar, 1.0, 1.1349999999999978, 0.0003943443298339844
bat-smg, mhr, 1.0, 1.0, 7.605552673339844e-05
bat-smg, fr, 0.6890659622573897, 1.3019986517418196, 0.0007367134094238281
bat-smg, stq, 1.0, 1.0450000000000004, 0.00015926361083984375
bat-smg, pdc, 1.0, 1.0, 6.794929504394531e-05
bat-smg, ia, 0.7107119136735386, 1.2418588927942091, 0.0005102157592773438
bat-smg, br, 0.7070866888053803, 1.2361059348093484, 0.0006017684936523438
bat-smg, av, 1.0, 1.0, 6.604194641113281e-05
bat-smg, csb, 1.0, 1.0, 6.365776062011719e-05
bat-smg, mr, 1.0, 1.0900000000000025, 0.00024199485778808594
bat-smg, hsb, 1.0, 1.092401955574451, 0.00019669532775878906
bat-smg, map-bms, 1.0, 1.0, 6.318092346191406e-05
bat-smg, tw, 1.0, 1.0225000000000009, 0.00010752677917480469
bat-smg, tr, 0.7024843123540663, 1.2595041317341247, 0.0006198883056640625
bat-smg, bcl, 1.0, 1.1369387755102043, 0.000152587890625
bat-smg, lv, 0.7516787041124934, 1.3095969742288511, 0.0006108283996582031
bat-smg, mzn, 1.0, 1.0, 6.29425048828125e-05
bat-smg, el, 1.0, 1.1349999999999978, 0.0003192424774169922
bat-smg, frr, 0.8688498344486463, 1.0795342332763171, 0.00019097328186035156
bat-smg, nap, 0.7976265855621175, 1.1179793995178633, 0.00023174285888671875
bat-smg, ang, 1.0, 1.0, 6.127357482910156e-05
bat-smg, sa, 0.0, 0.0, 6.127357482910156e-05
bat-smg, ce, 1.0, 1.0450000000000004, 0.0001461505889892578
bat-smg, vo, 1.0, 1.0225000000000009, 0.00010275840759277344
bat-smg, nah, 1.0, 1.1000307787011394, 0.00010180473327636719
bat-smg, hr, 0.40439050130823967, 1.3235691385102117, 0.0005908012390136719
bat-smg, sc, 1.0, 1.1179793995178628, 0.00022554397583007812
bat-smg, inh, 1.0, 1.0, 6.127357482910156e-05
bat-smg, bm, 1.0, 1.0, 5.9604644775390625e-05
bat-smg, nn, 0.7057393632288, 1.2860869746524588, 0.0005800724029541016
bat-smg, xmf, 1.0, 1.0450000000000004, 0.00014066696166992188
bat-smg, rue, 1.0, 1.0225000000000009, 9.965896606445312e-05
bat-smg, es, 0.6882188969130673, 1.3089208107190176, 0.0006327629089355469
bat-smg, fiu-vro, 1.0, 1.0, 6.079673767089844e-05
bat-smg, pl, 0.6633532188480479, 1.293637979762668, 0.0006005764007568359
bat-smg, mg, 0.8071020582193144, 1.0605333951762526, 0.0001327991485595703
bat-smg, vi, 0.7493330097499199, 1.2703242284816145, 0.00046372413635253906
bat-smg, zh-yue, 1.0, 1.1124999999999978, 0.00024366378784179688
bat-smg, sm, 0.0, 0.0, 0.00024366378784179688
bat-smg, gd, 1.0, 1.1369387755102043, 0.00012874603271484375
bat-smg, uk, 1.0, 1.1349999999999978, 0.0002815723419189453
bat-smg, ban, 1.0, 1.0450000000000004, 0.00012731552124023438
bat-smg, de, 0.6805259019397761, 1.3045367960335508, 0.0004379749298095703
bat-smg, km, 1.0, 1.0, 5.364418029785156e-05
bat-smg, hif, 0.7584325078215763, 1.0867307692307713, 0.0001938343048095703
bat-smg, diq, 1.0, 1.0675000000000008, 0.00015687942504882812
bat-smg, pap, 1.0, 1.1000307787011394, 8.749961853027344e-05
bat-smg, pcd, 1.0, 1.0225000000000009, 8.487701416015625e-05
bat-smg, myv, 1.0, 1.0, 5.1021575927734375e-05
bat-smg, an, 0.7584325078215763, 1.0867307692307715, 0.00020313262939453125
bat-smg, kn, 1.0, 1.0675000000000008, 0.0001552104949951172
bat-smg, bh, 1.0, 1.0450000000000004, 0.000118255615234375
bat-smg, bar, 1.0, 1.0225000000000009, 8.630752563476562e-05
bat-smg, yo, 1.0, 1.0450000000000004, 0.00011873245239257812
bat-smg, ny, 1.0, 1.0, 5.078315734863281e-05
bat-smg, ml, 1.0, 1.1124999999999978, 0.0002262592315673828
bat-smg, io, 0.7920611284826606, 1.2386127927875685, 0.00034737586975097656
bat-smg, pa, 1.0, 1.0900000000000025, 0.00019097328186035156
bat-smg, sh, 0.7231575899194614, 1.2704927574608451, 0.0004904270172119141
bat-smg, et, 0.675240105625234, 1.2982330359119814, 0.0004744529724121094
bat-smg, cs, 0.7189981836030787, 1.2786379809103992, 0.0005259513854980469
bat-smg, ug, 1.0, 1.0225000000000009, 8.58306884765625e-05
bat-smg, tg, 1.0, 1.0225000000000009, 8.368492126464844e-05
bat-smg, yi, 1.0, 1.1124999999999978, 0.00022125244140625
bat-smg, nl, 0.3930049976195682, 1.335488972050396, 0.0005283355712890625
bat-smg, fj, 0.0, 0.0, 0.0005283355712890625
bat-smg, si, 1.0, 1.0450000000000004, 0.00011706352233886719
bat-smg, pt, 0.32916470166473166, 1.4037067694074683, 0.0005104541778564453
bat-smg, sd, 0.0, 0.0, 0.0005104541778564453
bat-smg, na, 1.0, 1.0, 5.125999450683594e-05
bat-smg, ro, 0.7490120645829151, 1.3000760646856233, 0.000518798828125
bat-smg, sq, 0.796508929860913, 1.196684486040608, 0.0003159046173095703
bat-smg, ja, 1.0, 1.1349999999999978, 0.00023937225341796875
bat-smg, ne, 1.0, 1.0450000000000004, 0.00010895729064941406
bat-smg, zh-min-nan, 0.8463265161034056, 1.251960625797108, 0.0002810955047607422
bat-smg, min, 1.0, 1.0, 4.76837158203125e-05
bat-smg, haw, 1.0, 1.0605333951762528, 0.00011110305786132812
bat-smg, ht, 1.0, 1.0225000000000009, 7.772445678710938e-05
bat-smg, fy, 0.7914773423994961, 1.2386075245178625, 0.0003504753112792969
bat-smg, gcr, 1.0, 1.0450000000000004, 0.00010943412780761719
bat-smg, lij, 0.7644959816469518, 1.1451357395713755, 0.00018405914306640625
bat-smg, ki, 1.0, 1.1000307787011394, 7.963180541992188e-05
bat-smg, be-tarask, 1.0, 1.1349999999999978, 0.00023698806762695312
bat-smg, jbo, 0.0, 0.0, 0.00023698806762695312
bat-smg, be, 1.0, 1.1349999999999978, 0.00023818016052246094
bat-smg, is, 0.7894864062656253, 1.2726113745569048, 0.00039267539978027344
bat-smg, bjn, 1.0, 1.1369387755102043, 0.00011157989501953125
bat-smg, kaa, 1.0, 1.1000307787011394, 7.891654968261719e-05
bat-smg, ta, 1.0, 1.1349999999999978, 0.00023984909057617188
bat-smg, lfn, 1.0, 1.0675000000000008, 0.0001418590545654297
bat-smg, kw, 0.7645652447064621, 1.0940231733958428, 0.0001766681671142578
bat-smg, qu, 1.0, 1.141176008311576, 0.0002090930938720703
bat-smg, hy, 1.0, 1.1349999999999978, 0.00023698806762695312
bat-smg, rw, 1.0, 1.0605333951762528, 0.00012040138244628906
bat-smg, cy, 0.683197533744302, 1.2492292340073683, 0.0003521442413330078
bat-smg, zea, 1.0, 1.0, 4.7206878662109375e-05
bat-smg, wo, 1.0, 1.0225000000000009, 7.915496826171875e-05
bat-smg, simple, 0.7070031495442075, 1.3127214220929764, 0.00039577484130859375
bat-smg, am, 1.0, 1.0675000000000008, 0.00014257431030273438
bat-smg, nds-nl, 1.0, 1.0225000000000009, 7.867813110351562e-05
bat-smg, jam, 1.0, 1.0, 4.7206878662109375e-05
bat-smg, tyv, 0.0, 0.0, 4.7206878662109375e-05
bat-smg, la, 0.7239093963946132, 1.291215818508167, 0.0004425048828125
bat-smg, new, 1.0, 1.0675000000000008, 0.0001385211944580078
bat-smg, bo, 1.0, 1.0450000000000004, 0.00010633468627929688
bat-smg, os, 1.0, 1.0, 4.57763671875e-05
bat-smg, kbp, 1.0, 1.0675000000000008, 0.00013899803161621094
bat-smg, ka, 1.0, 1.1124999999999978, 0.0002014636993408203
bat-smg, tt, 0.6624525348502385, 1.0918647770259453, 0.00020194053649902344
bat-smg, it, 0.7104056170977928, 1.3114453035546232, 0.0004837512969970703
bat-smg, olo, 1.0, 1.1000307787011394, 7.939338684082031e-05
bat-smg, kab, 1.0, 1.1000307787011394, 7.653236389160156e-05
bat-smg, ceb, 0.7509807064279936, 1.148552417362177, 0.0002372264862060547
bat-smg, glk, 1.0, 1.0, 4.7206878662109375e-05
bat-smg, he, 1.0, 1.1349999999999978, 0.00023126602172851562
bat-smg, da, 0.6819996280407222, 1.3004114172626677, 0.00048065185546875
bat-smg, arc, 1.0, 1.0, 4.935264587402344e-05
bat-smg, cv, 1.0, 1.0225000000000009, 7.796287536621094e-05
bat-smg, fa, 1.0, 1.1349999999999978, 0.00023031234741210938
bat-smg, scn, 0.6371442937667223, 1.2675077718999845, 0.00037288665771484375
bat-smg, ps, 1.0, 1.0675000000000008, 0.00013637542724609375
bat-smg, wa, 1.0, 1.0225000000000009, 7.653236389160156e-05
bat-smg, kv, 0.0, 0.0, 7.653236389160156e-05
bat-smg, got, 1.0, 1.0, 4.601478576660156e-05
bat-smg, en, 0.3559494715356534, 1.399222380094749, 0.00040149688720703125
bat-smg, als, 0.8611314786721912, 1.3199919124051922, 0.0003628730773925781
bat-smg, cdo, 1.0, 1.0, 4.601478576660156e-05
bat-smg, ksh, 0.0, 0.0, 4.601478576660156e-05
bat-smg, tl, 0.7583848369651028, 1.273314881261807, 0.00032591819763183594
bat-smg, sk, 0.7024133298208813, 1.2903589305879102, 0.0004639625549316406
bat-smg, sw, 0.7132014691827852, 1.272611374556905, 0.0003571510314941406
bat-smg, th, 1.0, 1.1349999999999978, 0.00022554397583007812
bat-smg, mt, 0.0, 0.0, 0.00022554397583007812
bat-smg, zh-classical, 1.0, 1.0225000000000009, 7.343292236328125e-05
bat-smg, dv, 1.0, 1.0, 4.3392181396484375e-05
bat-smg, ku, 1.0, 1.175509167945067, 0.00016570091247558594
bat-smg, sr, 0.7942219112853846, 1.1780583756345169, 0.00028705596923828125
bat-smg, lmo, 1.0, 1.092401955574451, 0.00013446807861328125
bat-smg, lrc, 1.0, 1.0, 4.363059997558594e-05
bat-smg, pih, 1.0, 1.0, 5.1021575927734375e-05
bat-smg, gv, 0.8216064286890065, 1.015789473684211, 7.43865966796875e-05
bat-smg, gn, 1.0, 1.0450000000000004, 0.00010013580322265625
bat-smg, azb, 1.0, 1.0225000000000009, 7.009506225585938e-05
bat-smg, sv, 0.3908392148570159, 1.3410543904743415, 0.0004551410675048828
bat-smg, tpi, 1.0, 1.0, 4.458427429199219e-05
bat-smg, oc, 0.7061784598308725, 1.3285557246215614, 0.0004200935363769531
bat-smg, sat, 1.0, 1.0, 4.482269287109375e-05
bat-smg, li, 0.7949404008777079, 1.1381886241867603, 0.00016307830810546875
bat-smg, sah, 1.0, 1.0, 4.315376281738281e-05
bat-smg, no, 0.40803172619716244, 1.3496522472337407, 0.0004169940948486328
bat-smg, ks, 1.0, 1.0, 4.482269287109375e-05
bat-smg, as, 1.0, 1.0450000000000004, 0.00010132789611816406
bat-smg, pam, 1.0, 1.0, 4.267692565917969e-05
bat-smg, rm, 0.0, 0.0, 4.267692565917969e-05
bat-smg, roa-rup, 1.0, 1.0, 4.38690185546875e-05
bat-smg, bg, 1.0, 1.1349999999999978, 0.00022029876708984375
bat-smg, my, 1.0, 1.0450000000000004, 9.942054748535156e-05
