Language1, Language2, SimilarityScore, Time
bat-smg, bat-smg, 1.0, 4.863739013671875e-05
bat-smg, nds, 0.0, 5.245208740234375e-06
bat-smg, eu, 0.2972972972972973, 3.3855438232421875e-05
bat-smg, fi, 0.3157894736842105, 3.266334533691406e-05
bat-smg, id, 0.4444444444444444, 3.6716461181640625e-05
bat-smg, lb, 0.0, 6.67572021484375e-06
bat-smg, ast, 0.25, 2.6464462280273438e-05
bat-smg, fo, 0.0, 5.0067901611328125e-06
bat-smg, ba, 0.0, 5.9604644775390625e-06
bat-smg, eo, 0.1590909090909091, 7.581710815429688e-05
bat-smg, sco, 0.47058823529411764, 2.7179718017578125e-05
bat-smg, tk, 0.0, 6.4373016357421875e-06
bat-smg, vep, 0.0, 4.76837158203125e-06
bat-smg, ar, 0.0, 1.239776611328125e-05
bat-smg, mhr, 0.0, 9.059906005859375e-06
bat-smg, fr, 0.189873417721519, 0.00010824203491210938
bat-smg, ia, 0.5, 1.4066696166992188e-05
bat-smg, mi, 0.0, 6.4373016357421875e-06
bat-smg, br, 0.5, 1.1920928955078125e-05
bat-smg, csb, 0.0, 9.059906005859375e-06
bat-smg, mr, 0.0, 8.821487426757812e-06
bat-smg, hsb, 1.0, 1.2159347534179688e-05
bat-smg, tr, 0.3333333333333333, 3.123283386230469e-05
bat-smg, bcl, 0.0, 5.7220458984375e-06
bat-smg, lv, 0.625, 4.506111145019531e-05
bat-smg, mzn, 0.0, 1.0013580322265625e-05
bat-smg, el, 0.0, 9.059906005859375e-06
bat-smg, frr, 0.0, 5.0067901611328125e-06
bat-smg, nap, 0.375, 1.6927719116210938e-05
bat-smg, ang, 0.0, 9.059906005859375e-06
bat-smg, sa, 0.0, 4.76837158203125e-06
bat-smg, ce, 0.0, 8.58306884765625e-06
bat-smg, nah, 0.25, 1.9073486328125e-05
bat-smg, nv, 0.0, 5.0067901611328125e-06
bat-smg, hr, 0.25, 6.67572021484375e-05
bat-smg, bm, 0.0, 5.7220458984375e-06
bat-smg, iu, 0.0, 9.059906005859375e-06
bat-smg, za, 0.5, 1.0967254638671875e-05
bat-smg, nn, 0.38095238095238093, 4.7206878662109375e-05
bat-smg, xmf, 0.0, 1.0251998901367188e-05
bat-smg, es, 0.28, 9.34600830078125e-05
bat-smg, pl, 0.125, 7.748603820800781e-05
bat-smg, mg, 1.0, 1.049041748046875e-05
bat-smg, vi, 0.0, 1.5020370483398438e-05
