Language1, Language2, SimilarityScore, Time
bat-smg, bat-smg, 1.0, 0.00011992454528808594
bat-smg, nds, 0.5111003263172462, 0.002562999725341797
bat-smg, eu, 0.5043488501122338, 0.07218623161315918
bat-smg, fi, 0.5017690046387691, 0.09045004844665527
bat-smg, id, 0.5022718736540033, 0.08209919929504395
bat-smg, lb, 0.5138410255767616, 0.0009241104125976562
bat-smg, ast, 0.5066735004816166, 0.02131819725036621
bat-smg, fo, 0.5285285285285285, 0.00019693374633789062
bat-smg, ba, 0.5477707006369427, 4.649162292480469e-05
bat-smg, eo, 0.5036463644085739, 0.06483578681945801
bat-smg, zu, 0.5084745762711864, 7.200241088867188e-05
bat-smg, sco, 0.5081084537119857, 0.030349254608154297
bat-smg, tk, 0.5397366382649109, 5.745887756347656e-05
bat-smg, chy, 0.5294117647058824, 3.552436828613281e-05
bat-smg, se, 0.5080645161290323, 3.337860107421875e-05
bat-smg, vep, 0.5204206129988139, 0.043436527252197266
bat-smg, ar, 0.5109489051094891, 8.749961853027344e-05
bat-smg, mhr, 0.5126050420168068, 3.981590270996094e-05
bat-smg, fr, 0.5009396511876957, 0.16419243812561035
bat-smg, stq, 0.5162851144927134, 0.006469011306762695
bat-smg, pdc, 0.5084745762711864, 5.459785461425781e-05
bat-smg, ia, 0.521318425537221, 0.01749134063720703
bat-smg, mi, 0.5352344924584121, 9.942054748535156e-05
bat-smg, br, 0.5123088326572478, 0.0016701221466064453
bat-smg, av, 0.5045045045045045, 3.886222839355469e-05
bat-smg, csb, 0.5037037037037037, 3.886222839355469e-05
bat-smg, mr, 0.5304054054054054, 4.076957702636719e-05
bat-smg, hsb, 0.5316228223431338, 0.00017142295837402344
bat-smg, map-bms, 0.5087719298245614, 3.504753112792969e-05
bat-smg, tr, 0.5037110197968425, 0.028399944305419922
bat-smg, bcl, 0.5042735042735043, 5.245208740234375e-05
bat-smg, lv, 0.5071384867039228, 0.04184889793395996
bat-smg, mzn, 0.5084745762711864, 5.364418029785156e-05
bat-smg, el, 0.5171232876712328, 6.246566772460938e-05
bat-smg, frr, 0.5115578281554223, 0.01773381233215332
bat-smg, nap, 0.5153846153846153, 5.7697296142578125e-05
bat-smg, ang, 0.5227272727272727, 4.267692565917969e-05
bat-smg, sa, 0.5230125523012552, 4.124641418457031e-05
bat-smg, ce, 0.5132743362831859, 3.552436828613281e-05
bat-smg, vo, 0.5348837209302326, 4.0531158447265625e-05
bat-smg, nah, 0.5456591036939809, 6.866455078125e-05
bat-smg, nv, 0.5306122448979592, 0.018144607543945312
bat-smg, hr, 0.5047408912364526, 0.04669308662414551
bat-smg, sc, 0.5197252751053043, 0.001271963119506836
bat-smg, nso, 0.5, 4.696846008300781e-05
bat-smg, inh, 0.5045045045045045, 3.504753112792969e-05
bat-smg, bm, 0.5042735042735043, 3.695487976074219e-05
bat-smg, iu, 0.5045045045045045, 3.504753112792969e-05
bat-smg, za, 0.5255474452554745, 5.316734313964844e-05
bat-smg, nn, 0.5088463626104599, 0.004045009613037109
bat-smg, xal, 0.5232067510548523, 5.745887756347656e-05
bat-smg, crh, 0.5086206896551724, 3.743171691894531e-05
bat-smg, xmf, 0.5238095238095238, 3.528594970703125e-05
bat-smg, ch, 0.5045045045045045, 3.457069396972656e-05
bat-smg, rue, 0.5454545454545455, 3.695487976074219e-05
bat-smg, es, 0.5014561907695506, 0.10358881950378418
bat-smg, fiu-vro, 0.5439014024649383, 0.00010228157043457031
bat-smg, pl, 0.5013051360229919, 0.08412575721740723
bat-smg, mg, 0.5372065260644647, 8.344650268554688e-05
bat-smg, vi, 0.5021794094668147, 0.07901906967163086
bat-smg, zh-yue, 0.5231481481481481, 8.249282836914062e-05
bat-smg, sm, 0.504424778761062, 3.552436828613281e-05
bat-smg, gd, 0.5169573186229165, 0.02368927001953125
bat-smg, uk, 0.5126964933494559, 8.821487426757812e-05
bat-smg, de, 0.5007833327349892, 0.15351128578186035
bat-smg, km, 0.5203252032520326, 7.462501525878906e-05
bat-smg, hif, 0.5211802748585287, 0.030883073806762695
bat-smg, gom, 0.5172413793103449, 6.413459777832031e-05
bat-smg, diq, 0.5193798449612403, 4.792213439941406e-05
bat-smg, pap, 0.5379310344827586, 5.936622619628906e-05
bat-smg, pcd, 0.5186020293122886, 3.6716461181640625e-05
bat-smg, myv, 0.535031847133758, 3.552436828613281e-05
bat-smg, an, 0.5144206713857205, 0.0021190643310546875
bat-smg, kn, 0.5288135593220339, 5.3882598876953125e-05
bat-smg, bh, 0.5238095238095238, 4.1484832763671875e-05
bat-smg, bar, 0.5251562249639481, 7.867813110351562e-05
bat-smg, yo, 0.5175000000000001, 0.015592098236083984
bat-smg, ml, 0.5231958762886598, 6.222724914550781e-05
bat-smg, io, 0.5180941987793338, 0.0029900074005126953
bat-smg, pa, 0.5300751879699248, 5.9604644775390625e-05
bat-smg, sh, 0.5014617819646444, 0.3051457405090332
bat-smg, et, 0.5044738421288544, 0.006241798400878906
bat-smg, cs, 0.5025446624800601, 0.11081314086914062
bat-smg, ug, 0.5224489795918368, 7.271766662597656e-05
bat-smg, tg, 0.5300353356890459, 4.601478576660156e-05
bat-smg, gor, 0.5045045045045045, 3.4332275390625e-05
bat-smg, yi, 0.5370370370370371, 3.814697265625e-05
bat-smg, nl, 0.5017090912974975, 0.11164975166320801
bat-smg, fj, 0.5259097769579071, 6.0558319091796875e-05
bat-smg, si, 0.5376344086021506, 4.220008850097656e-05
bat-smg, pt, 0.5019007491408385, 0.06920862197875977
bat-smg, sd, 0.5196850393700787, 6.651878356933594e-05
bat-smg, na, 0.5087719298245614, 3.600120544433594e-05
bat-smg, ro, 0.5027908878968853, 0.06954646110534668
bat-smg, sq, 0.5154071436216274, 0.03114008903503418
bat-smg, ja, 0.5061873895109016, 0.0002586841583251953
bat-smg, ne, 0.5296296296296297, 5.078315734863281e-05
bat-smg, cbk-zam, 0.5086206896551724, 4.1484832763671875e-05
bat-smg, bi, 0.5086206896551724, 3.933906555175781e-05
bat-smg, zh-min-nan, 0.5169233103681721, 0.025793790817260742
bat-smg, min, 0.5276608538785328, 7.295608520507812e-05
bat-smg, haw, 0.525, 0.00031495094299316406
bat-smg, ht, 0.5427161776162036, 8.320808410644531e-05
bat-smg, fy, 0.5216833370528922, 0.0004215240478515625
bat-smg, gcr, 0.5396825396825397, 4.267692565917969e-05
bat-smg, mdf, 0.52, 3.910064697265625e-05
bat-smg, lij, 0.5215686274509804, 8.630752563476562e-05
bat-smg, ki, 0.5328947368421053, 4.6253204345703125e-05
bat-smg, be-tarask, 0.5251572327044025, 4.6253204345703125e-05
bat-smg, jbo, 0.5174825174825175, 0.0007736682891845703
bat-smg, be, 0.5220417633410672, 5.245208740234375e-05
bat-smg, is, 0.5152388653459318, 0.0005786418914794922
bat-smg, bjn, 0.534994068801898, 6.0558319091796875e-05
bat-smg, kaa, 0.5507522047380252, 4.506111145019531e-05
bat-smg, ta, 0.5139318885448917, 5.1975250244140625e-05
bat-smg, lfn, 0.5410665032178976, 7.82012939453125e-05
bat-smg, kw, 0.515625, 4.649162292480469e-05
bat-smg, qu, 0.5248991537887826, 0.0008983612060546875
bat-smg, hy, 0.5186567164179104, 5.6743621826171875e-05
bat-smg, rw, 0.5070422535211268, 4.744529724121094e-05
bat-smg, cy, 0.50913321369771, 0.03543663024902344
bat-smg, wo, 0.5086206896551724, 5.435943603515625e-05
bat-smg, simple, 0.504515830708072, 0.024461984634399414
bat-smg, am, 0.5220883534136546, 5.817413330078125e-05
bat-smg, nds-nl, 0.53562172435639, 7.653236389160156e-05
bat-smg, jam, 0.5543556515478761, 6.008148193359375e-05
bat-smg, tyv, 0.5114503816793893, 0.015010595321655273
bat-smg, pnt, 0.5086206896551724, 4.0531158447265625e-05
bat-smg, la, 0.5087847312310376, 0.02099752426147461
bat-smg, new, 0.5289256198347108, 5.91278076171875e-05
bat-smg, bo, 0.5288461538461539, 4.363059997558594e-05
bat-smg, os, 0.5348837209302326, 4.0531158447265625e-05
bat-smg, xh, 0.5289213468622762, 7.176399230957031e-05
bat-smg, kbp, 0.5217391304347826, 6.914138793945312e-05
bat-smg, ka, 0.5234375, 4.887580871582031e-05
bat-smg, tt, 0.5283687943262412, 5.054473876953125e-05
bat-smg, srn, 0.5, 3.838539123535156e-05
bat-smg, it, 0.501108354817674, 0.17429184913635254
bat-smg, om, 0.5186818571603576, 8.511543273925781e-05
bat-smg, olo, 0.529506579738735, 0.00011324882507324219
bat-smg, kab, 0.5383098313775762, 7.82012939453125e-05
bat-smg, ceb, 0.5140790769303063, 0.022423505783081055
bat-smg, he, 0.5107066381156317, 0.0002338886260986328
bat-smg, da, 0.5030253378981933, 0.056722164154052734
bat-smg, arc, 0.5132743362831859, 6.198883056640625e-05
bat-smg, cv, 0.5271317829457365, 5.2928924560546875e-05
bat-smg, fa, 0.5093002657218777, 7.653236389160156e-05
bat-smg, scn, 0.521400580023492, 0.015018939971923828
bat-smg, ps, 0.525, 5.0067901611328125e-05
bat-smg, wa, 0.5264479841999056, 0.00011515617370605469
bat-smg, kv, 0.5210084033613445, 4.029273986816406e-05
bat-smg, ff, 0.5045045045045045, 3.2901763916015625e-05
bat-smg, got, 0.5045045045045045, 3.123283386230469e-05
bat-smg, en, 0.500319932856898, 0.7399337291717529
bat-smg, als, 0.5286757086184622, 0.0004868507385253906
bat-smg, cdo, 0.5150862068965517, 0.014485597610473633
bat-smg, ksh, 0.5310734463276836, 0.00013875961303710938
bat-smg, tl, 0.5114747855000604, 0.005774736404418945
bat-smg, sk, 0.5076089350357255, 0.01588749885559082
