Language1, Language2, SimilarityScore, Time
bat-smg, bat-smg, 1.0, 2.8848648071289062e-05
bat-smg, eu, 0.008264462809917356, 9.441375732421875e-05
bat-smg, fi, 0.0041753653444676405, 0.0002961158752441406
bat-smg, id, 0.001851851851851852, 0.00034046173095703125
bat-smg, ast, 0.3333333333333333, 9.775161743164062e-06
bat-smg, kl, 0.3333333333333333, 9.775161743164062e-06
bat-smg, ba, 0.3333333333333333, 7.62939453125e-06
bat-smg, eo, 0.00909090909090909, 0.00012946128845214844
bat-smg, sco, 0.058823529411764705, 1.8358230590820312e-05
bat-smg, vep, 0.15384615384615385, 1.4543533325195312e-05
bat-smg, ar, 0.023809523809523808, 1.3589859008789062e-05
bat-smg, fr, 0.002008032128514056, 0.0006117820739746094
bat-smg, stq, 0.125, 1.5020370483398438e-05
bat-smg, ia, 0.14285714285714285, 1.1682510375976562e-05
bat-smg, br, 0.5, 8.821487426757812e-06
bat-smg, mr, 0.3333333333333333, 8.58306884765625e-06
bat-smg, tr, 0.0015873015873015873, 0.00045609474182128906
bat-smg, lv, 0.3333333333333333, 9.775161743164062e-06
bat-smg, el, 0.006578947368421052, 8.96453857421875e-05
bat-smg, ang, 0.5, 9.298324584960938e-06
bat-smg, sa, 0.5, 7.867813110351562e-06
bat-smg, hr, 0.005376344086021506, 0.00010943412780761719
bat-smg, sc, 0.25, 1.0251998901367188e-05
bat-smg, bm, 0.5, 7.867813110351562e-06
bat-smg, nn, 0.16666666666666666, 1.4543533325195312e-05
bat-smg, rue, 0.5, 7.62939453125e-06
bat-smg, es, 0.003367003367003367, 0.00016546249389648438
bat-smg, fiu-vro, 0.5, 9.298324584960938e-06
bat-smg, pl, 0.002506265664160401, 0.0005080699920654297
bat-smg, mg, 0.09090909090909091, 1.6450881958007812e-05
bat-smg, vi, 0.07142857142857142, 3.1948089599609375e-05
bat-smg, zh-yue, 0.5, 9.059906005859375e-06
bat-smg, gd, 0.5, 9.5367431640625e-06
bat-smg, uk, 0.027777777777777776, 4.1484832763671875e-05
bat-smg, de, 0.0009033423667570009, 0.001569986343383789
bat-smg, km, 0.5, 1.1205673217773438e-05
bat-smg, an, 0.07692307692307693, 1.5974044799804688e-05
bat-smg, kn, 0.3333333333333333, 8.821487426757812e-06
bat-smg, yo, 0.0, 8.344650268554688e-06
bat-smg, ml, 0.14285714285714285, 9.059906005859375e-06
bat-smg, io, 0.006535947712418301, 0.00013780593872070312
bat-smg, pa, 0.3333333333333333, 9.5367431640625e-06
bat-smg, sh, 0.02631578947368421, 2.8848648071289062e-05
bat-smg, et, 0.005698005698005698, 0.0002372264862060547
bat-smg, cs, 0.0034602076124567475, 0.0001628398895263672
bat-smg, tg, 0.5, 9.5367431640625e-06
bat-smg, yi, 0.3333333333333333, 8.821487426757812e-06
bat-smg, nl, 0.001936108422071636, 0.0006573200225830078
bat-smg, fj, 0.2, 1.239776611328125e-05
bat-smg, si, 0.3333333333333333, 8.58306884765625e-06
bat-smg, pt, 0.0002043318348998774, 0.004965066909790039
bat-smg, sd, 0.5, 1.7642974853515625e-05
bat-smg, ro, 0.0055248618784530384, 0.00015735626220703125
bat-smg, sq, 0.125, 1.1444091796875e-05
bat-smg, ja, 0.0036900369003690036, 0.00036072731018066406
bat-smg, ne, 0.5, 1.0728836059570312e-05
bat-smg, zh-min-nan, 0.5, 8.58306884765625e-06
bat-smg, haw, 0.3333333333333333, 1.0013580322265625e-05
bat-smg, ht, 0.25, 1.0013580322265625e-05
bat-smg, fy, 0.1111111111111111, 1.3589859008789062e-05
bat-smg, gcr, 0.5, 8.821487426757812e-06
bat-smg, mdf, 0.5, 8.344650268554688e-06
bat-smg, be-tarask, 0.3333333333333333, 9.298324584960938e-06
bat-smg, be, 0.3333333333333333, 7.867813110351562e-06
bat-smg, is, 0.18181818181818182, 1.4543533325195312e-05
bat-smg, bjn, 0.5, 8.106231689453125e-06
bat-smg, ta, 0.1111111111111111, 8.821487426757812e-06
bat-smg, qu, 0.02127659574468085, 3.528594970703125e-05
bat-smg, hy, 0.2, 8.58306884765625e-06
bat-smg, cy, 0.004329004329004329, 0.00016832351684570312
bat-smg, zea, 0.25, 1.049041748046875e-05
bat-smg, wo, 0.0, 2.0742416381835938e-05
bat-smg, simple, 0.017241379310344827, 3.838539123535156e-05
bat-smg, am, 0.5, 8.106231689453125e-06
bat-smg, jam, 0.25, 9.298324584960938e-06
bat-smg, tyv, 0.5, 7.867813110351562e-06
