Language1, Language2, SimilarityScore, Time
bat-smg, bat-smg, 1.0, 6.222724914550781e-05
bat-smg, nds, 0.014767932489451477, 0.0003676414489746094
bat-smg, eu, 0.0024007202160648195, 0.02230978012084961
bat-smg, fi, 0.0014961660744342623, 0.10673284530639648
bat-smg, id, 0.0017346053772766695, 0.14435362815856934
bat-smg, lb, 0.021634615384615384, 0.0008561611175537109
bat-smg, ast, 0.0035490958255872907, 0.029123783111572266
bat-smg, kl, 0.10714285714285714, 3.838539123535156e-05
bat-smg, fo, 0.13953488372093023, 2.7418136596679688e-05
bat-smg, ba, 0.08433734939759036, 2.0742416381835938e-05
bat-smg, eo, 0.003402324922030054, 0.03489327430725098
bat-smg, zu, 0.038461538461538464, 3.123283386230469e-05
bat-smg, sco, 0.016129032258064516, 0.0010559558868408203
bat-smg, tk, 0.1794871794871795, 3.0517578125e-05
bat-smg, se, 0.0, 1.71661376953125e-05
bat-smg, vep, 0.06666666666666667, 9.179115295410156e-05
bat-smg, ar, 0.013712047012732615, 6.318092346191406e-05
bat-smg, mhr, 0.03571428571428571, 1.8835067749023438e-05
bat-smg, fr, 0.00028629368960992485, 0.7075014114379883
bat-smg, stq, 0.06666666666666667, 7.534027099609375e-05
bat-smg, pdc, 0.02702702702702703, 2.5987625122070312e-05
bat-smg, ia, 0.03571428571428571, 0.0003371238708496094
bat-smg, br, 0.015899581589958158, 0.0010657310485839844
bat-smg, av, 0.037037037037037035, 2.1219253540039062e-05
bat-smg, mr, 0.08333333333333333, 2.574920654296875e-05
bat-smg, hsb, 0.08108108108108109, 5.245208740234375e-05
bat-smg, map-bms, 0.02702702702702703, 2.3365020751953125e-05
bat-smg, tw, 0.0625, 2.1219253540039062e-05
bat-smg, tr, 0.004037005887300252, 0.06570672988891602
bat-smg, bcl, 0.07692307692307693, 4.267692565917969e-05
bat-smg, lv, 0.01872340425531915, 0.0008380413055419922
bat-smg, mzn, 0.07894736842105263, 2.09808349609375e-05
bat-smg, el, 0.03355704697986577, 7.748603820800781e-05
bat-smg, frr, 0.058333333333333334, 7.510185241699219e-05
bat-smg, nap, 0.04081632653061224, 6.556510925292969e-05
bat-smg, ang, 0.08163265306122448, 2.7179718017578125e-05
bat-smg, sa, 0.0, 1.5974044799804688e-05
bat-smg, ce, 0.07317073170731707, 1.5974044799804688e-05
bat-smg, vo, 0.08823529411764706, 1.9788742065429688e-05
bat-smg, nah, 0.06451612903225806, 1.5974044799804688e-05
bat-smg, nv, 0.0, 1.52587890625e-05
bat-smg, din, 0.0, 1.4543533325195312e-05
bat-smg, hr, 0.002307692307692308, 0.04703688621520996
bat-smg, sc, 0.03802281368821293, 0.00021076202392578125
bat-smg, inh, 0.037037037037037035, 2.09808349609375e-05
bat-smg, za, 0.14705882352941177, 2.5987625122070312e-05
bat-smg, nn, 0.007531667237247518, 0.024091720581054688
bat-smg, crh, 0.0, 3.62396240234375e-05
bat-smg, xmf, 0.14516129032258066, 3.123283386230469e-05
bat-smg, rue, 0.125, 1.8835067749023438e-05
bat-smg, es, 0.00048080775703181346, 0.35753870010375977
bat-smg, fiu-vro, 0.09375, 4.5299530029296875e-05
bat-smg, pl, 0.0009071666162685213, 1.3971598148345947
bat-smg, mg, 0.031578947368421054, 9.846687316894531e-05
bat-smg, vi, 0.006482429205049471, 0.00406956672668457
