Language1, Language2, SimilarityScore, Time
bat-smg, bat-smg, 1.0, 0.000194549560546875
bat-smg, nds, 0.05889724310776942, 0.0008342266082763672
bat-smg, eu, 0.0325119780971937, 0.006877422332763672
bat-smg, fi, 0.023938795656465943, 0.023306846618652344
bat-smg, id, 0.017428785607196403, 0.01313924789428711
bat-smg, sg, 0.009174311926605505, 7.772445678710938e-05
bat-smg, lb, 0.09367088607594937, 0.00036787986755371094
bat-smg, ast, 0.03560830860534125, 0.01612114906311035
bat-smg, kl, 0.15671641791044777, 0.00012731552124023438
bat-smg, fo, 0.10714285714285714, 9.179115295410156e-05
bat-smg, ba, 0.15079365079365079, 7.987022399902344e-05
bat-smg, eo, 0.02637075718015666, 0.006211280822753906
bat-smg, zu, 0.08888888888888889, 9.822845458984375e-05
bat-smg, tn, 0.025210084033613446, 7.843971252441406e-05
bat-smg, sco, 0.09419354838709677, 0.0011012554168701172
bat-smg, tk, 0.10606060606060606, 0.00010395050048828125
bat-smg, se, 0.17180616740088106, 0.0002429485321044922
bat-smg, vep, 0.1590909090909091, 0.013947486877441406
bat-smg, ar, 0.07337526205450734, 0.00010561943054199219
bat-smg, mhr, 0.12096774193548387, 6.937980651855469e-05
bat-smg, fr, 0.005443714050944947, 0.1882953643798828
bat-smg, stq, 0.08794788273615635, 0.00039386749267578125
bat-smg, pdc, 0.0949367088607595, 0.00010824203491210938
bat-smg, ia, 0.08163265306122448, 0.0003750324249267578
bat-smg, mi, 0.05982905982905983, 7.534027099609375e-05
bat-smg, br, 0.0473313192346425, 0.0044286251068115234
bat-smg, av, 0.04424778761061947, 0.04874229431152344
bat-smg, csb, 0.07017543859649122, 7.510185241699219e-05
bat-smg, mr, 0.1417910447761194, 7.486343383789062e-05
bat-smg, ak, 0.06140350877192982, 7.367134094238281e-05
bat-smg, hsb, 0.12080536912751678, 7.963180541992188e-05
bat-smg, map-bms, 0.03821656050955414, 0.00011515617370605469
bat-smg, tw, 0.017543859649122806, 7.104873657226562e-05
bat-smg, tr, 0.03578608765581021, 0.0044651031494140625
bat-smg, bcl, 0.031363088057901084, 0.03571128845214844
bat-smg, lv, 0.1226252158894646, 0.00070953369140625
bat-smg, mzn, 0.08130081300813008, 7.653236389160156e-05
bat-smg, el, 0.08950617283950617, 0.00011324882507324219
bat-smg, frr, 0.06891891891891892, 0.0011508464813232422
bat-smg, nap, 0.11173184357541899, 0.0001506805419921875
bat-smg, ang, 0.11538461538461539, 0.008692264556884766
bat-smg, sa, 0.043478260869565216, 7.295608520507812e-05
bat-smg, ce, 0.15671641791044777, 7.414817810058594e-05
bat-smg, vo, 0.05982905982905983, 7.295608520507812e-05
bat-smg, nah, 0.05434782608695652, 0.00013017654418945312
bat-smg, nv, 0.018018018018018018, 6.866455078125e-05
bat-smg, hr, 0.03745469190495369, 0.0038492679595947266
bat-smg, sc, 0.10596026490066225, 0.0002720355987548828
bat-smg, nso, 0.07407407407407407, 0.00010633468627929688
bat-smg, inh, 0.07017543859649122, 7.295608520507812e-05
bat-smg, bm, 0.04132231404958678, 8.20159912109375e-05
bat-smg, iu, 0.01834862385321101, 7.176399230957031e-05
bat-smg, za, 0.03333333333333333, 7.796287536621094e-05
bat-smg, mnw, 0.0, 7.033348083496094e-05
bat-smg, nn, 0.04600219058050383, 0.023454666137695312
bat-smg, xal, 0.03669724770642202, 8.511543273925781e-05
bat-smg, bug, 0.01818181818181818, 6.914138793945312e-05
bat-smg, crh, 0.2736318407960199, 0.00020933151245117188
bat-smg, xmf, 0.11764705882352941, 7.390975952148438e-05
bat-smg, ch, 0.027522935779816515, 6.651878356933594e-05
bat-smg, rue, 0.09649122807017543, 6.771087646484375e-05
bat-smg, es, 0.009658919408391186, 0.04179024696350098
bat-smg, fiu-vro, 0.1598173515981735, 0.00025010108947753906
bat-smg, pl, 0.015349512549263639, 0.019581317901611328
bat-smg, mg, 0.10674157303370786, 0.0004115104675292969
bat-smg, vi, 0.06763285024154589, 0.00038695335388183594
bat-smg, zh-yue, 0.12037037037037036, 0.00011157989501953125
bat-smg, sm, 0.05, 9.822845458984375e-05
bat-smg, gd, 0.13793103448275862, 0.0001647472381591797
bat-smg, uk, 0.055020632737276476, 0.0003342628479003906
bat-smg, ban, 0.04142011834319527, 0.0001423358917236328
bat-smg, de, 0.006032713477206294, 0.07993721961975098
bat-smg, km, 0.07017543859649122, 9.107589721679688e-05
bat-smg, hif, 0.09505703422053231, 0.0007922649383544922
bat-smg, gom, 0.03571428571428571, 7.462501525878906e-05
bat-smg, diq, 0.16566265060240964, 0.00042557716369628906
bat-smg, pap, 0.11475409836065574, 0.0002155303955078125
bat-smg, pcd, 0.13793103448275862, 0.00010728836059570312
bat-smg, myv, 0.14912280701754385, 7.677078247070312e-05
bat-smg, an, 0.08877928483353884, 0.015107154846191406
bat-smg, kn, 0.05511811023622047, 8.344650268554688e-05
bat-smg, bh, 0.06956521739130435, 6.747245788574219e-05
bat-smg, bar, 0.08928571428571429, 0.0007238388061523438
bat-smg, yo, 0.06666666666666667, 7.939338684082031e-05
bat-smg, ny, 0.009174311926605505, 6.508827209472656e-05
bat-smg, ml, 0.11585365853658537, 7.200241088867188e-05
bat-smg, io, 0.0899830220713073, 0.0014433860778808594
bat-smg, pa, 0.1038961038961039, 7.843971252441406e-05
bat-smg, sh, 0.03718010622887494, 0.016130447387695312
bat-smg, et, 0.04405495026054003, 0.003990888595581055
bat-smg, cs, 0.028594442207007652, 0.016004085540771484
bat-smg, ug, 0.12698412698412698, 8.96453857421875e-05
bat-smg, tg, 0.10077519379844961, 7.176399230957031e-05
bat-smg, gor, 0.008849557522123894, 6.890296936035156e-05
bat-smg, yi, 0.09322033898305085, 6.890296936035156e-05
bat-smg, nl, 0.009450734537288294, 0.042458534240722656
bat-smg, fj, 0.01694915254237288, 9.942054748535156e-05
bat-smg, si, 0.05042016806722689, 7.390975952148438e-05
bat-smg, pt, 0.01195049082373026, 0.049327850341796875
bat-smg, sd, 0.058333333333333334, 0.00011682510375976562
bat-smg, na, 0.12408759124087591, 0.00011420249938964844
bat-smg, ro, 0.03807710613993336, 0.002727985382080078
bat-smg, sq, 0.08213552361396304, 0.0005459785461425781
bat-smg, ja, 0.053426248548199766, 0.0002510547637939453
bat-smg, ne, 0.07317073170731707, 8.249282836914062e-05
bat-smg, cbk-zam, 0.06722689075630252, 8.654594421386719e-05
bat-smg, bi, 0.01834862385321101, 7.843971252441406e-05
bat-smg, zh-min-nan, 0.08928571428571429, 0.00010442733764648438
bat-smg, min, 0.06756756756756757, 0.0005540847778320312
bat-smg, haw, 0.06422018348623854, 7.915496826171875e-05
bat-smg, ht, 0.08994708994708994, 0.00014472007751464844
bat-smg, fy, 0.030867482703565728, 0.021982908248901367
bat-smg, gcr, 0.07964601769911504, 8.726119995117188e-05
bat-smg, mdf, 0.08771929824561403, 6.937980651855469e-05
bat-smg, ss, 0.027522935779816515, 6.604194641113281e-05
bat-smg, lij, 0.13656387665198239, 0.0002675056457519531
bat-smg, ki, 0.0, 6.914138793945312e-05
bat-smg, be-tarask, 0.19672131147540983, 8.0108642578125e-05
bat-smg, jbo, 0.09271523178807947, 0.00010251998901367188
bat-smg, be, 0.10542168674698796, 0.00014138221740722656
bat-smg, is, 0.10681818181818181, 0.00034999847412109375
bat-smg, bjn, 0.09923664122137404, 9.083747863769531e-05
bat-smg, kaa, 0.12096774193548387, 7.867813110351562e-05
bat-smg, ta, 0.1038961038961039, 7.867813110351562e-05
bat-smg, lfn, 0.12095032397408208, 0.010406017303466797
bat-smg, kw, 0.13915857605177995, 0.0004513263702392578
bat-smg, qu, 0.10178117048346055, 0.00047659873962402344
bat-smg, hy, 0.07317073170731707, 0.00010156631469726562
bat-smg, rw, 0.10596026490066225, 9.799003601074219e-05
bat-smg, cy, 0.057813911472448055, 0.0014545917510986328
bat-smg, zea, 0.065, 0.0001513957977294922
bat-smg, wo, 0.024193548387096774, 8.106231689453125e-05
bat-smg, simple, 0.03694068678459938, 0.021547555923461914
bat-smg, am, 0.15151515151515152, 0.000102996826171875
bat-smg, nds-nl, 0.043478260869565216, 0.0022308826446533203
bat-smg, jam, 0.0867579908675799, 0.00017499923706054688
bat-smg, tyv, 0.03636363636363636, 7.271766662597656e-05
bat-smg, la, 0.04133466135458167, 0.023970842361450195
bat-smg, new, 0.1, 9.059906005859375e-05
bat-smg, tet, 0.08148148148148149, 9.608268737792969e-05
bat-smg, bo, 0.10714285714285714, 7.200241088867188e-05
bat-smg, os, 0.1, 7.176399230957031e-05
bat-smg, xh, 0.04032258064516129, 8.034706115722656e-05
bat-smg, kbp, 0.06837606837606838, 7.081031799316406e-05
bat-smg, ka, 0.13297872340425532, 7.939338684082031e-05
bat-smg, tt, 0.17197452229299362, 8.463859558105469e-05
bat-smg, srn, 0.01818181818181818, 7.152557373046875e-05
bat-smg, it, 0.006531432518997677, 0.11809825897216797
bat-smg, ve, 0.0, 9.1552734375e-05
bat-smg, olo, 0.1292517006802721, 0.00019121170043945312
bat-smg, kab, 0.08333333333333333, 0.0001366138458251953
bat-smg, ceb, 0.12637362637362637, 0.0001461505889892578
bat-smg, glk, 0.04424778761061947, 7.05718994140625e-05
bat-smg, he, 0.08928571428571429, 0.00011348724365234375
bat-smg, da, 0.02695902228612509, 0.009328842163085938
bat-smg, arc, 0.0782608695652174, 9.679794311523438e-05
bat-smg, cv, 0.1958041958041958, 7.796287536621094e-05
bat-smg, fa, 0.08525345622119816, 9.894371032714844e-05
bat-smg, scn, 0.10714285714285714, 0.0003802776336669922
bat-smg, ps, 0.08264462809917356, 8.749961853027344e-05
bat-smg, wa, 0.1115702479338843, 0.00018167495727539062
bat-smg, kv, 0.15384615384615385, 8.153915405273438e-05
bat-smg, ff, 0.047619047619047616, 9.608268737792969e-05
bat-smg, got, 0.02702702702702703, 6.937980651855469e-05
bat-smg, en, 0.0012783364581557867, 1.1825387477874756
bat-smg, als, 0.04604758250191865, 0.0030612945556640625
bat-smg, cdo, 0.0851063829787234, 9.846687316894531e-05
bat-smg, ksh, 0.03825136612021858, 0.00015735626220703125
bat-smg, tl, 0.0718562874251497, 0.0018231868743896484
bat-smg, sk, 0.05385996409335727, 0.0003859996795654297
bat-smg, ts, 0.008928571428571428, 8.320808410644531e-05
bat-smg, sw, 0.05590622182146077, 0.0015001296997070312
bat-smg, th, 0.07038123167155426, 0.00013256072998046875
bat-smg, cr, 0.00909090909090909, 7.915496826171875e-05
bat-smg, mt, 0.051094890510948905, 9.894371032714844e-05
bat-smg, zh-classical, 0.04838709677419355, 8.034706115722656e-05
bat-smg, dv, 0.07964601769911504, 7.987022399902344e-05
bat-smg, ku, 0.10837438423645321, 0.00014925003051757812
bat-smg, sr, 0.06724511930585683, 0.00025653839111328125
bat-smg, lmo, 0.030223390275952694, 0.0022346973419189453
bat-smg, lrc, 0.05084745762711865, 9.417533874511719e-05
bat-smg, pih, 0.147239263803681, 0.0001552104949951172
bat-smg, dz, 0.009174311926605505, 7.987022399902344e-05
bat-smg, gv, 0.09181636726546906, 0.0013616085052490234
bat-smg, lg, 0.0, 8.416175842285156e-05
bat-smg, koi, 0.11504424778761062, 8.034706115722656e-05
bat-smg, gn, 0.09565217391304348, 7.891654968261719e-05
bat-smg, lbe, 0.02654867256637168, 7.62939453125e-05
bat-smg, azb, 0.12857142857142856, 9.107589721679688e-05
bat-smg, sv, 0.016190318850156947, 0.011704206466674805
bat-smg, tpi, 0.14285714285714285, 0.0001773834228515625
bat-smg, oc, 0.04717710750193349, 0.001985311508178711
bat-smg, sat, 0.05405405405405406, 9.942054748535156e-05
bat-smg, nqo, 0.00909090909090909, 7.843971252441406e-05
bat-smg, li, 0.04596704249783174, 0.0020661354064941406
bat-smg, sah, 0.13709677419354838, 9.775161743164062e-05
bat-smg, no, 0.021252796420581657, 0.008181095123291016
bat-smg, ks, 0.009174311926605505, 8.821487426757812e-05
bat-smg, as, 0.04424778761061947, 7.295608520507812e-05
bat-smg, pam, 0.040983606557377046, 8.392333984375e-05
bat-smg, rm, 0.07961783439490445, 0.0003924369812011719
bat-smg, roa-rup, 0.03571428571428571, 7.486343383789062e-05
bat-smg, bg, 0.09788359788359788, 0.00012183189392089844
bat-smg, my, 0.06557377049180328, 9.083747863769531e-05
bat-smg, pi, 0.01818181818181818, 6.842613220214844e-05
