Language1, Language2, SimilarityScore, Time
eu, eu, 1.0, 0.00010132789611816406
eu, fi, 1.0, 1.8835067749023438e-05
eu, id, 1.0, 2.7418136596679688e-05
eu, ast, 1.0, 1.1920928955078125e-05
eu, eo, 1.0, 1.7881393432617188e-05
eu, sco, 1.0, 2.1457672119140625e-05
eu, ar, 1.0, 1.1444091796875e-05
eu, fr, 1.0, 3.933906555175781e-05
eu, stq, 0.0, 9.5367431640625e-06
eu, mr, 1.0, 1.239776611328125e-05
eu, tr, 1.0, 1.430511474609375e-05
eu, el, 1.0, 1.1205673217773438e-05
eu, frr, 0.0, 7.62939453125e-06
eu, ang, 0.0, 6.67572021484375e-06
eu, hr, 1.0, 1.5020370483398438e-05
eu, nn, 1.0, 1.1444091796875e-05
eu, es, 1.0, 8.320808410644531e-05
eu, pl, 1.0, 3.7670135498046875e-05
eu, vi, 1.0, 1.1444091796875e-05
eu, zh-yue, 1.0, 1.049041748046875e-05
eu, uk, 1.0, 1.1205673217773438e-05
eu, de, 1.0, 3.504753112792969e-05
eu, kn, 0.0, 8.344650268554688e-06
eu, ml, 1.0, 1.1682510375976562e-05
eu, pa, 0.0, 6.9141387939453125e-06
eu, sh, 1.0, 1.621246337890625e-05
eu, et, 1.0, 1.3113021850585938e-05
eu, cs, 1.0, 1.1444091796875e-05
eu, tg, 0.0, 7.152557373046875e-06
eu, yi, 1.0, 1.049041748046875e-05
eu, nl, 1.0, 3.361701965332031e-05
eu, si, 1.0, 1.1205673217773438e-05
eu, pt, 1.0, 4.267692565917969e-05
eu, ro, 1.0, 1.9550323486328125e-05
eu, sq, 1.0, 1.1444091796875e-05
eu, ja, 1.0, 1.0728836059570312e-05
eu, zh-min-nan, 0.0, 8.106231689453125e-06
eu, fy, 1.0, 2.002716064453125e-05
eu, gcr, 1.0, 1.0967254638671875e-05
eu, be-tarask, 0.0, 6.4373016357421875e-06
eu, be, 1.0, 1.049041748046875e-05
eu, is, 1.0, 9.775161743164062e-06
eu, ta, 1.0, 1.0251998901367188e-05
eu, hy, 1.0, 9.775161743164062e-06
eu, cy, 1.0, 2.3126602172851562e-05
eu, simple, 1.0, 2.002716064453125e-05
eu, nds-nl, 0.0, 7.152557373046875e-06
eu, la, 1.0, 1.3589859008789062e-05
eu, ka, 0.0, 6.4373016357421875e-06
eu, tt, 1.0, 2.5033950805664062e-05
