Language1, Language2, SimilarityScore, Time
bat-smg, bat-smg, 1.0, 0.00023651123046875
bat-smg, nds, 0.0, 0.00023651123046875
bat-smg, eu, 1.0, 0.00023984909057617188
bat-smg, fi, 0.0, 0.00023984909057617188
bat-smg, id, 1.0, 0.0002193450927734375
bat-smg, lb, 0.0, 0.0002193450927734375
bat-smg, ast, 0.0, 0.0002193450927734375
bat-smg, eo, 1.0, 0.00018715858459472656
bat-smg, sco, 1.0, 9.655952453613281e-05
bat-smg, tk, 0.0, 9.655952453613281e-05
bat-smg, vep, 0.0, 9.655952453613281e-05
bat-smg, ar, 1.0, 0.00023865699768066406
bat-smg, fr, 1.0, 0.00023508071899414062
bat-smg, br, 0.0, 0.00023508071899414062
bat-smg, mr, 0.0, 0.00023508071899414062
bat-smg, tr, 0.0, 0.00023508071899414062
bat-smg, lv, 0.0, 0.00023508071899414062
bat-smg, mzn, 0.0, 0.00023508071899414062
bat-smg, el, 0.0, 0.00023508071899414062
bat-smg, nap, 1.0, 0.0002295970916748047
bat-smg, nv, 0.0, 0.0002295970916748047
bat-smg, hr, 0.0, 0.0002295970916748047
bat-smg, nn, 1.0, 0.00021696090698242188
bat-smg, rue, 0.0, 0.00021696090698242188
bat-smg, es, 1.0, 0.00023746490478515625
bat-smg, pl, 1.0, 0.00021314620971679688
bat-smg, mg, 0.0, 0.00021314620971679688
bat-smg, vi, 0.0, 0.00021314620971679688
bat-smg, zh-yue, 0.0, 0.00021314620971679688
bat-smg, uk, 1.0, 0.00019431114196777344
bat-smg, de, 0.0, 0.00019431114196777344
bat-smg, diq, 0.0, 0.00019431114196777344
bat-smg, an, 0.0, 0.00019431114196777344
bat-smg, kn, 1.0, 0.00017786026000976562
bat-smg, bar, 0.0, 0.00017786026000976562
bat-smg, ml, 0.0, 0.00017786026000976562
bat-smg, io, 1.0, 0.00010037422180175781
bat-smg, pa, 0.0, 0.00010037422180175781
bat-smg, sh, 0.0, 0.00010037422180175781
bat-smg, et, 0.0, 0.00010037422180175781
bat-smg, cs, 1.0, 0.00020313262939453125
bat-smg, yi, 1.0, 0.00010609626770019531
bat-smg, nl, 1.0, 0.0001857280731201172
bat-smg, fj, 0.0, 0.0001857280731201172
bat-smg, si, 1.0, 0.00011301040649414062
bat-smg, pt, 1.0, 0.00018095970153808594
bat-smg, sd, 0.0, 0.00018095970153808594
bat-smg, ro, 1.0, 0.00018787384033203125
bat-smg, sq, 0.0, 0.00018787384033203125
bat-smg, ja, 0.0, 0.00018787384033203125
bat-smg, ne, 0.0, 0.00018787384033203125
bat-smg, ht, 0.0, 0.00018787384033203125
bat-smg, fy, 1.0, 0.00015854835510253906
bat-smg, ki, 0.0, 0.00015854835510253906
bat-smg, be-tarask, 0.0, 0.00015854835510253906
bat-smg, be, 0.0, 0.00015854835510253906
bat-smg, is, 0.0, 0.00015854835510253906
bat-smg, ta, 0.0, 0.00015854835510253906
bat-smg, hy, 0.0, 0.00015854835510253906
bat-smg, cy, 0.0, 0.00015854835510253906
bat-smg, simple, 1.0, 0.00017309188842773438
bat-smg, la, 1.0, 9.751319885253906e-05
bat-smg, ka, 0.0, 9.751319885253906e-05
bat-smg, tt, 0.0, 9.751319885253906e-05
bat-smg, it, 0.0, 9.751319885253906e-05
bat-smg, kab, 0.0, 9.751319885253906e-05
bat-smg, he, 1.0, 0.00017309188842773438
bat-smg, da, 1.0, 0.00012254714965820312
bat-smg, fa, 1.0, 0.00011563301086425781
bat-smg, scn, 1.0, 0.00012063980102539062
bat-smg, ps, 0.0, 0.00012063980102539062
bat-smg, en, 1.0, 0.00018787384033203125
bat-smg, tl, 0.0, 0.00018787384033203125
bat-smg, sk, 1.0, 0.0002465248107910156
bat-smg, sw, 1.0, 0.00010061264038085938
bat-smg, th, 1.0, 9.1552734375e-05
bat-smg, ku, 0.0, 9.1552734375e-05
bat-smg, sr, 0.0, 9.1552734375e-05
bat-smg, sv, 1.0, 0.00017309188842773438
bat-smg, oc, 0.0, 0.00017309188842773438
bat-smg, no, 1.0, 0.00010967254638671875
bat-smg, as, 0.0, 0.00010967254638671875
bat-smg, bg, 0.0, 0.00010967254638671875
bat-smg, my, 0.0, 0.00010967254638671875
bat-smg, ckb, 1.0, 0.00017833709716796875
bat-smg, bn, 1.0, 9.274482727050781e-05
bat-smg, or, 0.0, 9.274482727050781e-05
bat-smg, ru, 1.0, 0.00020194053649902344
bat-smg, so, 1.0, 0.0001010894775390625
bat-smg, hi, 0.0, 0.0001010894775390625
bat-smg, wuu, 0.0, 0.0001010894775390625
bat-smg, az, 1.0, 0.00019598007202148438
bat-smg, bs, 0.0, 0.00019598007202148438
bat-smg, te, 1.0, 0.00018072128295898438
bat-smg, zh, 1.0, 0.00017642974853515625
bat-smg, mk, 0.0, 0.00017642974853515625
bat-smg, ext, 1.0, 0.00017380714416503906
bat-smg, sl, 0.0, 0.00017380714416503906
bat-smg, su, 0.0, 0.00017380714416503906
bat-smg, ga, 0.0, 0.00017380714416503906
bat-smg, gl, 0.0, 0.00017380714416503906
bat-smg, hu, 0.0, 0.00017380714416503906
bat-smg, uz, 0.0, 0.00017380714416503906
bat-smg, co, 0.0, 0.00017380714416503906
bat-smg, af, 0.0, 0.00017380714416503906
bat-smg, mn, 0.0, 0.00017380714416503906
bat-smg, ko, 1.0, 0.0002532005310058594
bat-smg, ms, 1.0, 0.0001633167266845703
bat-smg, ca, 1.0, 0.00021529197692871094
bat-smg, pnb, 0.0, 0.00021529197692871094
bat-smg, war, 0.0, 0.00021529197692871094
bat-smg, lt, 0.0, 0.00021529197692871094
bat-smg, kk, 0.0, 0.00021529197692871094
bat-smg, jv, 0.0, 0.00021529197692871094
bat-smg, ur, 1.0, 0.00016999244689941406
nds, nds, 1.0, 8.726119995117188e-05
nds, eu, 1.0, 0.00021004676818847656
nds, fi, 1.0, 0.00010156631469726562
nds, id, 1.0, 0.0001685619354248047
nds, lb, 1.0, 0.00018858909606933594
nds, ast, 1.0, 0.0001327991485595703
nds, eo, 1.0, 0.00018715858459472656
nds, sco, 0.0, 0.00018715858459472656
nds, tk, 0.0, 0.00018715858459472656
nds, vep, 0.0, 0.00018715858459472656
