Language1, Language2, SimilarityScore, Time
bat-smg, bat-smg, 1.0, 0.0003540515899658203
bat-smg, eu, 0.585786437626905, 0.00011324882507324219
bat-smg, fi, 1.0, 0.000125885009765625
bat-smg, id, 1.0, 0.00013399124145507812
bat-smg, lb, 1.0, 0.00011086463928222656
bat-smg, ast, 1.0, 0.00011515617370605469
bat-smg, eo, 0.585786437626905, 0.00012683868408203125
bat-smg, sco, 1.0, 0.00011444091796875
bat-smg, ar, 1.0, 9.632110595703125e-05
bat-smg, fr, 0.585786437626905, 0.00012922286987304688
bat-smg, br, 1.0, 0.0001049041748046875
bat-smg, csb, 1.0, 0.00010514259338378906
bat-smg, mr, 1.0, 9.5367431640625e-05
bat-smg, tr, 1.0, 9.250640869140625e-05
bat-smg, lv, 1.0, 9.369850158691406e-05
bat-smg, el, 1.0, 9.131431579589844e-05
bat-smg, hr, 1.0, 0.00012373924255371094
bat-smg, nn, 1.0, 0.00011563301086425781
bat-smg, crh, 1.0, 0.00010204315185546875
bat-smg, xmf, 1.0, 9.72747802734375e-05
bat-smg, es, 0.585786437626905, 0.0001392364501953125
bat-smg, pl, 1.0, 0.0001380443572998047
bat-smg, vi, 0.585786437626905, 0.00010752677917480469
bat-smg, zh-yue, 1.0, 0.00010585784912109375
bat-smg, gd, 1.0, 0.00010013580322265625
bat-smg, uk, 1.0, 9.608268737792969e-05
bat-smg, de, 0.585786437626905, 0.00015878677368164062
bat-smg, gom, 1.0, 0.0001068115234375
bat-smg, diq, 1.0, 0.00013327598571777344
bat-smg, kn, 1.0, 0.00010037422180175781
bat-smg, ml, 1.0, 9.202957153320312e-05
bat-smg, sh, 1.0, 0.00011134147644042969
bat-smg, et, 1.0, 0.00010204315185546875
bat-smg, cs, 1.0, 9.703636169433594e-05
bat-smg, nl, 1.0, 0.0001068115234375
bat-smg, pt, 1.0, 0.00010156631469726562
bat-smg, sd, 1.0, 0.00010228157043457031
bat-smg, ro, 1.0, 9.083747863769531e-05
bat-smg, sq, 1.0, 8.940696716308594e-05
bat-smg, ja, 1.0, 8.797645568847656e-05
bat-smg, ne, 1.0, 8.726119995117188e-05
bat-smg, min, 1.0, 0.0049664974212646484
bat-smg, fy, 0.0, 0.0049664974212646484
bat-smg, be-tarask, 1.0, 0.000118255615234375
bat-smg, be, 1.0, 0.00010037422180175781
bat-smg, is, 1.0, 9.608268737792969e-05
bat-smg, ta, 1.0, 9.1552734375e-05
bat-smg, hy, 1.0, 8.916854858398438e-05
bat-smg, cy, 0.0, 8.916854858398438e-05
bat-smg, simple, 1.0, 0.00010776519775390625
bat-smg, la, 1.0, 0.00010395050048828125
bat-smg, ka, 1.0, 9.584426879882812e-05
bat-smg, it, 1.0, 0.00013399124145507812
bat-smg, he, 1.0, 0.00010275840759277344
bat-smg, da, 1.0, 0.00012302398681640625
bat-smg, arc, 1.0, 0.00010132789611816406
bat-smg, fa, 1.0, 9.655952453613281e-05
bat-smg, scn, 1.0, 9.107589721679688e-05
bat-smg, wa, 0.5, 0.00011229515075683594
bat-smg, en, 0.44948974278317805, 0.00023746490478515625
bat-smg, tl, 1.0, 0.00011897087097167969
bat-smg, sk, 1.0, 0.00010323524475097656
bat-smg, sw, 1.0, 0.0001201629638671875
bat-smg, th, 1.0, 0.00010633468627929688
bat-smg, ku, 1.0, 0.00010395050048828125
bat-smg, sr, 1.0, 9.799003601074219e-05
bat-smg, sv, 1.0, 0.00012803077697753906
bat-smg, oc, 1.0, 0.00010943412780761719
bat-smg, li, 1.0, 0.00010466575622558594
bat-smg, no, 1.0, 0.00012230873107910156
bat-smg, bg, 1.0, 0.00010585784912109375
bat-smg, ky, 0.0, 0.00010585784912109375
bat-smg, bn, 1.0, 0.00010204315185546875
bat-smg, hyw, 1.0, 9.465217590332031e-05
bat-smg, or, 1.0, 9.655952453613281e-05
bat-smg, chr, 0.0, 9.655952453613281e-05
bat-smg, ru, 1.0, 9.822845458984375e-05
bat-smg, hi, 1.0, 9.512901306152344e-05
bat-smg, wuu, 1.0, 9.441375732421875e-05
bat-smg, arz, 1.0, 9.608268737792969e-05
bat-smg, az, 1.0, 0.00010633468627929688
bat-smg, bs, 1.0, 9.655952453613281e-05
bat-smg, te, 1.0, 9.703636169433594e-05
bat-smg, zh, 1.0, 9.322166442871094e-05
bat-smg, ace, 0.0, 9.322166442871094e-05
bat-smg, mk, 1.0, 9.655952453613281e-05
bat-smg, sl, 1.0, 0.000125885009765625
bat-smg, su, 1.0, 9.751319885253906e-05
bat-smg, ga, 1.0, 9.5367431640625e-05
bat-smg, gl, 1.0, 9.250640869140625e-05
bat-smg, hu, 0.585786437626905, 0.00010728836059570312
bat-smg, uz, 0.0, 0.00010728836059570312
bat-smg, ko, 1.0, 0.00011014938354492188
bat-smg, ms, 1.0, 9.298324584960938e-05
bat-smg, ca, 1.0, 0.0001246929168701172
bat-smg, lt, 1.0, 0.000110626220703125
bat-smg, kk, 1.0, 0.00010371208190917969
bat-smg, ur, 1.0, 9.775161743164062e-05
bat-smg, ha, 1.0, 9.72747802734375e-05
bat-smg, nrm, 1.0, 0.00010323524475097656
eu, eu, 1.0, 0.00044536590576171875
eu, fi, 0.44948974278317805, 0.00012946128845214844
eu, id, 0.4314689174830861, 0.00012302398681640625
eu, lb, 1.0, 0.00010895729064941406
eu, ast, 1.0, 0.00010251998901367188
eu, eo, 0.8070072036911772, 0.0001327991485595703
eu, sco, 1.0, 0.00011277198791503906
eu, ar, 0.5, 0.00011110305786132812
eu, fr, 0.46079939220058674, 0.00013208389282226562
eu, br, 0.585786437626905, 0.00010538101196289062
eu, csb, 1.0, 0.00010275840759277344
eu, mr, 1.0, 9.799003601074219e-05
eu, tr, 0.49704373835645055, 0.00011134147644042969
eu, lv, 0.353889367864523, 0.00011777877807617188
eu, el, 1.0, 0.00010251998901367188
eu, hr, 0.4074827789897859, 0.00012636184692382812
eu, nn, 0.5, 0.00010824203491210938
eu, crh, 1.0, 0.00010418891906738281
eu, xmf, 1.0, 9.894371032714844e-05
eu, es, 0.7472702456390871, 0.00023674964904785156
eu, pl, 0.44004157915411224, 0.0001423358917236328
eu, vi, 1.0, 0.00013113021850585938
eu, zh-yue, 1.0, 0.00010037422180175781
eu, gd, 1.0, 9.822845458984375e-05
eu, uk, 0.5, 0.00011348724365234375
eu, de, 0.41079721326696417, 0.00020742416381835938
eu, gom, 1.0, 0.00010848045349121094
eu, diq, 1.0, 0.00010037422180175781
eu, kn, 1.0, 9.703636169433594e-05
eu, ml, 1.0, 9.846687316894531e-05
eu, sh, 0.5, 0.00010919570922851562
eu, et, 0.35169462133917795, 0.00013971328735351562
eu, cs, 0.3512939720760674, 0.0001308917999267578
eu, nl, 1.0, 0.00011110305786132812
eu, pt, 0.36510398455674875, 0.00012040138244628906
eu, sd, 1.0, 0.00010800361633300781
eu, ro, 0.30089965244603833, 0.00013446807861328125
eu, sq, 1.0, 0.00010156631469726562
eu, ja, 0.5, 0.00011038780212402344
eu, ne, 1.0, 0.00010037422180175781
eu, min, 1.0, 0.00010609626770019531
eu, fy, 0.0, 0.00010609626770019531
eu, be-tarask, 1.0, 0.00011348724365234375
eu, be, 1.0, 9.918212890625e-05
eu, is, 1.0, 9.894371032714844e-05
eu, ta, 1.0, 9.584426879882812e-05
eu, hy, 1.0, 9.465217590332031e-05
eu, cy, 1.0, 9.608268737792969e-05
eu, simple, 0.48021693505171004, 0.00013208389282226562
eu, la, 0.5, 0.00011277198791503906
eu, ka, 0.5, 0.00010848045349121094
eu, it, 0.3413283892770492, 0.0002300739288330078
eu, he, 0.5, 0.0001087188720703125
eu, da, 0.5, 0.00012540817260742188
eu, arc, 1.0, 0.00010585784912109375
eu, fa, 1.0, 9.632110595703125e-05
eu, scn, 1.0, 9.822845458984375e-05
eu, wa, 0.8132452782993705, 0.00010991096496582031
eu, en, 0.5138028259453927, 0.00030422210693359375
eu, tl, 0.45821426549562316, 0.00012302398681640625
eu, sk, 0.49704373835645055, 0.00010323524475097656
eu, sw, 1.0, 0.00010395050048828125
eu, th, 0.5, 0.00011467933654785156
eu, ku, 1.0, 0.00010704994201660156
eu, sr, 0.5, 9.846687316894531e-05
eu, sv, 0.5, 0.00010156631469726562
eu, oc, 0.585786437626905, 0.00010037422180175781
eu, li, 1.0, 9.679794311523438e-05
eu, no, 0.5, 0.0001246929168701172
eu, bg, 0.5, 0.00011801719665527344
eu, ky, 1.0, 9.989738464355469e-05
eu, bn, 1.0, 9.799003601074219e-05
eu, hyw, 1.0, 9.632110595703125e-05
eu, or, 1.0, 0.00010585784912109375
eu, chr, 0.0, 0.00010585784912109375
eu, ru, 0.5, 0.00010800361633300781
eu, hi, 1.0, 9.608268737792969e-05
eu, wuu, 1.0, 9.369850158691406e-05
eu, arz, 1.0, 9.274482727050781e-05
eu, az, 0.5, 0.00010561943054199219
eu, bs, 1.0, 9.584426879882812e-05
eu, te, 1.0, 9.226799011230469e-05
eu, zh, 1.0, 9.202957153320312e-05
eu, ace, 0.0, 9.202957153320312e-05
eu, mk, 1.0, 9.298324584960938e-05
eu, sl, 0.4338726527437757, 0.00012755393981933594
eu, su, 1.0, 0.00010395050048828125
eu, ga, 0.4356120478348471, 0.00010561943054199219
eu, gl, 0.3416103348035155, 0.00012302398681640625
eu, hu, 0.3944245849395553, 0.00011515617370605469
eu, uz, 0.585786437626905, 0.00010466575622558594
