Language1, Language2, SimilarityScore, Time
eu, eu, 1.0, 1.811981201171875e-05
eu, fi, 1.0, 1.2159347534179688e-05
eu, id, 0.6666666666666666, 1.2159347534179688e-05
eu, ast, 1.0, 1.1920928955078125e-05
eu, fo, 1.0, 1.0728836059570312e-05
eu, eo, 0.6666666666666666, 1.1444091796875e-05
eu, sco, 1.0, 1.049041748046875e-05
eu, tk, 1.0, 1.049041748046875e-05
eu, ar, 1.0, 1.0728836059570312e-05
eu, fr, 1.0, 1.0967254638671875e-05
eu, ia, 1.0, 1.1444091796875e-05
eu, br, 1.0, 7.152557373046875e-06
eu, csb, 1.0, 1.0251998901367188e-05
eu, mr, 1.0, 1.0251998901367188e-05
eu, tr, 1.0, 1.049041748046875e-05
eu, lv, 1.0, 1.049041748046875e-05
eu, el, 1.0, 1.0728836059570312e-05
eu, hr, 1.0, 1.049041748046875e-05
eu, bm, 1.0, 1.0967254638671875e-05
eu, nn, 1.0, 1.049041748046875e-05
eu, xmf, 1.0, 6.9141387939453125e-06
eu, es, 1.0, 1.049041748046875e-05
eu, pl, 1.0, 1.0967254638671875e-05
eu, vi, 1.0, 1.049041748046875e-05
eu, zh-yue, 1.0, 1.0728836059570312e-05
eu, gd, 1.0, 1.0967254638671875e-05
eu, uk, 1.0, 1.0967254638671875e-05
eu, de, 1.0, 1.049041748046875e-05
eu, diq, 1.0, 6.9141387939453125e-06
eu, an, 1.0, 1.0251998901367188e-05
eu, bar, 1.0, 1.049041748046875e-05
eu, ml, 1.0, 1.049041748046875e-05
eu, io, 1.0, 1.049041748046875e-05
eu, pa, 1.0, 1.239776611328125e-05
eu, sh, 1.0, 1.0728836059570312e-05
eu, et, 1.0, 1.049041748046875e-05
eu, cs, 1.0, 1.0251998901367188e-05
eu, nl, 1.0, 1.0251998901367188e-05
eu, pt, 1.0, 1.049041748046875e-05
eu, sd, 1.0, 1.0251998901367188e-05
eu, ro, 1.0, 1.049041748046875e-05
eu, sq, 1.0, 1.3589859008789062e-05
eu, ja, 1.0, 1.049041748046875e-05
eu, zh-min-nan, 1.0, 1.049041748046875e-05
eu, fy, 1.0, 1.049041748046875e-05
eu, be, 1.0, 1.049041748046875e-05
eu, is, 1.0, 1.049041748046875e-05
eu, ta, 1.0, 1.0251998901367188e-05
eu, qu, 1.0, 1.049041748046875e-05
eu, hy, 1.0, 1.1205673217773438e-05
eu, cy, 1.0, 1.049041748046875e-05
eu, simple, 1.0, 1.0728836059570312e-05
eu, nds-nl, 1.0, 6.9141387939453125e-06
eu, la, 1.0, 1.0728836059570312e-05
eu, ka, 1.0, 1.0728836059570312e-05
eu, it, 1.0, 1.0728836059570312e-05
eu, he, 1.0, 1.1920928955078125e-05
eu, da, 1.0, 1.0967254638671875e-05
eu, cv, 1.0, 1.049041748046875e-05
eu, fa, 1.0, 1.049041748046875e-05
eu, ps, 1.0, 1.0251998901367188e-05
eu, en, 0.6666666666666666, 1.1920928955078125e-05
eu, sk, 1.0, 1.1205673217773438e-05
eu, th, 1.0, 1.0728836059570312e-05
eu, zh-classical, 1.0, 7.62939453125e-06
eu, sr, 1.0, 1.0967254638671875e-05
eu, lmo, 1.0, 1.0251998901367188e-05
eu, pih, 1.0, 6.9141387939453125e-06
eu, sv, 1.0, 1.0728836059570312e-05
eu, oc, 1.0, 1.0728836059570312e-05
eu, li, 1.0, 1.049041748046875e-05
eu, no, 1.0, 1.049041748046875e-05
eu, bg, 1.0, 1.1444091796875e-05
eu, ady, 1.0, 1.049041748046875e-05
eu, ky, 1.0, 6.9141387939453125e-06
eu, bn, 1.0, 1.0251998901367188e-05
eu, hak, 1.0, 1.0728836059570312e-05
eu, lo, 1.0, 1.0251998901367188e-05
eu, ru, 1.0, 1.0728836059570312e-05
eu, hi, 1.0, 1.049041748046875e-05
eu, wuu, 1.0, 1.0728836059570312e-05
eu, arz, 1.0, 6.9141387939453125e-06
eu, az, 1.0, 1.049041748046875e-05
eu, bs, 1.0, 1.0251998901367188e-05
eu, te, 1.0, 1.049041748046875e-05
eu, zh, 1.0, 1.049041748046875e-05
eu, mk, 1.0, 1.049041748046875e-05
eu, sl, 1.0, 1.0728836059570312e-05
eu, ga, 1.0, 1.049041748046875e-05
eu, gl, 1.0, 1.0251998901367188e-05
eu, hu, 1.0, 1.0251998901367188e-05
eu, af, 1.0, 1.0013580322265625e-05
eu, mn, 1.0, 1.049041748046875e-05
eu, ko, 1.0, 1.049041748046875e-05
eu, ms, 1.0, 1.049041748046875e-05
eu, ca, 1.0, 1.4781951904296875e-05
eu, pnb, 1.0, 1.0251998901367188e-05
eu, lt, 1.0, 1.0251998901367188e-05
eu, kk, 1.0, 1.0013580322265625e-05
eu, jv, 1.0, 1.0013580322265625e-05
eu, ur, 1.0, 7.152557373046875e-06
fi, fi, 1.0, 1.2636184692382812e-05
fi, id, 0.6666666666666666, 1.239776611328125e-05
fi, ast, 1.0, 1.1444091796875e-05
fi, fo, 1.0, 1.0728836059570312e-05
fi, eo, 0.6666666666666666, 1.1682510375976562e-05
fi, sco, 1.0, 1.0728836059570312e-05
fi, tk, 1.0, 1.049041748046875e-05
fi, ar, 1.0, 1.2159347534179688e-05
fi, fr, 0.6666666666666666, 1.239776611328125e-05
fi, ia, 1.0, 1.1444091796875e-05
fi, br, 1.0, 1.0728836059570312e-05
fi, csb, 1.0, 1.0251998901367188e-05
fi, mr, 1.0, 1.0728836059570312e-05
fi, tr, 1.0, 1.1205673217773438e-05
fi, lv, 1.0, 1.0728836059570312e-05
fi, el, 1.0, 1.1205673217773438e-05
fi, hr, 1.0, 1.52587890625e-05
fi, bm, 1.0, 1.049041748046875e-05
fi, nn, 1.0, 1.049041748046875e-05
fi, xmf, 1.0, 1.0251998901367188e-05
fi, es, 1.0, 1.1682510375976562e-05
fi, pl, 1.0, 1.1444091796875e-05
fi, vi, 1.0, 1.0728836059570312e-05
fi, zh-yue, 1.0, 1.0728836059570312e-05
fi, gd, 1.0, 1.1444091796875e-05
fi, uk, 1.0, 1.1682510375976562e-05
fi, de, 1.0, 1.1444091796875e-05
fi, diq, 1.0, 1.0251998901367188e-05
fi, an, 1.0, 1.0728836059570312e-05
fi, bar, 1.0, 1.0251998901367188e-05
fi, ml, 1.0, 1.0728836059570312e-05
fi, io, 1.0, 1.430511474609375e-05
fi, pa, 1.0, 1.0967254638671875e-05
fi, sh, 1.0, 1.049041748046875e-05
fi, et, 1.0, 1.1682510375976562e-05
fi, cs, 1.0, 1.0967254638671875e-05
fi, nl, 1.0, 1.1444091796875e-05
