Language1, Language2, SimilarityScore, Kernel, Time
bat-smg, bat-smg, 1.0, 1.0, 0.00013017654418945312
bat-smg, nds, 0.0, 0.0, 0.00013017654418945312
bat-smg, eu, 1.0, 1.0, 6.67572021484375e-05
bat-smg, fi, 1.0, 1.0, 6.079673767089844e-05
bat-smg, id, 1.0, 1.0, 6.0558319091796875e-05
bat-smg, lb, 1.0, 1.0, 6.0558319091796875e-05
bat-smg, ast, 1.0, 1.0, 5.888938903808594e-05
bat-smg, fo, 0.0, 0.0, 5.888938903808594e-05
bat-smg, ba, 1.0, 1.0, 6.151199340820312e-05
bat-smg, eo, 1.0, 1.0, 6.270408630371094e-05
bat-smg, sco, 1.0, 1.0, 6.103515625e-05
bat-smg, ar, 1.0, 1.0, 6.198883056640625e-05
bat-smg, fr, 1.0, 1.0, 6.127357482910156e-05
bat-smg, stq, 1.0, 1.0, 5.984306335449219e-05
bat-smg, pdc, 1.0, 1.0, 6.365776062011719e-05
bat-smg, ia, 1.0, 1.0, 5.817413330078125e-05
bat-smg, br, 1.0, 1.0, 5.91278076171875e-05
bat-smg, csb, 1.0, 1.0, 5.841255187988281e-05
bat-smg, mr, 1.0, 1.0, 5.793571472167969e-05
bat-smg, tr, 1.0, 1.0, 5.936622619628906e-05
bat-smg, lv, 1.0, 1.0, 6.794929504394531e-05
bat-smg, el, 1.0, 1.0, 6.008148193359375e-05
bat-smg, nap, 1.0, 1.0, 6.031990051269531e-05
bat-smg, nah, 0.0, 0.0, 6.031990051269531e-05
bat-smg, hr, 1.0, 1.0, 6.103515625e-05
bat-smg, sc, 1.0, 1.0, 6.437301635742188e-05
bat-smg, bm, 1.0, 1.0, 6.341934204101562e-05
bat-smg, nn, 1.0, 1.0, 6.818771362304688e-05
bat-smg, rue, 1.0, 1.0, 7.128715515136719e-05
bat-smg, es, 1.0, 1.0, 7.271766662597656e-05
bat-smg, fiu-vro, 1.0, 1.0, 7.152557373046875e-05
bat-smg, pl, 1.0, 1.0, 7.414817810058594e-05
bat-smg, mg, 0.0, 0.0, 7.414817810058594e-05
