Language1, Language2, SimilarityScore, Time
bat-smg, bat-smg, 1.0, 3.647804260253906e-05
bat-smg, nds, 0.6666666666666666, 1.239776611328125e-05
bat-smg, eu, 0.5263157894736842, 1.6689300537109375e-05
bat-smg, fi, 0.6792452830188679, 1.5497207641601562e-05
bat-smg, id, 0.6938775510204082, 1.1444091796875e-05
bat-smg, lb, 0.8571428571428571, 9.775161743164062e-06
bat-smg, ast, 0.75, 1.1205673217773438e-05
bat-smg, fo, 0.6666666666666666, 1.0013580322265625e-05
bat-smg, ba, 0.8, 9.775161743164062e-06
bat-smg, eo, 0.5161290322580645, 1.2874603271484375e-05
bat-smg, sco, 0.8, 1.049041748046875e-05
bat-smg, ar, 0.6857142857142857, 1.239776611328125e-05
bat-smg, fr, 0.5021459227467812, 3.123283386230469e-05
bat-smg, stq, 1.0, 1.1205673217773438e-05
bat-smg, pdc, 1.0, 1.0013580322265625e-05
bat-smg, ia, 0.8571428571428571, 1.0013580322265625e-05
bat-smg, br, 0.75, 1.1205673217773438e-05
bat-smg, csb, 1.0, 1.0251998901367188e-05
bat-smg, mr, 0.75, 1.049041748046875e-05
bat-smg, tr, 0.7058823529411764, 1.049041748046875e-05
bat-smg, lv, 0.7692307692307692, 1.0013580322265625e-05
bat-smg, el, 0.7027027027027026, 1.0728836059570312e-05
bat-smg, nap, 1.0, 9.775161743164062e-06
bat-smg, nah, 0.6666666666666666, 9.775161743164062e-06
bat-smg, hr, 0.5185185185185185, 2.4557113647460938e-05
bat-smg, sc, 1.0, 9.5367431640625e-06
bat-smg, bm, 1.0, 9.298324584960938e-06
bat-smg, nn, 0.7368421052631579, 1.8835067749023438e-05
bat-smg, rue, 1.0, 1.0013580322265625e-05
bat-smg, es, 0.5025641025641026, 2.7894973754882812e-05
bat-smg, fiu-vro, 1.0, 9.775161743164062e-06
bat-smg, pl, 0.5079365079365079, 1.5497207641601562e-05
bat-smg, mg, 0.6666666666666666, 9.298324584960938e-06
bat-smg, vi, 0.5135135135135135, 1.1444091796875e-05
bat-smg, zh-yue, 0.7692307692307692, 1.0013580322265625e-05
bat-smg, gd, 0.6666666666666666, 9.5367431640625e-06
bat-smg, uk, 0.6835443037974683, 1.1920928955078125e-05
bat-smg, de, 0.5030674846625767, 1.9788742065429688e-05
bat-smg, km, 1.0, 9.775161743164062e-06
bat-smg, hif, 1.0, 9.298324584960938e-06
bat-smg, pap, 0.6666666666666666, 9.5367431640625e-06
bat-smg, pcd, 1.0, 9.5367431640625e-06
bat-smg, an, 0.8571428571428571, 9.298324584960938e-06
bat-smg, kn, 0.75, 9.775161743164062e-06
bat-smg, bh, 1.0, 9.5367431640625e-06
bat-smg, bar, 1.0, 9.5367431640625e-06
bat-smg, yo, 1.0, 9.298324584960938e-06
bat-smg, ml, 0.7027027027027026, 1.0251998901367188e-05
bat-smg, io, 1.0, 9.059906005859375e-06
bat-smg, pa, 0.8, 9.5367431640625e-06
bat-smg, sh, 0.5263157894736842, 1.3828277587890625e-05
bat-smg, et, 0.7142857142857143, 1.0251998901367188e-05
bat-smg, cs, 0.6813186813186813, 1.8596649169921875e-05
bat-smg, tg, 1.0, 9.298324584960938e-06
bat-smg, yi, 1.0, 9.059906005859375e-06
bat-smg, nl, 0.5016501650165016, 3.123283386230469e-05
bat-smg, si, 0.8571428571428571, 1.0013580322265625e-05
bat-smg, pt, 0.503030303030303, 3.361701965332031e-05
bat-smg, sd, 0.6666666666666666, 1.0013580322265625e-05
bat-smg, ro, 0.7142857142857143, 1.0251998901367188e-05
bat-smg, sq, 0.8, 9.775161743164062e-06
bat-smg, ja, 0.6885245901639344, 1.2636184692382812e-05
bat-smg, ne, 0.8, 9.775161743164062e-06
bat-smg, zh-min-nan, 0.8, 9.5367431640625e-06
bat-smg, min, 0.6666666666666666, 1.0013580322265625e-05
bat-smg, ht, 1.0, 9.5367431640625e-06
bat-smg, fy, 0.7272727272727273, 1.0251998901367188e-05
bat-smg, gcr, 1.0, 9.5367431640625e-06
bat-smg, be-tarask, 0.8571428571428571, 1.0013580322265625e-05
bat-smg, jbo, 0.6666666666666666, 9.298324584960938e-06
bat-smg, be, 0.7096774193548386, 1.0728836059570312e-05
bat-smg, is, 0.8, 1.0013580322265625e-05
bat-smg, bjn, 0.6666666666666666, 9.775161743164062e-06
bat-smg, ta, 0.7058823529411764, 1.049041748046875e-05
bat-smg, lfn, 1.0, 9.775161743164062e-06
bat-smg, hy, 0.6923076923076923, 1.0728836059570312e-05
bat-smg, cy, 0.7272727272727273, 1.0013580322265625e-05
bat-smg, wo, 1.0, 9.775161743164062e-06
bat-smg, simple, 0.5384615384615384, 1.1444091796875e-05
bat-smg, nds-nl, 1.0, 9.298324584960938e-06
bat-smg, jam, 1.0, 9.298324584960938e-06
bat-smg, la, 0.7368421052631579, 9.5367431640625e-06
bat-smg, new, 0.6666666666666666, 9.5367431640625e-06
bat-smg, bo, 0.8571428571428571, 9.775161743164062e-06
bat-smg, kbp, 1.0, 9.775161743164062e-06
bat-smg, ka, 0.7692307692307692, 1.0013580322265625e-05
bat-smg, tt, 1.0, 9.775161743164062e-06
bat-smg, it, 0.5025380710659899, 3.457069396972656e-05
bat-smg, kab, 0.6666666666666666, 1.1205673217773438e-05
bat-smg, ceb, 0.6666666666666666, 9.775161743164062e-06
bat-smg, he, 0.7096774193548386, 1.0013580322265625e-05
bat-smg, da, 0.5128205128205129, 1.3113021850585938e-05
bat-smg, cv, 1.0, 9.775161743164062e-06
bat-smg, fa, 0.6896551724137931, 1.1682510375976562e-05
bat-smg, scn, 0.8, 9.5367431640625e-06
bat-smg, ps, 1.0, 9.5367431640625e-06
bat-smg, wa, 0.6666666666666666, 1.0013580322265625e-05
bat-smg, kv, 0.6666666666666666, 9.5367431640625e-06
bat-smg, en, 0.5003579098067287, 0.004164695739746094
bat-smg, als, 0.8571428571428571, 2.193450927734375e-05
bat-smg, tl, 0.7692307692307692, 1.0251998901367188e-05
bat-smg, sk, 0.72, 1.0013580322265625e-05
bat-smg, sw, 0.8, 9.5367431640625e-06
bat-smg, th, 0.7058823529411764, 9.5367431640625e-06
bat-smg, zh-classical, 0.6666666666666666, 9.5367431640625e-06
bat-smg, ku, 0.8571428571428571, 9.775161743164062e-06
bat-smg, sr, 0.6938775510204082, 1.1205673217773438e-05
bat-smg, lmo, 0.8571428571428571, 9.298324584960938e-06
bat-smg, pih, 1.0, 9.5367431640625e-06
bat-smg, azb, 0.6666666666666666, 9.5367431640625e-06
bat-smg, sv, 0.509090909090909, 3.552436828613281e-05
bat-smg, oc, 0.8571428571428571, 1.0013580322265625e-05
bat-smg, li, 1.0, 9.298324584960938e-06
bat-smg, no, 0.5135135135135135, 1.1444091796875e-05
bat-smg, ks, 1.0, 9.5367431640625e-06
bat-smg, as, 0.6666666666666666, 9.298324584960938e-06
bat-smg, roa-rup, 1.0, 9.5367431640625e-06
bat-smg, bg, 0.6976744186046512, 1.049041748046875e-05
bat-smg, my, 0.6666666666666666, 9.059906005859375e-06
bat-smg, ckb, 0.8571428571428571, 9.298324584960938e-06
bat-smg, gu, 0.6666666666666666, 9.775161743164062e-06
bat-smg, eml, 0.6666666666666666, 9.059906005859375e-06
bat-smg, ky, 0.8, 9.059906005859375e-06
bat-smg, bn, 0.7096774193548386, 9.5367431640625e-06
bat-smg, hyw, 1.0, 9.298324584960938e-06
bat-smg, vls, 1.0, 9.059906005859375e-06
bat-smg, lo, 1.0, 9.298324584960938e-06
bat-smg, or, 0.6666666666666666, 9.298324584960938e-06
bat-smg, ru, 0.6741573033707865, 1.4066696166992188e-05
bat-smg, hi, 0.7272727272727273, 9.298324584960938e-06
bat-smg, wuu, 0.8571428571428571, 9.775161743164062e-06
bat-smg, arz, 0.8571428571428571, 9.5367431640625e-06
bat-smg, az, 0.5238095238095238, 1.1205673217773438e-05
bat-smg, bs, 0.8, 9.5367431640625e-06
bat-smg, fur, 1.0, 9.298324584960938e-06
bat-smg, te, 0.7272727272727273, 9.775161743164062e-06
bat-smg, zh, 0.6909090909090909, 1.0251998901367188e-05
bat-smg, mk, 0.7368421052631579, 1.0013580322265625e-05
bat-smg, ext, 1.0, 9.298324584960938e-06
bat-smg, sl, 0.5238095238095238, 1.0967254638671875e-05
bat-smg, su, 0.8, 9.298324584960938e-06
bat-smg, ga, 0.75, 9.775161743164062e-06
bat-smg, gan, 1.0, 9.298324584960938e-06
bat-smg, gl, 0.7096774193548386, 1.0251998901367188e-05
bat-smg, hu, 0.6865671641791045, 1.1205673217773438e-05
bat-smg, uz, 0.8, 9.298324584960938e-06
bat-smg, co, 1.0, 9.5367431640625e-06
bat-smg, af, 0.7368421052631579, 1.0013580322265625e-05
bat-smg, mn, 1.0, 9.298324584960938e-06
bat-smg, ko, 0.6938775510204082, 1.0728836059570312e-05
bat-smg, ms, 0.7142857142857143, 1.0013580322265625e-05
bat-smg, ca, 0.5053763440860215, 1.5020370483398438e-05
bat-smg, pnb, 0.8, 9.5367431640625e-06
bat-smg, ilo, 1.0, 1.0251998901367188e-05
bat-smg, war, 0.8, 1.0251998901367188e-05
bat-smg, vec, 1.0, 9.5367431640625e-06
bat-smg, lt, 0.5333333333333333, 1.0728836059570312e-05
bat-smg, mai, 0.6666666666666666, 9.298324584960938e-06
bat-smg, kk, 0.7692307692307692, 9.775161743164062e-06
bat-smg, jv, 0.7692307692307692, 9.775161743164062e-06
bat-smg, ur, 0.72, 1.0251998901367188e-05
bat-smg, nrm, 1.0, 9.775161743164062e-06
bat-smg, union, 0.5002239140170175, 0.005182981491088867
nds, nds, 1.0, 2.1696090698242188e-05
nds, eu, 0.5, 1.1920928955078125e-05
nds, fi, 0.6792452830188679, 1.621246337890625e-05
nds, id, 0.6666666666666666, 1.0967254638671875e-05
nds, lb, 0.6666666666666666, 1.0251998901367188e-05
nds, ast, 0.6666666666666666, 1.0013580322265625e-05
nds, fo, 0.6666666666666666, 9.298324584960938e-06
nds, ba, 0.6666666666666666, 9.5367431640625e-06
nds, eo, 0.5, 1.239776611328125e-05
nds, sco, 0.6666666666666666, 9.775161743164062e-06
nds, ar, 0.6666666666666666, 1.1444091796875e-05
nds, fr, 0.5021459227467812, 2.6941299438476562e-05
nds, stq, 0.6666666666666666, 1.049041748046875e-05
nds, pdc, 0.6666666666666666, 1.0013580322265625e-05
nds, ia, 0.6666666666666666, 9.5367431640625e-06
nds, br, 0.6666666666666666, 1.0013580322265625e-05
nds, csb, 0.6666666666666666, 9.059906005859375e-06
nds, mr, 0.6666666666666666, 9.775161743164062e-06
nds, tr, 0.6666666666666666, 9.775161743164062e-06
nds, lv, 0.6666666666666666, 9.775161743164062e-06
nds, el, 0.6666666666666666, 1.0251998901367188e-05
nds, nap, 0.6666666666666666, 9.775161743164062e-06
nds, nah, 0.6666666666666666, 9.298324584960938e-06
nds, hr, 0.5, 2.3603439331054688e-05
nds, sc, 0.6666666666666666, 1.0013580322265625e-05
nds, bm, 0.6666666666666666, 9.298324584960938e-06
nds, nn, 0.6666666666666666, 1.0251998901367188e-05
nds, rue, 0.6666666666666666, 9.5367431640625e-06
nds, es, 0.5025641025641026, 2.5510787963867188e-05
nds, fiu-vro, 0.6666666666666666, 1.049041748046875e-05
nds, pl, 0.5079365079365079, 1.5497207641601562e-05
nds, mg, 0.6666666666666666, 9.775161743164062e-06
nds, vi, 0.5, 1.1444091796875e-05
nds, zh-yue, 0.6666666666666666, 9.775161743164062e-06
nds, gd, 0.6666666666666666, 9.775161743164062e-06
nds, uk, 0.6835443037974683, 1.1920928955078125e-05
nds, de, 0.5030674846625767, 1.9311904907226562e-05
nds, km, 0.6666666666666666, 1.0013580322265625e-05
nds, hif, 0.6666666666666666, 9.775161743164062e-06
nds, pap, 0.6666666666666666, 9.5367431640625e-06
nds, pcd, 0.6666666666666666, 9.298324584960938e-06
nds, an, 0.6666666666666666, 9.5367431640625e-06
nds, kn, 0.6666666666666666, 1.0251998901367188e-05
nds, bh, 0.6666666666666666, 9.059906005859375e-06
nds, bar, 0.6666666666666666, 9.775161743164062e-06
nds, yo, 0.6666666666666666, 9.775161743164062e-06
nds, ml, 0.6666666666666666, 1.0251998901367188e-05
nds, io, 0.6666666666666666, 9.5367431640625e-06
nds, pa, 0.6666666666666666, 1.0013580322265625e-05
nds, sh, 0.5, 1.3589859008789062e-05
nds, et, 0.6666666666666666, 1.0251998901367188e-05
nds, cs, 0.6813186813186813, 1.1920928955078125e-05
nds, tg, 0.6666666666666666, 9.5367431640625e-06
nds, yi, 0.6666666666666666, 9.298324584960938e-06
nds, nl, 0.5, 2.8848648071289062e-05
nds, si, 0.6666666666666666, 1.049041748046875e-05
nds, pt, 0.503030303030303, 3.218650817871094e-05
nds, sd, 0.6666666666666666, 9.775161743164062e-06
nds, ro, 0.7142857142857143, 1.0251998901367188e-05
nds, sq, 0.6666666666666666, 9.5367431640625e-06
nds, ja, 0.6885245901639344, 1.1444091796875e-05
nds, ne, 0.6666666666666666, 9.5367431640625e-06
nds, zh-min-nan, 0.6666666666666666, 9.059906005859375e-06
nds, min, 0.6666666666666666, 9.298324584960938e-06
nds, ht, 0.6666666666666666, 9.298324584960938e-06
nds, fy, 0.6666666666666666, 1.0013580322265625e-05
nds, gcr, 0.6666666666666666, 9.5367431640625e-06
nds, be-tarask, 0.6666666666666666, 9.775161743164062e-06
nds, jbo, 0.6666666666666666, 9.298324584960938e-06
nds, be, 0.6666666666666666, 9.775161743164062e-06
nds, is, 0.6666666666666666, 1.0013580322265625e-05
nds, bjn, 0.6666666666666666, 9.298324584960938e-06
nds, ta, 0.6666666666666666, 1.0013580322265625e-05
nds, lfn, 0.6666666666666666, 9.775161743164062e-06
nds, hy, 0.6666666666666666, 1.0728836059570312e-05
nds, cy, 0.6666666666666666, 1.0013580322265625e-05
nds, wo, 0.6666666666666666, 9.298324584960938e-06
nds, simple, 0.5, 1.0967254638671875e-05
nds, nds-nl, 0.6666666666666666, 9.775161743164062e-06
nds, jam, 0.6666666666666666, 1.0967254638671875e-05
nds, la, 0.6666666666666666, 1.0013580322265625e-05
nds, new, 0.6666666666666666, 9.5367431640625e-06
nds, bo, 0.6666666666666666, 9.298324584960938e-06
nds, kbp, 0.6666666666666666, 9.298324584960938e-06
nds, ka, 0.6666666666666666, 9.775161743164062e-06
nds, tt, 0.6666666666666666, 9.298324584960938e-06
nds, it, 0.5025380710659899, 3.361701965332031e-05
nds, kab, 0.6666666666666666, 1.0013580322265625e-05
nds, ceb, 0.6666666666666666, 9.059906005859375e-06
nds, he, 0.7096774193548386, 1.0251998901367188e-05
nds, da, 0.5128205128205129, 1.2636184692382812e-05
nds, cv, 0.6666666666666666, 9.775161743164062e-06
nds, fa, 0.6896551724137931, 1.0967254638671875e-05
nds, scn, 0.6666666666666666, 1.0013580322265625e-05
nds, ps, 0.6666666666666666, 9.298324584960938e-06
nds, wa, 0.5, 1.0013580322265625e-05
nds, kv, 0.6666666666666666, 9.5367431640625e-06
nds, en, 0.5003579098067287, 0.025745391845703125
nds, als, 0.6666666666666666, 3.0994415283203125e-05
nds, tl, 0.6666666666666666, 1.1920928955078125e-05
nds, sk, 0.72, 1.239776611328125e-05
nds, sw, 0.6666666666666666, 1.049041748046875e-05
nds, th, 0.7058823529411764, 1.1444091796875e-05
nds, zh-classical, 0.6666666666666666, 1.0013580322265625e-05
nds, ku, 0.6666666666666666, 1.0251998901367188e-05
nds, sr, 0.6938775510204082, 1.1682510375976562e-05
nds, lmo, 0.8571428571428571, 1.0013580322265625e-05
nds, pih, 0.6666666666666666, 1.0013580322265625e-05
nds, azb, 0.6666666666666666, 1.0251998901367188e-05
nds, sv, 0.509090909090909, 4.172325134277344e-05
nds, oc, 0.6666666666666666, 1.0728836059570312e-05
nds, li, 0.6666666666666666, 1.0251998901367188e-05
nds, no, 0.5135135135135135, 1.2636184692382812e-05
nds, ks, 0.6666666666666666, 1.0251998901367188e-05
nds, as, 0.6666666666666666, 1.0728836059570312e-05
nds, roa-rup, 0.6666666666666666, 9.775161743164062e-06
nds, bg, 0.6666666666666666, 1.0728836059570312e-05
nds, my, 0.6666666666666666, 9.298324584960938e-06
nds, ckb, 0.6666666666666666, 1.0251998901367188e-05
nds, gu, 0.6666666666666666, 1.0013580322265625e-05
nds, eml, 0.6666666666666666, 9.5367431640625e-06
nds, ky, 0.6666666666666666, 9.775161743164062e-06
nds, bn, 0.6666666666666666, 1.0251998901367188e-05
nds, hyw, 0.6666666666666666, 1.0013580322265625e-05
nds, vls, 0.6666666666666666, 9.5367431640625e-06
nds, lo, 0.6666666666666666, 9.298324584960938e-06
nds, or, 0.6666666666666666, 9.775161743164062e-06
nds, ru, 0.6741573033707865, 1.4066696166992188e-05
nds, hi, 0.6666666666666666, 1.049041748046875e-05
nds, wuu, 0.6666666666666666, 1.0013580322265625e-05
nds, arz, 0.6666666666666666, 9.775161743164062e-06
nds, az, 0.5, 1.1205673217773438e-05
nds, bs, 0.6666666666666666, 1.0013580322265625e-05
nds, fur, 0.6666666666666666, 9.775161743164062e-06
nds, te, 0.6666666666666666, 1.0251998901367188e-05
nds, zh, 0.6666666666666666, 1.0728836059570312e-05
nds, mk, 0.7368421052631579, 1.0967254638671875e-05
nds, ext, 0.6666666666666666, 9.5367431640625e-06
nds, sl, 0.5, 1.1205673217773438e-05
nds, su, 0.6666666666666666, 9.775161743164062e-06
nds, ga, 0.6666666666666666, 1.0251998901367188e-05
nds, gan, 0.6666666666666666, 9.5367431640625e-06
nds, gl, 0.6666666666666666, 1.0251998901367188e-05
nds, hu, 0.6865671641791045, 1.1920928955078125e-05
nds, uz, 0.6666666666666666, 9.775161743164062e-06
nds, co, 0.6666666666666666, 9.5367431640625e-06
nds, af, 0.6666666666666666, 1.0013580322265625e-05
nds, mn, 0.6666666666666666, 9.775161743164062e-06
nds, ko, 0.6666666666666666, 1.0728836059570312e-05
nds, ms, 0.7142857142857143, 1.2159347534179688e-05
nds, ca, 0.5053763440860215, 2.7418136596679688e-05
nds, pnb, 0.6666666666666666, 1.049041748046875e-05
nds, ilo, 0.6666666666666666, 9.5367431640625e-06
nds, war, 0.6666666666666666, 9.775161743164062e-06
nds, vec, 0.6666666666666666, 9.5367431640625e-06
nds, lt, 0.5333333333333333, 1.0967254638671875e-05
nds, mai, 0.6666666666666666, 9.5367431640625e-06
nds, kk, 0.6666666666666666, 9.298324584960938e-06
nds, jv, 0.6666666666666666, 9.298324584960938e-06
nds, ur, 0.6666666666666666, 1.0013580322265625e-05
nds, nrm, 0.6666666666666666, 9.5367431640625e-06
nds, union, 0.5002239140170175, 0.03576159477233887
eu, eu, 1.0, 2.2649765014648438e-05
eu, fi, 0.5238095238095238, 1.7642974853515625e-05
eu, id, 0.5555555555555556, 1.4781951904296875e-05
eu, lb, 0.55, 1.1682510375976562e-05
eu, ast, 0.5185185185185185, 1.1920928955078125e-05
eu, fo, 0.5, 1.0728836059570312e-05
eu, ba, 0.5217391304347826, 1.0967254638671875e-05
eu, eo, 0.5454545454545455, 1.4066696166992188e-05
eu, sco, 0.5714285714285714, 1.1682510375976562e-05
eu, ar, 0.5333333333333333, 1.5020370483398438e-05
eu, fr, 0.5122950819672131, 3.0279159545898438e-05
eu, stq, 0.5263157894736842, 1.1920928955078125e-05
eu, pdc, 0.5263157894736842, 1.049041748046875e-05
eu, ia, 0.55, 1.0967254638671875e-05
eu, br, 0.56, 1.1682510375976562e-05
eu, csb, 0.5263157894736842, 1.0728836059570312e-05
eu, mr, 0.56, 1.1444091796875e-05
eu, tr, 0.5405405405405405, 1.1682510375976562e-05
eu, lv, 0.5652173913043479, 1.1920928955078125e-05
eu, el, 0.5384615384615384, 1.1682510375976562e-05
eu, nap, 0.5263157894736842, 1.049041748046875e-05
eu, nah, 0.5, 1.049041748046875e-05
eu, hr, 0.55, 3.266334533691406e-05
eu, sc, 0.5263157894736842, 1.0728836059570312e-05
eu, bm, 0.5263157894736842, 1.1205673217773438e-05
eu, nn, 0.5769230769230769, 1.1205673217773438e-05
eu, rue, 0.5263157894736842, 1.0967254638671875e-05
eu, es, 0.5170731707317073, 2.8371810913085938e-05
eu, fiu-vro, 0.5263157894736842, 1.1682510375976562e-05
eu, pl, 0.5333333333333333, 1.71661376953125e-05
eu, mg, 0.5, 1.0967254638671875e-05
eu, vi, 0.5625, 1.33514404296875e-05
eu, zh-yue, 0.5416666666666666, 1.1444091796875e-05
eu, gd, 0.5, 1.0967254638671875e-05
eu, uk, 0.5384615384615384, 1.3828277587890625e-05
eu, de, 0.5113636363636364, 2.1219253540039062e-05
eu, km, 0.5263157894736842, 1.1444091796875e-05
eu, hif, 0.5263157894736842, 1.0967254638671875e-05
eu, pap, 0.5, 1.0967254638671875e-05
eu, pcd, 0.5263157894736842, 1.0728836059570312e-05
eu, an, 0.5238095238095238, 1.0967254638671875e-05
eu, kn, 0.56, 1.1444091796875e-05
eu, bh, 0.5263157894736842, 1.0728836059570312e-05
eu, bar, 0.5263157894736842, 1.0967254638671875e-05
eu, yo, 0.5263157894736842, 1.049041748046875e-05
eu, ml, 0.5675675675675675, 1.1920928955078125e-05
eu, io, 0.5263157894736842, 1.0967254638671875e-05
eu, pa, 0.5454545454545455, 1.1682510375976562e-05
eu, sh, 0.5294117647058824, 1.5497207641601562e-05
eu, et, 0.5625, 1.2159347534179688e-05
eu, cs, 0.5342465753424658, 1.3589859008789062e-05
eu, tg, 0.5263157894736842, 1.0967254638671875e-05
eu, yi, 0.5263157894736842, 1.0967254638671875e-05
eu, nl, 0.5063291139240506, 3.24249267578125e-05
eu, si, 0.55, 1.1444091796875e-05
eu, pt, 0.5112359550561798, 3.647804260253906e-05
eu, sd, 0.5, 1.0967254638671875e-05
eu, ro, 0.5625, 1.1444091796875e-05
eu, sq, 0.5714285714285714, 1.1205673217773438e-05
eu, ja, 0.5370370370370371, 1.4066696166992188e-05
eu, ne, 0.5454545454545455, 1.1205673217773438e-05
eu, zh-min-nan, 0.5454545454545455, 1.0967254638671875e-05
eu, min, 0.5, 1.1205673217773438e-05
eu, ht, 0.5263157894736842, 1.0967254638671875e-05
