Language1, Language2, SimilarityScore, Time
bat-smg, bat-smg, 1.0, 0.0002689361572265625
bat-smg, nds, 0.0, 4.935264587402344e-05
bat-smg, eu, 1.0, 0.00013065338134765625
bat-smg, fi, 1.0, 0.0001316070556640625
bat-smg, id, 1.0, 0.0001251697540283203
bat-smg, lb, 1.0, 0.00010609626770019531
bat-smg, ast, 1.0, 0.00010251998901367188
bat-smg, fo, 0.0, 5.269050598144531e-05
bat-smg, ba, 1.0, 0.00010061264038085938
bat-smg, eo, 1.0, 0.00010728836059570312
bat-smg, sco, 1.0, 0.00010991096496582031
bat-smg, ar, 1.0, 0.00011181831359863281
bat-smg, fr, 1.0, 0.0001308917999267578
bat-smg, stq, 1.0, 0.00010180473327636719
bat-smg, pdc, 1.0, 0.00010085105895996094
bat-smg, ia, 1.0, 9.989738464355469e-05
bat-smg, br, 1.0, 0.00010156631469726562
bat-smg, csb, 1.0, 9.989738464355469e-05
bat-smg, mr, 1.0, 0.00010037422180175781
bat-smg, tr, 1.0, 0.00011372566223144531
bat-smg, lv, 1.0, 0.00011563301086425781
bat-smg, el, 1.0, 0.000133514404296875
bat-smg, nap, 1.0, 0.00010251998901367188
bat-smg, nah, 0.0, 3.910064697265625e-05
bat-smg, hr, 1.0, 0.00012040138244628906
bat-smg, sc, 1.0, 0.00010132789611816406
bat-smg, bm, 1.0, 0.00010061264038085938
bat-smg, nn, 1.0, 0.00010061264038085938
bat-smg, rue, 1.0, 0.00010132789611816406
bat-smg, es, 1.0, 0.00013566017150878906
bat-smg, fiu-vro, 1.0, 0.0001125335693359375
bat-smg, pl, 1.0, 0.00012302398681640625
bat-smg, mg, 0.0, 4.410743713378906e-05
bat-smg, vi, 1.0, 0.0001125335693359375
bat-smg, zh-yue, 1.0, 0.00011348724365234375
bat-smg, gd, 0.0, 3.814697265625e-05
bat-smg, uk, 1.0, 9.942054748535156e-05
bat-smg, de, 1.0, 0.00012612342834472656
bat-smg, km, 1.0, 0.00010228157043457031
bat-smg, hif, 1.0, 0.00010347366333007812
bat-smg, pap, 0.0, 4.124641418457031e-05
bat-smg, pcd, 1.0, 0.00010204315185546875
bat-smg, an, 1.0, 0.00010013580322265625
bat-smg, kn, 1.0, 9.989738464355469e-05
bat-smg, bh, 1.0, 9.942054748535156e-05
bat-smg, bar, 1.0, 9.918212890625e-05
bat-smg, yo, 1.0, 0.00010037422180175781
bat-smg, ml, 1.0, 9.989738464355469e-05
bat-smg, io, 1.0, 0.00010013580322265625
bat-smg, pa, 1.0, 0.00010418891906738281
bat-smg, sh, 1.0, 0.00011229515075683594
bat-smg, et, 1.0, 0.0001475811004638672
bat-smg, cs, 1.0, 0.00010776519775390625
bat-smg, tg, 1.0, 9.942054748535156e-05
bat-smg, yi, 1.0, 9.965896606445312e-05
bat-smg, nl, 1.0, 0.00013065338134765625
bat-smg, si, 1.0, 0.00010013580322265625
bat-smg, pt, 1.0, 0.00013446807861328125
bat-smg, sd, 0.0, 4.649162292480469e-05
bat-smg, ro, 1.0, 0.00010991096496582031
bat-smg, sq, 1.0, 0.00011277198791503906
bat-smg, ja, 1.0, 0.00011777877807617188
bat-smg, ne, 1.0, 0.00011301040649414062
bat-smg, zh-min-nan, 1.0, 0.00011301040649414062
bat-smg, min, 0.0, 4.291534423828125e-05
bat-smg, ht, 1.0, 0.00010752677917480469
bat-smg, fy, 1.0, 0.00011301040649414062
bat-smg, gcr, 1.0, 0.00011134147644042969
bat-smg, be-tarask, 1.0, 0.00011205673217773438
bat-smg, jbo, 0.0, 4.267692565917969e-05
bat-smg, be, 1.0, 0.00011038780212402344
bat-smg, is, 1.0, 0.00011444091796875
bat-smg, bjn, 0.0, 4.291534423828125e-05
bat-smg, ta, 1.0, 0.00011014938354492188
bat-smg, lfn, 1.0, 0.00011396408081054688
bat-smg, hy, 1.0, 0.00011730194091796875
bat-smg, cy, 1.0, 0.00011491775512695312
bat-smg, wo, 1.0, 0.00011515617370605469
bat-smg, simple, 1.0, 0.00012040138244628906
bat-smg, nds-nl, 1.0, 0.00011539459228515625
bat-smg, jam, 1.0, 0.00011396408081054688
bat-smg, la, 1.0, 0.00011324882507324219
bat-smg, new, 0.0, 4.363059997558594e-05
bat-smg, bo, 1.0, 0.0001087188720703125
bat-smg, kbp, 1.0, 0.00011277198791503906
bat-smg, ka, 1.0, 0.00011444091796875
bat-smg, tt, 1.0, 0.00011420249938964844
bat-smg, it, 1.0, 0.00015783309936523438
bat-smg, kab, 0.0, 4.458427429199219e-05
bat-smg, ceb, 0.0, 0.02411174774169922
bat-smg, he, 1.0, 0.0002117156982421875
bat-smg, da, 1.0, 0.00012421607971191406
bat-smg, cv, 1.0, 0.00010895729064941406
bat-smg, fa, 1.0, 0.00011086463928222656
bat-smg, scn, 1.0, 0.00010633468627929688
bat-smg, ps, 1.0, 0.00010752677917480469
bat-smg, wa, 1.0, 0.00011420249938964844
bat-smg, kv, 0.0, 6.532669067382812e-05
bat-smg, en, 1.0, 0.004217863082885742
bat-smg, als, 1.0, 0.00011396408081054688
bat-smg, tl, 1.0, 0.00010728836059570312
bat-smg, sk, 1.0, 0.00010585784912109375
bat-smg, sw, 1.0, 0.00010347366333007812
bat-smg, th, 1.0, 0.00010824203491210938
bat-smg, zh-classical, 0.0, 3.9577484130859375e-05
bat-smg, ku, 1.0, 9.632110595703125e-05
bat-smg, sr, 1.0, 0.00010466575622558594
bat-smg, lmo, 1.0, 0.00010061264038085938
bat-smg, pih, 1.0, 0.00010418891906738281
bat-smg, azb, 0.0, 3.886222839355469e-05
bat-smg, sv, 1.0, 0.00013566017150878906
bat-smg, oc, 1.0, 0.00010442733764648438
bat-smg, li, 1.0, 0.00010347366333007812
bat-smg, no, 1.0, 0.00010657310485839844
bat-smg, ks, 1.0, 0.00010013580322265625
bat-smg, as, 0.0, 3.886222839355469e-05
bat-smg, roa-rup, 1.0, 9.72747802734375e-05
bat-smg, bg, 1.0, 0.00010275840759277344
bat-smg, my, 0.0, 3.814697265625e-05
bat-smg, ckb, 1.0, 9.918212890625e-05
bat-smg, gu, 0.0, 3.9577484130859375e-05
bat-smg, eml, 0.0, 3.0279159545898438e-05
bat-smg, ky, 1.0, 9.584426879882812e-05
bat-smg, bn, 1.0, 0.00010275840759277344
bat-smg, hyw, 1.0, 0.00010442733764648438
bat-smg, vls, 1.0, 9.942054748535156e-05
bat-smg, lo, 1.0, 0.00010204315185546875
bat-smg, or, 0.0, 3.886222839355469e-05
bat-smg, ru, 1.0, 0.00010800361633300781
bat-smg, hi, 1.0, 0.00010275840759277344
bat-smg, wuu, 1.0, 9.989738464355469e-05
bat-smg, arz, 1.0, 0.00010156631469726562
bat-smg, az, 1.0, 0.00010776519775390625
bat-smg, bs, 1.0, 0.00010085105895996094
bat-smg, fur, 1.0, 9.989738464355469e-05
bat-smg, te, 1.0, 0.00010609626770019531
bat-smg, zh, 1.0, 0.00010251998901367188
bat-smg, mk, 1.0, 0.00010013580322265625
bat-smg, ext, 1.0, 9.870529174804688e-05
bat-smg, sl, 1.0, 0.0001087188720703125
bat-smg, su, 1.0, 9.965896606445312e-05
bat-smg, ga, 1.0, 0.00010037422180175781
