Language1, Language2, SimilarityScore, Time
bat-smg, bat-smg, 1.0, 1.71661376953125e-05
bat-smg, nds, 0.0, 8.344650268554688e-06
bat-smg, eu, 1.0, 1.0013580322265625e-05
bat-smg, fi, 1.0, 8.344650268554688e-06
bat-smg, id, 1.0, 8.106231689453125e-06
bat-smg, lb, 1.0, 7.867813110351562e-06
bat-smg, ast, 1.0, 8.106231689453125e-06
bat-smg, fo, 0.0, 5.7220458984375e-06
bat-smg, ba, 1.0, 8.344650268554688e-06
bat-smg, eo, 1.0, 1.0013580322265625e-05
bat-smg, sco, 1.0, 8.106231689453125e-06
bat-smg, ar, 1.0, 8.106231689453125e-06
bat-smg, fr, 1.0, 9.059906005859375e-06
bat-smg, stq, 1.0, 9.298324584960938e-06
bat-smg, pdc, 1.0, 9.298324584960938e-06
bat-smg, ia, 1.0, 9.775161743164062e-06
bat-smg, br, 1.0, 9.5367431640625e-06
bat-smg, csb, 1.0, 9.5367431640625e-06
bat-smg, mr, 1.0, 1.049041748046875e-05
bat-smg, tr, 1.0, 9.298324584960938e-06
bat-smg, lv, 1.0, 9.5367431640625e-06
bat-smg, el, 1.0, 7.62939453125e-06
bat-smg, nap, 1.0, 7.867813110351562e-06
bat-smg, nah, 0.0, 5.9604644775390625e-06
bat-smg, hr, 1.0, 9.059906005859375e-06
bat-smg, sc, 1.0, 1.5497207641601562e-05
bat-smg, bm, 1.0, 8.344650268554688e-06
bat-smg, nn, 1.0, 7.62939453125e-06
bat-smg, rue, 1.0, 8.106231689453125e-06
bat-smg, es, 1.0, 8.821487426757812e-06
bat-smg, fiu-vro, 1.0, 8.344650268554688e-06
bat-smg, pl, 1.0, 9.298324584960938e-06
bat-smg, mg, 0.0, 5.7220458984375e-06
bat-smg, vi, 1.0, 9.059906005859375e-06
bat-smg, zh-yue, 1.0, 8.344650268554688e-06
bat-smg, gd, 0.0, 5.4836273193359375e-06
bat-smg, uk, 1.0, 8.106231689453125e-06
bat-smg, de, 1.0, 8.58306884765625e-06
bat-smg, km, 1.0, 8.106231689453125e-06
bat-smg, hif, 1.0, 8.106231689453125e-06
bat-smg, pap, 0.0, 5.245208740234375e-06
bat-smg, pcd, 1.0, 8.344650268554688e-06
bat-smg, an, 1.0, 8.344650268554688e-06
bat-smg, kn, 1.0, 8.106231689453125e-06
bat-smg, bh, 1.0, 8.106231689453125e-06
bat-smg, bar, 1.0, 7.867813110351562e-06
bat-smg, yo, 1.0, 8.58306884765625e-06
bat-smg, ml, 1.0, 9.059906005859375e-06
bat-smg, io, 1.0, 9.059906005859375e-06
bat-smg, pa, 1.0, 7.867813110351562e-06
bat-smg, sh, 1.0, 1.0251998901367188e-05
bat-smg, et, 1.0, 9.298324584960938e-06
bat-smg, cs, 1.0, 8.344650268554688e-06
bat-smg, tg, 1.0, 8.106231689453125e-06
bat-smg, yi, 1.0, 8.106231689453125e-06
bat-smg, nl, 1.0, 1.049041748046875e-05
bat-smg, si, 1.0, 8.344650268554688e-06
bat-smg, pt, 1.0, 1.0728836059570312e-05
bat-smg, sd, 0.0, 5.9604644775390625e-06
bat-smg, ro, 1.0, 8.344650268554688e-06
bat-smg, sq, 1.0, 9.5367431640625e-06
bat-smg, ja, 1.0, 9.298324584960938e-06
bat-smg, ne, 1.0, 9.059906005859375e-06
bat-smg, zh-min-nan, 1.0, 9.5367431640625e-06
bat-smg, min, 0.0, 6.4373016357421875e-06
bat-smg, ht, 1.0, 1.0251998901367188e-05
bat-smg, fy, 1.0, 9.775161743164062e-06
bat-smg, gcr, 1.0, 9.5367431640625e-06
bat-smg, be-tarask, 1.0, 1.0013580322265625e-05
bat-smg, jbo, 0.0, 5.4836273193359375e-06
bat-smg, be, 1.0, 7.62939453125e-06
bat-smg, is, 1.0, 7.867813110351562e-06
bat-smg, bjn, 0.0, 5.0067901611328125e-06
bat-smg, ta, 1.0, 8.821487426757812e-06
bat-smg, lfn, 1.0, 8.58306884765625e-06
bat-smg, hy, 1.0, 8.58306884765625e-06
bat-smg, cy, 1.0, 8.106231689453125e-06
bat-smg, wo, 1.0, 7.867813110351562e-06
bat-smg, simple, 1.0, 9.059906005859375e-06
bat-smg, nds-nl, 1.0, 8.58306884765625e-06
bat-smg, jam, 1.0, 8.821487426757812e-06
bat-smg, la, 1.0, 9.298324584960938e-06
bat-smg, new, 0.0, 5.4836273193359375e-06
bat-smg, bo, 1.0, 8.58306884765625e-06
bat-smg, kbp, 1.0, 8.106231689453125e-06
bat-smg, ka, 1.0, 8.106231689453125e-06
bat-smg, tt, 1.0, 7.867813110351562e-06
bat-smg, it, 1.0, 9.298324584960938e-06
bat-smg, kab, 0.0, 5.4836273193359375e-06
bat-smg, ceb, 0.0, 5.4836273193359375e-06
bat-smg, he, 1.0, 8.58306884765625e-06
bat-smg, da, 1.0, 8.58306884765625e-06
bat-smg, cv, 1.0, 7.62939453125e-06
bat-smg, fa, 1.0, 7.867813110351562e-06
bat-smg, scn, 1.0, 7.867813110351562e-06
bat-smg, ps, 1.0, 7.867813110351562e-06
bat-smg, wa, 1.0, 1.0728836059570312e-05
bat-smg, kv, 0.0, 6.198883056640625e-06
bat-smg, en, 1.0, 2.6464462280273438e-05
bat-smg, als, 1.0, 1.1205673217773438e-05
bat-smg, tl, 1.0, 1.0251998901367188e-05
bat-smg, sk, 1.0, 8.58306884765625e-06
bat-smg, sw, 1.0, 8.106231689453125e-06
bat-smg, th, 1.0, 7.867813110351562e-06
bat-smg, zh-classical, 0.0, 6.67572021484375e-06
bat-smg, ku, 1.0, 1.5497207641601562e-05
bat-smg, sr, 1.0, 9.059906005859375e-06
bat-smg, lmo, 1.0, 8.58306884765625e-06
