Language1, Language2, SimilarityScore, Time
bat-smg, bat-smg, 0.14285714285714285, 0.0038802623748779297
bat-smg, nds, 1.0, 0.0002193450927734375
bat-smg, eu, 0.14285714285714285, 0.0038306713104248047
bat-smg, fi, 0.14285714285714285, 0.0003819465637207031
bat-smg, id, 0.14285714285714285, 0.0002570152282714844
bat-smg, lb, 0.25, 0.007292985916137695
bat-smg, ast, 0.16666666666666666, 0.0002562999725341797
bat-smg, kl, 1.0, 0.00012135505676269531
bat-smg, fo, 0.3333333333333333, 0.00013017654418945312
bat-smg, ba, 0.2, 0.00014472007751464844
bat-smg, eo, 0.14285714285714285, 0.00021791458129882812
bat-smg, sco, 0.16666666666666666, 0.00015854835510253906
bat-smg, tk, 0.3333333333333333, 0.00013136863708496094
bat-smg, vep, 0.3333333333333333, 0.0001304149627685547
bat-smg, ar, 0.14285714285714285, 0.00016450881958007812
bat-smg, mhr, 1.0, 0.00011849403381347656
bat-smg, fr, 0.14285714285714285, 0.0006494522094726562
bat-smg, stq, 0.3333333333333333, 0.00013566017150878906
bat-smg, pdc, 1.0, 0.0001163482666015625
bat-smg, ia, 0.16666666666666666, 0.00015163421630859375
bat-smg, br, 0.16666666666666666, 0.00015497207641601562
bat-smg, av, 1.0, 0.00011301040649414062
bat-smg, csb, 1.0, 0.00010895729064941406
bat-smg, mr, 0.2, 0.0001342296600341797
bat-smg, hsb, 0.5, 0.0001163482666015625
bat-smg, map-bms, 1.0, 0.00012159347534179688
bat-smg, tw, 0.5, 0.00011467933654785156
bat-smg, tr, 0.14285714285714285, 0.0004322528839111328
bat-smg, bcl, 0.5, 0.00011754035949707031
bat-smg, lv, 0.14285714285714285, 0.00015211105346679688
bat-smg, mzn, 1.0, 0.00012063980102539062
bat-smg, el, 0.14285714285714285, 0.00015091896057128906
bat-smg, frr, 0.5, 0.00011920928955078125
bat-smg, nap, 0.5, 0.00011777877807617188
bat-smg, ang, 1.0, 0.00010967254638671875
bat-smg, sa, 0.0, 4.1484832763671875e-05
bat-smg, ce, 0.3333333333333333, 0.00011754035949707031
bat-smg, vo, 1.0, 0.00011038780212402344
bat-smg, nah, 1.0, 0.00010704994201660156
bat-smg, hr, 0.14285714285714285, 0.00974273681640625
bat-smg, sc, 0.5, 0.003960847854614258
bat-smg, inh, 1.0, 0.00017523765563964844
bat-smg, bm, 1.0, 0.00010800361633300781
bat-smg, nn, 0.14285714285714285, 0.0002071857452392578
bat-smg, xmf, 0.3333333333333333, 0.00012946128845214844
bat-smg, rue, 0.5, 0.0001220703125
bat-smg, es, 0.14285714285714285, 0.0003998279571533203
bat-smg, fiu-vro, 1.0, 0.00011777877807617188
bat-smg, pl, 0.14285714285714285, 0.00033020973205566406
bat-smg, mg, 1.0, 0.00011801719665527344
bat-smg, vi, 0.14285714285714285, 0.00023937225341796875
bat-smg, zh-yue, 0.16666666666666666, 0.00014352798461914062
bat-smg, sm, 0.0, 4.4345855712890625e-05
bat-smg, gd, 0.5, 0.00011134147644042969
bat-smg, uk, 0.14285714285714285, 0.0001761913299560547
bat-smg, ban, 0.3333333333333333, 0.00012230873107910156
bat-smg, de, 0.14285714285714285, 0.0004944801330566406
bat-smg, km, 1.0, 0.00011944770812988281
bat-smg, hif, 0.25, 0.0001277923583984375
bat-smg, diq, 0.3333333333333333, 0.00013327598571777344
bat-smg, pap, 1.0, 0.00011324882507324219
bat-smg, pcd, 0.5, 0.00011444091796875
bat-smg, myv, 1.0, 0.00010848045349121094
bat-smg, an, 0.25, 0.00012350082397460938
bat-smg, kn, 0.25, 0.000125885009765625
bat-smg, bh, 0.3333333333333333, 0.00011920928955078125
bat-smg, bar, 0.5, 0.0001277923583984375
bat-smg, yo, 0.3333333333333333, 0.0001270771026611328
bat-smg, ny, 1.0, 0.00011014938354492188
bat-smg, ml, 0.16666666666666666, 0.00014925003051757812
bat-smg, io, 0.25, 0.00012874603271484375
bat-smg, pa, 0.2, 0.0001342296600341797
bat-smg, sh, 0.16666666666666666, 0.00038433074951171875
bat-smg, et, 0.14285714285714285, 0.00016450881958007812
bat-smg, cs, 0.14285714285714285, 0.009532690048217773
bat-smg, ug, 0.5, 0.0003139972686767578
bat-smg, tg, 0.5, 0.00011682510375976562
bat-smg, yi, 0.16666666666666666, 0.0002753734588623047
bat-smg, nl, 0.14285714285714285, 0.0004994869232177734
bat-smg, fj, 0.0, 4.482269287109375e-05
bat-smg, si, 0.3333333333333333, 0.00011944770812988281
bat-smg, pt, 0.14285714285714285, 0.002422332763671875
bat-smg, sd, 0.0, 7.390975952148438e-05
bat-smg, na, 1.0, 0.0001513957977294922
bat-smg, ro, 0.14285714285714285, 0.00034356117248535156
bat-smg, sq, 0.25, 0.0001468658447265625
bat-smg, ja, 0.14285714285714285, 0.00015854835510253906
bat-smg, ne, 0.3333333333333333, 0.00013184547424316406
bat-smg, zh-min-nan, 0.16666666666666666, 0.0001404285430908203
bat-smg, min, 1.0, 0.00011491775512695312
bat-smg, haw, 1.0, 0.00010800361633300781
bat-smg, ht, 0.5, 0.00011396408081054688
bat-smg, fy, 0.16666666666666666, 0.0001430511474609375
bat-smg, gcr, 0.3333333333333333, 0.00011897087097167969
bat-smg, lij, 0.3333333333333333, 0.00012040138244628906
bat-smg, ki, 1.0, 0.000110626220703125
bat-smg, be-tarask, 0.14285714285714285, 0.0001423358917236328
bat-smg, jbo, 0.0, 4.220008850097656e-05
bat-smg, be, 0.14285714285714285, 0.0001494884490966797
bat-smg, is, 0.14285714285714285, 0.00014734268188476562
bat-smg, bjn, 0.5, 0.00011563301086425781
bat-smg, kaa, 1.0, 0.00011205673217773438
bat-smg, ta, 0.14285714285714285, 0.0001468658447265625
bat-smg, lfn, 0.3333333333333333, 0.00012350082397460938
bat-smg, kw, 0.5, 0.00011539459228515625
bat-smg, qu, 0.3333333333333333, 0.00013375282287597656
bat-smg, hy, 0.14285714285714285, 0.00014853477478027344
bat-smg, rw, 1.0, 0.00011181831359863281
bat-smg, cy, 0.16666666666666666, 0.00015306472778320312
bat-smg, zea, 1.0, 0.00011110305786132812
bat-smg, wo, 1.0, 0.00010967254638671875
bat-smg, simple, 0.14285714285714285, 0.00017333030700683594
bat-smg, am, 0.25, 0.0001285076141357422
bat-smg, nds-nl, 1.0, 0.00011134147644042969
bat-smg, jam, 1.0, 0.00010561943054199219
bat-smg, tyv, 0.0, 4.029273986816406e-05
bat-smg, la, 0.16666666666666666, 0.00016069412231445312
bat-smg, new, 0.25, 0.0001239776611328125
bat-smg, bo, 0.3333333333333333, 0.00011920928955078125
