Language1, Language2, SimilarityScore, Time
nds, nds, 1.0, 3.314018249511719e-05
nds, eu, 0.7142857142857143, 1.430511474609375e-05
nds, fi, 0.5056179775280899, 2.0503997802734375e-05
nds, id, 0.504950495049505, 1.6689300537109375e-05
nds, lb, 0.8571428571428571, 1.0967254638671875e-05
nds, ast, 0.8, 1.0728836059570312e-05
nds, fo, 0.8571428571428571, 1.0251998901367188e-05
nds, ba, 0.6666666666666666, 1.1205673217773438e-05
nds, eo, 0.5072463768115941, 1.5735626220703125e-05
nds, sco, 0.8, 1.0967254638671875e-05
nds, tk, 0.6666666666666666, 1.0728836059570312e-05
nds, se, 0.8571428571428571, 1.9073486328125e-05
nds, ar, 0.6976744186046512, 1.2159347534179688e-05
nds, fr, 0.5029239766081871, 5.4836273193359375e-05
nds, ia, 0.6666666666666666, 1.1205673217773438e-05
nds, br, 0.75, 1.0967254638671875e-05
nds, csb, 0.6666666666666666, 1.049041748046875e-05
nds, mr, 0.6666666666666666, 1.1444091796875e-05
nds, tr, 0.5135135135135135, 1.1920928955078125e-05
nds, lv, 0.8, 1.0251998901367188e-05
nds, el, 0.7096774193548386, 1.0967254638671875e-05
nds, sa, 0.6666666666666666, 1.049041748046875e-05
nds, hr, 0.6666666666666666, 1.1444091796875e-05
nds, sc, 0.6666666666666666, 1.049041748046875e-05
nds, nn, 0.5074626865671642, 1.4066696166992188e-05
nds, es, 0.503030303030303, 3.743171691894531e-05
nds, pl, 0.5042735042735043, 1.9311904907226562e-05
nds, vi, 0.72, 1.0967254638671875e-05
nds, zh-yue, 0.8571428571428571, 1.049041748046875e-05
nds, gd, 0.6666666666666666, 1.0728836059570312e-05
nds, uk, 0.5094339622641509, 1.3113021850585938e-05
nds, de, 0.5012106537530266, 7.677078247070312e-05
nds, km, 0.6666666666666666, 1.1444091796875e-05
nds, gom, 0.6666666666666666, 1.049041748046875e-05
nds, diq, 1.0, 1.0728836059570312e-05
nds, kn, 0.6666666666666666, 1.049041748046875e-05
nds, ml, 0.6666666666666666, 1.0967254638671875e-05
nds, io, 0.6666666666666666, 1.0251998901367188e-05
nds, pa, 0.8571428571428571, 1.0251998901367188e-05
nds, sh, 0.6666666666666666, 1.1444091796875e-05
nds, et, 0.5185185185185185, 1.2874603271484375e-05
nds, cs, 0.5058823529411764, 2.0503997802734375e-05
nds, tg, 0.8571428571428571, 1.0728836059570312e-05
nds, yi, 1.0, 1.049041748046875e-05
nds, nl, 0.5043478260869565, 1.9311904907226562e-05
nds, si, 0.6666666666666666, 1.049041748046875e-05
nds, pt, 0.5048543689320388, 2.1696090698242188e-05
nds, sd, 0.6666666666666666, 1.0728836059570312e-05
nds, ro, 0.5161290322580645, 1.1682510375976562e-05
nds, sq, 0.8571428571428571, 1.0251998901367188e-05
nds, ja, 0.6754966887417219, 1.3589859008789062e-05
nds, ne, 0.6666666666666666, 1.0251998901367188e-05
nds, zh-min-nan, 0.8, 1.0251998901367188e-05
nds, ht, 1.0, 1.0013580322265625e-05
nds, fy, 0.5263157894736842, 1.1444091796875e-05
nds, be-tarask, 1.0, 1.0728836059570312e-05
nds, be, 0.7142857142857143, 1.0728836059570312e-05
nds, is, 1.0, 1.0013580322265625e-05
nds, ta, 0.7096774193548386, 1.0728836059570312e-05
nds, hy, 0.7368421052631579, 1.0728836059570312e-05
nds, cy, 0.7692307692307692, 1.0251998901367188e-05
nds, wo, 1.0, 9.775161743164062e-06
nds, simple, 0.5, 1.1920928955078125e-05
nds, nds-nl, 0.6666666666666666, 1.0251998901367188e-05
nds, la, 0.5142857142857143, 3.0994415283203125e-05
nds, new, 0.6666666666666666, 1.049041748046875e-05
nds, bo, 0.6666666666666666, 1.0013580322265625e-05
nds, kbp, 1.0, 1.049041748046875e-05
nds, ka, 0.6666666666666666, 1.049041748046875e-05
nds, tt, 1.0, 1.0251998901367188e-05
nds, it, 0.5039370078740157, 9.369850158691406e-05
nds, he, 0.6976744186046512, 1.1920928955078125e-05
nds, da, 0.5070422535211268, 1.430511474609375e-05
nds, arc, 0.6666666666666666, 1.049041748046875e-05
nds, cv, 0.6666666666666666, 1.049041748046875e-05
nds, fa, 0.6938775510204082, 1.1444091796875e-05
nds, scn, 1.0, 1.0251998901367188e-05
nds, en, 0.5008460236886633, 0.0010685920715332031
nds, als, 0.7692307692307692, 1.3589859008789062e-05
nds, tl, 0.6666666666666666, 1.1444091796875e-05
nds, sk, 0.7368421052631579, 1.0967254638671875e-05
nds, sw, 0.8571428571428571, 1.049041748046875e-05
nds, th, 0.72, 1.0728836059570312e-05
nds, ku, 1.0, 1.0251998901367188e-05
nds, sr, 0.7272727272727273, 1.0967254638671875e-05
nds, lmo, 0.6666666666666666, 1.0251998901367188e-05
nds, azb, 0.6666666666666666, 1.0728836059570312e-05
nds, sv, 0.5001336541031809, 0.00027441978454589844
nds, oc, 0.8571428571428571, 1.3589859008789062e-05
nds, li, 0.6666666666666666, 1.049041748046875e-05
nds, no, 0.502262443438914, 2.5033950805664062e-05
nds, bg, 0.7142857142857143, 1.1205673217773438e-05
nds, my, 0.6666666666666666, 1.0967254638671875e-05
nds, pi, 0.6666666666666666, 1.0251998901367188e-05
nds, ckb, 0.8, 3.4809112548828125e-05
nds, gu, 0.6666666666666666, 1.1205673217773438e-05
nds, ky, 0.6666666666666666, 1.0728836059570312e-05
nds, bn, 0.6666666666666666, 1.1444091796875e-05
nds, lo, 0.6666666666666666, 1.049041748046875e-05
nds, chr, 0.6666666666666666, 1.1205673217773438e-05
nds, ru, 0.5046728971962617, 1.6927719116210938e-05
nds, hi, 0.7368421052631579, 1.1205673217773438e-05
nds, wuu, 1.0, 1.0967254638671875e-05
nds, az, 0.8, 1.0728836059570312e-05
nds, te, 0.6666666666666666, 1.1205673217773438e-05
nds, zh, 0.6785714285714286, 1.3589859008789062e-05
nds, mk, 0.75, 1.1444091796875e-05
nds, sl, 0.7272727272727273, 1.1444091796875e-05
nds, su, 0.6666666666666666, 1.049041748046875e-05
