Language1, Language2, SimilarityScore, Time
bat-smg, bat-smg, 1.0, 1.9550323486328125e-05
bat-smg, nds, 1.0, 7.62939453125e-06
bat-smg, eu, 1.0, 1.0728836059570312e-05
bat-smg, fi, 0.6666666666666666, 1.1920928955078125e-05
bat-smg, id, 1.0, 1.049041748046875e-05
bat-smg, lb, 1.0, 6.9141387939453125e-06
bat-smg, ast, 1.0, 1.049041748046875e-05
bat-smg, fo, 1.0, 6.67572021484375e-06
bat-smg, eo, 1.0, 1.0013580322265625e-05
bat-smg, zu, 1.0, 6.4373016357421875e-06
bat-smg, sco, 1.0, 9.775161743164062e-06
bat-smg, tk, 1.0, 6.4373016357421875e-06
bat-smg, se, 1.0, 1.0013580322265625e-05
bat-smg, ar, 1.0, 1.0013580322265625e-05
bat-smg, fr, 1.0, 1.0251998901367188e-05
bat-smg, ia, 1.0, 6.198883056640625e-06
bat-smg, br, 1.0, 1.0013580322265625e-05
bat-smg, mr, 1.0, 9.775161743164062e-06
bat-smg, ak, 1.0, 9.5367431640625e-06
bat-smg, map-bms, 1.0, 6.4373016357421875e-06
bat-smg, tr, 1.0, 9.775161743164062e-06
bat-smg, bcl, 1.0, 6.4373016357421875e-06
bat-smg, lv, 1.0, 9.775161743164062e-06
bat-smg, mzn, 1.0, 6.198883056640625e-06
bat-smg, el, 1.0, 9.775161743164062e-06
bat-smg, nap, 1.0, 6.4373016357421875e-06
bat-smg, ang, 1.0, 6.4373016357421875e-06
bat-smg, sa, 1.0, 5.9604644775390625e-06
bat-smg, nah, 1.0, 6.198883056640625e-06
bat-smg, din, 1.0, 6.198883056640625e-06
bat-smg, hr, 1.0, 1.0013580322265625e-05
bat-smg, sc, 1.0, 6.198883056640625e-06
bat-smg, nso, 1.0, 5.9604644775390625e-06
bat-smg, nn, 1.0, 1.0013580322265625e-05
bat-smg, rue, 1.0, 5.9604644775390625e-06
bat-smg, es, 1.0, 1.049041748046875e-05
bat-smg, pl, 1.0, 1.0251998901367188e-05
bat-smg, vi, 1.0, 1.0013580322265625e-05
bat-smg, zh-yue, 1.0, 1.049041748046875e-05
bat-smg, gd, 1.0, 6.4373016357421875e-06
bat-smg, uk, 1.0, 1.0251998901367188e-05
bat-smg, de, 0.6666666666666666, 1.1444091796875e-05
bat-smg, hif, 1.0, 6.67572021484375e-06
bat-smg, diq, 1.0, 6.4373016357421875e-06
bat-smg, myv, 1.0, 6.4373016357421875e-06
bat-smg, an, 1.0, 6.198883056640625e-06
bat-smg, kn, 1.0, 1.0251998901367188e-05
bat-smg, bar, 1.0, 6.4373016357421875e-06
bat-smg, yo, 1.0, 6.198883056640625e-06
bat-smg, ml, 1.0, 1.0013580322265625e-05
bat-smg, io, 1.0, 9.5367431640625e-06
bat-smg, pa, 1.0, 9.775161743164062e-06
bat-smg, sh, 1.0, 1.1205673217773438e-05
bat-smg, et, 1.0, 9.775161743164062e-06
bat-smg, cs, 1.0, 1.0251998901367188e-05
bat-smg, tg, 1.0, 6.4373016357421875e-06
bat-smg, yi, 1.0, 9.775161743164062e-06
bat-smg, nl, 0.6666666666666666, 1.1205673217773438e-05
bat-smg, si, 1.0, 6.9141387939453125e-06
bat-smg, pt, 1.0, 1.1920928955078125e-05
bat-smg, sd, 1.0, 1.0013580322265625e-05
bat-smg, ro, 1.0, 9.775161743164062e-06
bat-smg, sq, 1.0, 9.775161743164062e-06
bat-smg, ja, 1.0, 1.0013580322265625e-05
bat-smg, ne, 1.0, 9.298324584960938e-06
bat-smg, zh-min-nan, 1.0, 9.5367431640625e-06
bat-smg, min, 1.0, 6.198883056640625e-06
bat-smg, ht, 1.0, 9.775161743164062e-06
bat-smg, fy, 1.0, 9.5367431640625e-06
bat-smg, ss, 1.0, 6.67572021484375e-06
bat-smg, be-tarask, 1.0, 9.5367431640625e-06
bat-smg, jbo, 1.0, 6.4373016357421875e-06
bat-smg, be, 1.0, 1.0013580322265625e-05
bat-smg, is, 1.0, 9.5367431640625e-06
bat-smg, bjn, 1.0, 6.4373016357421875e-06
bat-smg, ta, 1.0, 1.0013580322265625e-05
bat-smg, lfn, 1.0, 6.4373016357421875e-06
bat-smg, qu, 1.0, 1.0013580322265625e-05
bat-smg, hy, 1.0, 9.5367431640625e-06
bat-smg, cy, 1.0, 9.5367431640625e-06
bat-smg, wo, 1.0, 6.198883056640625e-06
bat-smg, simple, 1.0, 1.0251998901367188e-05
bat-smg, am, 1.0, 6.67572021484375e-06
bat-smg, nds-nl, 1.0, 6.198883056640625e-06
bat-smg, jam, 1.0, 6.198883056640625e-06
bat-smg, tyv, 1.0, 6.198883056640625e-06
bat-smg, la, 1.0, 1.0013580322265625e-05
bat-smg, new, 1.0, 6.4373016357421875e-06
bat-smg, xh, 1.0, 6.198883056640625e-06
bat-smg, ka, 1.0, 9.5367431640625e-06
bat-smg, tt, 1.0, 6.4373016357421875e-06
bat-smg, it, 1.0, 1.0728836059570312e-05
