Language1, Language2, SimilarityScore, Time
bat-smg, bat-smg, 1.0, 2.0503997802734375e-05
bat-smg, nds, 0.0, 6.4373016357421875e-06
bat-smg, eu, 0.375, 1.71661376953125e-05
bat-smg, fi, 0.4444444444444444, 1.7881393432617188e-05
bat-smg, id, 0.6666666666666666, 1.6450881958007812e-05
bat-smg, lb, 0.0, 9.5367431640625e-06
bat-smg, ast, 0.125, 1.5497207641601562e-05
bat-smg, fo, 0.0, 5.245208740234375e-06
bat-smg, ba, 0.0, 8.821487426757812e-06
bat-smg, eo, 0.125, 2.1219253540039062e-05
bat-smg, sco, 0.5, 1.52587890625e-05
bat-smg, tk, 0.0, 5.245208740234375e-06
bat-smg, vep, 0.0, 4.76837158203125e-06
bat-smg, ar, 0.0, 1.2159347534179688e-05
bat-smg, mhr, 0.0, 8.821487426757812e-06
bat-smg, fr, 0.11764705882352941, 3.647804260253906e-05
bat-smg, ia, 0.0, 9.775161743164062e-06
bat-smg, mi, 0.0, 5.245208740234375e-06
bat-smg, br, 0.0, 9.059906005859375e-06
bat-smg, csb, 0.0, 4.5299530029296875e-06
bat-smg, mr, 0.0, 8.821487426757812e-06
bat-smg, hsb, 0.0, 8.821487426757812e-06
bat-smg, tr, 0.2, 1.3589859008789062e-05
bat-smg, bcl, 0.0, 4.76837158203125e-06
bat-smg, lv, 0.4, 1.430511474609375e-05
bat-smg, mzn, 0.0, 9.298324584960938e-06
bat-smg, el, 0.0, 8.821487426757812e-06
bat-smg, frr, 0.0, 4.76837158203125e-06
bat-smg, nap, 0.0, 1.0251998901367188e-05
bat-smg, ang, 0.0, 8.821487426757812e-06
bat-smg, sa, 0.0, 4.76837158203125e-06
bat-smg, ce, 0.0, 8.58306884765625e-06
bat-smg, nah, 0.3333333333333333, 1.4066696166992188e-05
bat-smg, nv, 0.0, 5.0067901611328125e-06
bat-smg, hr, 0.3333333333333333, 1.9311904907226562e-05
bat-smg, bm, 0.0, 5.0067901611328125e-06
bat-smg, iu, 0.0, 8.821487426757812e-06
bat-smg, za, 0.0, 9.059906005859375e-06
bat-smg, nn, 0.0, 1.3113021850585938e-05
bat-smg, xmf, 0.0, 9.059906005859375e-06
bat-smg, es, 0.17647058823529413, 2.2649765014648438e-05
bat-smg, pl, 0.0, 1.430511474609375e-05
bat-smg, mg, 0.0, 9.059906005859375e-06
bat-smg, vi, 0.0, 1.049041748046875e-05
bat-smg, zh-yue, 0.0, 1.1205673217773438e-05
bat-smg, gd, 0.0, 8.821487426757812e-06
bat-smg, uk, 0.0, 1.1444091796875e-05
bat-smg, ban, 0.0, 4.76837158203125e-06
bat-smg, de, 0.17647058823529413, 2.1219253540039062e-05
bat-smg, diq, 0.0, 9.059906005859375e-06
bat-smg, pcd, 0.0, 4.76837158203125e-06
bat-smg, myv, 0.0, 4.5299530029296875e-06
bat-smg, an, 0.18181818181818182, 1.5735626220703125e-05
bat-smg, kn, 0.0, 1.0728836059570312e-05
bat-smg, bh, 0.0, 5.0067901611328125e-06
bat-smg, bar, 0.25, 1.1920928955078125e-05
bat-smg, ml, 0.0, 1.0251998901367188e-05
bat-smg, io, 0.25, 1.2636184692382812e-05
bat-smg, pa, 0.0, 8.821487426757812e-06
bat-smg, sh, 0.2727272727272727, 1.71661376953125e-05
bat-smg, et, 0.2, 1.9550323486328125e-05
bat-smg, cs, 0.3333333333333333, 1.8358230590820312e-05
bat-smg, ug, 0.0, 9.298324584960938e-06
bat-smg, tg, 0.0, 8.344650268554688e-06
bat-smg, yi, 0.0, 8.821487426757812e-06
bat-smg, nl, 0.08163265306122448, 6.890296936035156e-05
bat-smg, si, 0.0, 9.775161743164062e-06
bat-smg, pt, 0.1, 2.2649765014648438e-05
bat-smg, sd, 0.0, 9.5367431640625e-06
bat-smg, ro, 0.4, 1.3828277587890625e-05
bat-smg, sq, 0.0, 9.298324584960938e-06
bat-smg, ja, 0.0, 1.1205673217773438e-05
bat-smg, ne, 0.0, 5.245208740234375e-06
bat-smg, bi, 0.0, 4.76837158203125e-06
bat-smg, zh-min-nan, 0.0, 9.298324584960938e-06
bat-smg, ht, 0.0, 1.0013580322265625e-05
bat-smg, fy, 0.0, 1.239776611328125e-05
bat-smg, be-tarask, 0.0, 1.0251998901367188e-05
bat-smg, be, 0.0, 1.1682510375976562e-05
bat-smg, is, 0.0, 1.0728836059570312e-05
bat-smg, bjn, 0.0, 9.298324584960938e-06
bat-smg, ta, 0.0, 1.1920928955078125e-05
bat-smg, lfn, 0.0, 1.049041748046875e-05
bat-smg, qu, 0.6666666666666666, 2.0503997802734375e-05
bat-smg, hy, 0.0, 1.239776611328125e-05
bat-smg, cy, 0.0, 9.059906005859375e-06
bat-smg, simple, 0.2857142857142857, 1.6450881958007812e-05
bat-smg, nds-nl, 0.0, 9.5367431640625e-06
bat-smg, la, 0.2, 1.33514404296875e-05
bat-smg, new, 0.0, 8.821487426757812e-06
bat-smg, bo, 0.0, 8.58306884765625e-06
bat-smg, os, 0.0, 9.059906005859375e-06
bat-smg, kbp, 0.0, 8.344650268554688e-06
bat-smg, ka, 0.0, 1.1205673217773438e-05
bat-smg, tt, 0.0, 4.76837158203125e-06
bat-smg, it, 0.14814814814814814, 3.647804260253906e-05
bat-smg, kab, 0.0, 9.298324584960938e-06
bat-smg, ceb, 0.0, 8.58306884765625e-06
bat-smg, he, 0.0, 1.1205673217773438e-05
bat-smg, da, 0.0, 1.8835067749023438e-05
bat-smg, cv, 0.0, 9.5367431640625e-06
bat-smg, fa, 0.0, 1.239776611328125e-05
bat-smg, scn, 1.0, 1.1205673217773438e-05
bat-smg, ps, 0.0, 9.298324584960938e-06
bat-smg, wa, 0.0, 1.0728836059570312e-05
bat-smg, kv, 0.0, 5.245208740234375e-06
bat-smg, en, 0.13333333333333333, 3.886222839355469e-05
bat-smg, als, 0.0, 9.5367431640625e-06
bat-smg, cdo, 0.0, 1.0728836059570312e-05
bat-smg, ksh, 0.0, 5.0067901611328125e-06
bat-smg, tl, 0.0, 9.059906005859375e-06
bat-smg, sk, 0.25, 1.5497207641601562e-05
bat-smg, sw, 0.0, 1.0013580322265625e-05
bat-smg, th, 0.0, 1.0013580322265625e-05
bat-smg, zh-classical, 0.0, 8.58306884765625e-06
bat-smg, dv, 0.0, 5.0067901611328125e-06
bat-smg, ku, 0.0, 8.58306884765625e-06
bat-smg, sr, 0.0, 1.1682510375976562e-05
bat-smg, lmo, 0.0, 9.059906005859375e-06
bat-smg, pih, 0.0, 4.5299530029296875e-06
bat-smg, gv, 0.0, 1.0251998901367188e-05
bat-smg, koi, 0.0, 4.76837158203125e-06
