Language1, Language2, SimilarityScore, Time
bat-smg, bat-smg, 10.004002, 0.0003981590270996094
bat-smg, nds, 0.0, 5.316734313964844e-05
bat-smg, eu, 8.003, 0.00017952919006347656
bat-smg, fi, 7.004001999999999, 0.0001842975616455078
bat-smg, id, 7.004001999999999, 0.0001933574676513672
bat-smg, lb, 1.0, 0.00011754035949707031
bat-smg, ast, 6.0009999999999994, 0.0001533031463623047
bat-smg, fo, 0.0, 4.5299530029296875e-05
bat-smg, ba, 1.0, 0.00010275840759277344
bat-smg, eo, 8.001999999999999, 0.0002269744873046875
bat-smg, sco, 7.003001, 0.00014925003051757812
bat-smg, tk, 0.0, 4.458427429199219e-05
bat-smg, vep, 0.0, 3.314018249511719e-05
bat-smg, ar, 8.0, 0.00014019012451171875
bat-smg, mhr, 1.0, 0.00011181831359863281
bat-smg, fr, 9.004002, 0.0003695487976074219
bat-smg, ia, 2.0, 0.00012373924255371094
bat-smg, mi, 0.0, 4.458427429199219e-05
bat-smg, br, 2.0, 0.00010609626770019531
bat-smg, csb, 0.0, 4.2438507080078125e-05
bat-smg, mr, 1.0, 0.0001010894775390625
bat-smg, hsb, 3.0, 0.00012826919555664062
bat-smg, tr, 6.0009999999999994, 0.00015234947204589844
bat-smg, bcl, 0.0, 4.38690185546875e-05
bat-smg, lv, 5.002, 0.00014829635620117188
bat-smg, mzn, 3.0, 0.00012183189392089844
bat-smg, el, 3.0, 0.00012040138244628906
bat-smg, frr, 0.0, 4.291534423828125e-05
bat-smg, nap, 4.0, 0.00011396408081054688
bat-smg, ang, 1.0, 0.0001087188720703125
bat-smg, sa, 0.0, 4.1961669921875e-05
bat-smg, ce, 1.0, 9.846687316894531e-05
bat-smg, nah, 3.002, 0.0001251697540283203
bat-smg, nv, 0.0, 4.291534423828125e-05
bat-smg, hr, 7.004001999999999, 0.0001671314239501953
bat-smg, bm, 0.0, 4.458427429199219e-05
bat-smg, iu, 1.0, 0.00010228157043457031
bat-smg, za, 2.0, 0.00010991096496582031
bat-smg, nn, 6.0, 0.00013899803161621094
bat-smg, xmf, 1.0, 0.00010848045349121094
bat-smg, es, 8.003, 0.00025463104248046875
bat-smg, pl, 10.0, 0.0002830028533935547
bat-smg, mg, 1.0, 0.00011134147644042969
bat-smg, vi, 6.0, 0.00013947486877441406
bat-smg, zh-yue, 5.0, 0.0001308917999267578
bat-smg, gd, 4.0, 0.00011968612670898438
bat-smg, uk, 10.0, 0.00015735626220703125
bat-smg, ban, 0.0, 4.363059997558594e-05
bat-smg, de, 8.003002, 0.0003571510314941406
bat-smg, diq, 1.0, 0.00011348724365234375
bat-smg, pcd, 0.0, 4.458427429199219e-05
bat-smg, myv, 0.0, 3.24249267578125e-05
bat-smg, an, 4.002, 0.011943340301513672
bat-smg, kn, 5.0, 0.0002579689025878906
bat-smg, bh, 0.0, 4.863739013671875e-05
bat-smg, bar, 3.001, 0.00012826919555664062
bat-smg, ml, 5.0, 0.0001347064971923828
bat-smg, io, 5.0009999999999994, 0.0001366138458251953
bat-smg, pa, 4.0, 0.00012540817260742188
bat-smg, sh, 8.003, 0.00017309188842773438
bat-smg, et, 8.003002, 0.00018644332885742188
bat-smg, cs, 8.004002, 0.00021839141845703125
bat-smg, ug, 2.0, 0.000118255615234375
bat-smg, tg, 3.0, 0.00011682510375976562
bat-smg, yi, 3.0, 0.00011539459228515625
bat-smg, nl, 8.004002, 0.017841339111328125
bat-smg, si, 3.0, 0.00023031234741210938
bat-smg, pt, 8.001999999999999, 0.0005309581756591797
bat-smg, sd, 1.0, 0.0001201629638671875
bat-smg, ro, 6.002, 0.00015878677368164062
bat-smg, sq, 3.0, 0.0001232624053955078
bat-smg, ja, 9.0, 0.00016236305236816406
bat-smg, ne, 0.0, 4.506111145019531e-05
bat-smg, bi, 0.0, 3.314018249511719e-05
bat-smg, zh-min-nan, 3.0, 0.00011038780212402344
bat-smg, ht, 5.0, 0.0001633167266845703
bat-smg, fy, 6.0, 0.0012958049774169922
bat-smg, be-tarask, 4.0, 0.0001227855682373047
bat-smg, be, 8.0, 0.016503572463989258
bat-smg, is, 5.0, 0.00026106834411621094
bat-smg, bjn, 1.0, 0.00012159347534179688
bat-smg, ta, 6.0, 0.00015425682067871094
bat-smg, lfn, 0.0, 4.458427429199219e-05
bat-smg, qu, 6.004002, 0.00014257431030273438
bat-smg, hy, 6.0, 0.00014019012451171875
bat-smg, cy, 1.0, 0.00011038780212402344
bat-smg, simple, 6.001999999999999, 0.00018024444580078125
bat-smg, nds-nl, 1.0, 0.00011110305786132812
bat-smg, la, 6.0009999999999994, 0.00015807151794433594
bat-smg, new, 2.0, 0.00011444091796875
bat-smg, bo, 2.0, 0.00011396408081054688
bat-smg, os, 1.0, 0.00010633468627929688
bat-smg, kbp, 1.0, 0.00010585784912109375
bat-smg, ka, 5.0, 0.0001308917999267578
bat-smg, tt, 0.0, 4.3392181396484375e-05
bat-smg, it, 8.004002, 0.005449771881103516
bat-smg, kab, 3.0, 0.0002510547637939453
bat-smg, ceb, 1.0, 0.00012993812561035156
bat-smg, he, 7.0, 0.003593921661376953
bat-smg, da, 8.0, 0.007880687713623047
bat-smg, cv, 1.0, 0.0002167224884033203
bat-smg, fa, 7.0, 0.00021076202392578125
bat-smg, scn, 3.001, 0.00014162063598632812
bat-smg, ps, 1.0, 0.00012302398681640625
bat-smg, wa, 3.0, 0.0001385211944580078
bat-smg, kv, 0.0, 4.839897155761719e-05
bat-smg, en, 10.004002, 0.0007450580596923828
bat-smg, als, 1.0, 0.00012946128845214844
bat-smg, cdo, 2.0, 0.00012969970703125
bat-smg, ksh, 0.0, 4.863739013671875e-05
bat-smg, tl, 3.0, 0.000125885009765625
bat-smg, sk, 7.002000000000001, 0.00017571449279785156
bat-smg, sw, 5.0, 0.0001595020294189453
bat-smg, th, 4.0, 0.0001442432403564453
bat-smg, zh-classical, 1.0, 0.00012493133544921875
bat-smg, dv, 0.0, 4.696846008300781e-05
bat-smg, ku, 2.0, 0.00012254714965820312
bat-smg, sr, 7.0, 0.00017261505126953125
bat-smg, lmo, 2.0, 0.00013184547424316406
bat-smg, pih, 0.0, 4.792213439941406e-05
bat-smg, gv, 2.0, 0.00013303756713867188
bat-smg, koi, 0.0, 4.57763671875e-05
bat-smg, gn, 2.0, 0.00011706352233886719
bat-smg, lbe, 0.0, 4.220008850097656e-05
bat-smg, azb, 0.0, 3.2901763916015625e-05
bat-smg, sv, 9.0, 0.000164031982421875
bat-smg, oc, 6.004002, 0.0001544952392578125
bat-smg, li, 2.0, 0.00011539459228515625
bat-smg, sah, 2.0, 0.00011372566223144531
bat-smg, no, 6.001999999999999, 0.010974645614624023
bat-smg, as, 1.0, 0.0002052783966064453
bat-smg, roa-rup, 3.0, 0.00014901161193847656
bat-smg, bg, 7.0, 0.0034742355346679688
bat-smg, my, 2.0, 0.00011849403381347656
bat-smg, ckb, 2.0, 0.00011157989501953125
bat-smg, ay, 3.001, 0.00013136863708496094
bat-smg, ady, 0.0, 4.458427429199219e-05
bat-smg, eml, 0.0, 3.409385681152344e-05
bat-smg, ky, 3.0, 0.0001125335693359375
bat-smg, bn, 5.0, 0.00013113021850585938
bat-smg, hak, 1.0, 0.00011110305786132812
bat-smg, udm, 0.0, 4.3392181396484375e-05
bat-smg, lo, 0.0, 3.337860107421875e-05
bat-smg, or, 0.0, 3.218650817871094e-05
bat-smg, chr, 1.0, 0.00010013580322265625
bat-smg, ru, 10.0, 0.00017762184143066406
bat-smg, so, 4.0, 0.00013136863708496094
bat-smg, atj, 2.0, 0.00011682510375976562
bat-smg, hi, 7.0, 0.00014090538024902344
bat-smg, wuu, 5.0, 0.00013303756713867188
bat-smg, sn, 2.0, 0.00011730194091796875
bat-smg, arz, 0.0, 4.458427429199219e-05
bat-smg, szy, 1.0, 0.00010418891906738281
bat-smg, kbd, 0.0, 4.4345855712890625e-05
bat-smg, az, 4.0, 0.00012373924255371094
bat-smg, bs, 6.001999999999999, 0.0002548694610595703
bat-smg, te, 6.0, 0.00013589859008789062
bat-smg, zh, 6.0, 0.00014138221740722656
bat-smg, mk, 6.0, 0.00013589859008789062
bat-smg, ext, 0.0, 4.482269287109375e-05
bat-smg, sl, 5.002, 0.0001678466796875
bat-smg, ti, 0.0, 4.482269287109375e-05
bat-smg, su, 3.0, 0.00012493133544921875
bat-smg, ga, 6.0009999999999994, 0.00015497207641601562
bat-smg, gl, 8.004002, 0.0002605915069580078
bat-smg, hu, 7.0, 0.00015974044799804688
bat-smg, uz, 4.0009999999999994, 0.00014662742614746094
bat-smg, co, 1.0, 0.0001266002655029297
bat-smg, af, 5.0009999999999994, 0.00015878677368164062
bat-smg, mn, 0.0, 5.0067901611328125e-05
bat-smg, mwl, 1.0, 0.00011730194091796875
bat-smg, ko, 8.0, 0.0001628398895263672
bat-smg, ln, 4.0, 0.00013947486877441406
bat-smg, mrj, 1.0, 0.0001239776611328125
