Language1, Language2, SimilarityScore, Time
fi, fi, 1.0, 3.3855438232421875e-05
fi, se, 1.0, 1.2874603271484375e-05
fi, vep, 1.0, 1.0728836059570312e-05
fi, fiu-vro, 1.0, 1.049041748046875e-05
fi, pl, 0.6666666666666666, 4.267692565917969e-05
fi, vi, 0.6666666666666666, 1.1444091796875e-05
fi, uk, 1.0, 1.0251998901367188e-05
fi, de, 0.8, 1.0728836059570312e-05
fi, et, 1.0, 1.049041748046875e-05
fi, cs, 0.6666666666666666, 1.049041748046875e-05
fi, ja, 0.6666666666666666, 1.049041748046875e-05
fi, la, 0.6666666666666666, 1.0967254638671875e-05
fi, en, 0.5454545454545455, 1.6450881958007812e-05
fi, sv, 0.8571428571428571, 1.0728836059570312e-05
fi, ru, 1.0, 1.049041748046875e-05
fi, lt, 1.0, 1.0251998901367188e-05
fi, union, 0.5263157894736842, 1.33514404296875e-05
se, se, 1.0, 9.775161743164062e-06
se, vep, 1.0, 9.5367431640625e-06
se, fiu-vro, 1.0, 1.0251998901367188e-05
se, pl, 0.6666666666666666, 1.0013580322265625e-05
se, vi, 0.6666666666666666, 1.0728836059570312e-05
se, uk, 1.0, 1.0013580322265625e-05
se, de, 0.8, 1.0251998901367188e-05
se, et, 1.0, 1.0013580322265625e-05
se, cs, 0.6666666666666666, 1.0013580322265625e-05
se, ja, 0.6666666666666666, 9.775161743164062e-06
se, la, 0.6666666666666666, 1.0013580322265625e-05
se, en, 0.5454545454545455, 1.2159347534179688e-05
se, sv, 0.8571428571428571, 1.0251998901367188e-05
se, ru, 1.0, 1.0013580322265625e-05
se, lt, 1.0, 1.0013580322265625e-05
se, union, 0.5263157894736842, 1.2159347534179688e-05
vep, vep, 1.0, 1.0013580322265625e-05
vep, fiu-vro, 1.0, 9.298324584960938e-06
vep, pl, 0.6666666666666666, 9.775161743164062e-06
vep, vi, 0.6666666666666666, 1.0013580322265625e-05
vep, uk, 1.0, 9.775161743164062e-06
vep, de, 0.8, 9.775161743164062e-06
vep, et, 1.0, 9.775161743164062e-06
vep, cs, 0.6666666666666666, 1.0251998901367188e-05
vep, ja, 0.6666666666666666, 9.775161743164062e-06
vep, la, 0.6666666666666666, 9.5367431640625e-06
vep, en, 0.5454545454545455, 1.1920928955078125e-05
vep, sv, 0.8571428571428571, 1.0013580322265625e-05
vep, ru, 1.0, 9.775161743164062e-06
vep, lt, 1.0, 1.0013580322265625e-05
vep, union, 0.5263157894736842, 1.1920928955078125e-05
fiu-vro, fiu-vro, 1.0, 9.5367431640625e-06
fiu-vro, pl, 0.6666666666666666, 1.0013580322265625e-05
fiu-vro, vi, 0.6666666666666666, 1.0013580322265625e-05
fiu-vro, uk, 1.0, 9.775161743164062e-06
fiu-vro, de, 0.8, 9.775161743164062e-06
fiu-vro, et, 1.0, 9.775161743164062e-06
fiu-vro, cs, 0.6666666666666666, 9.775161743164062e-06
fiu-vro, ja, 0.6666666666666666, 1.0013580322265625e-05
fiu-vro, la, 0.6666666666666666, 9.775161743164062e-06
fiu-vro, en, 0.5454545454545455, 1.1205673217773438e-05
fiu-vro, sv, 0.8571428571428571, 9.775161743164062e-06
fiu-vro, ru, 1.0, 9.298324584960938e-06
fiu-vro, lt, 1.0, 9.298324584960938e-06
fiu-vro, union, 0.5263157894736842, 1.1444091796875e-05
pl, pl, 1.0, 9.775161743164062e-06
pl, vi, 0.6666666666666666, 9.5367431640625e-06
pl, uk, 0.6666666666666666, 9.298324584960938e-06
pl, de, 0.8, 9.5367431640625e-06
pl, et, 0.6666666666666666, 9.5367431640625e-06
pl, cs, 0.6666666666666666, 9.5367431640625e-06
pl, ja, 0.6666666666666666, 1.0013580322265625e-05
pl, la, 0.6666666666666666, 9.059906005859375e-06
pl, en, 0.5454545454545455, 1.1205673217773438e-05
pl, sv, 0.8571428571428571, 9.5367431640625e-06
pl, ru, 0.6666666666666666, 9.5367431640625e-06
pl, lt, 0.6666666666666666, 9.5367431640625e-06
pl, union, 0.5263157894736842, 1.1205673217773438e-05
vi, vi, 1.0, 9.775161743164062e-06
vi, uk, 0.6666666666666666, 9.5367431640625e-06
vi, de, 0.6666666666666666, 8.821487426757812e-06
vi, et, 0.6666666666666666, 9.298324584960938e-06
vi, cs, 0.6666666666666666, 9.298324584960938e-06
vi, ja, 0.6666666666666666, 9.5367431640625e-06
vi, la, 0.6666666666666666, 9.5367431640625e-06
vi, en, 0.5454545454545455, 1.1205673217773438e-05
vi, sv, 0.6666666666666666, 9.5367431640625e-06
vi, ru, 0.6666666666666666, 9.059906005859375e-06
vi, lt, 0.6666666666666666, 9.775161743164062e-06
vi, union, 0.5263157894736842, 1.1205673217773438e-05
uk, uk, 1.0, 9.298324584960938e-06
uk, de, 0.8, 9.5367431640625e-06
uk, et, 1.0, 9.5367431640625e-06
uk, cs, 0.6666666666666666, 9.5367431640625e-06
uk, ja, 0.6666666666666666, 9.059906005859375e-06
uk, la, 0.6666666666666666, 9.298324584960938e-06
uk, en, 0.5454545454545455, 1.1205673217773438e-05
uk, sv, 0.8571428571428571, 9.5367431640625e-06
uk, ru, 1.0, 9.5367431640625e-06
uk, lt, 1.0, 9.298324584960938e-06
uk, union, 0.5263157894736842, 1.1205673217773438e-05
de, de, 1.0, 9.775161743164062e-06
de, et, 0.8, 9.5367431640625e-06
de, cs, 0.6666666666666666, 9.5367431640625e-06
de, ja, 0.6666666666666666, 9.5367431640625e-06
de, la, 0.6666666666666666, 9.5367431640625e-06
de, en, 0.5714285714285714, 1.1444091796875e-05
de, sv, 0.9090909090909091, 1.0013580322265625e-05
de, ru, 0.8, 9.5367431640625e-06
de, lt, 0.8, 9.298324584960938e-06
de, union, 0.5714285714285714, 1.1444091796875e-05
et, et, 1.0, 9.775161743164062e-06
et, cs, 0.6666666666666666, 9.775161743164062e-06
et, ja, 0.6666666666666666, 9.5367431640625e-06
et, la, 0.6666666666666666, 9.775161743164062e-06
et, en, 0.5454545454545455, 1.1205673217773438e-05
et, sv, 0.8571428571428571, 9.5367431640625e-06
et, ru, 1.0, 9.298324584960938e-06
et, lt, 1.0, 9.5367431640625e-06
et, union, 0.5263157894736842, 1.1205673217773438e-05
cs, cs, 1.0, 1.0013580322265625e-05
cs, ja, 0.6666666666666666, 9.5367431640625e-06
cs, la, 0.6666666666666666, 9.059906005859375e-06
cs, en, 0.5, 1.1205673217773438e-05
cs, sv, 0.6666666666666666, 9.5367431640625e-06
cs, ru, 0.6666666666666666, 9.298324584960938e-06
cs, lt, 0.6666666666666666, 9.298324584960938e-06
cs, union, 0.5263157894736842, 1.1444091796875e-05
ja, ja, 1.0, 9.775161743164062e-06
ja, la, 0.6666666666666666, 9.298324584960938e-06
ja, en, 0.5, 1.1205673217773438e-05
ja, sv, 0.6666666666666666, 9.775161743164062e-06
ja, ru, 0.6666666666666666, 9.298324584960938e-06
ja, lt, 0.6666666666666666, 9.5367431640625e-06
ja, union, 0.55, 1.1682510375976562e-05
la, la, 1.0, 1.0013580322265625e-05
la, en, 0.5454545454545455, 1.1205673217773438e-05
la, sv, 0.6666666666666666, 1.6689300537109375e-05
la, ru, 0.6666666666666666, 9.775161743164062e-06
la, lt, 0.6666666666666666, 9.298324584960938e-06
la, union, 0.5263157894736842, 1.1920928955078125e-05
en, en, 1.0, 1.430511474609375e-05
en, sv, 0.5833333333333333, 1.1444091796875e-05
en, ru, 0.5454545454545455, 1.1205673217773438e-05
en, lt, 0.5454545454545455, 1.0967254638671875e-05
en, union, 0.875, 1.430511474609375e-05
sv, sv, 1.0, 1.0251998901367188e-05
sv, ru, 0.8571428571428571, 9.298324584960938e-06
sv, lt, 0.8571428571428571, 9.298324584960938e-06
sv, union, 0.55, 1.1205673217773438e-05
ru, ru, 1.0, 9.5367431640625e-06
ru, lt, 1.0, 9.775161743164062e-06
ru, union, 0.5263157894736842, 1.1205673217773438e-05
lt, lt, 1.0, 9.775161743164062e-06
lt, union, 0.5263157894736842, 1.1205673217773438e-05
union, union, 1.0, 1.3828277587890625e-05
