Language1, Language2, SimilarityScore, Time
fi, fi, 1.0, 2.002716064453125e-05
fi, se, 1.0, 1.1920928955078125e-05
fi, vep, 1.0, 1.0728836059570312e-05
fi, fiu-vro, 1.0, 1.049041748046875e-05
fi, pl, 1.0, 6.9141387939453125e-06
fi, vi, 1.0, 6.67572021484375e-06
fi, uk, 1.0, 1.049041748046875e-05
fi, de, 1.0, 1.0251998901367188e-05
fi, et, 1.0, 1.0013580322265625e-05
fi, cs, 1.0, 6.4373016357421875e-06
fi, ja, 1.0, 6.4373016357421875e-06
fi, la, 1.0, 6.198883056640625e-06
fi, en, 1.0, 1.049041748046875e-05
fi, sv, 1.0, 1.0013580322265625e-05
fi, ru, 1.0, 1.0013580322265625e-05
fi, lt, 1.0, 1.0251998901367188e-05
se, se, 1.0, 1.0251998901367188e-05
se, vep, 1.0, 1.0013580322265625e-05
se, fiu-vro, 1.0, 1.0013580322265625e-05
se, pl, 1.0, 6.4373016357421875e-06
se, vi, 1.0, 6.4373016357421875e-06
se, uk, 1.0, 1.049041748046875e-05
se, de, 1.0, 1.0013580322265625e-05
se, et, 1.0, 1.0013580322265625e-05
se, cs, 1.0, 6.4373016357421875e-06
se, ja, 1.0, 6.4373016357421875e-06
se, la, 1.0, 6.198883056640625e-06
se, en, 1.0, 1.049041748046875e-05
se, sv, 1.0, 1.0013580322265625e-05
se, ru, 1.0, 9.775161743164062e-06
se, lt, 1.0, 1.0013580322265625e-05
vep, vep, 1.0, 9.5367431640625e-06
vep, fiu-vro, 1.0, 1.0251998901367188e-05
vep, pl, 1.0, 6.9141387939453125e-06
vep, vi, 1.0, 6.4373016357421875e-06
vep, uk, 1.0, 1.0013580322265625e-05
vep, de, 1.0, 1.0013580322265625e-05
vep, et, 1.0, 1.0013580322265625e-05
vep, cs, 1.0, 6.4373016357421875e-06
vep, ja, 1.0, 6.4373016357421875e-06
vep, la, 1.0, 6.198883056640625e-06
vep, en, 1.0, 1.0251998901367188e-05
vep, sv, 1.0, 1.0013580322265625e-05
vep, ru, 1.0, 1.0013580322265625e-05
vep, lt, 1.0, 1.0013580322265625e-05
fiu-vro, fiu-vro, 1.0, 1.0013580322265625e-05
fiu-vro, pl, 1.0, 6.67572021484375e-06
fiu-vro, vi, 1.0, 6.67572021484375e-06
fiu-vro, uk, 1.0, 1.0251998901367188e-05
fiu-vro, de, 1.0, 9.775161743164062e-06
fiu-vro, et, 1.0, 1.0013580322265625e-05
fiu-vro, cs, 1.0, 6.198883056640625e-06
fiu-vro, ja, 1.0, 6.198883056640625e-06
fiu-vro, la, 1.0, 6.198883056640625e-06
fiu-vro, en, 1.0, 1.0013580322265625e-05
fiu-vro, sv, 1.0, 9.775161743164062e-06
fiu-vro, ru, 1.0, 9.775161743164062e-06
fiu-vro, lt, 1.0, 1.0013580322265625e-05
pl, pl, 1.0, 9.775161743164062e-06
pl, vi, 1.0, 6.198883056640625e-06
pl, uk, 1.0, 6.4373016357421875e-06
pl, de, 1.0, 1.049041748046875e-05
pl, et, 1.0, 6.67572021484375e-06
pl, cs, 1.0, 6.4373016357421875e-06
pl, ja, 1.0, 6.198883056640625e-06
pl, la, 1.0, 6.4373016357421875e-06
pl, en, 1.0, 1.049041748046875e-05
pl, sv, 1.0, 1.0013580322265625e-05
pl, ru, 1.0, 6.67572021484375e-06
pl, lt, 1.0, 6.4373016357421875e-06
vi, vi, 1.0, 1.0251998901367188e-05
vi, uk, 1.0, 6.4373016357421875e-06
vi, de, 1.0, 6.4373016357421875e-06
vi, et, 1.0, 6.198883056640625e-06
vi, cs, 1.0, 6.198883056640625e-06
vi, ja, 1.0, 5.9604644775390625e-06
vi, la, 1.0, 6.198883056640625e-06
vi, en, 1.0, 1.0251998901367188e-05
vi, sv, 1.0, 6.4373016357421875e-06
vi, ru, 1.0, 6.198883056640625e-06
vi, lt, 1.0, 6.4373016357421875e-06
uk, uk, 1.0, 1.0251998901367188e-05
uk, de, 1.0, 1.0013580322265625e-05
uk, et, 1.0, 9.775161743164062e-06
uk, cs, 1.0, 6.198883056640625e-06
uk, ja, 1.0, 5.9604644775390625e-06
uk, la, 1.0, 6.4373016357421875e-06
uk, en, 1.0, 1.049041748046875e-05
uk, sv, 1.0, 1.0251998901367188e-05
uk, ru, 1.0, 1.0013580322265625e-05
uk, lt, 1.0, 1.0013580322265625e-05
de, de, 1.0, 1.0251998901367188e-05
de, et, 1.0, 9.775161743164062e-06
de, cs, 1.0, 6.67572021484375e-06
de, ja, 1.0, 6.198883056640625e-06
de, la, 1.0, 6.4373016357421875e-06
de, en, 1.0, 1.049041748046875e-05
de, sv, 1.0, 1.049041748046875e-05
de, ru, 1.0, 9.775161743164062e-06
de, lt, 1.0, 1.0967254638671875e-05
et, et, 1.0, 1.0013580322265625e-05
et, cs, 1.0, 6.4373016357421875e-06
et, ja, 1.0, 6.4373016357421875e-06
et, la, 1.0, 6.67572021484375e-06
et, en, 1.0, 9.775161743164062e-06
et, sv, 1.0, 9.775161743164062e-06
et, ru, 1.0, 1.0013580322265625e-05
et, lt, 1.0, 9.775161743164062e-06
cs, cs, 1.0, 1.0013580322265625e-05
cs, ja, 1.0, 6.67572021484375e-06
cs, la, 1.0, 7.152557373046875e-06
cs, en, 1.0, 6.198883056640625e-06
cs, sv, 1.0, 6.9141387939453125e-06
cs, ru, 1.0, 6.4373016357421875e-06
cs, lt, 1.0, 6.198883056640625e-06
ja, ja, 1.0, 1.0728836059570312e-05
ja, la, 1.0, 6.4373016357421875e-06
ja, en, 1.0, 6.198883056640625e-06
ja, sv, 1.0, 5.9604644775390625e-06
ja, ru, 1.0, 6.198883056640625e-06
ja, lt, 1.0, 6.198883056640625e-06
la, la, 1.0, 1.0251998901367188e-05
la, en, 1.0, 9.775161743164062e-06
la, sv, 1.0, 6.198883056640625e-06
la, ru, 1.0, 0.00035309791564941406
la, lt, 1.0, 6.9141387939453125e-06
en, en, 1.0, 1.71661376953125e-05
en, sv, 1.0, 1.0251998901367188e-05
en, ru, 1.0, 1.0013580322265625e-05
en, lt, 1.0, 1.0013580322265625e-05
sv, sv, 1.0, 1.0013580322265625e-05
sv, ru, 1.0, 1.0251998901367188e-05
sv, lt, 1.0, 1.0967254638671875e-05
ru, ru, 1.0, 1.0251998901367188e-05
ru, lt, 1.0, 1.0251998901367188e-05
lt, lt, 1.0, 9.5367431640625e-06
