Language1, Language2, SimilarityScore, Time
bat-smg, bat-smg, 1.0, 4.601478576660156e-05
bat-smg, nds, 0.6666666666666666, 1.621246337890625e-05
bat-smg, eu, 0.5092592592592593, 5.316734313964844e-05
bat-smg, fi, 0.50625, 5.936622619628906e-05
bat-smg, id, 0.5059523809523809, 5.698204040527344e-05
bat-smg, lb, 0.6666666666666666, 1.3828277587890625e-05
bat-smg, ast, 0.5128205128205129, 2.193450927734375e-05
bat-smg, fo, 0.6666666666666666, 1.2874603271484375e-05
bat-smg, ba, 0.6666666666666666, 1.1682510375976562e-05
bat-smg, eo, 0.51, 2.9802322387695312e-05
bat-smg, zu, 0.6666666666666666, 1.2636184692382812e-05
bat-smg, sco, 0.6938775510204082, 1.3113021850585938e-05
bat-smg, tk, 0.6666666666666666, 1.1444091796875e-05
bat-smg, se, 0.7692307692307692, 1.1682510375976562e-05
bat-smg, ar, 0.6691943127962084, 3.9577484130859375e-05
bat-smg, fr, 0.5020080321285141, 0.00023889541625976562
bat-smg, ia, 0.6666666666666666, 1.3589859008789062e-05
bat-smg, br, 0.8571428571428571, 1.239776611328125e-05
bat-smg, mr, 0.75, 1.239776611328125e-05
bat-smg, ak, 0.7692307692307692, 1.2159347534179688e-05
bat-smg, map-bms, 0.6666666666666666, 1.1682510375976562e-05
bat-smg, tr, 0.5064102564102565, 4.553794860839844e-05
bat-smg, bcl, 0.6666666666666666, 1.3113021850585938e-05
bat-smg, lv, 0.5147058823529412, 1.811981201171875e-05
bat-smg, mzn, 0.6666666666666666, 1.2159347534179688e-05
bat-smg, el, 0.6870229007633588, 1.5020370483398438e-05
bat-smg, frr, 0.6666666666666666, 1.1682510375976562e-05
bat-smg, nap, 0.6666666666666666, 1.1444091796875e-05
bat-smg, ang, 0.6666666666666666, 1.1920928955078125e-05
bat-smg, sa, 0.6666666666666666, 1.1444091796875e-05
bat-smg, nah, 0.6666666666666666, 1.1682510375976562e-05
bat-smg, din, 0.6666666666666666, 1.1205673217773438e-05
bat-smg, hr, 0.5076923076923077, 3.528594970703125e-05
bat-smg, sc, 0.6666666666666666, 1.2159347534179688e-05
bat-smg, nso, 0.6666666666666666, 1.1682510375976562e-05
bat-smg, za, 0.6666666666666666, 1.1444091796875e-05
bat-smg, nn, 0.5172413793103449, 1.9788742065429688e-05
bat-smg, xmf, 0.6666666666666666, 1.1682510375976562e-05
bat-smg, rue, 0.6666666666666666, 1.1920928955078125e-05
bat-smg, es, 0.5021367521367521, 0.00015878677368164062
bat-smg, fiu-vro, 0.6666666666666666, 1.2636184692382812e-05
bat-smg, pl, 0.502, 0.00014472007751464844
bat-smg, vi, 0.5058823529411764, 2.1696090698242188e-05
bat-smg, zh-yue, 0.7012987012987012, 1.5735626220703125e-05
bat-smg, gd, 0.6666666666666666, 1.1682510375976562e-05
bat-smg, uk, 0.6723768736616702, 2.1696090698242188e-05
bat-smg, de, 0.5020325203252033, 0.0001647472381591797
bat-smg, km, 0.6666666666666666, 1.33514404296875e-05
bat-smg, hif, 0.6666666666666666, 2.0742416381835938e-05
bat-smg, diq, 0.6666666666666666, 1.239776611328125e-05
bat-smg, myv, 0.6666666666666666, 1.2874603271484375e-05
bat-smg, an, 0.5, 1.6689300537109375e-05
bat-smg, kn, 0.7027027027027026, 1.71661376953125e-05
bat-smg, bar, 0.5, 1.33514404296875e-05
bat-smg, yo, 0.6666666666666666, 1.3828277587890625e-05
bat-smg, ml, 0.7027027027027026, 1.71661376953125e-05
bat-smg, io, 0.5102040816326531, 1.71661376953125e-05
bat-smg, pa, 0.7368421052631579, 1.4781951904296875e-05
bat-smg, sh, 0.5058823529411764, 0.0005552768707275391
