Language1, Language2, SimilarityScore, Time
bat-smg, bat-smg, 1.0, 0.0002524852752685547
bat-smg, nds, 1.0, 0.00011491775512695312
bat-smg, eu, 0.5, 0.0001838207244873047
bat-smg, fi, 0.5, 0.0002033710479736328
bat-smg, id, 0.5, 0.00018668174743652344
bat-smg, lb, 1.0, 0.00013399124145507812
bat-smg, ast, 1.0, 0.00014400482177734375
bat-smg, kl, 1.0, 0.0001010894775390625
bat-smg, fo, 1.0, 0.00011157989501953125
bat-smg, ba, 1.0, 0.00011420249938964844
bat-smg, eo, 0.5, 0.00017189979553222656
bat-smg, zu, 1.0, 0.00010538101196289062
bat-smg, sco, 1.0, 0.00013399124145507812
bat-smg, tk, 1.0, 0.00010609626770019531
bat-smg, se, 0.0, 0.00010609626770019531
bat-smg, vep, 1.0, 0.00010132789611816406
bat-smg, ar, 1.0, 0.00016880035400390625
bat-smg, mhr, 1.0, 9.632110595703125e-05
bat-smg, fr, 0.585786437626905, 0.0002758502960205078
bat-smg, stq, 1.0, 0.00011086463928222656
bat-smg, pdc, 0.0, 0.00011086463928222656
bat-smg, ia, 1.0, 0.00012564659118652344
bat-smg, br, 1.0, 0.00016045570373535156
bat-smg, av, 1.0, 0.00010943412780761719
bat-smg, mr, 1.0, 0.00012803077697753906
bat-smg, hsb, 1.0, 0.000102996826171875
bat-smg, map-bms, 1.0, 0.00010013580322265625
bat-smg, tw, 1.0, 0.00010013580322265625
bat-smg, tr, 1.0, 0.000171661376953125
bat-smg, bcl, 1.0, 9.34600830078125e-05
bat-smg, lv, 1.0, 0.0001590251922607422
bat-smg, mzn, 1.0, 9.441375732421875e-05
bat-smg, el, 1.0, 0.00015616416931152344
bat-smg, frr, 1.0, 0.00010919570922851562
bat-smg, nap, 1.0, 9.703636169433594e-05
bat-smg, ang, 1.0, 9.679794311523438e-05
bat-smg, sa, 0.0, 9.679794311523438e-05
bat-smg, ce, 1.0, 9.489059448242188e-05
bat-smg, vo, 1.0, 9.179115295410156e-05
bat-smg, nah, 1.0, 8.797645568847656e-05
bat-smg, nv, 0.0, 8.797645568847656e-05
bat-smg, din, 0.0, 8.797645568847656e-05
bat-smg, hr, 0.5, 0.0001685619354248047
bat-smg, sc, 1.0, 0.00010085105895996094
bat-smg, inh, 1.0, 9.322166442871094e-05
bat-smg, za, 1.0, 9.5367431640625e-05
bat-smg, nn, 1.0, 0.0001461505889892578
bat-smg, crh, 0.0, 0.0001461505889892578
bat-smg, xmf, 1.0, 0.00011515617370605469
bat-smg, rue, 1.0, 9.72747802734375e-05
bat-smg, es, 0.585786437626905, 0.00023293495178222656
bat-smg, fiu-vro, 1.0, 0.00010967254638671875
bat-smg, pl, 0.585786437626905, 0.00026917457580566406
bat-smg, mg, 1.0, 0.00010752677917480469
bat-smg, vi, 1.0, 0.00016689300537109375
bat-smg, zh-yue, 1.0, 0.00012803077697753906
bat-smg, sm, 0.0, 0.00012803077697753906
bat-smg, gd, 1.0, 0.00010013580322265625
bat-smg, uk, 1.0, 0.00017380714416503906
bat-smg, ban, 1.0, 9.870529174804688e-05
bat-smg, de, 0.5, 0.0002460479736328125
bat-smg, km, 1.0, 0.00010967254638671875
bat-smg, hif, 1.0, 0.0001232624053955078
bat-smg, gom, 0.0, 0.0001232624053955078
bat-smg, diq, 1.0, 0.00011110305786132812
bat-smg, pap, 1.0, 9.751319885253906e-05
bat-smg, pcd, 1.0, 0.00010895729064941406
bat-smg, myv, 1.0, 9.608268737792969e-05
bat-smg, an, 1.0, 0.00012803077697753906
bat-smg, kn, 1.0, 0.00010323524475097656
bat-smg, bh, 1.0, 9.584426879882812e-05
bat-smg, bar, 1.0, 9.5367431640625e-05
bat-smg, yo, 1.0, 9.393692016601562e-05
bat-smg, ny, 1.0, 9.703636169433594e-05
bat-smg, ml, 1.0, 0.0001552104949951172
bat-smg, io, 1.0, 0.00013589859008789062
bat-smg, pa, 1.0, 0.00012493133544921875
bat-smg, sh, 0.585786437626905, 0.00015854835510253906
bat-smg, et, 1.0, 0.0001709461212158203
bat-smg, cs, 1.0, 0.0001804828643798828
