Language1, Language2, SimilarityScore, Time
eu, eu, 1.0, 0.023047208786010742
eu, fi, 1.0, 0.021436214447021484
eu, id, 0.6855797626522375, 0.0030837059020996094
eu, ast, 1.0, 0.0028183460235595703
eu, eo, 1.0, 0.005536317825317383
eu, sco, 1.0, 0.00402069091796875
eu, ar, 1.0, 0.0028104782104492188
eu, fr, 0.6243549751122636, 0.002867460250854492
eu, stq, 1.0, 0.0027701854705810547
eu, mr, 1.0, 0.007403135299682617
eu, tr, 1.0, 0.003966331481933594
eu, el, 1.0, 0.0027756690979003906
eu, frr, 1.0, 0.0027561187744140625
eu, ang, 1.0, 0.002593994140625
eu, hr, 1.0, 0.00774836540222168
eu, nn, 1.0, 0.0031332969665527344
eu, es, 0.685579762652238, 0.004764556884765625
eu, pl, 0.6855797626522382, 0.0028090476989746094
eu, vi, 1.0, 0.0010743141174316406
eu, zh-yue, 1.0, 0.011968851089477539
eu, uk, 1.0, 0.007978200912475586
eu, de, 0.21105643729749446, 0.015924453735351562
eu, kn, 1.0, 0.012008190155029297
eu, ml, 1.0, 0.007903099060058594
eu, pa, 1.0, 0.003979206085205078
eu, sh, 1.0, 0.00395655632019043
eu, et, 0.35516296313352186, 0.007978200912475586
eu, cs, 1.0, 0.003943681716918945
eu, tg, 1.0, 0.007966041564941406
eu, yi, 1.0, 0.00798487663269043
eu, nl, 0.2776577704982817, 0.007962465286254883
eu, si, 1.0, 0.007956981658935547
eu, pt, 0.35516296313352164, 0.007982254028320312
eu, ro, 1.0, 0.0005450248718261719
eu, sq, 0.6855797626522382, 0.0005428791046142578
eu, ja, 1.0, 0.00054168701171875
eu, zh-min-nan, 1.0, 0.00626683235168457
eu, fy, 1.0, 0.007954120635986328
eu, gcr, 1.0, 0.003981113433837891
eu, be-tarask, 1.0, 0.0005388259887695312
eu, be, 1.0, 0.007390499114990234
eu, is, 1.0, 0.007964849472045898
eu, ta, 1.0, 0.0005602836608886719
eu, hy, 1.0, 0.0073697566986083984
eu, cy, 1.0, 0.003979921340942383
eu, simple, 0.23919242839040894, 0.007993936538696289
eu, nds-nl, 1.0, 0.007921218872070312
eu, la, 1.0, 0.0039730072021484375
eu, ka, 1.0, 0.007969856262207031
eu, tt, 1.0, 0.0005431175231933594
eu, it, 0.1969728413044408, 0.0005412101745605469
eu, he, 1.0, 0.0005381107330322266
eu, da, 0.35516296313352186, 0.0062541961669921875
eu, fa, 1.0, 0.007987260818481445
eu, scn, 1.0, 0.007952451705932617
eu, en, 0.08650578875664774, 0.011987686157226562
eu, als, 1.0, 0.003957033157348633
eu, tl, 1.0, 0.0005376338958740234
eu, sk, 1.0, 0.0005376338958740234
eu, th, 1.0, 0.0005362033843994141
eu, sr, 1.0, 0.006247758865356445
eu, sv, 1.0, 0.007974386215209961
eu, no, 1.0, 0.007960081100463867
eu, as, 1.0, 0.008008241653442383
eu, bg, 1.0, 0.007903099060058594
eu, my, 1.0, 0.007962942123413086
eu, ckb, 1.0, 0.00795888900756836
eu, gu, 1.0, 0.007955312728881836
eu, bn, 1.0, 0.00797128677368164
eu, or, 1.0, 0.0005404949188232422
eu, ru, 1.0, 0.007399559020996094
eu, hi, 1.0, 0.0005505084991455078
eu, az, 1.0, 0.007418632507324219
eu, bs, 1.0, 0.007941484451293945
eu, te, 1.0, 0.007965087890625
eu, zh, 1.0, 0.007974624633789062
eu, mk, 1.0, 0.0005450248718261719
eu, sl, 1.0, 0.0074045658111572266
eu, ga, 1.0, 0.007972955703735352
eu, gl, 1.0, 0.007965803146362305
eu, hu, 1.0, 0.00793766975402832
eu, af, 1.0, 0.0005419254302978516
eu, ko, 1.0, 0.007406949996948242
eu, ms, 1.0, 0.007970094680786133
eu, ca, 0.35516296313352186, 0.0005550384521484375
eu, pnb, 1.0, 0.00054168701171875
eu, war, 1.0, 0.0005364418029785156
eu, lt, 1.0, 0.0005366802215576172
eu, kk, 1.0, 0.00568079948425293
eu, ur, 1.0, 0.00796198844909668
eu, union, 0.08389302467133379, 0.007964134216308594
fi, fi, 1.0, 0.007966756820678711
fi, id, 0.6855797626522375, 0.007959365844726562
fi, ast, 1.0, 0.008008956909179688
fi, eo, 1.0, 0.007934808731079102
fi, sco, 1.0, 0.007975578308105469
fi, ar, 1.0, 0.007942438125610352
fi, fr, 0.6243549751122636, 0.007954835891723633
fi, stq, 1.0, 0.007962942123413086
fi, mr, 1.0, 0.0005352497100830078
fi, tr, 1.0, 0.0005366802215576172
fi, el, 1.0, 0.0005347728729248047
fi, frr, 1.0, 0.006305217742919922
fi, ang, 1.0, 0.0005543231964111328
fi, hr, 1.0, 0.0005381107330322266
fi, nn, 1.0, 0.006826639175415039
fi, es, 0.685579762652238, 0.007917404174804688
fi, pl, 0.6855797626522382, 0.00799107551574707
fi, vi, 1.0, 0.00793147087097168
fi, zh-yue, 1.0, 0.0005486011505126953
fi, uk, 1.0, 0.0005371570587158203
fi, de, 0.21105643729749446, 0.006839275360107422
fi, kn, 1.0, 0.007959127426147461
fi, ml, 1.0, 0.007964611053466797
fi, pa, 1.0, 0.007970333099365234
fi, sh, 1.0, 0.0005347728729248047
fi, et, 0.35516296313352186, 0.0005366802215576172
fi, cs, 1.0, 0.0005397796630859375
fi, tg, 1.0, 0.0005350112915039062
fi, yi, 1.0, 0.0005338191986083984
fi, nl, 0.2776577704982817, 0.005164384841918945
fi, si, 1.0, 0.003972291946411133
fi, pt, 0.35516296313352164, 0.007952451705932617
fi, ro, 1.0, 0.007968664169311523
fi, sq, 0.6855797626522382, 0.003987550735473633
fi, ja, 1.0, 0.007962226867675781
fi, zh-min-nan, 1.0, 0.00793600082397461
fi, fy, 1.0, 0.007977962493896484
fi, gcr, 1.0, 0.007962226867675781
