Language1, Language2, SimilarityScore, Time
eu, eu, 3.0, 0.0002624988555908203
eu, fi, 2.0, 0.00012612342834472656
eu, id, 3.0, 0.00012445449829101562
eu, ast, 1.0, 0.00010824203491210938
eu, eo, 2.0, 0.00011110305786132812
eu, sco, 2.0, 0.00010633468627929688
eu, ar, 3.0, 0.00011992454528808594
eu, fr, 3.0, 0.000125885009765625
eu, stq, 0.0, 3.9577484130859375e-05
eu, mr, 2.0, 0.0001010894775390625
eu, tr, 3.0, 0.00011157989501953125
eu, el, 2.0, 0.00010752677917480469
eu, frr, 0.0, 3.838539123535156e-05
eu, ang, 0.0, 3.0040740966796875e-05
eu, hr, 2.0, 9.775161743164062e-05
eu, nn, 2.0, 0.00010251998901367188
eu, es, 3.0, 0.00011706352233886719
eu, pl, 2.0, 0.00011229515075683594
eu, vi, 1.0, 0.00010251998901367188
eu, zh-yue, 1.0, 9.942054748535156e-05
eu, uk, 3.0, 0.00011754035949707031
eu, de, 3.0, 0.00012493133544921875
eu, kn, 0.0, 3.790855407714844e-05
eu, ml, 1.0, 9.608268737792969e-05
eu, pa, 0.0, 3.838539123535156e-05
eu, sh, 1.0, 9.369850158691406e-05
eu, et, 1.0, 0.00012803077697753906
eu, cs, 2.0, 0.00010895729064941406
eu, tg, 0.0, 3.838539123535156e-05
eu, yi, 2.0, 9.822845458984375e-05
eu, nl, 2.0, 0.00011372566223144531
eu, si, 1.0, 0.00010013580322265625
eu, pt, 3.0, 0.00012087821960449219
eu, ro, 2.0, 0.00010347366333007812
eu, sq, 0.0, 4.029273986816406e-05
eu, ja, 3.0, 0.00010776519775390625
eu, zh-min-nan, 0.0, 3.814697265625e-05
eu, fy, 1.0, 9.465217590332031e-05
eu, gcr, 1.0, 0.00010561943054199219
eu, be-tarask, 0.0, 3.719329833984375e-05
eu, be, 1.0, 9.202957153320312e-05
eu, is, 1.0, 9.72747802734375e-05
eu, ta, 1.0, 9.775161743164062e-05
eu, hy, 1.0, 9.703636169433594e-05
eu, cy, 2.0, 0.00010561943054199219
eu, simple, 2.0, 0.00011110305786132812
eu, nds-nl, 0.0, 3.8623809814453125e-05
eu, la, 1.0, 0.00010538101196289062
eu, ka, 0.0, 3.504753112792969e-05
eu, tt, 1.0, 8.678436279296875e-05
eu, it, 3.0, 0.0001327991485595703
eu, he, 2.0, 0.00010132789611816406
eu, da, 2.0, 9.965896606445312e-05
eu, fa, 3.0, 0.000118255615234375
eu, scn, 1.0, 0.00010013580322265625
eu, en, 3.0, 0.004744052886962891
eu, als, 0.0, 4.506111145019531e-05
eu, tl, 2.0, 0.00010728836059570312
eu, sk, 1.0, 0.00010395050048828125
eu, th, 2.0, 0.00010752677917480469
eu, sr, 2.0, 0.0007369518280029297
eu, sv, 2.0, 0.00025391578674316406
eu, no, 1.0, 0.00010442733764648438
eu, as, 0.0, 3.790855407714844e-05
eu, bg, 2.0, 9.894371032714844e-05
eu, my, 0.0, 3.743171691894531e-05
eu, ckb, 0.0, 2.8371810913085938e-05
eu, gu, 0.0, 2.7418136596679688e-05
eu, bn, 1.0, 9.274482727050781e-05
eu, or, 0.0, 3.6716461181640625e-05
eu, ru, 3.0, 0.00092315673828125
eu, hi, 2.0, 0.0002586841583251953
eu, az, 1.0, 0.00010466575622558594
eu, bs, 0.0, 3.790855407714844e-05
eu, te, 1.0, 9.250640869140625e-05
eu, zh, 2.0, 0.0001270771026611328
eu, mk, 1.0, 0.00010085105895996094
eu, sl, 1.0, 9.870529174804688e-05
eu, ga, 1.0, 9.679794311523438e-05
eu, gl, 1.0, 9.584426879882812e-05
eu, hu, 1.0, 9.489059448242188e-05
eu, af, 0.0, 3.719329833984375e-05
eu, ko, 3.0, 0.0014004707336425781
eu, ms, 1.0, 0.00010371208190917969
eu, ca, 2.0, 0.0003864765167236328
eu, pnb, 0.0, 3.933906555175781e-05
eu, war, 1.0, 9.512901306152344e-05
eu, lt, 1.0, 9.72747802734375e-05
eu, kk, 1.0, 9.655952453613281e-05
eu, ur, 1.0, 9.560585021972656e-05
eu, union, 3.0, 0.0015735626220703125
fi, fi, 13.0, 0.022957801818847656
fi, id, 5.0, 0.0024166107177734375
fi, ast, 1.0, 0.0001685619354248047
fi, eo, 4.0, 0.0009260177612304688
fi, sco, 2.0, 0.00042629241943359375
fi, ar, 4.0, 0.000457763671875
fi, fr, 8.0, 0.0005526542663574219
fi, stq, 0.0, 4.220008850097656e-05
fi, mr, 2.0, 0.00010514259338378906
fi, tr, 3.0, 0.0008275508880615234
fi, el, 2.0, 0.00011086463928222656
fi, frr, 0.0, 4.00543212890625e-05
fi, ang, 2.0, 0.0013201236724853516
fi, hr, 3.0, 0.0025246143341064453
fi, nn, 2.0, 0.0002002716064453125
fi, es, 7.0, 0.0016798973083496094
fi, pl, 5.0, 0.0006313323974609375
fi, vi, 2.0, 0.0006308555603027344
fi, zh-yue, 1.0, 0.00012922286987304688
fi, uk, 7.0, 0.0033767223358154297
fi, de, 10.0, 0.002082347869873047
fi, kn, 0.0, 4.6253204345703125e-05
fi, ml, 1.0, 0.00010728836059570312
fi, pa, 0.0, 3.9577484130859375e-05
fi, sh, 1.0, 9.703636169433594e-05
fi, et, 2.0, 0.005802154541015625
fi, cs, 3.0, 0.000782012939453125
fi, tg, 0.0, 4.1484832763671875e-05
fi, yi, 2.0, 0.0005156993865966797
fi, nl, 7.0, 0.0005543231964111328
fi, si, 0.0, 4.2438507080078125e-05
fi, pt, 4.0, 0.0005817413330078125
fi, ro, 2.0, 0.0004107952117919922
fi, sq, 0.0, 4.220008850097656e-05
fi, ja, 6.0, 0.00014472007751464844
fi, zh-min-nan, 0.0, 4.172325134277344e-05
fi, fy, 1.0, 0.00010228157043457031
fi, gcr, 1.0, 0.00010466575622558594
fi, be-tarask, 0.0, 3.9577484130859375e-05
fi, be, 2.0, 0.001653432846069336
fi, is, 1.0, 0.00010323524475097656
fi, ta, 1.0, 0.00010061264038085938
fi, hy, 1.0, 9.799003601074219e-05
fi, cy, 1.0, 9.751319885253906e-05
fi, simple, 4.0, 0.004674196243286133
fi, nds-nl, 0.0, 6.67572021484375e-05
fi, la, 1.0, 0.00014472007751464844
fi, ka, 0.0, 3.719329833984375e-05
fi, tt, 1.0, 9.036064147949219e-05
fi, it, 6.0, 0.0015609264373779297
fi, he, 3.0, 0.0004286766052246094
fi, da, 3.0, 0.00040149688720703125
fi, fa, 5.0, 0.0004584789276123047
fi, scn, 1.0, 0.00010609626770019531
fi, en, 12.0, 0.0057830810546875
fi, als, 0.0, 7.915496826171875e-05
fi, tl, 1.0, 0.0001513957977294922
fi, sk, 1.0, 0.00011539459228515625
fi, th, 3.0, 0.0014011859893798828
fi, sr, 2.0, 0.00011539459228515625
fi, sv, 4.0, 0.0007524490356445312
fi, no, 1.0, 0.00010704994201660156
fi, as, 0.0, 3.933906555175781e-05
fi, bg, 2.0, 9.989738464355469e-05
fi, my, 0.0, 3.886222839355469e-05
fi, ckb, 0.0, 2.9087066650390625e-05
fi, gu, 0.0, 2.86102294921875e-05
fi, bn, 1.0, 9.393692016601562e-05
fi, or, 0.0, 3.790855407714844e-05
fi, ru, 6.0, 0.0018532276153564453
fi, hi, 2.0, 0.00013828277587890625
fi, az, 1.0, 0.00010347366333007812
fi, bs, 0.0, 4.5299530029296875e-05
fi, te, 1.0, 9.441375732421875e-05
fi, zh, 5.0, 0.0015456676483154297
fi, mk, 1.0, 0.00011348724365234375
fi, sl, 1.0, 9.584426879882812e-05
fi, ga, 1.0, 9.489059448242188e-05
fi, gl, 1.0, 9.34600830078125e-05
fi, hu, 2.0, 0.00010204315185546875
fi, af, 0.0, 3.790855407714844e-05
fi, ko, 4.0, 0.0018486976623535156
fi, ms, 1.0, 0.0001437664031982422
fi, ca, 4.0, 0.008458137512207031
fi, pnb, 0.0, 7.295608520507812e-05
fi, war, 0.0, 3.147125244140625e-05
fi, lt, 0.0, 2.8371810913085938e-05
fi, kk, 1.0, 0.0001513957977294922
fi, ur, 1.0, 0.00010275840759277344
fi, union, 13.0, 0.00745081901550293
id, id, 17.000999999999998, 0.007945537567138672
id, ast, 1.0, 0.00018715858459472656
id, eo, 3.0, 0.0001399517059326172
id, sco, 3.0, 0.0013010501861572266
id, ar, 9.0, 0.0005404949188232422
id, fr, 13.001, 0.0006175041198730469
id, stq, 0.0, 4.601478576660156e-05
id, mr, 2.0, 0.0005462169647216797
id, tr, 6.0, 0.0005233287811279297
id, el, 2.0, 0.00011730194091796875
id, frr, 0.0, 4.220008850097656e-05
id, ang, 1.0, 0.00010371208190917969
id, hr, 5.0, 0.0011417865753173828
id, nn, 3.0, 0.0004124641418457031
id, es, 12.0, 0.0058727264404296875
id, pl, 6.0, 0.007936716079711914
id, vi, 5.0, 0.003944873809814453
id, zh-yue, 2.0, 0.00046324729919433594
id, uk, 7.0, 0.0001595020294189453
id, de, 12.0, 0.007307529449462891
id, kn, 0.0, 6.818771362304688e-05
id, ml, 1.0, 0.00014066696166992188
id, pa, 0.0, 4.38690185546875e-05
id, sh, 4.0, 0.0011932849884033203
id, et, 1.0, 0.00011610984802246094
id, cs, 7.0, 0.0008871555328369141
id, tg, 0.0, 4.673004150390625e-05
id, yi, 2.0, 0.0005433559417724609
id, nl, 6.0, 0.0004868507385253906
id, si, 1.0, 0.0001285076141357422
id, pt, 8.0, 0.0008614063262939453
id, ro, 3.0, 0.00043272972106933594
id, sq, 1.0, 0.0001125335693359375
id, ja, 9.0, 0.0067081451416015625
