Language1, Language2, SimilarityScore, Time
nds, nds, 1.0, 0.0002143383026123047
nds, eu, 0.0, 4.482269287109375e-05
nds, fi, 0.0, 3.147125244140625e-05
nds, id, 0.0, 3.4809112548828125e-05
nds, lb, 0.0, 2.7894973754882812e-05
nds, ast, 0.0, 2.7179718017578125e-05
nds, ba, 0.0, 2.6702880859375e-05
nds, eo, 0.0, 2.7179718017578125e-05
nds, ar, 0.0, 2.7894973754882812e-05
nds, fr, 0.0, 0.00014829635620117188
nds, br, 0.0, 2.86102294921875e-05
nds, tr, 0.0, 2.6464462280273438e-05
nds, bcl, 0.0, 2.5033950805664062e-05
nds, el, 0.0, 2.5033950805664062e-05
nds, sa, 0.0, 2.4318695068359375e-05
nds, hr, 0.0, 2.47955322265625e-05
nds, nn, 0.0, 2.4557113647460938e-05
nds, es, 0.0, 3.1948089599609375e-05
nds, pl, 0.0, 2.574920654296875e-05
nds, vi, 0.0, 2.47955322265625e-05
nds, zh-yue, 0.0, 2.4080276489257812e-05
nds, uk, 0.0, 2.5272369384765625e-05
nds, de, 0.0, 6.437301635742188e-05
nds, gom, 0.0, 2.5987625122070312e-05
nds, pcd, 0.0, 2.4557113647460938e-05
nds, kn, 0.0, 3.0994415283203125e-05
nds, bh, 0.0, 2.4080276489257812e-05
nds, ml, 0.0, 2.5272369384765625e-05
nds, sh, 0.0, 2.4557113647460938e-05
nds, et, 0.0, 2.47955322265625e-05
nds, cs, 0.0, 2.5033950805664062e-05
nds, gor, 0.0, 2.4318695068359375e-05
nds, nl, 0.0, 8.940696716308594e-05
nds, si, 0.0, 2.6226043701171875e-05
nds, pt, 0.0, 2.9325485229492188e-05
nds, ro, 0.0, 2.574920654296875e-05
nds, ja, 0.0, 2.6464462280273438e-05
nds, ne, 0.0, 2.47955322265625e-05
nds, zh-min-nan, 0.0, 2.4557113647460938e-05
nds, fy, 0.0, 2.47955322265625e-05
nds, be-tarask, 0.0, 2.4318695068359375e-05
nds, be, 0.0, 2.5272369384765625e-05
nds, ta, 0.0, 2.6226043701171875e-05
nds, lfn, 0.0, 2.5033950805664062e-05
nds, hy, 0.0, 2.5510787963867188e-05
nds, cy, 0.0, 2.47955322265625e-05
nds, la, 0.0, 2.6941299438476562e-05
nds, bo, 0.0, 2.5033950805664062e-05
nds, ka, 0.0, 2.5272369384765625e-05
nds, tt, 0.0, 2.5033950805664062e-05
nds, it, 0.0, 3.838539123535156e-05
nds, he, 0.0, 2.6464462280273438e-05
nds, da, 0.0, 2.5033950805664062e-05
nds, fa, 0.0, 2.6941299438476562e-05
nds, wa, 0.0, 2.5033950805664062e-05
nds, en, 0.0, 5.507469177246094e-05
nds, als, 0.0, 2.6226043701171875e-05
nds, tl, 0.0, 2.4557113647460938e-05
nds, sk, 0.0, 2.47955322265625e-05
nds, th, 0.0, 2.5033950805664062e-05
nds, ku, 0.0, 2.47955322265625e-05
nds, sr, 0.0, 2.574920654296875e-05
nds, sv, 0.0, 2.8371810913085938e-05
nds, oc, 0.0, 2.5033950805664062e-05
nds, sat, 0.0, 2.5033950805664062e-05
nds, li, 0.0, 2.4318695068359375e-05
nds, no, 0.0, 2.5272369384765625e-05
nds, as, 0.0, 2.4557113647460938e-05
nds, bg, 0.0, 2.47955322265625e-05
nds, my, 0.0, 2.4080276489257812e-05
nds, gu, 0.0, 2.4318695068359375e-05
nds, bn, 0.0, 2.4318695068359375e-05
nds, vls, 0.0, 2.4318695068359375e-05
nds, or, 0.0, 2.4557113647460938e-05
nds, ru, 0.0, 2.9325485229492188e-05
nds, hi, 0.0, 2.5033950805664062e-05
nds, arz, 0.0, 2.384185791015625e-05
nds, az, 0.0, 2.4557113647460938e-05
