Language1, Language2, SimilarityScore, Time
nds, nds, 1.0, 2.6702880859375e-05
nds, eu, 0.0, 1.0251998901367188e-05
nds, fi, 0.0, 8.821487426757812e-06
nds, id, 0.0, 1.4781951904296875e-05
nds, lb, 0.0, 8.58306884765625e-06
nds, ast, 0.0, 1.6689300537109375e-05
nds, ba, 0.0, 8.58306884765625e-06
nds, eo, 0.0, 9.298324584960938e-06
nds, ar, 0.0, 9.5367431640625e-06
nds, fr, 0.0, 0.00011229515075683594
nds, br, 0.0, 9.298324584960938e-06
nds, tr, 0.0, 9.059906005859375e-06
nds, bcl, 0.0, 8.58306884765625e-06
nds, el, 0.0, 9.059906005859375e-06
nds, sa, 0.0, 7.867813110351562e-06
nds, hr, 0.0, 8.58306884765625e-06
nds, nn, 0.0, 8.344650268554688e-06
nds, es, 0.0, 1.239776611328125e-05
nds, pl, 0.0, 9.298324584960938e-06
nds, vi, 0.0, 8.106231689453125e-06
nds, zh-yue, 0.0, 8.106231689453125e-06
nds, uk, 0.0, 9.5367431640625e-06
nds, de, 0.0, 4.4345855712890625e-05
nds, gom, 0.0, 8.821487426757812e-06
nds, pcd, 0.0, 8.106231689453125e-06
nds, kn, 0.0, 8.106231689453125e-06
nds, bh, 0.0, 8.106231689453125e-06
nds, ml, 0.0, 8.58306884765625e-06
nds, sh, 0.0, 8.106231689453125e-06
nds, et, 0.0, 8.821487426757812e-06
nds, cs, 0.0, 8.821487426757812e-06
nds, gor, 0.0, 8.106231689453125e-06
nds, nl, 0.0, 6.580352783203125e-05
nds, si, 0.0, 8.821487426757812e-06
nds, pt, 0.0, 1.049041748046875e-05
nds, ro, 0.0, 8.821487426757812e-06
nds, ja, 0.0, 9.5367431640625e-06
nds, ne, 0.0, 8.106231689453125e-06
nds, zh-min-nan, 0.0, 8.106231689453125e-06
nds, fy, 0.0, 7.867813110351562e-06
nds, be-tarask, 0.0, 8.344650268554688e-06
nds, be, 0.0, 9.298324584960938e-06
nds, ta, 0.0, 9.298324584960938e-06
nds, lfn, 0.0, 7.867813110351562e-06
nds, hy, 0.0, 8.58306884765625e-06
nds, cy, 0.0, 8.821487426757812e-06
nds, la, 0.0, 9.5367431640625e-06
nds, bo, 0.0, 8.106231689453125e-06
nds, ka, 0.0, 8.106231689453125e-06
nds, tt, 0.0, 7.867813110351562e-06
nds, it, 0.0, 1.4543533325195312e-05
nds, he, 0.0, 8.821487426757812e-06
nds, da, 0.0, 8.344650268554688e-06
nds, fa, 0.0, 9.059906005859375e-06
nds, wa, 0.0, 7.867813110351562e-06
nds, en, 0.0, 3.0040740966796875e-05
nds, als, 0.0, 8.58306884765625e-06
nds, tl, 0.0, 8.821487426757812e-06
nds, sk, 0.0, 8.344650268554688e-06
nds, th, 0.0, 9.059906005859375e-06
nds, ku, 0.0, 8.106231689453125e-06
nds, sr, 0.0, 8.106231689453125e-06
nds, sv, 0.0, 1.0728836059570312e-05
nds, oc, 0.0, 8.344650268554688e-06
nds, sat, 0.0, 7.867813110351562e-06
nds, li, 0.0, 7.867813110351562e-06
nds, no, 0.0, 8.58306884765625e-06
nds, as, 0.0, 8.344650268554688e-06
nds, bg, 0.0, 8.344650268554688e-06
nds, my, 0.0, 7.867813110351562e-06
nds, gu, 0.0, 7.867813110351562e-06
nds, bn, 0.0, 8.58306884765625e-06
nds, vls, 0.0, 7.867813110351562e-06
nds, or, 0.0, 8.344650268554688e-06
nds, ru, 0.0, 1.0251998901367188e-05
nds, hi, 0.0, 8.58306884765625e-06
nds, arz, 0.0, 7.867813110351562e-06
nds, az, 0.0, 8.344650268554688e-06
nds, zh, 0.0, 9.298324584960938e-06
nds, sl, 0.0, 8.344650268554688e-06
nds, ga, 0.0, 8.58306884765625e-06
nds, gl, 0.0, 9.059906005859375e-06
nds, hu, 0.0, 8.344650268554688e-06
nds, uz, 0.0, 8.106231689453125e-06
nds, af, 0.0, 1.52587890625e-05
nds, ko, 0.0, 1.0013580322265625e-05
nds, ca, 0.0, 1.1205673217773438e-05
nds, lt, 0.0, 8.58306884765625e-06
nds, kk, 0.0, 8.106231689453125e-06
nds, jv, 0.0, 7.867813110351562e-06
nds, ur, 0.0, 8.58306884765625e-06
nds, nrm, 0.0, 7.867813110351562e-06
nds, union, 0.0030120481927710845, 0.0002377033233642578
eu, eu, 1.0, 1.0013580322265625e-05
eu, fi, 0.0, 8.344650268554688e-06
eu, id, 0.09090909090909091, 1.0728836059570312e-05
eu, lb, 0.0, 7.867813110351562e-06
eu, ast, 0.2, 8.344650268554688e-06
eu, ba, 0.25, 8.106231689453125e-06
