Language1, Language2, SimilarityScore, Time
bat-smg, bat-smg, 1.0, 0.00019097328186035156
bat-smg, nds, 1.0, 0.000133514404296875
bat-smg, eu, 1.0, 0.00010180473327636719
bat-smg, fi, 1.0, 9.799003601074219e-05
bat-smg, id, 1.0, 9.632110595703125e-05
bat-smg, lb, 0.0, 9.632110595703125e-05
bat-smg, ast, 1.0, 9.632110595703125e-05
bat-smg, fo, 0.0, 9.632110595703125e-05
bat-smg, ba, 1.0, 9.465217590332031e-05
bat-smg, eo, 0.585786437626905, 9.655952453613281e-05
bat-smg, sco, 1.0, 9.298324584960938e-05
bat-smg, ar, 1.0, 9.131431579589844e-05
bat-smg, fr, 1.0, 9.489059448242188e-05
bat-smg, ia, 1.0, 9.799003601074219e-05
bat-smg, br, 0.0, 9.799003601074219e-05
bat-smg, av, 0.0, 9.799003601074219e-05
bat-smg, mr, 1.0, 9.584426879882812e-05
bat-smg, tr, 0.585786437626905, 9.870529174804688e-05
bat-smg, bcl, 0.0, 9.870529174804688e-05
bat-smg, lv, 1.0, 9.465217590332031e-05
bat-smg, el, 1.0, 9.1552734375e-05
bat-smg, frr, 1.0, 9.1552734375e-05
bat-smg, ce, 0.0, 9.1552734375e-05
bat-smg, nv, 0.0, 9.1552734375e-05
bat-smg, hr, 1.0, 9.441375732421875e-05
bat-smg, sc, 0.0, 9.441375732421875e-05
bat-smg, za, 0.0, 9.441375732421875e-05
bat-smg, nn, 1.0, 9.489059448242188e-05
bat-smg, xal, 0.0, 9.489059448242188e-05
bat-smg, xmf, 0.0, 9.489059448242188e-05
bat-smg, rue, 1.0, 0.00012111663818359375
bat-smg, es, 1.0, 9.799003601074219e-05
bat-smg, pl, 1.0, 9.512901306152344e-05
bat-smg, mg, 1.0, 0.00012087821960449219
bat-smg, vi, 1.0, 9.489059448242188e-05
bat-smg, zh-yue, 1.0, 9.298324584960938e-05
bat-smg, gd, 0.0, 9.298324584960938e-05
bat-smg, uk, 1.0, 9.417533874511719e-05
bat-smg, de, 1.0, 9.369850158691406e-05
bat-smg, diq, 0.0, 9.369850158691406e-05
bat-smg, an, 1.0, 9.393692016601562e-05
bat-smg, kn, 1.0, 0.00010347366333007812
bat-smg, bh, 0.0, 0.00010347366333007812
bat-smg, bar, 0.0, 0.00010347366333007812
bat-smg, yo, 0.0, 0.00010347366333007812
bat-smg, ml, 1.0, 9.72747802734375e-05
bat-smg, io, 0.0, 9.72747802734375e-05
bat-smg, pa, 1.0, 9.512901306152344e-05
bat-smg, sh, 1.0, 9.393692016601562e-05
bat-smg, et, 1.0, 9.679794311523438e-05
bat-smg, cs, 1.0, 9.560585021972656e-05
bat-smg, ug, 0.0, 9.560585021972656e-05
bat-smg, tg, 1.0, 9.393692016601562e-05
bat-smg, yi, 1.0, 9.441375732421875e-05
bat-smg, nl, 1.0, 9.34600830078125e-05
bat-smg, fj, 0.0, 9.34600830078125e-05
bat-smg, si, 1.0, 9.202957153320312e-05
bat-smg, pt, 1.0, 9.393692016601562e-05
bat-smg, ro, 1.0, 9.274482727050781e-05
bat-smg, sq, 1.0, 9.179115295410156e-05
bat-smg, ja, 1.0, 0.014527559280395508
bat-smg, ne, 0.0, 0.014527559280395508
bat-smg, zh-min-nan, 1.0, 0.00010442733764648438
bat-smg, ht, 0.0, 0.00010442733764648438
bat-smg, gcr, 1.0, 9.679794311523438e-05
bat-smg, be-tarask, 1.0, 9.059906005859375e-05
bat-smg, jbo, 1.0, 9.322166442871094e-05
bat-smg, be, 1.0, 8.440017700195312e-05
bat-smg, is, 1.0, 8.463859558105469e-05
bat-smg, ta, 1.0, 8.344650268554688e-05
bat-smg, lfn, 0.0, 8.344650268554688e-05
bat-smg, qu, 0.0, 8.344650268554688e-05
bat-smg, hy, 1.0, 0.0018291473388671875
bat-smg, cy, 1.0, 9.226799011230469e-05
bat-smg, simple, 1.0, 8.988380432128906e-05
bat-smg, am, 1.0, 9.703636169433594e-05
bat-smg, jam, 1.0, 9.918212890625e-05
bat-smg, la, 1.0, 9.512901306152344e-05
bat-smg, bo, 0.0, 9.512901306152344e-05
bat-smg, os, 0.0, 9.512901306152344e-05
bat-smg, xh, 0.0, 9.512901306152344e-05
bat-smg, kbp, 0.0, 9.512901306152344e-05
bat-smg, ka, 1.0, 9.393692016601562e-05
bat-smg, tt, 1.0, 9.226799011230469e-05
bat-smg, it, 1.0, 9.34600830078125e-05
bat-smg, kab, 0.0, 9.34600830078125e-05
bat-smg, ceb, 0.0, 9.34600830078125e-05
bat-smg, he, 1.0, 9.417533874511719e-05
bat-smg, da, 1.0, 9.298324584960938e-05
bat-smg, cv, 1.0, 0.00011420249938964844
bat-smg, fa, 1.0, 8.702278137207031e-05
bat-smg, scn, 1.0, 8.535385131835938e-05
bat-smg, ps, 0.0, 8.535385131835938e-05
bat-smg, en, 1.0, 9.5367431640625e-05
bat-smg, als, 1.0, 9.202957153320312e-05
bat-smg, cdo, 0.0, 9.202957153320312e-05
bat-smg, tl, 1.0, 9.34600830078125e-05
bat-smg, sk, 1.0, 9.1552734375e-05
bat-smg, sw, 1.0, 9.441375732421875e-05
bat-smg, th, 1.0, 9.417533874511719e-05
bat-smg, mt, 0.0, 9.417533874511719e-05
bat-smg, zh-classical, 1.0, 9.298324584960938e-05
bat-smg, ku, 1.0, 9.226799011230469e-05
bat-smg, sr, 1.0, 9.322166442871094e-05
bat-smg, lmo, 0.0, 9.322166442871094e-05
bat-smg, lbe, 0.0, 9.322166442871094e-05
bat-smg, azb, 0.0, 9.322166442871094e-05
bat-smg, sv, 1.0, 9.822845458984375e-05
bat-smg, oc, 1.0, 8.7738037109375e-05
bat-smg, li, 0.0, 8.7738037109375e-05
bat-smg, sah, 0.0, 8.7738037109375e-05
bat-smg, no, 1.0, 8.630752563476562e-05
bat-smg, as, 1.0, 8.630752563476562e-05
bat-smg, bg, 1.0, 8.368492126464844e-05
bat-smg, my, 1.0, 8.893013000488281e-05
bat-smg, ckb, 1.0, 8.535385131835938e-05
bat-smg, ay, 0.0, 8.535385131835938e-05
bat-smg, frp, 0.0, 8.535385131835938e-05
bat-smg, gu, 1.0, 0.009566545486450195
bat-smg, ky, 1.0, 9.489059448242188e-05
bat-smg, bn, 1.0, 0.00010061264038085938
bat-smg, hak, 0.0, 0.00010061264038085938
bat-smg, hyw, 1.0, 9.417533874511719e-05
bat-smg, udm, 0.0, 9.417533874511719e-05
bat-smg, lo, 0.0, 9.417533874511719e-05
bat-smg, chr, 0.0, 9.417533874511719e-05
bat-smg, ru, 1.0, 9.679794311523438e-05
bat-smg, so, 0.0, 9.679794311523438e-05
bat-smg, hi, 1.0, 9.489059448242188e-05
bat-smg, pms, 0.0, 9.489059448242188e-05
bat-smg, nov, 0.0, 9.489059448242188e-05
bat-smg, wuu, 1.0, 9.369850158691406e-05
bat-smg, sn, 0.0, 9.369850158691406e-05
bat-smg, arz, 1.0, 9.417533874511719e-05
bat-smg, az, 1.0, 9.274482727050781e-05
bat-smg, bs, 1.0, 9.465217590332031e-05
bat-smg, te, 1.0, 9.369850158691406e-05
bat-smg, zh, 1.0, 9.417533874511719e-05
bat-smg, mk, 1.0, 9.894371032714844e-05
bat-smg, sl, 1.0, 9.393692016601562e-05
bat-smg, su, 0.0, 9.393692016601562e-05
bat-smg, ga, 1.0, 9.465217590332031e-05
bat-smg, gan, 1.0, 9.417533874511719e-05
bat-smg, gl, 1.0, 9.226799011230469e-05
bat-smg, hu, 1.0, 9.202957153320312e-05
bat-smg, uz, 1.0, 9.179115295410156e-05
bat-smg, co, 1.0, 9.036064147949219e-05
bat-smg, szl, 0.0, 9.036064147949219e-05
bat-smg, af, 1.0, 9.369850158691406e-05
bat-smg, mn, 1.0, 9.1552734375e-05
bat-smg, ko, 1.0, 9.322166442871094e-05
bat-smg, ln, 0.0, 9.322166442871094e-05
bat-smg, ms, 1.0, 9.274482727050781e-05
bat-smg, ca, 1.0, 9.298324584960938e-05
bat-smg, pnb, 1.0, 9.131431579589844e-05
bat-smg, ilo, 1.0, 9.179115295410156e-05
bat-smg, war, 1.0, 9.441375732421875e-05
bat-smg, kg, 0.0, 9.441375732421875e-05
bat-smg, vec, 0.0, 9.441375732421875e-05
bat-smg, lt, 1.0, 9.298324584960938e-05
bat-smg, kk, 1.0, 9.1552734375e-05
bat-smg, jv, 0.0, 9.1552734375e-05
bat-smg, bxr, 0.0, 9.1552734375e-05
bat-smg, ur, 1.0, 9.393692016601562e-05
nds, nds, 1.0, 9.322166442871094e-05
nds, eu, 1.0, 9.274482727050781e-05
nds, fi, 1.0, 0.016754150390625
nds, id, 1.0, 0.0001087188720703125
nds, lb, 0.0, 0.0001087188720703125
nds, ast, 1.0, 8.797645568847656e-05
nds, fo, 0.0, 8.797645568847656e-05
nds, ba, 1.0, 8.940696716308594e-05
nds, eo, 1.0, 9.441375732421875e-05
nds, sco, 1.0, 8.559226989746094e-05
nds, ar, 1.0, 8.320808410644531e-05
nds, fr, 1.0, 8.392333984375e-05
nds, ia, 1.0, 8.440017700195312e-05
nds, br, 0.0, 8.440017700195312e-05
nds, av, 0.0, 8.440017700195312e-05
nds, mr, 0.0, 8.440017700195312e-05
nds, tr, 1.0, 8.869171142578125e-05
nds, bcl, 0.0, 8.869171142578125e-05
nds, lv, 1.0, 8.440017700195312e-05
nds, el, 1.0, 8.392333984375e-05
nds, frr, 1.0, 8.225440979003906e-05
nds, ce, 0.0, 8.225440979003906e-05
nds, nv, 0.0, 8.225440979003906e-05
nds, hr, 1.0, 8.535385131835938e-05
nds, sc, 0.0, 8.535385131835938e-05
nds, za, 0.0, 8.535385131835938e-05
nds, nn, 1.0, 8.58306884765625e-05
nds, xal, 0.0, 8.58306884765625e-05
nds, xmf, 0.0, 8.58306884765625e-05
nds, rue, 1.0, 8.559226989746094e-05
nds, es, 1.0, 8.559226989746094e-05
nds, pl, 1.0, 8.392333984375e-05
nds, mg, 0.0, 8.392333984375e-05
nds, vi, 1.0, 8.296966552734375e-05
nds, zh-yue, 1.0, 8.463859558105469e-05
nds, gd, 0.0, 8.463859558105469e-05
nds, uk, 1.0, 8.487701416015625e-05
nds, de, 1.0, 8.535385131835938e-05
nds, diq, 0.0, 8.535385131835938e-05
nds, an, 1.0, 8.511543273925781e-05
nds, kn, 0.0, 8.511543273925781e-05
nds, bh, 0.0, 8.511543273925781e-05
nds, bar, 0.0, 8.511543273925781e-05
nds, yo, 0.0, 8.511543273925781e-05
nds, ml, 1.0, 8.845329284667969e-05
nds, io, 0.0, 8.845329284667969e-05
nds, pa, 1.0, 8.654594421386719e-05
nds, sh, 1.0, 8.392333984375e-05
nds, et, 0.0, 8.392333984375e-05
nds, cs, 1.0, 8.440017700195312e-05
nds, ug, 0.0, 8.440017700195312e-05
nds, tg, 0.0, 8.440017700195312e-05
nds, yi, 1.0, 8.440017700195312e-05
nds, nl, 1.0, 8.296966552734375e-05
nds, fj, 0.0, 8.296966552734375e-05
nds, si, 1.0, 8.416175842285156e-05
nds, pt, 1.0, 8.392333984375e-05
nds, ro, 1.0, 8.726119995117188e-05
nds, sq, 1.0, 8.273124694824219e-05
nds, ja, 1.0, 8.249282836914062e-05
nds, ne, 0.0, 8.249282836914062e-05
nds, zh-min-nan, 1.0, 8.320808410644531e-05
nds, ht, 0.0, 8.320808410644531e-05
nds, gcr, 1.0, 8.511543273925781e-05
nds, be-tarask, 1.0, 0.00016379356384277344
nds, jbo, 1.0, 9.298324584960938e-05
nds, be, 1.0, 9.179115295410156e-05
nds, is, 1.0, 9.226799011230469e-05
nds, ta, 1.0, 8.940696716308594e-05
nds, lfn, 0.0, 8.940696716308594e-05
nds, qu, 0.0, 8.940696716308594e-05
nds, hy, 1.0, 9.179115295410156e-05
nds, cy, 1.0, 9.083747863769531e-05
nds, simple, 1.0, 9.036064147949219e-05
nds, am, 0.0, 9.036064147949219e-05
nds, jam, 1.0, 9.083747863769531e-05
nds, la, 1.0, 9.083747863769531e-05
nds, bo, 0.0, 9.083747863769531e-05
nds, os, 0.0, 9.083747863769531e-05
nds, xh, 0.0, 9.083747863769531e-05
nds, kbp, 0.0, 9.083747863769531e-05
nds, ka, 1.0, 9.083747863769531e-05
nds, tt, 1.0, 8.988380432128906e-05
nds, it, 1.0, 8.96453857421875e-05
nds, kab, 0.0, 8.96453857421875e-05
nds, ceb, 0.0, 8.96453857421875e-05
nds, he, 1.0, 9.036064147949219e-05
nds, da, 1.0, 9.036064147949219e-05
nds, cv, 0.0, 9.036064147949219e-05
nds, fa, 1.0, 8.988380432128906e-05
nds, scn, 1.0, 9.036064147949219e-05
nds, ps, 0.0, 9.036064147949219e-05
nds, en, 1.0, 9.417533874511719e-05
nds, als, 1.0, 8.988380432128906e-05
nds, cdo, 0.0, 8.988380432128906e-05
nds, tl, 1.0, 0.009006977081298828
nds, sk, 1.0, 9.679794311523438e-05
nds, sw, 1.0, 9.107589721679688e-05
nds, th, 1.0, 9.012222290039062e-05
nds, mt, 0.0, 9.012222290039062e-05
nds, zh-classical, 1.0, 8.988380432128906e-05
nds, ku, 0.0, 8.988380432128906e-05
nds, sr, 1.0, 9.083747863769531e-05
nds, lmo, 0.0, 9.083747863769531e-05
nds, lbe, 0.0, 9.083747863769531e-05
nds, azb, 0.0, 9.083747863769531e-05
nds, sv, 1.0, 9.179115295410156e-05
nds, oc, 1.0, 9.679794311523438e-05
nds, li, 0.0, 9.679794311523438e-05
nds, sah, 0.0, 9.679794311523438e-05
nds, no, 1.0, 9.131431579589844e-05
nds, as, 1.0, 9.1552734375e-05
nds, bg, 1.0, 9.012222290039062e-05
nds, my, 0.0, 9.012222290039062e-05
nds, ckb, 1.0, 9.012222290039062e-05
nds, ay, 0.0, 9.012222290039062e-05
nds, frp, 0.0, 9.012222290039062e-05
nds, gu, 0.0, 9.012222290039062e-05
nds, ky, 0.0, 9.012222290039062e-05
nds, bn, 1.0, 9.131431579589844e-05
nds, hak, 0.0, 9.131431579589844e-05
nds, hyw, 1.0, 8.988380432128906e-05
nds, udm, 0.0, 8.988380432128906e-05
nds, lo, 0.0, 8.988380432128906e-05
nds, chr, 0.0, 8.988380432128906e-05
nds, ru, 1.0, 9.298324584960938e-05
nds, so, 0.0, 9.298324584960938e-05
nds, hi, 1.0, 9.059906005859375e-05
nds, pms, 0.0, 9.059906005859375e-05
nds, nov, 0.0, 9.059906005859375e-05
nds, wuu, 1.0, 9.274482727050781e-05
nds, sn, 0.0, 9.274482727050781e-05
nds, arz, 0.0, 9.274482727050781e-05
nds, az, 1.0, 9.131431579589844e-05
nds, bs, 1.0, 9.107589721679688e-05
nds, te, 0.0, 9.107589721679688e-05
nds, zh, 1.0, 9.107589721679688e-05
nds, mk, 1.0, 9.012222290039062e-05
nds, sl, 1.0, 9.083747863769531e-05
nds, su, 0.0, 9.083747863769531e-05
nds, ga, 0.0, 9.083747863769531e-05
nds, gan, 1.0, 9.107589721679688e-05
nds, gl, 1.0, 9.036064147949219e-05
nds, hu, 1.0, 9.179115295410156e-05
nds, uz, 0.0, 9.179115295410156e-05
nds, co, 0.0, 9.179115295410156e-05
nds, szl, 0.0, 9.179115295410156e-05
nds, af, 1.0, 9.131431579589844e-05
nds, mn, 0.0, 9.131431579589844e-05
nds, ko, 1.0, 9.083747863769531e-05
nds, ln, 0.0, 9.083747863769531e-05
nds, ms, 1.0, 9.059906005859375e-05
nds, ca, 1.0, 9.083747863769531e-05
nds, pnb, 1.0, 8.940696716308594e-05
nds, ilo, 0.0, 8.940696716308594e-05
nds, war, 1.0, 9.703636169433594e-05
nds, kg, 0.0, 9.703636169433594e-05
nds, vec, 0.0, 9.703636169433594e-05
nds, lt, 1.0, 9.179115295410156e-05
nds, kk, 1.0, 0.00016379356384277344
nds, jv, 0.0, 0.00016379356384277344
nds, bxr, 0.0, 0.00016379356384277344
nds, ur, 1.0, 9.608268737792969e-05
eu, eu, 1.0, 0.0002143383026123047
eu, fi, 0.4142135623730951, 0.0001437664031982422
eu, id, 0.4485068563421602, 0.00014853477478027344
eu, lb, 1.0, 0.00010204315185546875
eu, ast, 1.0, 0.00011610984802246094
eu, fo, 0.5, 0.00010776519775390625
eu, ba, 1.0, 0.00010919570922851562
eu, eo, 0.39382003653058006, 0.00014853477478027344
eu, sco, 0.585786437626905, 0.00012755393981933594
eu, ar, 0.5, 0.00016021728515625
eu, fr, 0.44948974278317805, 0.00019168853759765625
eu, ia, 1.0, 0.00011229515075683594
eu, br, 1.0, 0.00010251998901367188
eu, av, 1.0, 9.751319885253906e-05
