Language1, Language2, SimilarityScore, Time
bat-smg, bat-smg, 1.0, 1.9311904907226562e-05
bat-smg, nds, 1.0, 1.1682510375976562e-05
bat-smg, eu, 1.0, 1.0728836059570312e-05
bat-smg, fi, 0.6666666666666666, 1.2159347534179688e-05
bat-smg, id, 1.0, 1.0728836059570312e-05
bat-smg, lb, 1.0, 6.9141387939453125e-06
bat-smg, ast, 1.0, 1.0251998901367188e-05
bat-smg, fo, 1.0, 6.9141387939453125e-06
bat-smg, ba, 1.0, 1.0728836059570312e-05
bat-smg, eo, 0.6666666666666666, 1.1920928955078125e-05
bat-smg, sco, 1.0, 1.0251998901367188e-05
bat-smg, ar, 1.0, 1.0251998901367188e-05
bat-smg, fr, 1.0, 1.0967254638671875e-05
bat-smg, ia, 1.0, 1.049041748046875e-05
bat-smg, br, 1.0, 6.9141387939453125e-06
bat-smg, av, 1.0, 6.67572021484375e-06
bat-smg, mr, 1.0, 1.049041748046875e-05
bat-smg, tr, 0.6666666666666666, 1.1205673217773438e-05
bat-smg, bcl, 1.0, 6.9141387939453125e-06
bat-smg, lv, 1.0, 1.049041748046875e-05
bat-smg, el, 1.0, 1.0013580322265625e-05
bat-smg, frr, 1.0, 1.0251998901367188e-05
bat-smg, ce, 1.0, 6.198883056640625e-06
bat-smg, nv, 1.0, 6.4373016357421875e-06
bat-smg, hr, 1.0, 1.0251998901367188e-05
bat-smg, sc, 1.0, 6.4373016357421875e-06
bat-smg, za, 1.0, 6.67572021484375e-06
bat-smg, nn, 1.0, 1.0251998901367188e-05
bat-smg, xal, 1.0, 6.4373016357421875e-06
bat-smg, xmf, 1.0, 6.4373016357421875e-06
bat-smg, rue, 1.0, 1.0013580322265625e-05
bat-smg, es, 1.0, 9.775161743164062e-06
bat-smg, pl, 1.0, 1.049041748046875e-05
bat-smg, mg, 1.0, 1.0251998901367188e-05
bat-smg, vi, 1.0, 1.0251998901367188e-05
bat-smg, zh-yue, 1.0, 1.0013580322265625e-05
bat-smg, gd, 1.0, 6.67572021484375e-06
bat-smg, uk, 1.0, 1.0251998901367188e-05
bat-smg, de, 1.0, 1.049041748046875e-05
bat-smg, diq, 1.0, 6.67572021484375e-06
bat-smg, an, 1.0, 9.775161743164062e-06
bat-smg, kn, 1.0, 1.0251998901367188e-05
bat-smg, bh, 1.0, 6.67572021484375e-06
bat-smg, bar, 1.0, 6.4373016357421875e-06
bat-smg, yo, 1.0, 5.9604644775390625e-06
bat-smg, ml, 1.0, 1.049041748046875e-05
bat-smg, io, 1.0, 6.198883056640625e-06
bat-smg, pa, 1.0, 1.0251998901367188e-05
bat-smg, sh, 1.0, 9.775161743164062e-06
bat-smg, et, 1.0, 1.0251998901367188e-05
bat-smg, cs, 1.0, 1.0013580322265625e-05
bat-smg, ug, 1.0, 6.4373016357421875e-06
bat-smg, tg, 1.0, 1.0013580322265625e-05
bat-smg, yi, 1.0, 1.0013580322265625e-05
bat-smg, nl, 1.0, 1.049041748046875e-05
bat-smg, fj, 1.0, 6.67572021484375e-06
bat-smg, si, 1.0, 1.0013580322265625e-05
bat-smg, pt, 0.6666666666666666, 1.1205673217773438e-05
bat-smg, ro, 1.0, 1.9073486328125e-05
bat-smg, sq, 1.0, 1.0013580322265625e-05
bat-smg, ja, 1.0, 1.0013580322265625e-05
bat-smg, ne, 1.0, 6.4373016357421875e-06
bat-smg, zh-min-nan, 1.0, 1.0013580322265625e-05
bat-smg, ht, 1.0, 6.67572021484375e-06
bat-smg, gcr, 1.0, 1.0013580322265625e-05
bat-smg, be-tarask, 1.0, 1.8358230590820312e-05
bat-smg, jbo, 1.0, 1.0013580322265625e-05
bat-smg, be, 1.0, 1.0013580322265625e-05
bat-smg, is, 1.0, 1.0251998901367188e-05
bat-smg, ta, 1.0, 1.0013580322265625e-05
bat-smg, lfn, 1.0, 6.4373016357421875e-06
bat-smg, qu, 1.0, 6.198883056640625e-06
bat-smg, hy, 1.0, 9.775161743164062e-06
bat-smg, cy, 1.0, 1.0251998901367188e-05
bat-smg, simple, 0.6666666666666666, 1.0728836059570312e-05
bat-smg, am, 1.0, 1.0251998901367188e-05
bat-smg, jam, 1.0, 1.049041748046875e-05
bat-smg, la, 1.0, 1.0013580322265625e-05
bat-smg, bo, 1.0, 6.67572021484375e-06
bat-smg, os, 1.0, 6.67572021484375e-06
bat-smg, xh, 1.0, 6.4373016357421875e-06
bat-smg, kbp, 1.0, 6.67572021484375e-06
bat-smg, ka, 1.0, 1.0251998901367188e-05
bat-smg, tt, 1.0, 1.0251998901367188e-05
bat-smg, it, 1.0, 1.049041748046875e-05
bat-smg, kab, 1.0, 6.67572021484375e-06
bat-smg, ceb, 1.0, 6.4373016357421875e-06
bat-smg, he, 1.0, 1.0013580322265625e-05
bat-smg, da, 1.0, 1.0013580322265625e-05
bat-smg, cv, 1.0, 1.0251998901367188e-05
bat-smg, fa, 1.0, 9.775161743164062e-06
bat-smg, scn, 1.0, 1.0013580322265625e-05
bat-smg, ps, 1.0, 6.198883056640625e-06
bat-smg, en, 1.0, 1.1205673217773438e-05
bat-smg, als, 1.0, 1.0251998901367188e-05
bat-smg, cdo, 1.0, 6.9141387939453125e-06
bat-smg, tl, 1.0, 1.0251998901367188e-05
bat-smg, sk, 1.0, 1.0013580322265625e-05
bat-smg, sw, 1.0, 1.0013580322265625e-05
bat-smg, th, 1.0, 9.5367431640625e-06
bat-smg, mt, 1.0, 6.67572021484375e-06
bat-smg, zh-classical, 1.0, 1.0013580322265625e-05
bat-smg, ku, 1.0, 1.0013580322265625e-05
bat-smg, sr, 1.0, 1.0251998901367188e-05
bat-smg, lmo, 1.0, 6.4373016357421875e-06
bat-smg, lbe, 1.0, 6.67572021484375e-06
bat-smg, azb, 1.0, 5.9604644775390625e-06
bat-smg, sv, 1.0, 1.049041748046875e-05
bat-smg, oc, 0.6666666666666666, 1.0967254638671875e-05
bat-smg, li, 1.0, 6.67572021484375e-06
bat-smg, sah, 1.0, 6.4373016357421875e-06
bat-smg, no, 0.6666666666666666, 2.1696090698242188e-05
bat-smg, as, 1.0, 1.2874603271484375e-05
bat-smg, bg, 1.0, 1.0967254638671875e-05
bat-smg, my, 1.0, 1.1205673217773438e-05
bat-smg, ckb, 1.0, 1.0967254638671875e-05
bat-smg, ay, 1.0, 7.152557373046875e-06
bat-smg, frp, 1.0, 6.9141387939453125e-06
bat-smg, gu, 1.0, 1.0728836059570312e-05
bat-smg, ky, 1.0, 1.0728836059570312e-05
bat-smg, bn, 1.0, 1.0728836059570312e-05
bat-smg, hak, 1.0, 6.9141387939453125e-06
bat-smg, hyw, 1.0, 1.049041748046875e-05
bat-smg, udm, 1.0, 6.9141387939453125e-06
bat-smg, lo, 1.0, 6.9141387939453125e-06
bat-smg, chr, 1.0, 6.9141387939453125e-06
bat-smg, ru, 1.0, 1.1205673217773438e-05
bat-smg, so, 1.0, 6.9141387939453125e-06
bat-smg, hi, 1.0, 1.0967254638671875e-05
bat-smg, pms, 1.0, 6.9141387939453125e-06
bat-smg, nov, 1.0, 6.67572021484375e-06
bat-smg, wuu, 1.0, 1.0967254638671875e-05
bat-smg, sn, 1.0, 6.9141387939453125e-06
bat-smg, arz, 1.0, 1.0728836059570312e-05
bat-smg, az, 1.0, 1.0728836059570312e-05
bat-smg, bs, 1.0, 1.0967254638671875e-05
bat-smg, te, 1.0, 1.049041748046875e-05
bat-smg, zh, 1.0, 1.049041748046875e-05
bat-smg, mk, 1.0, 1.0013580322265625e-05
bat-smg, sl, 1.0, 1.049041748046875e-05
bat-smg, su, 1.0, 6.67572021484375e-06
bat-smg, ga, 1.0, 1.0251998901367188e-05
bat-smg, gan, 1.0, 1.0251998901367188e-05
bat-smg, gl, 1.0, 1.0251998901367188e-05
bat-smg, hu, 1.0, 1.0251998901367188e-05
bat-smg, uz, 1.0, 1.0013580322265625e-05
bat-smg, co, 1.0, 1.0251998901367188e-05
bat-smg, szl, 1.0, 6.4373016357421875e-06
bat-smg, af, 1.0, 1.0251998901367188e-05
bat-smg, mn, 1.0, 1.0251998901367188e-05
bat-smg, ko, 1.0, 1.0013580322265625e-05
bat-smg, ln, 1.0, 6.9141387939453125e-06
bat-smg, ms, 1.0, 1.7404556274414062e-05
bat-smg, ca, 1.0, 1.049041748046875e-05
bat-smg, pnb, 1.0, 1.0013580322265625e-05
bat-smg, ilo, 1.0, 1.0013580322265625e-05
bat-smg, war, 1.0, 1.0251998901367188e-05
bat-smg, kg, 1.0, 6.4373016357421875e-06
bat-smg, vec, 1.0, 6.198883056640625e-06
bat-smg, lt, 1.0, 1.049041748046875e-05
bat-smg, kk, 1.0, 1.0251998901367188e-05
bat-smg, jv, 1.0, 6.4373016357421875e-06
bat-smg, bxr, 1.0, 6.4373016357421875e-06
bat-smg, ur, 1.0, 1.0013580322265625e-05
nds, nds, 1.0, 9.5367431640625e-06
nds, eu, 1.0, 9.775161743164062e-06
nds, fi, 0.6666666666666666, 1.1205673217773438e-05
nds, id, 1.0, 1.0251998901367188e-05
nds, lb, 1.0, 6.67572021484375e-06
nds, ast, 1.0, 9.775161743164062e-06
nds, fo, 1.0, 6.67572021484375e-06
nds, ba, 1.0, 1.0251998901367188e-05
nds, eo, 0.6666666666666666, 1.0967254638671875e-05
nds, sco, 1.0, 1.049041748046875e-05
nds, ar, 1.0, 9.775161743164062e-06
nds, fr, 1.0, 1.049041748046875e-05
nds, ia, 1.0, 1.0251998901367188e-05
nds, br, 1.0, 6.9141387939453125e-06
nds, av, 1.0, 6.198883056640625e-06
nds, mr, 1.0, 6.198883056640625e-06
nds, tr, 1.0, 1.049041748046875e-05
nds, bcl, 1.0, 6.198883056640625e-06
nds, lv, 1.0, 9.775161743164062e-06
nds, el, 1.0, 9.775161743164062e-06
nds, frr, 1.0, 9.775161743164062e-06
nds, ce, 1.0, 6.4373016357421875e-06
nds, nv, 1.0, 6.198883056640625e-06
nds, hr, 1.0, 1.0251998901367188e-05
nds, sc, 1.0, 6.4373016357421875e-06
nds, za, 1.0, 6.198883056640625e-06
nds, nn, 1.0, 1.0251998901367188e-05
nds, xal, 1.0, 6.4373016357421875e-06
nds, xmf, 1.0, 6.4373016357421875e-06
nds, rue, 1.0, 1.049041748046875e-05
nds, es, 1.0, 1.0251998901367188e-05
nds, pl, 1.0, 1.0251998901367188e-05
nds, mg, 1.0, 6.67572021484375e-06
nds, vi, 1.0, 1.0013580322265625e-05
nds, zh-yue, 1.0, 9.775161743164062e-06
nds, gd, 1.0, 6.9141387939453125e-06
nds, uk, 1.0, 1.0251998901367188e-05
nds, de, 1.0, 2.6464462280273438e-05
nds, diq, 1.0, 7.62939453125e-06
nds, an, 1.0, 1.0967254638671875e-05
nds, kn, 1.0, 6.9141387939453125e-06
nds, bh, 1.0, 6.4373016357421875e-06
nds, bar, 1.0, 6.4373016357421875e-06
nds, yo, 1.0, 6.4373016357421875e-06
nds, ml, 1.0, 1.049041748046875e-05
nds, io, 1.0, 6.198883056640625e-06
nds, pa, 1.0, 1.0013580322265625e-05
nds, sh, 1.0, 1.0251998901367188e-05
nds, et, 1.0, 6.4373016357421875e-06
nds, cs, 1.0, 1.811981201171875e-05
nds, ug, 1.0, 6.67572021484375e-06
nds, tg, 1.0, 6.67572021484375e-06
nds, yi, 1.0, 1.0013580322265625e-05
nds, nl, 1.0, 1.049041748046875e-05
nds, fj, 1.0, 6.67572021484375e-06
nds, si, 1.0, 1.0251998901367188e-05
nds, pt, 1.0, 1.0251998901367188e-05
nds, ro, 1.0, 9.775161743164062e-06
nds, sq, 1.0, 1.0251998901367188e-05
nds, ja, 1.0, 9.5367431640625e-06
nds, ne, 1.0, 6.67572021484375e-06
nds, zh-min-nan, 1.0, 1.0013580322265625e-05
