Language1, Language2, SimilarityScore, Kernel, Time
bat-smg, bat-smg, 1.0, 1.0, 0.00016188621520996094
bat-smg, nds, 0.0, 0.0, 0.00016188621520996094
bat-smg, eu, 1.0, 1.0, 0.0001342296600341797
bat-smg, fi, 0.0, 0.0, 0.0001342296600341797
bat-smg, id, 1.0, 1.0, 7.081031799316406e-05
bat-smg, lb, 0.0, 0.0, 7.081031799316406e-05
bat-smg, ast, 0.0, 0.0, 7.081031799316406e-05
bat-smg, eo, 1.0, 1.0, 9.72747802734375e-05
bat-smg, sco, 1.0, 1.0, 6.4849853515625e-05
bat-smg, tk, 0.0, 0.0, 6.4849853515625e-05
bat-smg, vep, 0.0, 0.0, 6.4849853515625e-05
bat-smg, ar, 1.0, 1.0, 0.00016450881958007812
bat-smg, fr, 1.0, 1.0, 0.00014162063598632812
bat-smg, br, 0.0, 0.0, 0.00014162063598632812
bat-smg, mr, 0.0, 0.0, 0.00014162063598632812
bat-smg, tr, 0.0, 0.0, 0.00014162063598632812
bat-smg, lv, 0.0, 0.0, 0.00014162063598632812
bat-smg, mzn, 0.0, 0.0, 0.00014162063598632812
bat-smg, el, 0.0, 0.0, 0.00014162063598632812
bat-smg, nap, 1.0, 1.0, 0.000125885009765625
bat-smg, nv, 0.0, 0.0, 0.000125885009765625
bat-smg, hr, 0.0, 0.0, 0.000125885009765625
bat-smg, nn, 1.0, 1.0, 0.00011301040649414062
bat-smg, rue, 0.0, 0.0, 0.00011301040649414062
bat-smg, es, 1.0, 1.0, 6.914138793945312e-05
bat-smg, pl, 1.0, 1.0, 8.153915405273438e-05
bat-smg, mg, 0.0, 0.0, 8.153915405273438e-05
bat-smg, vi, 0.0, 0.0, 8.153915405273438e-05
bat-smg, zh-yue, 0.0, 0.0, 8.153915405273438e-05
bat-smg, uk, 1.0, 1.0, 0.00011444091796875
bat-smg, de, 0.0, 0.0, 0.00011444091796875
bat-smg, diq, 0.0, 0.0, 0.00011444091796875
bat-smg, an, 0.0, 0.0, 0.00011444091796875
bat-smg, kn, 1.0, 1.0, 0.00014591217041015625
bat-smg, bar, 0.0, 0.0, 0.00014591217041015625
bat-smg, ml, 0.0, 0.0, 0.00014591217041015625
bat-smg, io, 1.0, 1.0, 7.82012939453125e-05
bat-smg, pa, 0.0, 0.0, 7.82012939453125e-05
bat-smg, sh, 0.0, 0.0, 7.82012939453125e-05
bat-smg, et, 0.0, 0.0, 7.82012939453125e-05
bat-smg, cs, 1.0, 1.0, 9.846687316894531e-05
bat-smg, yi, 1.0, 1.0, 6.008148193359375e-05
bat-smg, nl, 1.0, 1.0, 0.0001475811004638672
bat-smg, fj, 0.0, 0.0, 0.0001475811004638672
bat-smg, si, 1.0, 1.0, 6.461143493652344e-05
bat-smg, pt, 1.0, 1.0, 6.079673767089844e-05
bat-smg, sd, 0.0, 0.0, 6.079673767089844e-05
bat-smg, ro, 1.0, 1.0, 0.00012063980102539062
bat-smg, sq, 0.0, 0.0, 0.00012063980102539062
bat-smg, ja, 0.0, 0.0, 0.00012063980102539062
bat-smg, ne, 0.0, 0.0, 0.00012063980102539062
bat-smg, ht, 0.0, 0.0, 0.00012063980102539062
bat-smg, fy, 1.0, 1.0, 6.794929504394531e-05
bat-smg, ki, 0.0, 0.0, 6.794929504394531e-05
bat-smg, be-tarask, 0.0, 0.0, 6.794929504394531e-05
bat-smg, be, 0.0, 0.0, 6.794929504394531e-05
bat-smg, is, 0.0, 0.0, 6.794929504394531e-05
bat-smg, ta, 0.0, 0.0, 6.794929504394531e-05
bat-smg, hy, 0.0, 0.0, 6.794929504394531e-05
bat-smg, cy, 0.0, 0.0, 6.794929504394531e-05
bat-smg, simple, 1.0, 1.0, 6.914138793945312e-05
bat-smg, la, 1.0, 1.0, 5.8650970458984375e-05
bat-smg, ka, 0.0, 0.0, 5.8650970458984375e-05
bat-smg, tt, 0.0, 0.0, 5.8650970458984375e-05
bat-smg, it, 0.0, 0.0, 5.8650970458984375e-05
bat-smg, kab, 0.0, 0.0, 5.8650970458984375e-05
bat-smg, he, 1.0, 1.0, 6.079673767089844e-05
bat-smg, da, 1.0, 1.0, 5.7697296142578125e-05
bat-smg, fa, 1.0, 1.0, 5.650520324707031e-05
bat-smg, scn, 1.0, 1.0, 5.5789947509765625e-05
bat-smg, ps, 0.0, 0.0, 5.5789947509765625e-05
bat-smg, en, 1.0, 1.0, 0.00011777877807617188
bat-smg, tl, 0.0, 0.0, 0.00011777877807617188
bat-smg, sk, 1.0, 1.0, 6.031990051269531e-05
bat-smg, sw, 1.0, 1.0, 5.626678466796875e-05
bat-smg, th, 1.0, 1.0, 5.5789947509765625e-05
bat-smg, ku, 0.0, 0.0, 5.5789947509765625e-05
bat-smg, sr, 0.0, 0.0, 5.5789947509765625e-05
bat-smg, sv, 1.0, 1.0, 0.00011134147644042969
bat-smg, oc, 0.0, 0.0, 0.00011134147644042969
bat-smg, no, 1.0, 1.0, 5.936622619628906e-05
bat-smg, as, 0.0, 0.0, 5.936622619628906e-05
bat-smg, bg, 0.0, 0.0, 5.936622619628906e-05
bat-smg, my, 0.0, 0.0, 5.936622619628906e-05
bat-smg, ckb, 1.0, 1.0, 9.036064147949219e-05
bat-smg, bn, 1.0, 1.0, 5.698204040527344e-05
bat-smg, or, 0.0, 0.0, 5.698204040527344e-05
bat-smg, ru, 1.0, 1.0, 8.177757263183594e-05
bat-smg, so, 1.0, 1.0, 5.7220458984375e-05
bat-smg, hi, 0.0, 0.0, 5.7220458984375e-05
bat-smg, wuu, 0.0, 0.0, 5.7220458984375e-05
bat-smg, az, 1.0, 1.0, 0.00010633468627929688
bat-smg, bs, 0.0, 0.0, 0.00010633468627929688
bat-smg, te, 1.0, 1.0, 0.0001373291015625
bat-smg, zh, 1.0, 1.0, 9.036064147949219e-05
bat-smg, mk, 0.0, 0.0, 9.036064147949219e-05
bat-smg, ext, 1.0, 1.0, 6.699562072753906e-05
bat-smg, sl, 0.0, 0.0, 6.699562072753906e-05
