Language1, Language2, SimilarityScore, Time
bat-smg, bat-smg, 0.5, 3.504753112792969e-05
bat-smg, nds, 0.0, 1.3828277587890625e-05
bat-smg, eu, 0.0013089005235602095, 0.005343437194824219
bat-smg, fi, 0.0, 2.574920654296875e-05
bat-smg, id, 0.00909090909090909, 0.0001823902130126953
bat-smg, lb, 0.0, 0.00019812583923339844
bat-smg, ast, 0.0, 6.175041198730469e-05
bat-smg, eo, 0.0012135922330097086, 0.000247955322265625
bat-smg, sco, 0.08333333333333333, 1.430511474609375e-05
bat-smg, tk, 0.0, 1.0251998901367188e-05
bat-smg, vep, 0.0, 9.775161743164062e-06
bat-smg, ar, 0.0011363636363636363, 0.015163660049438477
bat-smg, fr, 0.0018181818181818182, 0.027145862579345703
bat-smg, br, 0.0, 2.193450927734375e-05
bat-smg, mr, 0.0, 1.0728836059570312e-05
bat-smg, tr, 0.0, 0.0009908676147460938
bat-smg, lv, 0.0, 1.4066696166992188e-05
bat-smg, mzn, 0.0, 1.0013580322265625e-05
bat-smg, el, 0.0, 0.0006439685821533203
bat-smg, nap, 0.5, 1.2874603271484375e-05
bat-smg, nv, 0.0, 1.0013580322265625e-05
bat-smg, hr, 0.0, 0.002140522003173828
bat-smg, nn, 0.029411764705882353, 2.5510787963867188e-05
bat-smg, rue, 0.0, 1.3589859008789062e-05
bat-smg, es, 0.0033783783783783786, 7.653236389160156e-05
bat-smg, pl, 0.0012077294685990338, 0.001089334487915039
bat-smg, mg, 0.0, 1.8596649169921875e-05
bat-smg, vi, 0.0, 0.0006005764007568359
bat-smg, zh-yue, 0.0, 1.4066696166992188e-05
bat-smg, uk, 0.0011337868480725624, 0.0003018379211425781
bat-smg, de, 0.0, 0.0012090206146240234
bat-smg, diq, 0.0, 2.002716064453125e-05
bat-smg, an, 0.0, 1.1682510375976562e-05
bat-smg, kn, 0.1, 1.239776611328125e-05
bat-smg, bar, 0.0, 1.0967254638671875e-05
bat-smg, ml, 0.0, 1.1682510375976562e-05
bat-smg, io, 0.16666666666666666, 1.1205673217773438e-05
bat-smg, pa, 0.0, 1.0728836059570312e-05
bat-smg, sh, 0.0, 0.0027544498443603516
bat-smg, et, 0.0, 2.384185791015625e-05
bat-smg, cs, 0.00510204081632653, 5.1975250244140625e-05
bat-smg, yi, 0.25, 1.4543533325195312e-05
bat-smg, nl, 0.001201923076923077, 0.012881755828857422
bat-smg, fj, 0.0, 2.09808349609375e-05
bat-smg, si, 0.08333333333333333, 1.1444091796875e-05
bat-smg, pt, 0.0011933174224343676, 0.0001609325408935547
bat-smg, sd, 0.0, 1.239776611328125e-05
bat-smg, ro, 0.004098360655737705, 0.0046346187591552734
bat-smg, sq, 0.0, 1.5497207641601562e-05
bat-smg, ja, 0.0, 3.9577484130859375e-05
bat-smg, ne, 0.0, 1.0967254638671875e-05
bat-smg, ht, 0.0, 1.0013580322265625e-05
bat-smg, fy, 0.5, 1.0013580322265625e-05
bat-smg, ki, 0.0, 1.0251998901367188e-05
bat-smg, be-tarask, 0.0, 1.33514404296875e-05
bat-smg, be, 0.0, 0.00026416778564453125
bat-smg, is, 0.0, 1.2159347534179688e-05
bat-smg, ta, 0.0, 1.33514404296875e-05
bat-smg, hy, 0.0, 1.9311904907226562e-05
bat-smg, cy, 0.0, 1.0013580322265625e-05
bat-smg, simple, 0.03571428571428571, 1.4543533325195312e-05
bat-smg, la, 0.1, 1.0967254638671875e-05
bat-smg, ka, 0.0, 2.765655517578125e-05
bat-smg, tt, 0.0, 1.1444091796875e-05
bat-smg, it, 0.0, 0.00010061264038085938
bat-smg, kab, 0.0, 1.1205673217773438e-05
bat-smg, he, 0.016666666666666666, 1.2874603271484375e-05
bat-smg, da, 0.027777777777777776, 1.2874603271484375e-05
bat-smg, fa, 0.0038461538461538464, 1.811981201171875e-05
bat-smg, scn, 0.16666666666666666, 1.0728836059570312e-05
bat-smg, ps, 0.0, 1.0013580322265625e-05
bat-smg, en, 0.00228310502283105, 0.005717277526855469
bat-smg, tl, 0.0, 2.2411346435546875e-05
bat-smg, sk, 0.0012468827930174563, 0.00010800361633300781
bat-smg, sw, 0.125, 1.239776611328125e-05
bat-smg, th, 0.038461538461538464, 1.1444091796875e-05
bat-smg, ku, 0.0, 1.0728836059570312e-05
bat-smg, sr, 0.0, 0.0010721683502197266
bat-smg, sv, 0.006944444444444444, 6.67572021484375e-05
bat-smg, oc, 0.0, 1.1682510375976562e-05
bat-smg, no, 0.019230769230769232, 2.5272369384765625e-05
bat-smg, as, 0.0, 1.049041748046875e-05
bat-smg, bg, 0.0, 1.239776611328125e-05
bat-smg, my, 0.0, 0.003165006637573242
bat-smg, ckb, 0.25, 5.316734313964844e-05
bat-smg, bn, 0.08333333333333333, 1.1920928955078125e-05
bat-smg, or, 0.0, 1.0967254638671875e-05
bat-smg, ru, 0.0012165450121654502, 0.00027751922607421875
bat-smg, so, 0.5, 1.33514404296875e-05
bat-smg, hi, 0.0, 1.1682510375976562e-05
bat-smg, wuu, 0.0, 1.049041748046875e-05
bat-smg, az, 0.0012106537530266344, 0.0010771751403808594
bat-smg, bs, 0.0, 0.010890483856201172
bat-smg, te, 0.5, 2.002716064453125e-05
bat-smg, zh, 0.002325581395348837, 0.00029540061950683594
bat-smg, mk, 0.0, 3.695487976074219e-05
bat-smg, ext, 0.5, 1.1444091796875e-05
bat-smg, sl, 0.0, 0.0003380775451660156
bat-smg, su, 0.0, 1.239776611328125e-05
bat-smg, ga, 0.0, 1.0728836059570312e-05
bat-smg, gl, 0.0, 1.4066696166992188e-05
bat-smg, hu, 0.0, 0.0005469322204589844
bat-smg, uz, 0.0, 0.00024199485778808594
bat-smg, co, 0.0, 1.1920928955078125e-05
bat-smg, af, 0.0, 3.6716461181640625e-05
bat-smg, mn, 0.0, 1.0967254638671875e-05
bat-smg, ko, 0.006172839506172839, 0.00045871734619140625
bat-smg, ms, 0.038461538461538464, 1.52587890625e-05
bat-smg, ca, 0.008928571428571428, 0.0001246929168701172
bat-smg, pnb, 0.0, 1.3589859008789062e-05
bat-smg, war, 0.0, 1.0967254638671875e-05
bat-smg, lt, 0.0, 1.1682510375976562e-05
bat-smg, kk, 0.0, 0.0002548694610595703
bat-smg, jv, 0.0, 1.239776611328125e-05
bat-smg, ur, 0.16666666666666666, 1.049041748046875e-05
bat-smg, union, 0.000945179584120983, 0.07019162178039551
nds, nds, 0.5, 2.8371810913085938e-05
nds, eu, 0.0013089005235602095, 0.005724430084228516
nds, fi, 0.022727272727272728, 2.8371810913085938e-05
nds, id, 0.00909090909090909, 0.00018668174743652344
nds, lb, 0.004807692307692308, 0.00023055076599121094
nds, ast, 0.004098360655737705, 6.437301635742188e-05
nds, eo, 0.0012135922330097086, 0.0002524852752685547
nds, sco, 0.0, 1.430511474609375e-05
nds, tk, 0.0, 1.049041748046875e-05
nds, vep, 0.0, 1.0013580322265625e-05
nds, ar, 0.0011363636363636363, 0.010309696197509766
nds, fr, 0.0018181818181818182, 0.007369041442871094
nds, br, 0.0, 2.4080276489257812e-05
nds, mr, 0.0, 1.1682510375976562e-05
nds, tr, 0.0011961722488038277, 0.001127004623413086
nds, lv, 0.08333333333333333, 1.71661376953125e-05
nds, mzn, 0.0, 1.049041748046875e-05
nds, el, 0.007575757575757576, 0.0007007122039794922
nds, nap, 0.0, 1.3113021850585938e-05
nds, nv, 0.0, 1.049041748046875e-05
nds, hr, 0.0011904761904761906, 0.002225637435913086
nds, nn, 0.029411764705882353, 2.6941299438476562e-05
nds, rue, 0.0, 1.4066696166992188e-05
nds, es, 0.0033783783783783786, 7.796287536621094e-05
nds, pl, 0.0012077294685990338, 0.00024056434631347656
nds, mg, 0.0, 1.5974044799804688e-05
nds, vi, 0.004032258064516129, 0.0005209445953369141
nds, zh-yue, 0.0, 1.2874603271484375e-05
nds, uk, 0.0011337868480725624, 0.0002796649932861328
nds, de, 0.0012919896640826874, 0.0011048316955566406
nds, diq, 0.0, 2.0503997802734375e-05
nds, an, 0.0, 1.1920928955078125e-05
nds, kn, 0.0, 1.1682510375976562e-05
nds, bar, 0.0, 1.0728836059570312e-05
nds, ml, 0.08333333333333333, 1.0967254638671875e-05
nds, io, 0.0, 1.0967254638671875e-05
nds, pa, 0.0, 1.049041748046875e-05
nds, sh, 0.0015723270440251573, 0.0024871826171875
nds, et, 0.029411764705882353, 2.47955322265625e-05
nds, cs, 0.00510204081632653, 4.982948303222656e-05
nds, yi, 0.0, 1.1920928955078125e-05
nds, nl, 0.001201923076923077, 0.004673480987548828
nds, fj, 0.0, 2.0742416381835938e-05
nds, si, 0.0, 1.1682510375976562e-05
nds, pt, 0.0011933174224343676, 0.0001590251922607422
nds, sd, 0.0, 1.33514404296875e-05
nds, ro, 0.004098360655737705, 0.004653215408325195
nds, sq, 0.0, 2.4318695068359375e-05
nds, ja, 0.005747126436781609, 4.291534423828125e-05
nds, ne, 0.5, 1.1444091796875e-05
nds, ht, 0.0, 1.0251998901367188e-05
nds, fy, 0.0, 1.0251998901367188e-05
nds, ki, 0.0, 1.0251998901367188e-05
nds, be-tarask, 0.0, 1.3113021850585938e-05
nds, be, 0.0012077294685990338, 0.0002789497375488281
nds, is, 0.0, 1.33514404296875e-05
nds, ta, 0.0, 1.430511474609375e-05
nds, hy, 0.0, 2.1219253540039062e-05
nds, cy, 0.0, 1.0728836059570312e-05
nds, simple, 0.03571428571428571, 1.4781951904296875e-05
nds, la, 0.1, 2.0742416381835938e-05
nds, ka, 0.00684931506849315, 3.814697265625e-05
nds, tt, 0.07142857142857142, 1.621246337890625e-05
nds, it, 0.005681818181818182, 0.0001308917999267578
nds, kab, 0.0, 1.6689300537109375e-05
nds, he, 0.016666666666666666, 1.71661376953125e-05
nds, da, 0.0, 1.5497207641601562e-05
nds, fa, 0.0038461538461538464, 1.9073486328125e-05
nds, scn, 0.0, 1.1444091796875e-05
nds, ps, 0.0, 1.0728836059570312e-05
nds, en, 0.00228310502283105, 0.006059885025024414
nds, tl, 0.0, 2.1696090698242188e-05
nds, sk, 0.0012468827930174563, 0.00010991096496582031
nds, sw, 0.0, 1.239776611328125e-05
nds, th, 0.038461538461538464, 1.1205673217773438e-05
nds, ku, 0.0, 1.049041748046875e-05
nds, sr, 0.0011627906976744186, 0.0011401176452636719
nds, sv, 0.006944444444444444, 7.390975952148438e-05
nds, oc, 0.125, 1.1682510375976562e-05
nds, no, 0.019230769230769232, 2.7179718017578125e-05
nds, as, 0.0, 1.0728836059570312e-05
nds, bg, 0.021739130434782608, 1.2636184692382812e-05
nds, my, 0.004807692307692308, 0.0032935142517089844
nds, ckb, 0.0, 1.71661376953125e-05
nds, bn, 0.08333333333333333, 1.0967254638671875e-05
nds, or, 0.0, 9.775161743164062e-06
nds, ru, 0.0012165450121654502, 0.00026798248291015625
nds, so, 0.0, 1.1920928955078125e-05
nds, hi, 0.045454545454545456, 1.0728836059570312e-05
nds, wuu, 0.125, 1.049041748046875e-05
nds, az, 0.0, 0.0010612010955810547
nds, bs, 0.0011441647597254005, 0.010299921035766602
nds, te, 0.0, 2.1457672119140625e-05
nds, zh, 0.002325581395348837, 0.0002899169921875
nds, mk, 0.0, 3.647804260253906e-05
nds, ext, 0.0, 1.1205673217773438e-05
nds, sl, 0.013157894736842105, 0.00033664703369140625
nds, su, 0.0, 1.1920928955078125e-05
nds, ga, 0.07142857142857142, 1.049041748046875e-05
nds, gl, 0.029411764705882353, 1.4066696166992188e-05
nds, hu, 0.0, 0.0005490779876708984
nds, uz, 0.0, 0.00024199485778808594
nds, co, 0.0, 1.1920928955078125e-05
nds, af, 0.022727272727272728, 5.7697296142578125e-05
nds, mn, 0.0, 1.1682510375976562e-05
nds, ko, 0.006172839506172839, 0.00044918060302734375
nds, ms, 0.038461538461538464, 1.4543533325195312e-05
nds, ca, 0.008928571428571428, 0.00012421607971191406
nds, pnb, 0.0, 1.3589859008789062e-05
