Language1, Language2, SimilarityScore, Time
eu, eu, 1.0, 5.7220458984375e-05
eu, fi, 1.0, 2.6464462280273438e-05
eu, id, 1.0, 2.2649765014648438e-05
eu, ar, 1.0, 2.1696090698242188e-05
eu, fr, 0.36332616564843095, 2.0503997802734375e-05
eu, ia, 1.0, 2.1219253540039062e-05
eu, tr, 1.0, 2.0742416381835938e-05
eu, es, 1.0, 2.09808349609375e-05
eu, pl, 1.0, 2.09808349609375e-05
eu, vi, 1.0, 2.0503997802734375e-05
eu, zh-yue, 1.0, 2.0742416381835938e-05
eu, uk, 1.0, 2.0742416381835938e-05
eu, de, 1.0, 2.0265579223632812e-05
eu, km, 1.0, 2.0742416381835938e-05
eu, cs, 1.0, 2.0265579223632812e-05
eu, nl, 1.0, 2.002716064453125e-05
eu, pt, 1.0, 2.0265579223632812e-05
eu, ro, 1.0, 2.0503997802734375e-05
eu, ja, 1.0, 2.5987625122070312e-05
eu, cy, 1.0, 2.6464462280273438e-05
eu, la, 1.0, 2.86102294921875e-05
eu, ka, 1.0, 2.6941299438476562e-05
eu, it, 1.0, 2.7894973754882812e-05
eu, he, 1.0, 2.765655517578125e-05
eu, da, 1.0, 2.6941299438476562e-05
eu, fa, 1.0, 2.5510787963867188e-05
eu, en, 0.26038942228244333, 2.09808349609375e-05
eu, th, 1.0, 2.1219253540039062e-05
eu, sv, 1.0, 2.0742416381835938e-05
eu, no, 1.0, 2.0742416381835938e-05
eu, bg, 1.0, 2.0742416381835938e-05
eu, bn, 1.0, 2.09808349609375e-05
eu, ru, 1.0, 2.0265579223632812e-05
eu, az, 1.0, 2.193450927734375e-05
eu, zh, 1.0, 2.6702880859375e-05
eu, hu, 1.0, 2.6941299438476562e-05
eu, mwl, 1.0, 2.574920654296875e-05
eu, ko, 1.0, 2.8371810913085938e-05
eu, ms, 1.0, 2.7179718017578125e-05
eu, ca, 1.0, 2.7179718017578125e-05
eu, lt, 1.0, 2.9087066650390625e-05
eu, union, 0.24666046878269723, 2.7418136596679688e-05
fi, fi, 1.0, 2.765655517578125e-05
fi, id, 1.0, 2.5272369384765625e-05
fi, ar, 1.0, 2.09808349609375e-05
fi, fr, 0.36332616564843095, 2.0503997802734375e-05
fi, ia, 1.0, 2.09808349609375e-05
fi, tr, 1.0, 2.0742416381835938e-05
fi, es, 1.0, 2.9087066650390625e-05
fi, pl, 1.0, 2.09808349609375e-05
fi, vi, 1.0, 2.0742416381835938e-05
fi, zh-yue, 1.0, 2.0503997802734375e-05
fi, uk, 1.0, 2.0265579223632812e-05
fi, de, 1.0, 2.8848648071289062e-05
fi, km, 1.0, 2.384185791015625e-05
fi, cs, 1.0, 2.5272369384765625e-05
fi, nl, 1.0, 2.6702880859375e-05
fi, pt, 1.0, 2.6464462280273438e-05
fi, ro, 1.0, 2.7418136596679688e-05
fi, ja, 1.0, 2.7179718017578125e-05
fi, cy, 1.0, 2.6702880859375e-05
fi, la, 1.0, 2.7179718017578125e-05
fi, ka, 1.0, 2.7418136596679688e-05
