Language1, Language2, SimilarityScore, Time
eu, eu, 0.5, 0.00021600723266601562
eu, fi, 0.0, 4.482269287109375e-05
eu, id, 0.0, 3.218650817871094e-05
eu, ar, 1.0, 0.00010800361633300781
eu, fr, 1.0, 0.0001163482666015625
eu, ia, 0.0, 4.0531158447265625e-05
eu, tr, 0.0, 3.0517578125e-05
eu, es, 0.5, 0.010717153549194336
eu, pl, 1.0, 0.000209808349609375
eu, vi, 0.0, 4.4345855712890625e-05
eu, zh-yue, 1.0, 0.00010561943054199219
eu, uk, 0.0, 3.981590270996094e-05
eu, de, 1.0, 0.00010275840759277344
eu, km, 0.0, 3.8623809814453125e-05
eu, cs, 1.0, 9.822845458984375e-05
eu, nl, 1.0, 0.00010538101196289062
eu, pt, 1.0, 0.00010323524475097656
eu, ro, 0.0, 3.886222839355469e-05
eu, ja, 1.0, 9.751319885253906e-05
eu, cy, 1.0, 0.00010228157043457031
eu, la, 1.0, 0.00010156631469726562
eu, ka, 0.0, 3.910064697265625e-05
eu, it, 0.0, 2.9802322387695312e-05
eu, he, 0.0, 2.8848648071289062e-05
eu, da, 1.0, 9.34600830078125e-05
eu, fa, 1.0, 0.0001010894775390625
eu, en, 0.5, 0.0001270771026611328
eu, th, 0.0, 3.9577484130859375e-05
eu, sv, 1.0, 9.846687316894531e-05
eu, no, 0.0, 3.838539123535156e-05
eu, bg, 0.0, 2.956390380859375e-05
eu, bn, 0.0, 2.86102294921875e-05
eu, ru, 0.0, 2.86102294921875e-05
eu, az, 0.0, 2.7179718017578125e-05
eu, zh, 0.0, 2.765655517578125e-05
eu, hu, 0.0, 2.8133392333984375e-05
eu, mwl, 0.0, 2.7179718017578125e-05
eu, ko, 1.0, 9.679794311523438e-05
eu, ms, 0.0, 3.743171691894531e-05
eu, ca, 0.5, 0.00010657310485839844
eu, lt, 1.0, 0.00010585784912109375
eu, union, 0.5, 0.00012445449829101562
fi, fi, 0.25, 0.00012230873107910156
fi, id, 0.0, 3.886222839355469e-05
fi, ar, 0.5, 0.00010538101196289062
fi, fr, 0.3333333333333333, 0.0001423358917236328
fi, ia, 1.0, 0.0001246929168701172
fi, tr, 1.0, 0.00010752677917480469
fi, es, 0.5, 0.007821083068847656
fi, pl, 1.0, 0.0001971721649169922
fi, vi, 1.0, 0.00010800361633300781
fi, zh-yue, 0.0, 4.029273986816406e-05
fi, uk, 0.5, 0.00011086463928222656
fi, de, 1.0, 0.00010728836059570312
fi, km, 1.0, 0.00010395050048828125
fi, cs, 1.0, 0.00010180473327636719
fi, nl, 1.0, 0.00010061264038085938
fi, pt, 0.5, 0.00011086463928222656
fi, ro, 0.5, 0.00010895729064941406
fi, ja, 1.0, 0.00010371208190917969
fi, cy, 0.0, 3.814697265625e-05
fi, la, 0.0, 3.0517578125e-05
fi, ka, 1.0, 9.751319885253906e-05
fi, it, 1.0, 0.00010180473327636719
fi, he, 1.0, 0.00010085105895996094
fi, da, 0.0, 3.838539123535156e-05
fi, fa, 1.0, 9.393692016601562e-05
fi, en, 0.3333333333333333, 0.005740642547607422
fi, th, 1.0, 0.00012493133544921875
fi, sv, 1.0, 0.00011348724365234375
fi, no, 0.5, 0.00011658668518066406
fi, bg, 0.3333333333333333, 0.00011873245239257812
fi, bn, 1.0, 0.00011181831359863281
fi, ru, 0.3333333333333333, 0.003324747085571289
fi, az, 1.0, 0.0002117156982421875
fi, zh, 0.5, 0.00011873245239257812
fi, hu, 1.0, 0.00010800361633300781
fi, mwl, 1.0, 0.00010275840759277344
fi, ko, 1.0, 0.00010013580322265625
fi, ms, 1.0, 9.918212890625e-05
fi, ca, 1.0, 0.00010180473327636719
fi, lt, 0.5, 0.00011348724365234375
fi, union, 0.25, 0.00012969970703125
id, id, 1.0, 0.00010347366333007812
id, ar, 0.0, 3.790855407714844e-05
id, fr, 1.0, 9.894371032714844e-05
id, ia, 0.0, 3.719329833984375e-05
id, tr, 0.0, 2.86102294921875e-05
id, es, 1.0, 9.34600830078125e-05
id, pl, 0.0, 3.6716461181640625e-05
id, vi, 0.0, 2.8133392333984375e-05
id, zh-yue, 0.0, 2.7418136596679688e-05
id, uk, 1.0, 9.107589721679688e-05
id, de, 1.0, 0.00010752677917480469
id, km, 0.0, 3.647804260253906e-05
id, cs, 0.0, 2.86102294921875e-05
id, nl, 1.0, 9.131431579589844e-05
id, pt, 0.0, 3.7670135498046875e-05
id, ro, 0.0, 2.86102294921875e-05
id, ja, 1.0, 9.083747863769531e-05
id, cy, 0.0, 3.600120544433594e-05
id, la, 0.0, 2.86102294921875e-05
id, ka, 0.0, 2.7418136596679688e-05
id, it, 1.0, 9.012222290039062e-05
id, he, 0.0, 3.647804260253906e-05
id, da, 0.0, 2.86102294921875e-05
id, fa, 0.0, 2.8848648071289062e-05
id, en, 1.0, 0.00010013580322265625
id, th, 0.0, 3.647804260253906e-05
id, sv, 0.0, 2.8371810913085938e-05
id, no, 0.0, 2.7418136596679688e-05
id, bg, 0.0, 2.6702880859375e-05
id, bn, 0.0, 2.6702880859375e-05
id, ru, 1.0, 9.1552734375e-05
id, az, 0.0, 3.6716461181640625e-05
id, zh, 1.0, 0.00010323524475097656
id, hu, 0.0, 3.886222839355469e-05
id, mwl, 0.0, 2.86102294921875e-05
id, ko, 0.0, 2.6941299438476562e-05
id, ms, 0.0, 2.6702880859375e-05
id, ca, 1.0, 9.584426879882812e-05
id, lt, 0.0, 3.7670135498046875e-05
id, union, 1.0, 0.00010752677917480469
ar, ar, 0.3333333333333333, 0.0001323223114013672
ar, fr, 0.3333333333333333, 0.00012826919555664062
ar, ia, 1.0, 0.00010633468627929688
ar, tr, 1.0, 0.00010442733764648438
ar, es, 0.3333333333333333, 0.014942407608032227
ar, pl, 0.5, 0.00022935867309570312
ar, vi, 0.0, 4.4345855712890625e-05
ar, zh-yue, 1.0, 0.00010943412780761719
ar, uk, 0.5, 0.011461973190307617
ar, de, 0.5, 0.00022792816162109375
ar, km, 0.0, 4.673004150390625e-05
ar, cs, 0.5, 0.00012493133544921875
ar, nl, 0.5, 0.00012993812561035156
ar, pt, 0.3333333333333333, 0.0001304149627685547
ar, ro, 0.5, 0.00012993812561035156
ar, ja, 0.5, 0.00012803077697753906
ar, cy, 1.0, 0.0001227855682373047
ar, la, 1.0, 0.00011396408081054688
ar, ka, 1.0, 0.00011968612670898438
ar, it, 1.0, 0.00010991096496582031
ar, he, 1.0, 0.00011301040649414062
ar, da, 1.0, 0.00011563301086425781
ar, fa, 0.5, 0.0001220703125
ar, en, 0.3333333333333333, 0.00013637542724609375
ar, th, 0.0, 4.220008850097656e-05
ar, sv, 0.5, 0.000118255615234375
ar, no, 0.5, 0.00012302398681640625
ar, bg, 0.5, 0.00011420249938964844
ar, bn, 0.0, 4.649162292480469e-05
ar, ru, 0.5, 0.00011539459228515625
ar, az, 1.0, 0.00012350082397460938
ar, zh, 0.5, 0.004677534103393555
ar, hu, 1.0, 0.00018787384033203125
ar, mwl, 1.0, 0.00012040138244628906
ar, ko, 1.0, 0.00011420249938964844
ar, ms, 0.0, 4.1961669921875e-05
ar, ca, 0.5, 0.00011777877807617188
ar, lt, 0.3333333333333333, 0.00012636184692382812
ar, union, 0.3333333333333333, 0.0001728534698486328
fr, fr, 0.0909338925702562, 0.00022125244140625
fr, ia, 1.0, 0.00013446807861328125
fr, tr, 1.0, 0.0001380443572998047
fr, es, 0.16666666666666666, 0.02393937110900879
fr, pl, 0.5, 0.0001919269561767578
fr, vi, 1.0, 0.00011467933654785156
fr, zh-yue, 1.0, 0.00010776519775390625
fr, uk, 0.3333333333333333, 0.0001308917999267578
fr, de, 0.25, 0.005619525909423828
fr, km, 1.0, 0.00013899803161621094
fr, cs, 0.5, 0.00014162063598632812
fr, nl, 0.3333333333333333, 0.05017995834350586
fr, pt, 0.3333333333333333, 0.0015692710876464844
fr, ro, 0.5, 0.0001323223114013672
fr, ja, 0.3333333333333333, 0.001447916030883789
fr, cy, 1.0, 0.00012063980102539062
fr, la, 1.0, 0.0001087188720703125
fr, ka, 1.0, 0.00010538101196289062
fr, it, 0.5, 0.0023882389068603516
fr, he, 1.0, 0.00011539459228515625
fr, da, 1.0, 0.00010752677917480469
fr, fa, 0.5, 0.0018544197082519531
fr, en, 0.125015625, 0.0011053085327148438
fr, th, 1.0, 0.0001246929168701172
fr, sv, 0.5, 0.0014071464538574219
fr, no, 0.5, 0.0007255077362060547
fr, bg, 0.3333333333333333, 0.003753662109375
fr, bn, 1.0, 0.00011873245239257812
fr, ru, 0.2, 0.0014009475708007812
fr, az, 1.0, 0.0001220703125
fr, zh, 0.3333333333333333, 0.001422882080078125
fr, hu, 1.0, 0.00011682510375976562
fr, mwl, 1.0, 0.0001227855682373047
fr, ko, 0.5, 0.0019042491912841797
fr, ms, 1.0, 0.00012040138244628906
fr, ca, 0.2, 0.0013971328735351562
fr, lt, 0.3333333333333333, 0.0009872913360595703
fr, union, 0.0909338925702562, 0.010046005249023438
ia, ia, 1.0, 0.00020575523376464844
ia, tr, 1.0, 0.00013494491577148438
ia, es, 1.0, 0.00012445449829101562
ia, pl, 1.0, 0.00011849403381347656
ia, vi, 0.0, 4.267692565917969e-05
ia, zh-yue, 0.0, 4.124641418457031e-05
ia, uk, 1.0, 0.00011587142944335938
ia, de, 1.0, 0.00011610984802246094
ia, km, 0.0, 4.124641418457031e-05
ia, cs, 1.0, 0.00012540817260742188
