Language1, Language2, SimilarityScore, Kernel, Time
bat-smg, bat-smg, 1.0, 1.0, 0.0001499652862548828
bat-smg, eu, 1.0, 1.0, 7.081031799316406e-05
bat-smg, fi, 1.0, 1.0, 6.246566772460938e-05
bat-smg, id, 1.0, 1.0, 6.151199340820312e-05
bat-smg, lb, 1.0, 1.0, 6.937980651855469e-05
bat-smg, ast, 1.0, 1.0, 5.984306335449219e-05
bat-smg, eo, 1.0, 1.0, 6.008148193359375e-05
bat-smg, sco, 1.0, 1.0, 5.888938903808594e-05
bat-smg, ar, 1.0, 1.0, 5.817413330078125e-05
bat-smg, fr, 1.0, 1.0, 6.389617919921875e-05
bat-smg, br, 1.0, 1.0, 5.793571472167969e-05
bat-smg, csb, 1.0, 1.0, 5.8650970458984375e-05
bat-smg, mr, 1.0, 1.0, 5.841255187988281e-05
bat-smg, tr, 1.0, 1.0, 5.888938903808594e-05
bat-smg, lv, 1.0, 1.0, 6.151199340820312e-05
bat-smg, el, 1.0, 1.0, 6.008148193359375e-05
bat-smg, hr, 1.0, 1.0, 5.936622619628906e-05
bat-smg, nn, 1.0, 1.0, 6.103515625e-05
bat-smg, crh, 1.0, 1.0, 5.888938903808594e-05
bat-smg, xmf, 1.0, 1.0, 5.8650970458984375e-05
bat-smg, es, 1.0, 1.0, 6.29425048828125e-05
bat-smg, pl, 1.0, 1.0, 5.984306335449219e-05
bat-smg, vi, 1.0, 1.0, 5.936622619628906e-05
bat-smg, zh-yue, 1.0, 1.0, 5.817413330078125e-05
bat-smg, gd, 1.0, 1.0, 5.91278076171875e-05
bat-smg, uk, 1.0, 1.0, 6.29425048828125e-05
bat-smg, de, 1.0, 1.0, 6.0558319091796875e-05
bat-smg, gom, 1.0, 1.0, 5.888938903808594e-05
bat-smg, diq, 1.0, 1.0, 5.9604644775390625e-05
bat-smg, kn, 1.0, 1.0, 5.8650970458984375e-05
bat-smg, ml, 1.0, 1.0, 6.103515625e-05
bat-smg, sh, 1.0, 1.0, 6.0558319091796875e-05
bat-smg, et, 1.0, 1.0, 5.888938903808594e-05
bat-smg, cs, 1.0, 1.0, 6.008148193359375e-05
bat-smg, nl, 1.0, 1.0, 5.817413330078125e-05
bat-smg, pt, 1.0, 1.0, 5.888938903808594e-05
bat-smg, sd, 1.0, 1.0, 6.0558319091796875e-05
bat-smg, ro, 1.0, 1.0, 5.888938903808594e-05
bat-smg, sq, 1.0, 1.0, 5.8650970458984375e-05
bat-smg, ja, 1.0, 1.0, 5.793571472167969e-05
bat-smg, ne, 1.0, 1.0, 5.888938903808594e-05
bat-smg, min, 1.0, 1.0, 6.413459777832031e-05
bat-smg, fy, 0.0, 0.0, 6.413459777832031e-05
bat-smg, be-tarask, 1.0, 1.0, 6.127357482910156e-05
bat-smg, be, 1.0, 1.0, 5.9604644775390625e-05
bat-smg, is, 1.0, 1.0, 5.817413330078125e-05
bat-smg, ta, 1.0, 1.0, 5.91278076171875e-05
bat-smg, hy, 1.0, 1.0, 6.437301635742188e-05
bat-smg, cy, 0.0, 0.0, 6.437301635742188e-05
bat-smg, simple, 1.0, 1.0, 6.031990051269531e-05
bat-smg, la, 1.0, 1.0, 5.888938903808594e-05
bat-smg, ka, 1.0, 1.0, 5.888938903808594e-05
bat-smg, it, 1.0, 1.0, 6.008148193359375e-05
bat-smg, he, 1.0, 1.0, 6.151199340820312e-05
bat-smg, da, 1.0, 1.0, 5.8650970458984375e-05
bat-smg, arc, 1.0, 1.0, 5.793571472167969e-05
bat-smg, fa, 1.0, 1.0, 6.103515625e-05
bat-smg, scn, 1.0, 1.0, 5.91278076171875e-05
bat-smg, wa, 1.0, 1.0, 5.9604644775390625e-05
bat-smg, en, 1.0, 1.0, 6.0558319091796875e-05
bat-smg, tl, 1.0, 1.0, 5.91278076171875e-05
bat-smg, sk, 1.0, 1.0, 5.888938903808594e-05
bat-smg, sw, 1.0, 1.0, 5.7697296142578125e-05
bat-smg, th, 1.0, 1.0, 5.841255187988281e-05
bat-smg, ku, 1.0, 1.0, 6.0558319091796875e-05
bat-smg, sr, 1.0, 1.0, 5.91278076171875e-05
bat-smg, sv, 1.0, 1.0, 5.8650970458984375e-05
bat-smg, oc, 1.0, 1.0, 5.841255187988281e-05
bat-smg, li, 1.0, 1.0, 5.8650970458984375e-05
bat-smg, no, 1.0, 1.0, 5.888938903808594e-05
bat-smg, bg, 1.0, 1.0, 6.079673767089844e-05
bat-smg, ky, 0.0, 0.0, 6.079673767089844e-05
bat-smg, bn, 1.0, 1.0, 5.8650970458984375e-05
bat-smg, hyw, 1.0, 1.0, 5.793571472167969e-05
bat-smg, or, 1.0, 1.0, 5.7220458984375e-05
bat-smg, chr, 0.0, 0.0, 5.7220458984375e-05
bat-smg, ru, 1.0, 1.0, 5.8650970458984375e-05
bat-smg, hi, 1.0, 1.0, 5.888938903808594e-05
bat-smg, wuu, 1.0, 1.0, 5.817413330078125e-05
bat-smg, arz, 1.0, 1.0, 5.817413330078125e-05
bat-smg, az, 1.0, 1.0, 5.745887756347656e-05
bat-smg, bs, 1.0, 1.0, 5.793571472167969e-05
bat-smg, te, 1.0, 1.0, 6.29425048828125e-05
bat-smg, zh, 1.0, 1.0, 5.841255187988281e-05
bat-smg, ace, 0.0, 0.0, 5.841255187988281e-05
bat-smg, mk, 1.0, 1.0, 5.7220458984375e-05
