Language1, Language2, SimilarityScore, Time
bat-smg, bat-smg, 1.0, 0.00025463104248046875
bat-smg, eu, 1.0, 9.72747802734375e-05
bat-smg, fi, 1.0, 8.225440979003906e-05
bat-smg, id, 1.0, 7.700920104980469e-05
bat-smg, lb, 1.0, 7.43865966796875e-05
bat-smg, ast, 1.0, 7.319450378417969e-05
bat-smg, eo, 1.0, 7.43865966796875e-05
bat-smg, sco, 1.0, 7.081031799316406e-05
bat-smg, ar, 1.0, 7.200241088867188e-05
bat-smg, fr, 1.0, 9.012222290039062e-05
bat-smg, br, 1.0, 7.176399230957031e-05
bat-smg, csb, 1.0, 6.961822509765625e-05
bat-smg, mr, 1.0, 6.961822509765625e-05
bat-smg, tr, 1.0, 7.176399230957031e-05
bat-smg, lv, 1.0, 7.05718994140625e-05
bat-smg, el, 1.0, 6.961822509765625e-05
bat-smg, hr, 1.0, 7.176399230957031e-05
bat-smg, nn, 1.0, 7.05718994140625e-05
bat-smg, crh, 1.0, 6.985664367675781e-05
bat-smg, xmf, 1.0, 6.937980651855469e-05
bat-smg, es, 1.0, 7.224082946777344e-05
bat-smg, pl, 1.0, 7.224082946777344e-05
bat-smg, vi, 1.0, 7.033348083496094e-05
bat-smg, zh-yue, 1.0, 6.914138793945312e-05
bat-smg, gd, 1.0, 6.914138793945312e-05
bat-smg, uk, 1.0, 6.961822509765625e-05
bat-smg, de, 1.0, 7.128715515136719e-05
bat-smg, gom, 1.0, 6.890296936035156e-05
bat-smg, diq, 1.0, 6.914138793945312e-05
bat-smg, kn, 1.0, 6.937980651855469e-05
bat-smg, ml, 1.0, 6.866455078125e-05
bat-smg, sh, 1.0, 6.866455078125e-05
bat-smg, et, 1.0, 6.890296936035156e-05
bat-smg, cs, 1.0, 7.176399230957031e-05
bat-smg, nl, 1.0, 7.009506225585938e-05
bat-smg, pt, 1.0, 7.033348083496094e-05
bat-smg, sd, 1.0, 6.961822509765625e-05
bat-smg, ro, 1.0, 7.081031799316406e-05
bat-smg, sq, 1.0, 6.961822509765625e-05
bat-smg, ja, 1.0, 7.867813110351562e-05
bat-smg, ne, 1.0, 7.081031799316406e-05
bat-smg, min, 1.0, 7.033348083496094e-05
bat-smg, fy, 0.0, 2.6941299438476562e-05
bat-smg, be-tarask, 1.0, 6.532669067382812e-05
bat-smg, be, 1.0, 7.033348083496094e-05
bat-smg, is, 1.0, 6.985664367675781e-05
bat-smg, ta, 1.0, 6.961822509765625e-05
bat-smg, hy, 1.0, 6.985664367675781e-05
bat-smg, cy, 0.0, 2.8371810913085938e-05
bat-smg, simple, 1.0, 6.699562072753906e-05
bat-smg, la, 1.0, 6.961822509765625e-05
bat-smg, ka, 1.0, 7.009506225585938e-05
bat-smg, it, 1.0, 7.152557373046875e-05
bat-smg, he, 1.0, 6.985664367675781e-05
bat-smg, da, 1.0, 6.914138793945312e-05
bat-smg, arc, 1.0, 8.869171142578125e-05
bat-smg, fa, 1.0, 7.104873657226562e-05
bat-smg, scn, 1.0, 6.890296936035156e-05
bat-smg, wa, 1.0, 7.2479248046875e-05
bat-smg, en, 1.0, 7.462501525878906e-05
bat-smg, tl, 1.0, 7.128715515136719e-05
bat-smg, sk, 1.0, 7.128715515136719e-05
bat-smg, sw, 1.0, 6.890296936035156e-05
bat-smg, th, 1.0, 6.985664367675781e-05
bat-smg, ku, 1.0, 6.890296936035156e-05
bat-smg, sr, 1.0, 6.985664367675781e-05
bat-smg, sv, 1.0, 7.033348083496094e-05
bat-smg, oc, 1.0, 6.961822509765625e-05
bat-smg, li, 1.0, 6.937980651855469e-05
bat-smg, no, 1.0, 6.985664367675781e-05
bat-smg, bg, 1.0, 6.961822509765625e-05
bat-smg, ky, 0.0, 2.5987625122070312e-05
bat-smg, bn, 1.0, 6.413459777832031e-05
bat-smg, hyw, 1.0, 6.866455078125e-05
bat-smg, or, 1.0, 6.937980651855469e-05
bat-smg, chr, 0.0, 2.574920654296875e-05
bat-smg, ru, 1.0, 6.4849853515625e-05
bat-smg, hi, 1.0, 6.890296936035156e-05
bat-smg, wuu, 1.0, 6.866455078125e-05
bat-smg, arz, 1.0, 6.890296936035156e-05
bat-smg, az, 1.0, 6.937980651855469e-05
bat-smg, bs, 1.0, 6.890296936035156e-05
bat-smg, te, 1.0, 6.914138793945312e-05
bat-smg, zh, 1.0, 6.961822509765625e-05
bat-smg, ace, 0.0, 2.5987625122070312e-05
bat-smg, mk, 1.0, 6.365776062011719e-05
bat-smg, sl, 1.0, 6.914138793945312e-05
bat-smg, su, 1.0, 6.866455078125e-05
bat-smg, ga, 1.0, 6.914138793945312e-05
bat-smg, gl, 1.0, 6.914138793945312e-05
bat-smg, hu, 1.0, 7.224082946777344e-05
bat-smg, uz, 0.0, 2.574920654296875e-05
bat-smg, ko, 1.0, 6.341934204101562e-05
bat-smg, ms, 1.0, 7.081031799316406e-05
bat-smg, ca, 1.0, 7.557868957519531e-05
bat-smg, lt, 1.0, 6.961822509765625e-05
bat-smg, kk, 1.0, 6.937980651855469e-05
bat-smg, ur, 1.0, 6.914138793945312e-05
bat-smg, ha, 1.0, 6.866455078125e-05
bat-smg, nrm, 0.0, 2.5510787963867188e-05
bat-smg, union, 1.0, 7.748603820800781e-05
eu, eu, 0.33355577800022246, 0.2881288528442383
eu, fi, 1.0, 0.00021696090698242188
eu, id, 0.5, 0.0001571178436279297
eu, lb, 1.0, 0.00013589859008789062
eu, ast, 1.0, 0.000125885009765625
eu, eo, 0.5005005005005005, 0.0001380443572998047
eu, sco, 1.0, 0.0001239776611328125
eu, ar, 0.5, 0.00013208389282226562
eu, fr, 0.50025, 0.00013184547424316406
eu, br, 1.0, 0.00012063980102539062
eu, csb, 1.0, 0.00011515617370605469
eu, mr, 1.0, 0.00011324882507324219
eu, tr, 0.50025, 0.0001251697540283203
eu, lv, 0.5, 0.0001239776611328125
eu, el, 1.0, 0.00011730194091796875
eu, hr, 0.50025, 0.00012254714965820312
eu, nn, 1.0, 0.00011754035949707031
eu, crh, 1.0, 0.00011324882507324219
eu, xmf, 1.0, 0.00011134147644042969
eu, es, 0.33355577800022246, 0.00013637542724609375
eu, pl, 0.50025, 0.0001270771026611328
eu, vi, 1.0, 0.00011754035949707031
eu, zh-yue, 1.0, 0.0001125335693359375
eu, gd, 1.0, 0.00011157989501953125
eu, uk, 0.5, 0.00011968612670898438
eu, de, 0.33344444444444443, 0.000141143798828125
eu, gom, 1.0, 0.000118255615234375
eu, diq, 1.0, 0.00011229515075683594
eu, kn, 1.0, 0.00011134147644042969
eu, ml, 1.0, 0.0001704692840576172
eu, sh, 1.0, 0.00017189979553222656
eu, et, 0.5, 0.0001888275146484375
eu, cs, 0.50025, 0.00019669532775878906
eu, nl, 1.0, 0.00018167495727539062
eu, pt, 0.5, 0.000186920166015625
eu, sd, 1.0, 0.0001785755157470703
eu, ro, 0.5, 0.00018525123596191406
eu, sq, 1.0, 0.00017786026000976562
eu, ja, 0.5, 0.00018906593322753906
eu, ne, 1.0, 0.0001800060272216797
eu, min, 1.0, 0.0001747608184814453
eu, fy, 0.0, 6.67572021484375e-05
eu, be-tarask, 1.0, 0.00016427040100097656
eu, be, 1.0, 0.00017452239990234375
eu, is, 1.0, 0.00017333030700683594
eu, ta, 1.0, 0.00017905235290527344
eu, hy, 1.0, 0.00017404556274414062
eu, cy, 0.0, 6.890296936035156e-05
eu, simple, 0.5005005005005005, 0.0002067089080810547
eu, la, 1.0, 0.00018310546875
eu, ka, 0.5, 0.0001900196075439453
eu, it, 0.33344444444444443, 0.00021314620971679688
eu, he, 0.3333333333333333, 0.00020360946655273438
eu, da, 1.0, 0.00018525123596191406
eu, arc, 1.0, 0.0001785755157470703
eu, fa, 1.0, 0.0001766681671142578
eu, scn, 1.0, 0.0001761913299560547
eu, wa, 0.5005005005005005, 0.0002052783966064453
eu, en, 0.33355577800022246, 0.00021529197692871094
eu, tl, 0.50025, 0.0001964569091796875
eu, sk, 0.50025, 0.0001926422119140625
eu, sw, 1.0, 0.00018262863159179688
eu, th, 0.3333333333333333, 0.00020551681518554688
eu, ku, 1.0, 0.00018310546875
eu, sr, 0.5, 0.00018787384033203125
eu, sv, 0.5, 0.0001862049102783203
eu, oc, 1.0, 0.00018072128295898438
eu, li, 1.0, 0.00017642974853515625
eu, no, 1.0, 0.00017595291137695312
eu, bg, 0.5, 0.0001857280731201172
eu, ky, 1.0, 0.00017786026000976562
eu, bn, 1.0, 0.00017452239990234375
eu, hyw, 1.0, 0.00017547607421875
eu, or, 1.0, 0.00017404556274414062
eu, chr, 0.0, 6.723403930664062e-05
eu, ru, 0.3333333333333333, 0.0001914501190185547
eu, hi, 1.0, 0.0001819133758544922
eu, wuu, 1.0, 0.00017452239990234375
eu, arz, 1.0, 0.0001747608184814453
eu, az, 0.5, 0.00020742416381835938
eu, bs, 1.0, 0.00019240379333496094
eu, te, 1.0, 0.00016307830810546875
eu, zh, 1.0, 0.00016355514526367188
eu, ace, 0.0, 6.365776062011719e-05
eu, mk, 1.0, 0.000152587890625
eu, sl, 0.5, 0.00017714500427246094
eu, su, 1.0, 0.0001652240753173828
eu, ga, 0.5, 0.00017070770263671875
eu, gl, 0.5, 0.00017023086547851562
eu, hu, 0.50025, 0.00017786026000976562
eu, uz, 1.0, 0.0001685619354248047
eu, ko, 1.0, 0.00016427040100097656
eu, ms, 0.50025, 0.00017786026000976562
eu, ca, 0.5, 0.000171661376953125
eu, lt, 0.5, 0.00017189979553222656
eu, kk, 1.0, 0.00016832351684570312
eu, ur, 1.0, 0.000164031982421875
eu, ha, 1.0, 0.0001628398895263672
eu, nrm, 1.0, 0.00017786026000976562
eu, union, 0.33355577800022246, 0.0002276897430419922
fi, fi, 0.14285714285714285, 0.0002987384796142578
fi, id, 0.5, 0.00011849403381347656
fi, lb, 1.0, 0.000102996826171875
fi, ast, 1.0, 9.989738464355469e-05
fi, eo, 0.3333333333333333, 0.00011515617370605469
fi, sco, 1.0, 0.00010275840759277344
fi, ar, 0.3333333333333333, 0.00011181831359863281
fi, fr, 0.2, 0.00013446807861328125
fi, br, 1.0, 0.00010585784912109375
fi, csb, 1.0, 0.00010132789611816406
fi, mr, 1.0, 0.00010013580322265625
fi, tr, 0.5, 0.00010848045349121094
fi, lv, 0.5, 0.00010585784912109375
fi, el, 0.5, 0.00010347366333007812
fi, hr, 0.5, 0.00010609626770019531
fi, nn, 0.3333333333333333, 0.00012040138244628906
fi, crh, 1.0, 0.000102996826171875
fi, xmf, 1.0, 0.00010013580322265625
fi, es, 0.25, 0.00013208389282226562
fi, pl, 0.3333333333333333, 0.0001251697540283203
fi, vi, 0.25, 0.00011229515075683594
fi, zh-yue, 1.0, 0.00010037422180175781
fi, gd, 1.0, 9.632110595703125e-05
fi, uk, 0.25, 0.00011205673217773438
fi, de, 0.16666666666666666, 0.0001556873321533203
fi, gom, 1.0, 0.00010991096496582031
fi, diq, 1.0, 0.00010323524475097656
fi, kn, 0.5, 0.00016760826110839844
fi, ml, 1.0, 0.00016617774963378906
fi, sh, 1.0, 0.00016188621520996094
fi, et, 1.0, 0.0001614093780517578
fi, cs, 0.25, 0.00019359588623046875
fi, nl, 0.2, 0.0002040863037109375
fi, pt, 0.14285714285714285, 0.00022292137145996094
fi, sd, 1.0, 0.00017261505126953125
fi, ro, 0.2, 0.00019502639770507812
fi, sq, 1.0, 0.00016832351684570312
fi, ja, 0.25, 0.00019025802612304688
fi, ne, 1.0, 0.00016736984252929688
fi, min, 1.0, 0.00016164779663085938
fi, fy, 1.0, 0.00016069412231445312
fi, be-tarask, 1.0, 0.0001678466796875
fi, be, 0.5, 0.00017023086547851562
fi, is, 0.5, 0.00018453598022460938
fi, ta, 1.0, 0.00012111663818359375
fi, hy, 1.0, 0.00011849403381347656
fi, cy, 1.0, 0.00012040138244628906
fi, simple, 0.3333333333333333, 0.0001366138458251953
fi, la, 1.0, 0.00012159347534179688
fi, ka, 1.0, 0.00011873245239257812
fi, it, 0.3333333333333333, 0.00014066696166992188
fi, he, 0.5, 0.00012755393981933594
fi, da, 0.3333333333333333, 0.0001304149627685547
fi, arc, 1.0, 0.0001220703125
fi, fa, 0.3333333333333333, 0.00013256072998046875
fi, scn, 1.0, 0.00012183189392089844
fi, wa, 1.0, 0.00012350082397460938
fi, en, 0.14285714285714285, 0.00017404556274414062
fi, tl, 1.0, 0.00012755393981933594
fi, sk, 0.5, 0.00013017654418945312
fi, sw, 1.0, 0.00012254714965820312
fi, th, 0.5, 0.00012731552124023438
fi, ku, 1.0, 0.0001220703125
fi, sr, 0.3333333333333333, 0.00013375282287597656
fi, sv, 0.25, 0.00014090538024902344
fi, oc, 1.0, 0.00012373924255371094
fi, li, 1.0, 0.00011992454528808594
fi, no, 0.25, 0.00015115737915039062
fi, bg, 0.5, 0.00012946128845214844
fi, ky, 0.0, 4.673004150390625e-05
fi, bn, 1.0, 0.00012302398681640625
fi, hyw, 1.0, 0.00012135505676269531
fi, or, 1.0, 0.00011873245239257812
fi, chr, 1.0, 0.00011706352233886719
fi, ru, 0.2, 0.0001499652862548828
fi, hi, 1.0, 0.0001227855682373047
fi, wuu, 1.0, 0.00011873245239257812
fi, arz, 1.0, 0.00011730194091796875
fi, az, 1.0, 0.00011658668518066406
fi, bs, 1.0, 0.00011754035949707031
fi, te, 1.0, 0.00011754035949707031
fi, zh, 0.2, 0.00014710426330566406
fi, ace, 1.0, 0.00012254714965820312
fi, mk, 0.5, 0.00012493133544921875
fi, sl, 0.5, 0.00012540817260742188
fi, su, 1.0, 0.00012111663818359375
fi, ga, 1.0, 0.00011754035949707031
fi, gl, 0.5, 0.00012564659118652344
fi, hu, 0.5, 0.0001285076141357422
fi, uz, 0.0, 4.601478576660156e-05
fi, ko, 0.5, 0.00011730194091796875
fi, ms, 0.3333333333333333, 0.0001354217529296875
fi, ca, 0.3333333333333333, 0.0001316070556640625
fi, lt, 0.5, 0.00013828277587890625
fi, kk, 0.5, 0.00012683868408203125
fi, ur, 1.0, 0.0001227855682373047
fi, ha, 1.0, 0.00011920928955078125
fi, nrm, 0.0, 4.5299530029296875e-05
fi, union, 0.14285714285714285, 0.0001914501190185547
id, id, 0.3333333333333333, 0.00013399124145507812
id, lb, 1.0, 0.00012373924255371094
id, ast, 1.0, 0.0001201629638671875
id, eo, 0.3333333333333333, 0.00013756752014160156
id, sco, 1.0, 0.00012159347534179688
id, ar, 0.3333333333333333, 0.0001327991485595703
id, fr, 0.3333333333333333, 0.00013566017150878906
id, br, 1.0, 0.0001201629638671875
id, csb, 1.0, 0.00011801719665527344
id, mr, 1.0, 0.00011754035949707031
id, tr, 0.3333333333333333, 0.00014281272888183594
id, lv, 0.3333333333333333, 0.00013113021850585938
id, el, 0.5, 0.00012636184692382812
id, hr, 0.3333333333333333, 0.00013184547424316406
id, nn, 0.5, 0.00012636184692382812
id, crh, 1.0, 0.00012183189392089844
id, xmf, 1.0, 0.00011730194091796875
id, es, 0.3333333333333333, 0.00013947486877441406
id, pl, 0.3333333333333333, 0.00013518333435058594
id, vi, 1.0, 0.00013685226440429688
id, zh-yue, 1.0, 0.00011658668518066406
id, gd, 1.0, 0.00011444091796875
id, uk, 0.3333333333333333, 0.00012874603271484375
id, de, 0.3333333333333333, 0.0001304149627685547
id, gom, 1.0, 0.000118255615234375
id, diq, 1.0, 0.00011515617370605469
id, kn, 1.0, 0.00011420249938964844
id, ml, 1.0, 0.00011396408081054688
id, sh, 1.0, 0.00011324882507324219
id, et, 0.5, 0.00012135505676269531
id, cs, 0.3333333333333333, 0.00013709068298339844
id, nl, 0.5, 0.00012540817260742188
id, pt, 0.3333333333333333, 0.00012946128845214844
id, sd, 1.0, 0.00011849403381347656
id, ro, 0.3333333333333333, 0.00012731552124023438
id, sq, 1.0, 0.00011706352233886719
id, ja, 0.3333333333333333, 0.0001289844512939453
id, ne, 1.0, 0.0001201629638671875
id, min, 1.0, 0.00011515617370605469
id, fy, 1.0, 0.00011348724365234375
id, be-tarask, 1.0, 0.00011444091796875
id, be, 1.0, 0.00011444091796875
id, is, 1.0, 0.00011324882507324219
id, ta, 1.0, 0.00011348724365234375
id, hy, 1.0, 0.00011396408081054688
id, cy, 0.0, 5.698204040527344e-05
id, simple, 0.3333333333333333, 0.00013065338134765625
id, la, 1.0, 0.00011873245239257812
id, ka, 0.5, 0.00012421607971191406
id, it, 0.3333333333333333, 0.00013113021850585938
id, he, 0.5, 0.00012421607971191406
id, da, 0.5, 0.00012087821960449219
id, arc, 1.0, 0.00011706352233886719
id, fa, 1.0, 0.00011563301086425781
id, scn, 1.0, 0.00011444091796875
id, wa, 0.5, 0.00012421607971191406
id, en, 0.3333333333333333, 0.00013566017150878906
id, tl, 0.5, 0.00012373924255371094
id, sk, 0.3333333333333333, 0.00012993812561035156
id, sw, 1.0, 0.00011873245239257812
id, th, 0.5, 0.00012350082397460938
id, ku, 1.0, 0.00011658668518066406
id, sr, 0.3333333333333333, 0.00013375282287597656
id, sv, 0.3333333333333333, 0.00012826919555664062
id, oc, 1.0, 0.000118255615234375
id, li, 1.0, 0.00011587142944335938
id, no, 0.5, 0.00011992454528808594
id, bg, 0.3333333333333333, 0.00012445449829101562
id, ky, 1.0, 0.00011730194091796875
id, bn, 1.0, 0.00011396408081054688
id, hyw, 1.0, 0.00011324882507324219
id, or, 1.0, 0.00012540817260742188
id, chr, 1.0, 0.00011396408081054688
id, ru, 0.3333333333333333, 0.00013184547424316406
id, hi, 1.0, 0.00011610984802246094
id, wuu, 1.0, 0.00011348724365234375
id, arz, 1.0, 0.00011396408081054688
id, az, 0.5, 0.00012063980102539062
id, bs, 1.0, 0.00011444091796875
id, te, 1.0, 0.00011301040649414062
id, zh, 1.0, 0.00011324882507324219
id, ace, 1.0, 0.00011324882507324219
id, mk, 0.5, 0.00011873245239257812
id, sl, 0.5, 0.00011897087097167969
id, su, 1.0, 0.00011515617370605469
id, ga, 0.5, 0.000118255615234375
id, gl, 0.3333333333333333, 0.0001251697540283203
id, hu, 0.3333333333333333, 0.0001289844512939453
id, uz, 1.0, 0.00011658668518066406
id, ko, 1.0, 0.00011396408081054688
id, ms, 0.5, 0.00012183189392089844
id, ca, 0.3333333333333333, 0.00012445449829101562
id, lt, 0.3333333333333333, 0.00012636184692382812
id, kk, 0.5, 0.00011944770812988281
id, ur, 1.0, 0.00012445449829101562
id, ha, 1.0, 0.00011515617370605469
id, nrm, 1.0, 0.00011396408081054688
id, union, 0.3333333333333333, 0.0001647472381591797
lb, lb, 1.0, 0.0001285076141357422
lb, ast, 1.0, 0.00011229515075683594
lb, eo, 1.0, 0.00011444091796875
lb, sco, 1.0, 0.00011086463928222656
lb, ar, 1.0, 0.00011110305786132812
lb, fr, 1.0, 0.00011396408081054688
lb, br, 1.0, 0.00011014938354492188
lb, csb, 1.0, 0.00011014938354492188
lb, mr, 1.0, 0.00011014938354492188
lb, tr, 1.0, 0.0001125335693359375
lb, lv, 1.0, 0.00010943412780761719
lb, el, 1.0, 0.00010967254638671875
lb, hr, 1.0, 0.00011181831359863281
lb, nn, 1.0, 0.00011157989501953125
lb, crh, 1.0, 0.00010919570922851562
lb, xmf, 1.0, 0.00011014938354492188
lb, es, 1.0, 0.00011444091796875
lb, pl, 1.0, 0.00011181831359863281
lb, vi, 1.0, 0.00010919570922851562
lb, zh-yue, 1.0, 0.00010967254638671875
lb, gd, 1.0, 0.00010848045349121094
lb, uk, 1.0, 0.000110626220703125
lb, de, 1.0, 0.00011706352233886719
lb, gom, 1.0, 0.00010967254638671875
lb, diq, 1.0, 0.00011038780212402344
lb, kn, 1.0, 0.00010991096496582031
lb, ml, 1.0, 0.00011014938354492188
lb, sh, 1.0, 0.00012373924255371094
lb, et, 1.0, 0.00011157989501953125
lb, cs, 1.0, 0.00011301040649414062
lb, nl, 1.0, 0.00011038780212402344
lb, pt, 1.0, 0.00011181831359863281
lb, sd, 1.0, 0.00010943412780761719
lb, ro, 1.0, 0.000110626220703125
lb, sq, 1.0, 0.00010991096496582031
lb, ja, 1.0, 0.00011014938354492188
lb, ne, 1.0, 0.00010943412780761719
lb, min, 1.0, 0.00010919570922851562
