Language1, Language2, SimilarityScore, Kernel, Time
bat-smg, bat-smg, 1.0, 1.0225000000000009, 0.00018024444580078125
bat-smg, nds, 0.0, 0.0, 0.00018024444580078125
bat-smg, eu, 0.0, 0.0, 0.00018024444580078125
bat-smg, fi, 1.0, 1.0, 6.985664367675781e-05
bat-smg, id, 0.0, 0.0, 6.985664367675781e-05
bat-smg, lb, 0.0, 0.0, 6.985664367675781e-05
bat-smg, ast, 0.0, 0.0, 6.985664367675781e-05
bat-smg, kl, 0.0, 0.0, 6.985664367675781e-05
bat-smg, fo, 0.0, 0.0, 6.985664367675781e-05
bat-smg, ba, 0.0, 0.0, 6.985664367675781e-05
bat-smg, eo, 1.0, 1.0, 8.249282836914062e-05
bat-smg, sco, 0.0, 0.0, 8.249282836914062e-05
bat-smg, se, 0.0, 0.0, 8.249282836914062e-05
bat-smg, vep, 1.0, 1.0, 6.413459777832031e-05
bat-smg, ar, 0.0, 0.0, 6.413459777832031e-05
bat-smg, mhr, 0.0, 0.0, 6.413459777832031e-05
bat-smg, fr, 1.0, 1.0225000000000009, 0.00011849403381347656
bat-smg, stq, 1.0, 1.0, 6.699562072753906e-05
bat-smg, ia, 0.0, 0.0, 6.699562072753906e-05
bat-smg, br, 0.0, 0.0, 6.699562072753906e-05
bat-smg, csb, 0.0, 0.0, 6.699562072753906e-05
bat-smg, mr, 0.0, 0.0, 6.699562072753906e-05
bat-smg, tr, 0.0, 0.0, 6.699562072753906e-05
bat-smg, lv, 0.0, 0.0, 6.699562072753906e-05
bat-smg, el, 0.0, 0.0, 6.699562072753906e-05
bat-smg, frr, 0.0, 0.0, 6.699562072753906e-05
bat-smg, ang, 1.0, 1.0, 6.67572021484375e-05
bat-smg, ce, 0.0, 0.0, 6.67572021484375e-05
bat-smg, hr, 0.0, 0.0, 6.67572021484375e-05
bat-smg, sc, 0.0, 0.0, 6.67572021484375e-05
bat-smg, iu, 0.0, 0.0, 6.67572021484375e-05
bat-smg, za, 0.0, 0.0, 6.67572021484375e-05
bat-smg, nn, 1.0, 1.0, 0.0001087188720703125
bat-smg, crh, 0.0, 0.0, 0.0001087188720703125
