Language1, Language2, SimilarityScore, Time
bat-smg, bat-smg, 1.0, 0.24383544921875
bat-smg, nds, 1.0, 0.29288792610168457
bat-smg, eu, 0.25894404115339553, 0.24730491638183594
bat-smg, fi, 0.13415881587603798, 0.31073951721191406
bat-smg, id, 0.1752571988492856, 0.2246873378753662
bat-smg, lb, 0.3534300780367161, 0.2739725112915039
bat-smg, ast, 0.7019307275488466, 0.3856668472290039
bat-smg, kl, 0.11428749847147164, 0.3282899856567383
bat-smg, fo, 1.0, 0.2604963779449463
bat-smg, ba, 1.0, 0.27219510078430176
bat-smg, eo, 0.20664062026671898, 0.22232532501220703
bat-smg, sco, 1.0, 0.25800299644470215
bat-smg, se, 1.0, 0.1998302936553955
bat-smg, vep, 1.0, 0.19406342506408691
bat-smg, ar, 1.0, 0.19624090194702148
bat-smg, mhr, 1.0, 0.21303057670593262
bat-smg, fr, 0.0595016858633833, 0.24835920333862305
bat-smg, stq, 1.0, 0.33621668815612793
bat-smg, ia, 1.0, 0.24324250221252441
bat-smg, br, 1.0, 0.21605277061462402
bat-smg, csb, 1.0, 0.3023717403411865
bat-smg, mr, 1.0, 0.1809542179107666
bat-smg, tr, 0.2621611221350287, 0.2798166275024414
bat-smg, lv, 1.0, 0.20265984535217285
bat-smg, el, 1.0, 0.21687602996826172
bat-smg, frr, 1.0, 0.21349620819091797
bat-smg, ang, 1.0, 0.17846941947937012
bat-smg, ce, 1.0, 0.3314025402069092
bat-smg, hr, 0.23496582344387978, 0.2660105228424072
bat-smg, sc, 1.0, 0.1719191074371338
bat-smg, iu, 1.0, 0.10520625114440918
bat-smg, za, 1.0, 0.25821661949157715
bat-smg, nn, 0.3458714551243333, 0.17568016052246094
bat-smg, crh, 1.0, 0.17272162437438965
bat-smg, xmf, 1.0, 0.1812610626220703
bat-smg, rue, 1.0, 0.25341248512268066
bat-smg, es, 0.11134038086711734, 0.2818770408630371
bat-smg, fiu-vro, 1.0, 0.25781846046447754
bat-smg, pl, 0.06537456887261574, 0.21971988677978516
bat-smg, vi, 0.7019307275488563, 0.29372096061706543
bat-smg, zh-yue, 1.0, 0.24937033653259277
bat-smg, gd, 1.0, 0.3697938919067383
bat-smg, uk, 1.0, 0.24051117897033691
bat-smg, de, 0.055568741858028584, 0.3365437984466553
bat-smg, km, 1.0, 0.19720864295959473
bat-smg, diq, 1.0, 0.2766845226287842
bat-smg, myv, 1.0, 0.24507665634155273
bat-smg, an, 1.0, 0.19305419921875
bat-smg, kn, 1.0, 0.2244586944580078
bat-smg, bh, 1.0, 0.23012781143188477
bat-smg, yo, 1.0, 0.20633959770202637
bat-smg, ml, 1.0, 0.20250177383422852
bat-smg, io, 1.0, 0.27782273292541504
bat-smg, pa, 1.0, 0.2500154972076416
bat-smg, sh, 0.3161838619805532, 0.36488866806030273
bat-smg, et, 0.1495577959750308, 0.3097407817840576
bat-smg, cs, 0.07375371888055778, 0.2336890697479248
bat-smg, tg, 1.0, 0.25583839416503906
bat-smg, yi, 1.0, 0.30764269828796387
bat-smg, nl, 0.08103191682551462, 0.21961188316345215
bat-smg, si, 1.0, 0.2189769744873047
bat-smg, pt, 0.07432243529613113, 0.26970744132995605
bat-smg, sd, 1.0, 0.20557522773742676
bat-smg, ro, 0.2590770101417468, 0.2564680576324463
bat-smg, sq, 0.6752563018998605, 0.269742488861084
bat-smg, ja, 0.6752563018998601, 0.29975342750549316
bat-smg, ne, 1.0, 0.2373967170715332
bat-smg, zh-min-nan, 1.0, 0.19197607040405273
bat-smg, fy, 0.3350749056948601, 0.16872596740722656
bat-smg, mdf, 1.0, 0.17576241493225098
bat-smg, lij, 1.0, 0.2255268096923828
bat-smg, be-tarask, 1.0, 0.18450617790222168
bat-smg, be, 1.0, 0.18709325790405273
bat-smg, is, 0.4994404783998791, 0.1827833652496338
bat-smg, bjn, 1.0, 0.19402503967285156
bat-smg, kaa, 1.0, 0.19607782363891602
bat-smg, ta, 1.0, 0.12225604057312012
bat-smg, lfn, 1.0, 0.19077563285827637
bat-smg, qu, 1.0, 0.3892648220062256
bat-smg, hy, 1.0, 0.2328028678894043
bat-smg, cy, 0.2704577930873989, 0.2720355987548828
bat-smg, simple, 0.49324497755425556, 0.2891499996185303
bat-smg, am, 1.0, 0.16460084915161133
bat-smg, nds-nl, 1.0, 0.15246200561523438
bat-smg, la, 0.22555223432396365, 0.2932136058807373
bat-smg, bo, 1.0, 0.21613621711730957
bat-smg, os, 1.0, 0.28105902671813965
bat-smg, ka, 1.0, 0.23107576370239258
bat-smg, tt, 1.0, 0.19591641426086426
bat-smg, it, 0.10870985669019743, 0.20181512832641602
bat-smg, kab, 1.0, 0.18259692192077637
bat-smg, ceb, 0.6752563018998762, 0.2825508117675781
bat-smg, he, 1.0, 0.25600314140319824
bat-smg, da, 0.06793230738571022, 0.25278353691101074
bat-smg, cv, 1.0, 0.4115297794342041
bat-smg, fa, 1.0, 0.21827054023742676
bat-smg, scn, 1.0, 0.21972227096557617
bat-smg, ps, 1.0, 0.18487191200256348
bat-smg, wa, 1.0, 0.19866394996643066
bat-smg, kv, 1.0, 0.17927861213684082
bat-smg, en, 0.024922044151129745, 0.2266983985900879
bat-smg, als, 0.5320381529920161, 0.24594998359680176
bat-smg, tl, 1.0, 0.13534140586853027
bat-smg, sk, 0.5952324116297086, 0.2143843173980713
bat-smg, sw, 1.0, 0.18582892417907715
bat-smg, th, 1.0, 0.13007259368896484
bat-smg, zh-classical, 1.0, 0.13967108726501465
bat-smg, ku, 1.0, 0.20389795303344727
bat-smg, sr, 0.6752563018998803, 0.20395326614379883
bat-smg, lmo, 1.0, 0.16854381561279297
bat-smg, lrc, 1.0, 0.31585693359375
bat-smg, gv, 1.0, 0.2098243236541748
bat-smg, gn, 1.0, 0.3472719192504883
bat-smg, azb, 1.0, 0.363269567489624
bat-smg, sv, 0.12766344393222034, 0.2396702766418457
bat-smg, oc, 0.6752563018998821, 0.275989294052124
bat-smg, li, 1.0, 0.23113775253295898
bat-smg, sah, 1.0, 0.21683716773986816
bat-smg, no, 0.09529833783364085, 0.20545077323913574
bat-smg, as, 1.0, 0.22632670402526855
bat-smg, bg, 1.0, 0.2781260013580322
bat-smg, my, 1.0, 0.27773189544677734
bat-smg, ckb, 1.0, 0.36170339584350586
bat-smg, cu, 1.0, 0.1926712989807129
bat-smg, gu, 1.0, 0.21413064002990723
bat-smg, eml, 1.0, 0.23967695236206055
bat-smg, ky, 1.0, 0.2939341068267822
bat-smg, bn, 1.0, 0.21416783332824707
bat-smg, hak, 1.0, 0.1627516746520996
bat-smg, krc, 1.0, 0.3337211608886719
bat-smg, lo, 1.0, 0.1644880771636963
bat-smg, ru, 0.5647993124618349, 0.19591474533081055
bat-smg, so, 1.0, 0.20386409759521484
bat-smg, hi, 1.0, 0.20095133781433105
bat-smg, pms, 1.0, 0.16780710220336914
bat-smg, wuu, 1.0, 0.1861433982849121
bat-smg, arz, 1.0, 0.14475655555725098
bat-smg, az, 0.6752563018998727, 0.2063617706298828
bat-smg, bs, 1.0, 0.37256288528442383
bat-smg, te, 1.0, 0.21151161193847656
bat-smg, zh, 1.0, 0.17625093460083008
bat-smg, mk, 1.0, 0.1999201774597168
bat-smg, sl, 0.2755521459168332, 0.2532482147216797
bat-smg, ga, 1.0, 0.17053842544555664
bat-smg, gan, 1.0, 0.19404911994934082
bat-smg, gl, 0.4448829693088309, 0.10849165916442871
bat-smg, hu, 0.3056642525652666, 0.24161338806152344
bat-smg, uz, 1.0, 0.16887855529785156
bat-smg, af, 0.5952324116296641, 0.3441300392150879
bat-smg, ab, 1.0, 0.17732596397399902
bat-smg, mn, 1.0, 0.2318713665008545
bat-smg, mwl, 1.0, 0.17328143119812012
bat-smg, ko, 0.6752563018998601, 0.19225859642028809
bat-smg, ln, 1.0, 0.17367005348205566
bat-smg, ms, 0.17775641211281343, 0.1827223300933838
bat-smg, ca, 0.08809616688999516, 0.18351197242736816
bat-smg, pnb, 1.0, 0.18715596199035645
bat-smg, war, 1.0, 0.17842721939086914
bat-smg, vec, 1.0, 0.21790504455566406
bat-smg, lt, 0.6752563018998566, 0.21321988105773926
bat-smg, kk, 1.0, 0.16124916076660156
bat-smg, jv, 1.0, 0.21574711799621582
bat-smg, bxr, 1.0, 0.14330410957336426
bat-smg, ur, 1.0, 0.20721435546875
bat-smg, ha, 1.0, 0.23577332496643066
bat-smg, nrm, 1.0, 0.21100544929504395
bat-smg, union, 0.024384667315309982, 0.2119922637939453
nds, nds, 1.0, 0.1445775032043457
nds, eu, 0.25894404115339553, 0.22851991653442383
nds, fi, 0.13415881587603798, 0.1901402473449707
nds, id, 0.1752571988492856, 0.2720463275909424
nds, lb, 0.3534300780367161, 0.2575559616088867
nds, ast, 0.7019307275488466, 0.20177531242370605
nds, kl, 0.11428749847147164, 0.20029616355895996
nds, fo, 1.0, 0.19555139541625977
nds, ba, 1.0, 0.2118377685546875
nds, eo, 0.20664062026671898, 0.20456814765930176
nds, sco, 1.0, 0.20792794227600098
nds, se, 1.0, 0.18282556533813477
nds, vep, 1.0, 0.18938183784484863
nds, ar, 1.0, 0.3354830741882324
nds, mhr, 1.0, 0.18726062774658203
nds, fr, 0.0595016858633833, 0.22262930870056152
nds, stq, 1.0, 0.3102264404296875
nds, ia, 1.0, 0.1521897315979004
nds, br, 1.0, 0.30079102516174316
nds, csb, 1.0, 0.35710740089416504
nds, mr, 1.0, 0.20723676681518555
nds, tr, 0.2621611221350287, 0.17021799087524414
nds, lv, 1.0, 0.1759498119354248
nds, el, 1.0, 0.1610429286956787
nds, frr, 1.0, 0.24637961387634277
nds, ang, 1.0, 0.20844006538391113
nds, ce, 1.0, 0.21503591537475586
nds, hr, 0.23496582344387978, 0.16795897483825684
nds, sc, 1.0, 0.27631139755249023
nds, iu, 1.0, 0.27181529998779297
nds, za, 1.0, 0.2804117202758789
nds, nn, 0.3458714551243333, 0.3180510997772217
nds, crh, 1.0, 0.24858856201171875
nds, xmf, 1.0, 0.20261549949645996
nds, rue, 1.0, 0.23225951194763184
nds, es, 0.11134038086711734, 0.2375926971435547
nds, fiu-vro, 1.0, 0.2604072093963623
nds, pl, 0.06537456887261574, 0.24998736381530762
nds, vi, 0.7019307275488563, 0.29750657081604004
nds, zh-yue, 1.0, 0.26409173011779785
nds, gd, 1.0, 0.20196533203125
nds, uk, 1.0, 0.1792466640472412
nds, de, 0.055568741858028584, 0.2574803829193115
nds, km, 1.0, 0.1784510612487793
nds, diq, 1.0, 0.22149014472961426
nds, myv, 1.0, 0.14723944664001465
nds, an, 1.0, 0.3230764865875244
nds, kn, 1.0, 0.17562532424926758
nds, bh, 1.0, 0.2077322006225586
nds, yo, 1.0, 0.21935129165649414
nds, ml, 1.0, 0.2001948356628418
nds, io, 1.0, 0.26979684829711914
nds, pa, 1.0, 0.29202985763549805
nds, sh, 0.3161838619805532, 0.46889162063598633
nds, et, 0.1495577959750308, 0.3617560863494873
nds, cs, 0.07375371888055778, 0.3161187171936035
nds, tg, 1.0, 0.26241016387939453
nds, yi, 1.0, 0.33619117736816406
nds, nl, 0.08103191682551462, 0.3948085308074951
nds, si, 1.0, 0.2523946762084961
nds, pt, 0.07432243529613113, 0.15420246124267578
nds, sd, 1.0, 0.3074798583984375
nds, ro, 0.2590770101417468, 0.4120662212371826
nds, sq, 0.6752563018998605, 0.24644041061401367
nds, ja, 0.6752563018998601, 0.3420100212097168
nds, ne, 1.0, 0.28902554512023926
nds, zh-min-nan, 1.0, 0.3424704074859619
nds, fy, 0.3350749056948601, 0.32705259323120117
nds, mdf, 1.0, 0.2192857265472412
nds, lij, 1.0, 0.22444581985473633
nds, be-tarask, 1.0, 0.22104930877685547
nds, be, 1.0, 0.2200760841369629
nds, is, 0.4994404783998791, 0.23245787620544434
nds, bjn, 1.0, 0.23032236099243164
nds, kaa, 1.0, 0.23116731643676758
nds, ta, 1.0, 0.2992074489593506
nds, lfn, 1.0, 0.2366318702697754
nds, qu, 1.0, 0.19304895401000977
nds, hy, 1.0, 0.1938621997833252
nds, cy, 0.2704577930873989, 0.22263646125793457
nds, simple, 0.49324497755425556, 0.2202465534210205
nds, am, 1.0, 0.23854684829711914
nds, nds-nl, 1.0, 0.3008596897125244
nds, la, 0.22555223432396365, 0.22724556922912598
nds, bo, 1.0, 0.18438386917114258
nds, os, 1.0, 0.3947794437408447
nds, ka, 1.0, 0.31447935104370117
nds, tt, 1.0, 0.2081151008605957
nds, it, 0.10870985669019743, 0.19231700897216797
nds, kab, 1.0, 0.23898100852966309
nds, ceb, 0.6752563018998762, 0.18764805793762207
nds, he, 1.0, 0.28530120849609375
nds, da, 0.06793230738571022, 0.39499926567077637
nds, cv, 1.0, 0.2661099433898926
nds, fa, 1.0, 0.32941699028015137
nds, scn, 1.0, 0.2574031352996826
nds, ps, 1.0, 0.34567952156066895
nds, wa, 1.0, 0.30402541160583496
nds, kv, 1.0, 0.3712022304534912
nds, en, 0.024922044151129745, 0.13793540000915527
nds, als, 0.5320381529920161, 0.274014949798584
nds, tl, 1.0, 0.23792004585266113
nds, sk, 0.5952324116297086, 0.34079527854919434
nds, sw, 1.0, 0.3825404644012451
nds, th, 1.0, 0.2528970241546631
nds, zh-classical, 1.0, 0.32182979583740234
nds, ku, 1.0, 0.2967867851257324
nds, sr, 0.6752563018998803, 0.302232027053833
nds, lmo, 1.0, 0.22429442405700684
nds, lrc, 1.0, 0.25930190086364746
nds, gv, 1.0, 0.27657103538513184
nds, gn, 1.0, 0.3451683521270752
nds, azb, 1.0, 0.32077789306640625
nds, sv, 0.12766344393222034, 0.2667551040649414
nds, oc, 0.6752563018998821, 0.2674710750579834
nds, li, 1.0, 0.24701905250549316
nds, sah, 1.0, 0.30293750762939453
nds, no, 0.09529833783364085, 0.21808528900146484
nds, as, 1.0, 0.29232239723205566
nds, bg, 1.0, 0.39195871353149414
nds, my, 1.0, 0.2508678436279297
nds, ckb, 1.0, 0.20490097999572754
nds, cu, 1.0, 0.34758615493774414
nds, gu, 1.0, 0.18642401695251465
nds, eml, 1.0, 0.24450445175170898
nds, ky, 1.0, 0.3243849277496338
nds, bn, 1.0, 0.20200490951538086
nds, hak, 1.0, 0.29853367805480957
nds, krc, 1.0, 0.2629683017730713
nds, lo, 1.0, 0.311903715133667
nds, ru, 0.5647993124618349, 0.3427894115447998
nds, so, 1.0, 0.39733290672302246
nds, hi, 1.0, 0.29014158248901367
nds, pms, 1.0, 0.3184804916381836
nds, wuu, 1.0, 0.2990434169769287
nds, arz, 1.0, 0.19827485084533691
nds, az, 0.6752563018998727, 0.21691656112670898
nds, bs, 1.0, 0.40314698219299316
nds, te, 1.0, 0.21132946014404297
nds, zh, 1.0, 0.2151048183441162
nds, mk, 1.0, 0.23570775985717773
nds, sl, 0.2755521459168332, 0.21511554718017578
nds, ga, 1.0, 0.2071695327758789
nds, gan, 1.0, 0.28734683990478516
nds, gl, 0.4448829693088309, 0.3383169174194336
nds, hu, 0.3056642525652666, 0.30828070640563965
nds, uz, 1.0, 0.31418919563293457
nds, af, 0.5952324116296641, 0.3264193534851074
nds, ab, 1.0, 0.38312530517578125
nds, mn, 1.0, 0.2681005001068115
nds, mwl, 1.0, 0.2435910701751709
nds, ko, 0.6752563018998601, 0.24587130546569824
