Language1, Language2, SimilarityScore, Time
bat-smg, bat-smg, 1.0, 0.1485300064086914
bat-smg, nds, 1.0, 0.16517233848571777
bat-smg, eu, 0.34833147735478825, 0.07966136932373047
bat-smg, fi, 0.14732056773523425, 0.11413359642028809
bat-smg, id, 0.18151291824946006, 0.14587140083312988
bat-smg, lb, 1.0, 0.20934605598449707
bat-smg, ast, 0.5, 0.11635780334472656
bat-smg, kl, 0.038771002676343404, 0.15055465698242188
bat-smg, fo, 1.0, 0.11801290512084961
bat-smg, ba, 1.0, 0.13987946510314941
bat-smg, eo, 0.3203772410170407, 0.15360760688781738
bat-smg, sco, 1.0, 0.08268237113952637
bat-smg, se, 1.0, 0.11527299880981445
bat-smg, vep, 1.0, 0.1673288345336914
bat-smg, ar, 1.0, 0.13848352432250977
bat-smg, mhr, 1.0, 0.13281917572021484
bat-smg, fr, 0.020360607992600532, 0.15694189071655273
bat-smg, stq, 1.0, 0.10405516624450684
bat-smg, ia, 1.0, 0.152299165725708
bat-smg, br, 1.0, 0.16108059883117676
bat-smg, csb, 1.0, 0.08846640586853027
bat-smg, mr, 1.0, 0.04617452621459961
bat-smg, tr, 0.24336073281110826, 0.06756711006164551
bat-smg, lv, 1.0, 0.09468460083007812
bat-smg, el, 1.0, 0.1225595474243164
bat-smg, frr, 1.0, 0.12842416763305664
bat-smg, ang, 1.0, 0.13895463943481445
bat-smg, ce, 1.0, 0.1446394920349121
bat-smg, hr, 0.44948974278317805, 0.0921027660369873
bat-smg, sc, 1.0, 0.10248017311096191
bat-smg, iu, 1.0, 0.05205821990966797
bat-smg, za, 1.0, 0.0484006404876709
bat-smg, nn, 0.585786437626905, 0.10060930252075195
bat-smg, crh, 1.0, 0.11999750137329102
bat-smg, xmf, 1.0, 0.08693838119506836
bat-smg, rue, 1.0, 0.12687206268310547
bat-smg, es, 0.06626230105948051, 0.10677456855773926
bat-smg, fiu-vro, 1.0, 0.11738371849060059
bat-smg, pl, 0.021539764176938436, 0.11020088195800781
bat-smg, vi, 0.5, 0.12840819358825684
bat-smg, zh-yue, 1.0, 0.1111307144165039
bat-smg, gd, 1.0, 0.1411435604095459
bat-smg, uk, 1.0, 0.09521484375
bat-smg, de, 0.03249973173606041, 0.10548663139343262
bat-smg, km, 1.0, 0.12706685066223145
bat-smg, diq, 1.0, 0.09924817085266113
bat-smg, myv, 1.0, 0.1002967357635498
bat-smg, an, 1.0, 0.07989978790283203
bat-smg, kn, 1.0, 0.11350131034851074
bat-smg, bh, 1.0, 0.16173434257507324
bat-smg, yo, 1.0, 0.18067097663879395
bat-smg, ml, 1.0, 0.16149258613586426
bat-smg, io, 1.0, 0.19678258895874023
bat-smg, pa, 1.0, 0.2000257968902588
bat-smg, sh, 0.11462079802564168, 0.19575190544128418
bat-smg, et, 0.1918253663634734, 0.13393855094909668
bat-smg, cs, 0.02301809545093497, 0.05623912811279297
bat-smg, tg, 1.0, 0.0573422908782959
bat-smg, yi, 1.0, 0.05180954933166504
bat-smg, nl, 0.0627809425762428, 0.06443405151367188
bat-smg, si, 1.0, 0.04741930961608887
bat-smg, pt, 0.02030958439991288, 0.04792666435241699
bat-smg, sd, 1.0, 0.04797720909118652
bat-smg, ro, 0.053743743888864104, 0.04794168472290039
bat-smg, sq, 0.585786437626905, 0.04828143119812012
bat-smg, ja, 0.585786437626905, 0.06040167808532715
bat-smg, ne, 1.0, 0.05032014846801758
bat-smg, zh-min-nan, 1.0, 0.044876813888549805
bat-smg, fy, 0.5, 0.055936336517333984
bat-smg, mdf, 1.0, 0.047824859619140625
bat-smg, lij, 1.0, 0.049407243728637695
bat-smg, be-tarask, 1.0, 0.04989337921142578
bat-smg, be, 1.0, 0.05736231803894043
bat-smg, is, 0.39564392373896007, 0.04794454574584961
bat-smg, bjn, 1.0, 0.04922771453857422
bat-smg, kaa, 1.0, 0.08051514625549316
bat-smg, ta, 1.0, 0.1301405429840088
bat-smg, lfn, 1.0, 0.18186640739440918
bat-smg, qu, 1.0, 0.17560458183288574
bat-smg, hy, 1.0, 0.25404882431030273
bat-smg, cy, 0.44948974278317805, 0.17398881912231445
bat-smg, simple, 0.4142135623730951, 0.11914753913879395
bat-smg, am, 1.0, 0.1486678123474121
bat-smg, nds-nl, 1.0, 0.13369488716125488
bat-smg, la, 0.39564392373896007, 0.0890967845916748
bat-smg, bo, 1.0, 0.1179647445678711
bat-smg, os, 1.0, 0.1051023006439209
bat-smg, ka, 1.0, 0.07983613014221191
bat-smg, tt, 1.0, 0.10351991653442383
bat-smg, it, 0.04536870495189771, 0.048128366470336914
bat-smg, kab, 1.0, 0.04344940185546875
bat-smg, ceb, 0.585786437626905, 0.14122366905212402
bat-smg, he, 1.0, 0.10963964462280273
bat-smg, da, 0.023977213088221764, 0.11288976669311523
bat-smg, cv, 1.0, 0.09058523178100586
bat-smg, fa, 1.0, 0.1073610782623291
bat-smg, scn, 1.0, 0.14233160018920898
bat-smg, ps, 1.0, 0.12928104400634766
bat-smg, wa, 1.0, 0.14231514930725098
bat-smg, kv, 1.0, 0.16155433654785156
bat-smg, en, 0.0013125814610396537, 0.14980363845825195
bat-smg, als, 0.4364916731037085, 0.10467052459716797
bat-smg, tl, 1.0, 0.10423159599304199
bat-smg, sk, 0.5, 0.1173853874206543
bat-smg, sw, 1.0, 0.11167073249816895
bat-smg, th, 1.0, 0.110565185546875
bat-smg, zh-classical, 1.0, 0.16437983512878418
bat-smg, ku, 1.0, 0.1158895492553711
bat-smg, sr, 0.585786437626905, 0.12872838973999023
bat-smg, lmo, 1.0, 0.12636828422546387
bat-smg, lrc, 1.0, 0.13384747505187988
bat-smg, gv, 1.0, 0.10829949378967285
bat-smg, gn, 1.0, 0.17469406127929688
bat-smg, azb, 1.0, 0.13024616241455078
bat-smg, sv, 0.11371093948217485, 0.1251842975616455
bat-smg, oc, 0.585786437626905, 0.15530705451965332
bat-smg, li, 1.0, 0.13907384872436523
bat-smg, sah, 1.0, 0.13106966018676758
bat-smg, no, 0.025269913441631268, 0.12093067169189453
bat-smg, as, 1.0, 0.16571450233459473
bat-smg, bg, 1.0, 0.15475177764892578
bat-smg, my, 1.0, 0.14037704467773438
