Language1, Language2, SimilarityScore, Time
bat-smg, bat-smg, 1.0, 3.24249267578125e-05
bat-smg, nds, 0.6666666666666666, 1.2159347534179688e-05
bat-smg, eu, 0.5, 2.2649765014648438e-05
bat-smg, fi, 0.5026178010471204, 3.6716461181640625e-05
bat-smg, id, 0.5, 3.0040740966796875e-05
bat-smg, lb, 0.5, 1.1205673217773438e-05
bat-smg, ast, 0.5, 1.2874603271484375e-05
bat-smg, kl, 0.5, 0.0005035400390625
bat-smg, fo, 0.6666666666666666, 1.2636184692382812e-05
bat-smg, ba, 0.6666666666666666, 1.0728836059570312e-05
bat-smg, eo, 0.5058823529411764, 1.8596649169921875e-05
bat-smg, sco, 0.6666666666666666, 1.0967254638671875e-05
bat-smg, se, 0.6666666666666666, 1.0251998901367188e-05
bat-smg, vep, 0.8, 1.0013580322265625e-05
bat-smg, ar, 0.6666666666666666, 2.002716064453125e-05
bat-smg, mhr, 0.6666666666666666, 1.049041748046875e-05
bat-smg, fr, 0.5012531328320802, 0.0014939308166503906
bat-smg, stq, 0.8571428571428571, 1.3113021850585938e-05
bat-smg, ia, 0.6666666666666666, 1.0251998901367188e-05
bat-smg, br, 0.6666666666666666, 1.0728836059570312e-05
bat-smg, csb, 0.6666666666666666, 1.0013580322265625e-05
bat-smg, mr, 0.6666666666666666, 1.049041748046875e-05
bat-smg, tr, 0.5, 2.2172927856445312e-05
bat-smg, lv, 0.6666666666666666, 1.0967254638671875e-05
bat-smg, el, 0.6666666666666666, 1.239776611328125e-05
bat-smg, frr, 0.6666666666666666, 1.049041748046875e-05
bat-smg, ang, 0.8, 1.0013580322265625e-05
bat-smg, ce, 0.6666666666666666, 1.0013580322265625e-05
bat-smg, hr, 0.5, 1.4066696166992188e-05
bat-smg, sc, 0.6666666666666666, 1.0013580322265625e-05
bat-smg, iu, 0.6666666666666666, 1.049041748046875e-05
bat-smg, za, 0.6666666666666666, 9.5367431640625e-06
bat-smg, nn, 0.5054945054945055, 1.3828277587890625e-05
bat-smg, crh, 0.6666666666666666, 1.0013580322265625e-05
bat-smg, xmf, 0.6666666666666666, 9.775161743164062e-06
bat-smg, rue, 0.6666666666666666, 1.049041748046875e-05
bat-smg, es, 0.5005512679162073, 0.00010514259338378906
bat-smg, fiu-vro, 0.6666666666666666, 1.1920928955078125e-05
bat-smg, pl, 0.5015015015015015, 0.0017855167388916016
bat-smg, vi, 0.5, 1.7642974853515625e-05
bat-smg, zh-yue, 0.6666666666666666, 1.1682510375976562e-05
bat-smg, gd, 0.6666666666666666, 1.0251998901367188e-05
bat-smg, uk, 0.6710963455149501, 1.71661376953125e-05
bat-smg, de, 0.5007032348804501, 0.0002779960632324219
bat-smg, km, 0.6666666666666666, 1.239776611328125e-05
bat-smg, diq, 0.6666666666666666, 9.775161743164062e-06
bat-smg, myv, 0.6666666666666666, 9.775161743164062e-06
bat-smg, an, 0.6666666666666666, 1.0251998901367188e-05
bat-smg, kn, 0.6666666666666666, 1.0013580322265625e-05
bat-smg, bh, 0.6666666666666666, 9.775161743164062e-06
bat-smg, yo, 0.6666666666666666, 9.298324584960938e-06
bat-smg, ml, 0.6666666666666666, 1.0728836059570312e-05
bat-smg, io, 0.6666666666666666, 1.0013580322265625e-05
bat-smg, pa, 0.6666666666666666, 1.0728836059570312e-05
bat-smg, sh, 0.5, 5.2928924560546875e-05
bat-smg, et, 0.5056179775280899, 2.5987625122070312e-05
bat-smg, cs, 0.5012722646310432, 0.0023467540740966797
bat-smg, tg, 0.6666666666666666, 1.4543533325195312e-05
bat-smg, yi, 0.6666666666666666, 1.0013580322265625e-05
bat-smg, nl, 0.5010570824524313, 8.20159912109375e-05
bat-smg, si, 0.6666666666666666, 1.1444091796875e-05
bat-smg, pt, 0.5012594458438286, 0.001421213150024414
bat-smg, sd, 0.6666666666666666, 1.2636184692382812e-05
bat-smg, ro, 0.5, 0.0002391338348388672
bat-smg, sq, 0.5, 1.2636184692382812e-05
bat-smg, ja, 0.5023255813953489, 2.1219253540039062e-05
bat-smg, ne, 0.6666666666666666, 1.0728836059570312e-05
bat-smg, zh-min-nan, 0.6666666666666666, 1.0013580322265625e-05
bat-smg, fy, 0.5151515151515151, 1.2159347534179688e-05
bat-smg, mdf, 0.6666666666666666, 1.0013580322265625e-05
bat-smg, lij, 0.6666666666666666, 9.5367431640625e-06
bat-smg, be-tarask, 0.6666666666666666, 1.0728836059570312e-05
bat-smg, be, 0.6666666666666666, 1.2159347534179688e-05
bat-smg, is, 0.5084745762711864, 1.33514404296875e-05
bat-smg, bjn, 0.6666666666666666, 1.0013580322265625e-05
bat-smg, kaa, 0.6666666666666666, 9.5367431640625e-06
bat-smg, ta, 0.6666666666666666, 1.1682510375976562e-05
bat-smg, lfn, 0.6666666666666666, 1.0013580322265625e-05
bat-smg, qu, 0.6666666666666666, 9.775161743164062e-06
bat-smg, hy, 0.6788990825688073, 1.2636184692382812e-05
bat-smg, cy, 0.5, 1.33514404296875e-05
bat-smg, simple, 0.5, 1.4066696166992188e-05
bat-smg, am, 0.6666666666666666, 9.775161743164062e-06
bat-smg, nds-nl, 0.6666666666666666, 9.775161743164062e-06
bat-smg, la, 0.5, 1.1682510375976562e-05
bat-smg, bo, 0.6666666666666666, 1.0013580322265625e-05
bat-smg, os, 0.6666666666666666, 1.0013580322265625e-05
bat-smg, ka, 0.6733668341708543, 1.430511474609375e-05
bat-smg, tt, 0.6666666666666666, 1.0728836059570312e-05
bat-smg, it, 0.501123595505618, 0.00029850006103515625
bat-smg, kab, 0.6666666666666666, 1.1920928955078125e-05
bat-smg, ceb, 0.5, 1.4543533325195312e-05
bat-smg, he, 0.6666666666666666, 1.6450881958007812e-05
bat-smg, da, 0.5017421602787456, 0.0014128684997558594
bat-smg, cv, 0.6666666666666666, 1.2636184692382812e-05
bat-smg, fa, 0.6666666666666666, 1.6689300537109375e-05
bat-smg, scn, 0.6666666666666666, 9.775161743164062e-06
bat-smg, ps, 0.6666666666666666, 9.775161743164062e-06
bat-smg, wa, 0.6666666666666666, 9.5367431640625e-06
bat-smg, kv, 0.6666666666666666, 9.775161743164062e-06
bat-smg, en, 0.5001217433649866, 0.023072004318237305
bat-smg, als, 0.5, 2.09808349609375e-05
bat-smg, tl, 0.6666666666666666, 1.239776611328125e-05
bat-smg, sk, 0.5, 1.4066696166992188e-05
bat-smg, sw, 0.6666666666666666, 1.0251998901367188e-05
bat-smg, th, 0.6666666666666666, 1.1682510375976562e-05
bat-smg, zh-classical, 0.6666666666666666, 1.0013580322265625e-05
bat-smg, ku, 0.6666666666666666, 9.775161743164062e-06
bat-smg, sr, 0.5, 1.3113021850585938e-05
bat-smg, lmo, 0.6666666666666666, 1.0013580322265625e-05
bat-smg, lrc, 0.6666666666666666, 9.5367431640625e-06
bat-smg, gv, 0.6666666666666666, 9.775161743164062e-06
bat-smg, gn, 0.6666666666666666, 9.5367431640625e-06
bat-smg, azb, 0.6666666666666666, 1.0251998901367188e-05
bat-smg, sv, 0.501123595505618, 4.9591064453125e-05
bat-smg, oc, 0.5, 1.1444091796875e-05
bat-smg, li, 0.6666666666666666, 1.0013580322265625e-05
bat-smg, sah, 0.6666666666666666, 1.0013580322265625e-05
bat-smg, no, 0.5009416195856874, 0.0007944107055664062
bat-smg, as, 0.6666666666666666, 1.2874603271484375e-05
bat-smg, bg, 0.6666666666666666, 1.3828277587890625e-05
bat-smg, my, 0.6666666666666666, 1.0013580322265625e-05
bat-smg, ckb, 0.6666666666666666, 1.0013580322265625e-05
bat-smg, cu, 0.6666666666666666, 9.775161743164062e-06
bat-smg, gu, 0.6666666666666666, 1.0013580322265625e-05
bat-smg, eml, 0.6666666666666666, 9.775161743164062e-06
bat-smg, ky, 0.6666666666666666, 1.0728836059570312e-05
bat-smg, bn, 0.6666666666666666, 1.049041748046875e-05
bat-smg, hak, 0.6666666666666666, 1.0013580322265625e-05
bat-smg, krc, 0.6666666666666666, 9.775161743164062e-06
bat-smg, lo, 0.6666666666666666, 1.0013580322265625e-05
bat-smg, ru, 0.5010989010989011, 2.2649765014648438e-05
bat-smg, so, 0.6666666666666666, 1.049041748046875e-05
bat-smg, hi, 0.6666666666666666, 1.1920928955078125e-05
bat-smg, pms, 0.6666666666666666, 1.0013580322265625e-05
bat-smg, wuu, 0.6666666666666666, 1.0013580322265625e-05
bat-smg, arz, 0.6666666666666666, 1.0728836059570312e-05
bat-smg, az, 0.5, 1.2636184692382812e-05
bat-smg, bs, 0.6666666666666666, 1.1682510375976562e-05
bat-smg, te, 0.6666666666666666, 1.0251998901367188e-05
bat-smg, zh, 0.6666666666666666, 1.8358230590820312e-05
bat-smg, mk, 0.6666666666666666, 1.049041748046875e-05
bat-smg, sl, 0.5081967213114754, 1.3589859008789062e-05
bat-smg, ga, 0.6666666666666666, 1.1205673217773438e-05
bat-smg, gan, 0.6666666666666666, 9.775161743164062e-06
bat-smg, gl, 0.5, 1.9550323486328125e-05
bat-smg, hu, 0.5, 2.193450927734375e-05
bat-smg, uz, 0.6666666666666666, 1.0251998901367188e-05
bat-smg, af, 0.5, 1.1920928955078125e-05
bat-smg, ab, 0.6666666666666666, 1.0013580322265625e-05
bat-smg, mn, 0.6666666666666666, 9.775161743164062e-06
bat-smg, mwl, 0.6666666666666666, 9.775161743164062e-06
bat-smg, ko, 0.5, 1.430511474609375e-05
bat-smg, ln, 0.6666666666666666, 1.0967254638671875e-05
bat-smg, ms, 0.5, 2.09808349609375e-05
bat-smg, ca, 0.5, 0.0006253719329833984
bat-smg, pnb, 0.6666666666666666, 1.2874603271484375e-05
bat-smg, war, 0.6666666666666666, 1.0013580322265625e-05
bat-smg, vec, 0.6666666666666666, 1.0013580322265625e-05
bat-smg, lt, 0.5102040816326531, 1.2874603271484375e-05
bat-smg, kk, 0.6666666666666666, 1.1205673217773438e-05
bat-smg, jv, 0.6666666666666666, 1.1682510375976562e-05
bat-smg, bxr, 0.6666666666666666, 1.0251998901367188e-05
bat-smg, ur, 0.6666666666666666, 1.1920928955078125e-05
bat-smg, ha, 0.6666666666666666, 9.5367431640625e-06
bat-smg, nrm, 0.6666666666666666, 9.5367431640625e-06
bat-smg, union, 0.5001729505361466, 0.03528285026550293
nds, nds, 1.0, 2.2649765014648438e-05
nds, eu, 0.5043478260869565, 2.0742416381835938e-05
nds, fi, 0.5026455026455027, 3.647804260253906e-05
nds, id, 0.5, 2.956390380859375e-05
nds, lb, 0.5, 1.0967254638671875e-05
nds, ast, 0.5, 1.2874603271484375e-05
nds, kl, 0.5, 0.0005347728729248047
nds, fo, 0.6666666666666666, 1.3113021850585938e-05
nds, ba, 0.6666666666666666, 1.049041748046875e-05
nds, eo, 0.5, 1.8835067749023438e-05
nds, sco, 0.6666666666666666, 1.0728836059570312e-05
nds, se, 0.6666666666666666, 9.775161743164062e-06
nds, vep, 0.6666666666666666, 1.0013580322265625e-05
nds, ar, 0.6666666666666666, 1.8358230590820312e-05
nds, mhr, 0.6666666666666666, 1.0013580322265625e-05
nds, fr, 0.5006273525721455, 0.0015213489532470703
nds, stq, 0.6666666666666666, 1.2636184692382812e-05
nds, ia, 0.6666666666666666, 1.0013580322265625e-05
nds, br, 0.6666666666666666, 1.049041748046875e-05
nds, csb, 0.6666666666666666, 1.0013580322265625e-05
nds, mr, 0.6666666666666666, 1.0251998901367188e-05
nds, tr, 0.5042735042735043, 2.2172927856445312e-05
nds, lv, 0.6666666666666666, 1.1205673217773438e-05
nds, el, 0.6666666666666666, 1.239776611328125e-05
nds, frr, 0.6666666666666666, 9.775161743164062e-06
nds, ang, 0.6666666666666666, 9.775161743164062e-06
nds, ce, 0.6666666666666666, 9.775161743164062e-06
nds, hr, 0.5111111111111111, 1.430511474609375e-05
nds, sc, 0.6666666666666666, 1.0013580322265625e-05
nds, iu, 0.6666666666666666, 1.049041748046875e-05
nds, za, 0.6666666666666666, 9.775161743164062e-06
nds, nn, 0.5, 1.33514404296875e-05
nds, crh, 0.6666666666666666, 1.7642974853515625e-05
nds, xmf, 0.6666666666666666, 1.0013580322265625e-05
nds, rue, 0.6666666666666666, 9.775161743164062e-06
nds, es, 0.5005524861878453, 0.00010585784912109375
nds, fiu-vro, 0.6666666666666666, 1.1920928955078125e-05
nds, pl, 0.5015105740181269, 0.0018253326416015625
nds, vi, 0.5, 1.7404556274414062e-05
nds, zh-yue, 0.6666666666666666, 1.1682510375976562e-05
nds, gd, 0.6666666666666666, 1.049041748046875e-05
nds, uk, 0.6711409395973155, 1.6689300537109375e-05
nds, de, 0.5007052186177715, 0.0002818107604980469
nds, km, 0.6666666666666666, 1.3113021850585938e-05
nds, diq, 0.6666666666666666, 1.0728836059570312e-05
nds, myv, 0.6666666666666666, 1.049041748046875e-05
nds, an, 0.6666666666666666, 1.049041748046875e-05
nds, kn, 0.6666666666666666, 9.775161743164062e-06
nds, bh, 0.6666666666666666, 1.049041748046875e-05
nds, yo, 0.6666666666666666, 9.5367431640625e-06
nds, ml, 0.6666666666666666, 1.0967254638671875e-05
nds, io, 0.6666666666666666, 1.0013580322265625e-05
