Language1, Language2, SimilarityScore, Time
bat-smg, bat-smg, 0.0, 1.8596649169921875e-05
bat-smg, nds, 0.0, 6.9141387939453125e-06
bat-smg, eu, 0.0, 6.67572021484375e-06
bat-smg, fi, 0.0, 1.1920928955078125e-05
bat-smg, id, 0.0, 5.9604644775390625e-06
bat-smg, lb, 0.0, 5.9604644775390625e-06
bat-smg, ast, 0.0, 5.245208740234375e-06
bat-smg, kl, 0.0, 7.152557373046875e-06
bat-smg, fo, 0.0, 5.9604644775390625e-06
bat-smg, ba, 0.0, 6.198883056640625e-06
bat-smg, eo, 0.0, 1.0967254638671875e-05
bat-smg, sco, 0.0, 5.9604644775390625e-06
bat-smg, se, 0.0, 5.245208740234375e-06
bat-smg, vep, 0.0, 1.0728836059570312e-05
bat-smg, ar, 0.0, 5.245208740234375e-06
bat-smg, mhr, 0.0, 5.9604644775390625e-06
bat-smg, fr, 0.0, 2.4557113647460938e-05
bat-smg, stq, 0.0, 1.0967254638671875e-05
bat-smg, ia, 0.0, 9.775161743164062e-06
bat-smg, br, 0.0, 5.7220458984375e-06
bat-smg, csb, 0.0, 6.4373016357421875e-06
bat-smg, mr, 0.0, 5.245208740234375e-06
bat-smg, tr, 0.0, 5.4836273193359375e-06
bat-smg, lv, 0.0, 5.245208740234375e-06
bat-smg, el, 0.0, 5.245208740234375e-06
bat-smg, frr, 0.0, 5.0067901611328125e-06
bat-smg, ang, 0.0, 1.1444091796875e-05
bat-smg, ce, 0.0, 5.4836273193359375e-06
bat-smg, hr, 0.0, 5.245208740234375e-06
bat-smg, sc, 0.0, 5.4836273193359375e-06
bat-smg, iu, 0.0, 5.0067901611328125e-06
bat-smg, za, 0.0, 5.4836273193359375e-06
bat-smg, nn, 0.0, 9.775161743164062e-06
bat-smg, crh, 0.0, 5.7220458984375e-06
bat-smg, xmf, 0.0, 5.245208740234375e-06
bat-smg, rue, 0.0, 6.4373016357421875e-06
bat-smg, es, 0.0, 1.1920928955078125e-05
bat-smg, fiu-vro, 0.0, 5.4836273193359375e-06
bat-smg, pl, 0.0, 2.3126602172851562e-05
bat-smg, vi, 0.0, 5.9604644775390625e-06
bat-smg, zh-yue, 0.0, 5.4836273193359375e-06
bat-smg, gd, 0.0, 5.0067901611328125e-06
bat-smg, uk, 0.0, 1.0013580322265625e-05
bat-smg, de, 0.0, 1.2159347534179688e-05
bat-smg, km, 0.0, 5.7220458984375e-06
bat-smg, diq, 0.0, 5.245208740234375e-06
bat-smg, myv, 0.0, 5.7220458984375e-06
bat-smg, an, 0.0, 5.0067901611328125e-06
bat-smg, kn, 0.0, 5.7220458984375e-06
bat-smg, bh, 0.0, 4.76837158203125e-06
bat-smg, yo, 0.0, 5.4836273193359375e-06
bat-smg, ml, 0.0, 5.0067901611328125e-06
bat-smg, io, 0.0, 4.76837158203125e-06
bat-smg, pa, 0.0, 5.0067901611328125e-06
bat-smg, sh, 0.0, 5.7220458984375e-06
bat-smg, et, 0.0, 1.2636184692382812e-05
bat-smg, cs, 0.0, 2.3603439331054688e-05
bat-smg, tg, 0.0, 6.4373016357421875e-06
bat-smg, yi, 0.0, 5.4836273193359375e-06
bat-smg, nl, 0.0, 1.1444091796875e-05
bat-smg, si, 0.0, 5.4836273193359375e-06
bat-smg, pt, 0.0, 1.3113021850585938e-05
bat-smg, sd, 0.0, 5.4836273193359375e-06
bat-smg, ro, 0.0, 1.71661376953125e-05
bat-smg, sq, 0.0, 5.9604644775390625e-06
bat-smg, ja, 0.0, 1.2159347534179688e-05
bat-smg, ne, 0.0, 5.7220458984375e-06
bat-smg, zh-min-nan, 0.0, 5.9604644775390625e-06
bat-smg, fy, 0.0, 9.775161743164062e-06
bat-smg, mdf, 0.0, 5.7220458984375e-06
bat-smg, lij, 0.0, 5.0067901611328125e-06
bat-smg, be-tarask, 0.0, 4.76837158203125e-06
bat-smg, be, 0.0, 5.7220458984375e-06
bat-smg, is, 0.0, 9.5367431640625e-06
bat-smg, bjn, 0.0, 5.9604644775390625e-06
bat-smg, kaa, 0.0, 5.4836273193359375e-06
bat-smg, ta, 0.0, 5.0067901611328125e-06
bat-smg, lfn, 0.0, 5.4836273193359375e-06
bat-smg, qu, 0.0, 4.76837158203125e-06
bat-smg, hy, 0.0, 1.0251998901367188e-05
bat-smg, cy, 0.0, 5.0067901611328125e-06
bat-smg, simple, 0.0, 5.7220458984375e-06
bat-smg, am, 0.0, 5.245208740234375e-06
bat-smg, nds-nl, 0.0, 5.245208740234375e-06
bat-smg, la, 0.0, 5.0067901611328125e-06
bat-smg, bo, 0.0, 5.245208740234375e-06
bat-smg, os, 0.0, 5.7220458984375e-06
bat-smg, ka, 0.0, 1.0013580322265625e-05
bat-smg, tt, 0.0, 5.9604644775390625e-06
bat-smg, it, 0.0, 1.7404556274414062e-05
bat-smg, kab, 0.0, 5.4836273193359375e-06
bat-smg, ceb, 0.0, 6.67572021484375e-06
bat-smg, he, 0.0, 4.76837158203125e-06
bat-smg, da, 0.0, 1.5020370483398438e-05
bat-smg, cv, 0.0, 6.198883056640625e-06
bat-smg, fa, 0.0, 5.4836273193359375e-06
bat-smg, scn, 0.0, 5.7220458984375e-06
bat-smg, ps, 0.0, 5.0067901611328125e-06
bat-smg, wa, 0.0, 5.0067901611328125e-06
bat-smg, kv, 0.0, 5.7220458984375e-06
bat-smg, en, 0.0, 2.3126602172851562e-05
bat-smg, als, 0.0, 5.7220458984375e-06
bat-smg, tl, 0.0, 5.245208740234375e-06
bat-smg, sk, 0.0, 4.5299530029296875e-06
bat-smg, sw, 0.0, 4.5299530029296875e-06
bat-smg, th, 0.0, 4.76837158203125e-06
bat-smg, zh-classical, 0.0, 5.0067901611328125e-06
bat-smg, ku, 0.0, 4.76837158203125e-06
bat-smg, sr, 0.0, 5.0067901611328125e-06
bat-smg, lmo, 0.0, 4.5299530029296875e-06
bat-smg, lrc, 0.0, 4.76837158203125e-06
bat-smg, gv, 0.0, 4.5299530029296875e-06
bat-smg, gn, 0.0, 5.0067901611328125e-06
bat-smg, azb, 0.0, 5.0067901611328125e-06
bat-smg, sv, 0.0, 1.0251998901367188e-05
bat-smg, oc, 0.0, 5.0067901611328125e-06
bat-smg, li, 0.0, 5.0067901611328125e-06
bat-smg, sah, 0.0, 4.76837158203125e-06
bat-smg, no, 0.0, 1.2874603271484375e-05
bat-smg, as, 0.0, 4.76837158203125e-06
bat-smg, bg, 0.0, 4.291534423828125e-06
bat-smg, my, 0.0, 4.76837158203125e-06
bat-smg, ckb, 0.0, 4.291534423828125e-06
bat-smg, cu, 0.0, 4.291534423828125e-06
bat-smg, gu, 0.0, 4.291534423828125e-06
bat-smg, eml, 0.0, 4.5299530029296875e-06
bat-smg, ky, 0.0, 4.5299530029296875e-06
bat-smg, bn, 0.0, 4.76837158203125e-06
bat-smg, hak, 0.0, 4.5299530029296875e-06
bat-smg, krc, 0.0, 4.5299530029296875e-06
bat-smg, lo, 0.0, 4.5299530029296875e-06
bat-smg, ru, 0.0, 9.5367431640625e-06
bat-smg, so, 0.0, 4.76837158203125e-06
bat-smg, hi, 0.0, 4.5299530029296875e-06
bat-smg, pms, 0.0, 4.291534423828125e-06
bat-smg, wuu, 0.0, 5.0067901611328125e-06
bat-smg, arz, 0.0, 4.291534423828125e-06
bat-smg, az, 0.0, 4.291534423828125e-06
bat-smg, bs, 0.0, 4.76837158203125e-06
bat-smg, te, 0.0, 4.76837158203125e-06
bat-smg, zh, 0.0, 4.76837158203125e-06
bat-smg, mk, 0.0, 4.5299530029296875e-06
bat-smg, sl, 0.0, 9.059906005859375e-06
bat-smg, ga, 0.0, 4.76837158203125e-06
bat-smg, gan, 0.0, 4.5299530029296875e-06
bat-smg, gl, 0.0, 4.5299530029296875e-06
bat-smg, hu, 0.0, 4.76837158203125e-06
bat-smg, uz, 0.0, 4.5299530029296875e-06
bat-smg, af, 0.0, 4.5299530029296875e-06
bat-smg, ab, 0.0, 4.5299530029296875e-06
bat-smg, mn, 0.0, 4.5299530029296875e-06
bat-smg, mwl, 0.0, 5.0067901611328125e-06
bat-smg, ko, 0.0, 4.5299530029296875e-06
bat-smg, ln, 0.0, 4.5299530029296875e-06
bat-smg, ms, 0.0, 4.76837158203125e-06
bat-smg, ca, 0.0, 6.4373016357421875e-06
bat-smg, pnb, 0.0, 5.0067901611328125e-06
bat-smg, war, 0.0, 4.76837158203125e-06
bat-smg, vec, 0.0, 4.5299530029296875e-06
bat-smg, lt, 0.0, 8.58306884765625e-06
bat-smg, kk, 0.0, 4.5299530029296875e-06
bat-smg, jv, 0.0, 4.76837158203125e-06
bat-smg, bxr, 0.0, 4.76837158203125e-06
bat-smg, ur, 0.0, 4.291534423828125e-06
bat-smg, ha, 0.0, 4.5299530029296875e-06
bat-smg, nrm, 0.0, 4.5299530029296875e-06
nds, nds, 0.0, 9.059906005859375e-06
nds, eu, 0.0, 8.58306884765625e-06
nds, fi, 0.0, 8.821487426757812e-06
nds, id, 0.0, 4.76837158203125e-06
nds, lb, 0.0, 4.5299530029296875e-06
nds, ast, 0.0, 4.5299530029296875e-06
nds, kl, 0.0, 5.7220458984375e-06
nds, fo, 0.0, 4.76837158203125e-06
nds, ba, 0.0, 4.5299530029296875e-06
nds, eo, 0.0, 4.5299530029296875e-06
nds, sco, 0.0, 4.5299530029296875e-06
nds, se, 0.0, 5.0067901611328125e-06
nds, vep, 0.0, 4.5299530029296875e-06
nds, ar, 0.0, 4.76837158203125e-06
nds, mhr, 0.0, 4.5299530029296875e-06
nds, fr, 0.0, 1.3589859008789062e-05
nds, stq, 0.0, 5.0067901611328125e-06
nds, ia, 0.0, 4.76837158203125e-06
nds, br, 0.0, 4.76837158203125e-06
nds, csb, 0.0, 4.5299530029296875e-06
nds, mr, 0.0, 4.5299530029296875e-06
nds, tr, 0.0, 9.059906005859375e-06
nds, lv, 0.0, 4.5299530029296875e-06
nds, el, 0.0, 4.5299530029296875e-06
nds, frr, 0.0, 4.76837158203125e-06
nds, ang, 0.0, 4.76837158203125e-06
nds, ce, 0.0, 4.5299530029296875e-06
nds, hr, 0.0, 8.58306884765625e-06
nds, sc, 0.0, 5.0067901611328125e-06
nds, iu, 0.0, 4.5299530029296875e-06
nds, za, 0.0, 4.5299530029296875e-06
nds, nn, 0.0, 4.5299530029296875e-06
nds, crh, 0.0, 4.76837158203125e-06
nds, xmf, 0.0, 4.5299530029296875e-06
nds, rue, 0.0, 4.76837158203125e-06
nds, es, 0.0, 1.0728836059570312e-05
nds, fiu-vro, 0.0, 5.0067901611328125e-06
nds, pl, 0.0, 2.09808349609375e-05
