Language1, Language2, SimilarityScore, Time
fr, fr, 0.5, 3.790855407714844e-05
fr, es, 0.5, 1.2159347534179688e-05
fr, de, 0.0, 2.6702880859375e-05
fr, pt, 0.5, 1.1920928955078125e-05
fr, it, 0.008064516129032258, 5.650520324707031e-05
fr, en, 0.007575757575757576, 5.173683166503906e-05
fr, union, 0.0048543689320388345, 0.00010371208190917969
es, es, 0.5, 1.0728836059570312e-05
es, de, 0.0, 1.7642974853515625e-05
es, pt, 0.5, 9.298324584960938e-06
es, it, 0.008064516129032258, 4.410743713378906e-05
es, en, 0.007575757575757576, 4.744529724121094e-05
es, union, 0.0048543689320388345, 9.34600830078125e-05
de, de, 1.0, 2.86102294921875e-05
de, pt, 0.0, 1.71661376953125e-05
de, it, 0.006578947368421052, 5.2928924560546875e-05
de, en, 0.00625, 5.602836608886719e-05
de, union, 0.14144298496097468, 0.00010752677917480469
pt, pt, 0.5, 1.0728836059570312e-05
pt, it, 0.008064516129032258, 4.38690185546875e-05
pt, en, 0.007575757575757576, 6.723403930664062e-05
pt, union, 0.0048543689320388345, 9.179115295410156e-05
it, it, 1.0, 8.845329284667969e-05
it, en, 0.43501021450459654, 9.369850158691406e-05
it, union, 0.5999904816295449, 0.0001468658447265625
en, en, 1.0, 9.250640869140625e-05
en, union, 0.6390158004949553, 0.00014138221740722656
union, union, 1.0, 0.00019407272338867188
