Language1, Language2, SimilarityScore, Time
id, id, 1.0, 0.0004687309265136719
id, fr, 1.0, 0.0001327991485595703
id, el, 1.0, 1.9311904907226562e-05
id, es, 1.0, 8.702278137207031e-05
id, pl, 1.0, 4.9114227294921875e-05
id, vi, 1.0, 7.152557373046875e-06
id, de, 1.0, 0.00012755393981933594
id, nl, 1.0, 4.887580871582031e-05
id, pt, 1.0, 3.9577484130859375e-05
id, ro, 1.0, 1.7881393432617188e-05
id, ja, 1.0, 9.059906005859375e-06
id, simple, 1.0, 1.5974044799804688e-05
id, it, 1.0, 0.0001990795135498047
id, he, 1.0, 6.4373016357421875e-06
id, da, 1.0, 3.0517578125e-05
id, en, 1.0, 0.00046133995056152344
id, sr, 1.0, 7.62939453125e-06
id, sv, 1.0, 9.131431579589844e-05
id, ru, 1.0, 5.626678466796875e-05
id, zh, 1.0, 9.5367431640625e-06
id, hu, 1.0, 1.4543533325195312e-05
id, ko, 1.0, 7.867813110351562e-06
fr, fr, 1.0, 0.0008971691131591797
fr, el, 1.0, 1.811981201171875e-05
fr, es, 1.0, 0.0001609325408935547
fr, pl, 1.0, 8.7738037109375e-05
fr, vi, 1.0, 1.0013580322265625e-05
fr, de, 1.0, 0.0002760887145996094
fr, nl, 1.0, 9.72747802734375e-05
fr, pt, 1.0, 4.744529724121094e-05
fr, ro, 1.0, 2.4557113647460938e-05
fr, ja, 1.0, 8.344650268554688e-06
fr, simple, 1.0, 3.886222839355469e-05
fr, it, 1.0, 0.000186920166015625
fr, he, 1.0, 7.152557373046875e-06
fr, da, 1.0, 2.6702880859375e-05
fr, en, 1.0, 0.00047707557678222656
fr, sr, 1.0, 9.298324584960938e-06
fr, sv, 1.0, 0.00012230873107910156
fr, ru, 1.0, 9.894371032714844e-05
fr, zh, 1.0, 7.62939453125e-06
fr, hu, 1.0, 1.7404556274414062e-05
fr, ko, 1.0, 6.9141387939453125e-06
el, el, 1.0, 5.078315734863281e-05
el, es, 1.0, 1.9073486328125e-05
el, pl, 1.0, 2.3126602172851562e-05
el, vi, 0.0, 5.0067901611328125e-06
el, de, 1.0, 3.62396240234375e-05
el, nl, 1.0, 1.5020370483398438e-05
el, pt, 1.0, 1.1682510375976562e-05
el, ro, 1.0, 1.3113021850585938e-05
el, ja, 1.0, 6.198883056640625e-06
el, simple, 1.0, 9.298324584960938e-06
el, it, 1.0, 3.123283386230469e-05
el, he, 1.0, 5.9604644775390625e-06
el, da, 1.0, 1.6927719116210938e-05
el, en, 1.0, 5.459785461425781e-05
el, sr, 0.0, 4.76837158203125e-06
el, sv, 1.0, 1.7881393432617188e-05
el, ru, 1.0, 1.4543533325195312e-05
el, zh, 1.0, 6.198883056640625e-06
el, hu, 1.0, 8.58306884765625e-06
el, ko, 1.0, 5.7220458984375e-06
es, es, 1.0, 0.00045871734619140625
es, pl, 1.0, 6.556510925292969e-05
es, vi, 1.0, 7.3909759521484375e-06
es, de, 1.0, 0.00013017654418945312
es, nl, 1.0, 5.4836273193359375e-05
es, pt, 1.0, 4.9114227294921875e-05
es, ro, 1.0, 1.7642974853515625e-05
es, ja, 1.0, 8.106231689453125e-06
es, simple, 1.0, 3.0994415283203125e-05
es, it, 1.0, 0.0001697540283203125
es, he, 1.0, 7.3909759521484375e-06
es, da, 1.0, 3.0994415283203125e-05
es, en, 1.0, 0.0002598762512207031
es, sr, 1.0, 7.152557373046875e-06
es, sv, 1.0, 5.9604644775390625e-05
es, ru, 1.0, 4.9591064453125e-05
es, zh, 1.0, 6.9141387939453125e-06
es, hu, 1.0, 1.1682510375976562e-05
es, ko, 1.0, 6.198883056640625e-06
pl, pl, 1.0, 0.0002446174621582031
pl, vi, 1.0, 6.9141387939453125e-06
pl, de, 1.0, 8.58306884765625e-05
pl, nl, 1.0, 3.7670135498046875e-05
pl, pt, 1.0, 3.075599670410156e-05
pl, ro, 1.0, 1.5974044799804688e-05
pl, ja, 1.0, 7.152557373046875e-06
pl, simple, 1.0, 1.71661376953125e-05
pl, it, 1.0, 0.0001049041748046875
pl, he, 1.0, 6.67572021484375e-06
pl, da, 1.0, 2.4557113647460938e-05
pl, en, 1.0, 0.00015044212341308594
pl, sr, 1.0, 6.9141387939453125e-06
pl, sv, 1.0, 5.459785461425781e-05
pl, ru, 1.0, 3.8623809814453125e-05
pl, zh, 1.0, 6.67572021484375e-06
pl, hu, 1.0, 1.3113021850585938e-05
pl, ko, 1.0, 6.198883056640625e-06
vi, vi, 1.0, 5.4836273193359375e-06
vi, de, 1.0, 7.3909759521484375e-06
vi, nl, 1.0, 5.4836273193359375e-06
vi, pt, 1.0, 5.7220458984375e-06
vi, ro, 0.0, 4.76837158203125e-06
vi, ja, 1.0, 5.245208740234375e-06
vi, simple, 0.0, 3.5762786865234375e-06
vi, it, 1.0, 6.67572021484375e-06
vi, he, 0.0, 3.5762786865234375e-06
vi, da, 1.0, 6.67572021484375e-06
vi, en, 1.0, 1.1920928955078125e-05
vi, sr, 0.0, 4.0531158447265625e-06
vi, sv, 1.0, 1.0728836059570312e-05
vi, ru, 1.0, 5.4836273193359375e-06
vi, zh, 1.0, 5.4836273193359375e-06
vi, hu, 1.0, 5.4836273193359375e-06
vi, ko, 1.0, 5.245208740234375e-06
de, de, 1.0, 0.0038747787475585938
de, nl, 1.0, 0.0001289844512939453
de, pt, 1.0, 5.936622619628906e-05
de, ro, 1.0, 1.8358230590820312e-05
de, ja, 1.0, 1.52587890625e-05
de, simple, 1.0, 3.4809112548828125e-05
de, it, 1.0, 0.0002529621124267578
de, he, 1.0, 7.867813110351562e-06
de, da, 1.0, 3.62396240234375e-05
de, en, 1.0, 0.0022056102752685547
de, sr, 1.0, 1.2636184692382812e-05
de, sv, 1.0, 0.00016760826110839844
de, ru, 1.0, 6.628036499023438e-05
de, zh, 1.0, 9.298324584960938e-06
de, hu, 1.0, 1.33514404296875e-05
de, ko, 1.0, 7.3909759521484375e-06
nl, nl, 1.0, 0.0003261566162109375
nl, pt, 1.0, 3.886222839355469e-05
nl, ro, 1.0, 1.239776611328125e-05
nl, ja, 1.0, 8.106231689453125e-06
nl, simple, 1.0, 3.075599670410156e-05
nl, it, 1.0, 8.940696716308594e-05
nl, he, 1.0, 6.67572021484375e-06
nl, da, 1.0, 2.2411346435546875e-05
nl, en, 1.0, 0.00017833709716796875
nl, sr, 1.0, 8.821487426757812e-06
nl, sv, 1.0, 6.890296936035156e-05
nl, ru, 1.0, 3.123283386230469e-05
nl, zh, 1.0, 6.67572021484375e-06
nl, hu, 1.0, 1.0728836059570312e-05
nl, ko, 1.0, 6.198883056640625e-06
pt, pt, 1.0, 0.00020170211791992188
pt, ro, 1.0, 1.2159347534179688e-05
pt, ja, 1.0, 7.3909759521484375e-06
pt, simple, 1.0, 2.2649765014648438e-05
pt, it, 1.0, 8.797645568847656e-05
pt, he, 1.0, 6.67572021484375e-06
pt, da, 1.0, 1.9311904907226562e-05
pt, en, 1.0, 0.00013899803161621094
pt, sr, 1.0, 6.9141387939453125e-06
pt, sv, 1.0, 5.841255187988281e-05
pt, ru, 1.0, 3.7670135498046875e-05
pt, zh, 1.0, 6.4373016357421875e-06
pt, hu, 1.0, 9.298324584960938e-06
pt, ko, 1.0, 5.9604644775390625e-06
ro, ro, 1.0, 4.1961669921875e-05
ro, ja, 1.0, 5.9604644775390625e-06
ro, simple, 1.0, 5.7220458984375e-06
ro, it, 1.0, 2.765655517578125e-05
ro, he, 0.0, 4.76837158203125e-06
ro, da, 1.0, 1.4543533325195312e-05
ro, en, 1.0, 4.410743713378906e-05
ro, sr, 0.0, 4.76837158203125e-06
ro, sv, 1.0, 1.52587890625e-05
ro, ru, 1.0, 1.1205673217773438e-05
ro, zh, 1.0, 5.7220458984375e-06
ro, hu, 1.0, 1.8358230590820312e-05
ro, ko, 0.0, 4.0531158447265625e-06
ja, ja, 1.0, 9.5367431640625e-06
ja, simple, 1.0, 5.9604644775390625e-06
ja, it, 1.0, 9.059906005859375e-06
ja, he, 1.0, 5.4836273193359375e-06
ja, da, 1.0, 6.4373016357421875e-06
ja, en, 1.0, 2.288818359375e-05
ja, sr, 0.0, 4.76837158203125e-06
ja, sv, 1.0, 1.71661376953125e-05
ja, ru, 1.0, 6.67572021484375e-06
ja, zh, 1.0, 5.9604644775390625e-06
ja, hu, 1.0, 5.4836273193359375e-06
ja, ko, 1.0, 5.245208740234375e-06
simple, simple, 1.0, 6.365776062011719e-05
simple, it, 1.0, 4.00543212890625e-05
simple, he, 1.0, 5.9604644775390625e-06
simple, da, 1.0, 1.3113021850585938e-05
