Language1, Language2, SimilarityScore, Time
fr, fr, 1.0, 7.653236389160156e-05
fr, tr, 1.0, 1.0251998901367188e-05
fr, es, 0.0, 7.152557373046875e-06
fr, pl, 1.0, 2.0503997802734375e-05
fr, de, 1.0, 2.002716064453125e-05
fr, nl, 1.0, 2.2411346435546875e-05
fr, pt, 1.0, 1.3828277587890625e-05
fr, ja, 0.0, 7.152557373046875e-06
fr, it, 1.0, 2.1219253540039062e-05
fr, he, 0.0, 6.4373016357421875e-06
fr, en, 1.0, 2.4318695068359375e-05
fr, sv, 1.0, 1.0728836059570312e-05
fr, ru, 0.0, 7.152557373046875e-06
tr, tr, 1.0, 5.1021575927734375e-05
tr, es, 0.0, 6.67572021484375e-06
tr, pl, 1.0, 1.3589859008789062e-05
tr, de, 1.0, 1.621246337890625e-05
tr, nl, 1.0, 1.0728836059570312e-05
tr, pt, 0.0, 6.67572021484375e-06
tr, ja, 0.0, 5.245208740234375e-06
tr, it, 1.0, 4.601478576660156e-05
tr, he, 1.0, 1.1444091796875e-05
tr, en, 1.0, 4.506111145019531e-05
tr, sv, 1.0, 1.239776611328125e-05
tr, ru, 1.0, 9.298324584960938e-06
es, es, 1.0, 9.5367431640625e-06
es, pl, 0.0, 7.62939453125e-06
es, de, 1.0, 1.2874603271484375e-05
es, nl, 0.0, 7.3909759521484375e-06
es, pt, 0.0, 5.7220458984375e-06
es, ja, 0.0, 5.0067901611328125e-06
es, it, 1.0, 1.0967254638671875e-05
es, he, 1.0, 8.58306884765625e-06
es, en, 1.0, 1.7642974853515625e-05
es, sv, 1.0, 1.049041748046875e-05
es, ru, 1.0, 9.059906005859375e-06
pl, pl, 1.0, 0.0002894401550292969
pl, de, 1.0, 5.1975250244140625e-05
pl, nl, 1.0, 4.267692565917969e-05
pl, pt, 1.0, 2.1219253540039062e-05
pl, ja, 1.0, 9.775161743164062e-06
pl, it, 1.0, 7.987022399902344e-05
pl, he, 1.0, 1.1444091796875e-05
pl, en, 1.0, 0.0001437664031982422
pl, sv, 1.0, 1.430511474609375e-05
pl, ru, 1.0, 1.1205673217773438e-05
de, de, 1.0, 0.0006263256072998047
de, nl, 1.0, 4.8160552978515625e-05
de, pt, 1.0, 1.9788742065429688e-05
de, ja, 1.0, 1.1682510375976562e-05
de, it, 1.0, 8.368492126464844e-05
de, he, 1.0, 1.430511474609375e-05
de, en, 1.0, 0.0001919269561767578
de, sv, 1.0, 7.176399230957031e-05
de, ru, 1.0, 1.430511474609375e-05
nl, nl, 1.0, 8.535385131835938e-05
nl, pt, 1.0, 1.9550323486328125e-05
nl, ja, 0.0, 7.62939453125e-06
nl, it, 1.0, 4.506111145019531e-05
nl, he, 0.0, 7.152557373046875e-06
nl, en, 1.0, 6.4849853515625e-05
nl, sv, 1.0, 1.239776611328125e-05
nl, ru, 0.0, 6.67572021484375e-06
pt, pt, 1.0, 2.6702880859375e-05
pt, ja, 0.0, 6.198883056640625e-06
pt, it, 1.0, 2.1457672119140625e-05
pt, he, 0.0, 6.198883056640625e-06
pt, en, 1.0, 3.075599670410156e-05
pt, sv, 1.0, 1.049041748046875e-05
pt, ru, 0.0, 6.198883056640625e-06
ja, ja, 1.0, 9.298324584960938e-06
ja, it, 1.0, 1.0013580322265625e-05
ja, he, 1.0, 8.821487426757812e-06
ja, en, 1.0, 1.3828277587890625e-05
ja, sv, 0.0, 6.67572021484375e-06
ja, ru, 1.0, 9.059906005859375e-06
it, it, 1.0, 0.0002624988555908203
it, he, 1.0, 1.1682510375976562e-05
it, en, 1.0, 0.00016236305236816406
it, sv, 1.0, 2.7894973754882812e-05
it, ru, 1.0, 1.1682510375976562e-05
he, he, 1.0, 1.1682510375976562e-05
he, en, 1.0, 2.4080276489257812e-05
he, sv, 1.0, 1.2159347534179688e-05
he, ru, 1.0, 1.1205673217773438e-05
en, en, 1.0, 0.0010447502136230469
en, sv, 1.0, 6.890296936035156e-05
en, ru, 1.0, 1.9073486328125e-05
sv, sv, 1.0, 8.96453857421875e-05
sv, ru, 1.0, 9.298324584960938e-06
ru, ru, 1.0, 8.821487426757812e-06
