Language1, Language2, SimilarityScore, Time
id, id, 1.0, 0.0004165172576904297
id, fr, 0.8012618296529969, 8.034706115722656e-05
id, mr, 1.0, 9.5367431640625e-06
id, tr, 0.8923076923076924, 1.9788742065429688e-05
id, lv, 0.823529411764706, 1.4066696166992188e-05
id, el, 1.0, 8.106231689453125e-06
id, es, 0.8450704225352113, 4.315376281738281e-05
id, pl, 0.8923076923076924, 5.269050598144531e-05
id, vi, 0.9090909090909091, 1.33514404296875e-05
id, de, 0.8917748917748918, 7.271766662597656e-05
id, ml, 1.0, 1.0013580322265625e-05
id, sh, 0.8732394366197183, 4.1961669921875e-05
id, nl, 0.9259259259259258, 6.079673767089844e-05
id, si, 1.0, 8.821487426757812e-06
id, pt, 0.8888888888888888, 0.0001049041748046875
id, ro, 0.875, 4.38690185546875e-05
id, ja, 1.0, 9.059906005859375e-06
id, simple, 0.8888888888888888, 2.5987625122070312e-05
id, it, 0.8731182795698925, 0.00011205673217773438
id, he, 1.0, 9.5367431640625e-06
id, da, 0.8764044943820225, 3.0279159545898438e-05
id, en, 0.9241952232606438, 0.00022673606872558594
id, sr, 0.7796610169491526, 2.3365020751953125e-05
id, sv, 0.9030100334448161, 6.580352783203125e-05
id, ckb, 1.0, 9.059906005859375e-06
id, ru, 1.0, 9.298324584960938e-06
id, hi, 1.0, 8.344650268554688e-06
id, arz, 1.0, 7.152557373046875e-06
id, bs, 0.8070175438596492, 1.811981201171875e-05
id, te, 1.0, 8.106231689453125e-06
id, zh, 1.0, 8.58306884765625e-06
id, mk, 1.0, 7.3909759521484375e-06
id, hu, 0.9714285714285715, 1.5974044799804688e-05
id, ko, 1.0, 8.821487426757812e-06
id, war, 0.8, 1.0013580322265625e-05
fr, fr, 1.0, 0.0028886795043945312
fr, mr, 1.0, 1.33514404296875e-05
fr, tr, 0.8205128205128205, 3.0994415283203125e-05
fr, lv, 0.6666666666666666, 1.8596649169921875e-05
fr, el, 0.6666666666666666, 1.1682510375976562e-05
fr, es, 0.8571428571428571, 0.0001342296600341797
fr, pl, 0.8777969018932875, 0.00013303756713867188
fr, vi, 0.6666666666666666, 1.4781951904296875e-05
fr, de, 0.9201277955271565, 0.0001494884490966797
fr, ml, 0.6666666666666666, 1.049041748046875e-05
fr, sh, 0.7868852459016394, 3.600120544433594e-05
fr, nl, 0.9502018842530282, 0.00017070770263671875
fr, si, 1.0, 9.5367431640625e-06
fr, pt, 0.8658536585365854, 0.0001990795135498047
fr, ro, 0.8843537414965986, 7.104873657226562e-05
fr, ja, 0.6666666666666666, 1.1920928955078125e-05
fr, simple, 0.9026548672566371, 3.695487976074219e-05
fr, it, 0.8859581070597362, 0.00028014183044433594
fr, he, 0.6666666666666666, 1.1920928955078125e-05
fr, da, 0.9243697478991597, 6.818771362304688e-05
fr, en, 0.7963470319634703, 0.0008268356323242188
fr, sr, 0.8, 3.337860107421875e-05
fr, sv, 0.868804664723032, 0.0001499652862548828
fr, ckb, 1.0, 1.049041748046875e-05
fr, ru, 0.6666666666666666, 1.1682510375976562e-05
fr, hi, 1.0, 8.821487426757812e-06
fr, arz, 1.0, 8.344650268554688e-06
fr, bs, 0.8210526315789473, 3.2901763916015625e-05
fr, te, 1.0, 9.059906005859375e-06
fr, zh, 0.6666666666666666, 1.1205673217773438e-05
fr, mk, 1.0, 8.344650268554688e-06
fr, hu, 0.6666666666666666, 1.2874603271484375e-05
fr, ko, 0.6666666666666666, 9.059906005859375e-06
fr, war, 0.7692307692307692, 1.0967254638671875e-05
mr, mr, 1.0, 8.106231689453125e-06
mr, tr, 1.0, 6.67572021484375e-06
mr, lv, 1.0, 6.4373016357421875e-06
mr, el, 1.0, 6.4373016357421875e-06
mr, es, 1.0, 8.106231689453125e-06
mr, pl, 1.0, 7.152557373046875e-06
mr, vi, 1.0, 6.67572021484375e-06
mr, de, 1.0, 7.867813110351562e-06
mr, ml, 1.0, 6.9141387939453125e-06
mr, sh, 1.0, 6.67572021484375e-06
mr, nl, 0.6666666666666666, 8.106231689453125e-06
mr, si, 1.0, 6.4373016357421875e-06
mr, pt, 0.6666666666666666, 8.106231689453125e-06
mr, ro, 1.0, 7.152557373046875e-06
mr, ja, 1.0, 6.67572021484375e-06
mr, simple, 1.0, 6.198883056640625e-06
mr, it, 1.0, 7.867813110351562e-06
mr, he, 1.0, 6.67572021484375e-06
mr, da, 1.0, 6.9141387939453125e-06
mr, en, 0.6666666666666666, 1.5497207641601562e-05
mr, sr, 1.0, 7.152557373046875e-06
mr, sv, 0.6666666666666666, 7.867813110351562e-06
mr, ckb, 1.0, 6.9141387939453125e-06
mr, ru, 1.0, 6.9141387939453125e-06
mr, hi, 1.0, 6.9141387939453125e-06
mr, arz, 1.0, 6.4373016357421875e-06
mr, bs, 1.0, 6.67572021484375e-06
mr, te, 1.0, 6.4373016357421875e-06
mr, zh, 1.0, 6.4373016357421875e-06
mr, mk, 1.0, 5.9604644775390625e-06
mr, hu, 1.0, 6.67572021484375e-06
mr, ko, 1.0, 6.67572021484375e-06
mr, war, 1.0, 6.67572021484375e-06
tr, tr, 1.0, 4.601478576660156e-05
tr, lv, 0.9333333333333333, 1.0967254638671875e-05
tr, el, 1.0, 7.3909759521484375e-06
tr, es, 0.8444444444444446, 1.6450881958007812e-05
tr, pl, 0.8307692307692307, 2.5033950805664062e-05
tr, vi, 1.0, 1.049041748046875e-05
tr, de, 0.8275862068965518, 1.7881393432617188e-05
tr, ml, 1.0, 7.867813110351562e-06
tr, sh, 0.9333333333333333, 1.430511474609375e-05
tr, nl, 0.7906976744186047, 1.5735626220703125e-05
tr, si, 1.0, 7.867813110351562e-06
tr, pt, 0.8656716417910448, 2.0742416381835938e-05
tr, ro, 0.8571428571428571, 1.4781951904296875e-05
tr, ja, 1.0, 7.62939453125e-06
tr, simple, 1.0, 1.1205673217773438e-05
tr, it, 0.7857142857142857, 2.0503997802734375e-05
tr, he, 1.0, 7.3909759521484375e-06
tr, da, 0.8333333333333334, 1.621246337890625e-05
tr, en, 0.8421052631578947, 6.532669067382812e-05
tr, sr, 1.0, 1.0728836059570312e-05
tr, sv, 0.7777777777777779, 2.0742416381835938e-05
tr, ckb, 1.0, 8.344650268554688e-06
tr, ru, 1.0, 7.867813110351562e-06
tr, hi, 1.0, 7.152557373046875e-06
tr, arz, 1.0, 6.4373016357421875e-06
tr, bs, 0.9090909090909091, 1.1920928955078125e-05
tr, te, 1.0, 6.67572021484375e-06
tr, zh, 1.0, 6.9141387939453125e-06
tr, mk, 1.0, 6.67572021484375e-06
tr, hu, 0.8571428571428571, 9.775161743164062e-06
tr, ko, 1.0, 7.62939453125e-06
tr, war, 0.6666666666666666, 8.106231689453125e-06
lv, lv, 1.0, 2.5033950805664062e-05
lv, el, 1.0, 7.152557373046875e-06
lv, es, 0.6666666666666666, 1.1444091796875e-05
lv, pl, 0.8148148148148148, 1.52587890625e-05
lv, vi, 1.0, 1.0967254638671875e-05
lv, de, 0.8800000000000001, 1.5974044799804688e-05
lv, ml, 1.0, 8.58306884765625e-06
lv, sh, 0.9629629629629629, 1.3589859008789062e-05
lv, nl, 0.896551724137931, 1.3828277587890625e-05
lv, si, 1.0, 7.3909759521484375e-06
lv, pt, 0.7692307692307692, 1.9788742065429688e-05
lv, ro, 0.8571428571428571, 1.1920928955078125e-05
lv, ja, 1.0, 7.3909759521484375e-06
lv, simple, 0.823529411764706, 1.049041748046875e-05
lv, it, 0.7777777777777779, 1.71661376953125e-05
lv, he, 1.0, 7.3909759521484375e-06
lv, da, 0.8571428571428571, 1.3589859008789062e-05
lv, en, 0.8070175438596492, 2.8133392333984375e-05
lv, sr, 0.6666666666666666, 9.059906005859375e-06
lv, sv, 0.7692307692307692, 1.4781951904296875e-05
lv, ckb, 1.0, 7.867813110351562e-06
lv, ru, 1.0, 6.9141387939453125e-06
lv, hi, 1.0, 6.198883056640625e-06
lv, arz, 1.0, 6.67572021484375e-06
lv, bs, 0.9333333333333333, 1.0251998901367188e-05
lv, te, 1.0, 7.152557373046875e-06
lv, zh, 1.0, 6.4373016357421875e-06
lv, mk, 1.0, 6.67572021484375e-06
lv, hu, 1.0, 9.5367431640625e-06
lv, ko, 1.0, 6.67572021484375e-06
lv, war, 0.8571428571428571, 8.344650268554688e-06
el, el, 1.0, 7.62939453125e-06
el, es, 1.0, 7.867813110351562e-06
el, pl, 1.0, 7.152557373046875e-06
el, vi, 1.0, 7.3909759521484375e-06
el, de, 1.0, 8.344650268554688e-06
el, ml, 1.0, 7.3909759521484375e-06
el, sh, 1.0, 6.4373016357421875e-06
el, nl, 0.6666666666666666, 8.344650268554688e-06
el, si, 1.0, 6.9141387939453125e-06
el, pt, 0.6666666666666666, 8.58306884765625e-06
el, ro, 1.0, 7.3909759521484375e-06
el, ja, 1.0, 6.67572021484375e-06
el, simple, 1.0, 6.67572021484375e-06
el, it, 1.0, 1.0728836059570312e-05
el, he, 1.0, 6.9141387939453125e-06
el, da, 1.0, 6.9141387939453125e-06
el, en, 0.6666666666666666, 1.6689300537109375e-05
el, sr, 1.0, 7.867813110351562e-06
el, sv, 0.6666666666666666, 8.821487426757812e-06
el, ckb, 1.0, 6.9141387939453125e-06
el, ru, 1.0, 6.9141387939453125e-06
el, hi, 1.0, 6.67572021484375e-06
el, arz, 1.0, 5.9604644775390625e-06
el, bs, 1.0, 5.9604644775390625e-06
el, te, 1.0, 6.4373016357421875e-06
el, zh, 1.0, 6.67572021484375e-06
el, mk, 1.0, 5.9604644775390625e-06
el, hu, 1.0, 6.198883056640625e-06
el, ko, 1.0, 6.9141387939453125e-06
el, war, 1.0, 6.4373016357421875e-06
es, es, 1.0, 0.0009963512420654297
es, pl, 0.7441016333938295, 9.703636169433594e-05
es, vi, 0.6666666666666666, 1.1682510375976562e-05
es, de, 0.8908296943231441, 0.00010752677917480469
es, ml, 1.0, 1.0013580322265625e-05
es, sh, 0.8253968253968255, 5.507469177246094e-05
es, nl, 0.7745664739884393, 4.410743713378906e-05
es, si, 1.0, 8.821487426757812e-06
es, pt, 0.7510917030567686, 9.584426879882812e-05
es, ro, 0.684931506849315, 2.3603439331054688e-05
es, ja, 0.6666666666666666, 9.5367431640625e-06
es, simple, 0.7142857142857143, 1.3113021850585938e-05
es, it, 0.8148148148148148, 0.0002067089080810547
es, he, 1.0, 1.0967254638671875e-05
es, da, 0.7462686567164178, 2.4080276489257812e-05
es, en, 0.8531029065200315, 0.00025916099548339844
es, sr, 0.6666666666666666, 2.3603439331054688e-05
es, sv, 0.7692307692307692, 0.00011229515075683594
es, ckb, 1.0, 9.5367431640625e-06
es, ru, 0.6666666666666666, 1.1444091796875e-05
es, hi, 1.0, 8.344650268554688e-06
es, arz, 1.0, 7.867813110351562e-06
es, bs, 0.6666666666666666, 1.2874603271484375e-05
es, te, 1.0, 8.344650268554688e-06
es, zh, 1.0, 8.58306884765625e-06
es, mk, 1.0, 7.62939453125e-06
es, hu, 0.6666666666666666, 1.33514404296875e-05
es, ko, 0.6666666666666666, 9.298324584960938e-06
es, war, 0.6666666666666666, 7.867813110351562e-06
pl, pl, 1.0, 0.0007777214050292969
pl, vi, 0.823529411764706, 1.4066696166992188e-05
pl, de, 0.8702290076335878, 0.00013017654418945312
pl, ml, 1.0, 1.0728836059570312e-05
pl, sh, 0.8604651162790696, 4.601478576660156e-05
pl, nl, 0.9197080291970804, 0.00010418891906738281
pl, si, 1.0, 8.821487426757812e-06
pl, pt, 0.9175627240143369, 0.00013136863708496094
pl, ro, 0.9166666666666667, 4.744529724121094e-05
pl, ja, 0.6666666666666666, 1.0013580322265625e-05
pl, simple, 0.9090909090909091, 2.7179718017578125e-05
pl, it, 0.8225352112676055, 0.00014472007751464844
pl, he, 1.0, 9.775161743164062e-06
pl, da, 0.9197080291970804, 4.00543212890625e-05
pl, en, 0.8751642575558476, 0.00035262107849121094
pl, sr, 0.8108108108108107, 1.811981201171875e-05
pl, sv, 0.8328767123287671, 0.0001595020294189453
pl, ckb, 1.0, 9.775161743164062e-06
pl, ru, 0.6666666666666666, 1.0728836059570312e-05
pl, hi, 1.0, 8.344650268554688e-06
pl, arz, 1.0, 7.152557373046875e-06
pl, bs, 0.782608695652174, 2.3603439331054688e-05
pl, te, 1.0, 8.58306884765625e-06
pl, zh, 1.0, 8.58306884765625e-06
pl, mk, 1.0, 8.106231689453125e-06
pl, hu, 0.8571428571428571, 2.47955322265625e-05
pl, ko, 1.0, 9.298324584960938e-06
pl, war, 1.0, 7.62939453125e-06
vi, vi, 1.0, 6.890296936035156e-05
vi, de, 0.8837209302325582, 2.4557113647460938e-05
vi, ml, 1.0, 9.298324584960938e-06
vi, sh, 0.9743589743589742, 1.71661376953125e-05
vi, nl, 0.8307692307692307, 2.5987625122070312e-05
vi, si, 1.0, 7.62939453125e-06
vi, pt, 0.7692307692307692, 1.2874603271484375e-05
vi, ro, 0.7586206896551725, 1.3113021850585938e-05
vi, ja, 1.0, 8.106231689453125e-06
vi, simple, 1.0, 8.58306884765625e-06
vi, it, 0.7450980392156863, 1.7881393432617188e-05
vi, he, 1.0, 8.106231689453125e-06
vi, da, 1.0, 1.0013580322265625e-05
vi, en, 0.7804878048780488, 3.981590270996094e-05
vi, sr, 1.0, 8.821487426757812e-06
vi, sv, 0.8571428571428571, 1.1205673217773438e-05
vi, ckb, 1.0, 7.152557373046875e-06
vi, ru, 0.6666666666666666, 8.344650268554688e-06
vi, hi, 1.0, 7.3909759521484375e-06
vi, arz, 1.0, 6.9141387939453125e-06
vi, bs, 0.9230769230769231, 1.3113021850585938e-05
vi, te, 1.0, 7.152557373046875e-06
vi, zh, 1.0, 7.3909759521484375e-06
vi, mk, 1.0, 6.67572021484375e-06
vi, hu, 1.0, 1.049041748046875e-05
vi, ko, 1.0, 7.867813110351562e-06
vi, war, 1.0, 6.9141387939453125e-06
de, de, 1.0, 0.0011234283447265625
de, ml, 1.0, 1.1444091796875e-05
de, sh, 0.8789808917197452, 4.7206878662109375e-05
de, nl, 0.9368029739776952, 0.00012445449829101562
de, si, 1.0, 9.059906005859375e-06
de, pt, 0.8999999999999999, 0.00010848045349121094
de, ro, 0.851851851851852, 5.435943603515625e-05
de, ja, 0.6666666666666666, 1.049041748046875e-05
de, simple, 0.9361702127659575, 3.2901763916015625e-05
de, it, 0.8792029887920298, 0.00017714500427246094
de, he, 0.6666666666666666, 1.3113021850585938e-05
de, da, 0.9411764705882353, 5.4836273193359375e-05
de, en, 0.8980132450331126, 0.0003554821014404297
de, sr, 0.75, 1.6450881958007812e-05
de, sv, 0.9022869022869022, 0.00011801719665527344
de, ckb, 1.0, 1.0251998901367188e-05
de, ru, 0.6666666666666666, 1.049041748046875e-05
de, hi, 1.0, 8.344650268554688e-06
de, arz, 1.0, 8.344650268554688e-06
de, bs, 0.7586206896551725, 1.8835067749023438e-05
de, te, 1.0, 8.344650268554688e-06
de, zh, 1.0, 9.059906005859375e-06
de, mk, 0.6666666666666666, 8.58306884765625e-06
de, hu, 0.8936170212765957, 1.9311904907226562e-05
de, ko, 1.0, 9.775161743164062e-06
de, war, 0.6666666666666666, 8.821487426757812e-06
ml, ml, 1.0, 8.106231689453125e-06
ml, sh, 1.0, 7.152557373046875e-06
ml, nl, 0.6666666666666666, 8.106231689453125e-06
ml, si, 1.0, 7.152557373046875e-06
ml, pt, 0.6666666666666666, 9.775161743164062e-06
ml, ro, 1.0, 7.867813110351562e-06
ml, ja, 1.0, 7.3909759521484375e-06
ml, simple, 1.0, 6.9141387939453125e-06
ml, it, 1.0, 1.239776611328125e-05
ml, he, 1.0, 6.9141387939453125e-06
ml, da, 1.0, 7.62939453125e-06
ml, en, 0.6666666666666666, 2.002716064453125e-05
ml, sr, 1.0, 7.867813110351562e-06
ml, sv, 0.6666666666666666, 9.059906005859375e-06
ml, ckb, 1.0, 6.9141387939453125e-06
ml, ru, 1.0, 7.3909759521484375e-06
ml, hi, 1.0, 6.9141387939453125e-06
ml, arz, 1.0, 6.198883056640625e-06
ml, bs, 1.0, 6.9141387939453125e-06
ml, te, 1.0, 6.9141387939453125e-06
ml, zh, 1.0, 7.152557373046875e-06
ml, mk, 1.0, 6.198883056640625e-06
ml, hu, 1.0, 6.9141387939453125e-06
ml, ko, 1.0, 6.9141387939453125e-06
ml, war, 1.0, 6.198883056640625e-06
sh, sh, 1.0, 0.00017952919006347656
sh, nl, 0.8947368421052632, 3.24249267578125e-05
sh, si, 1.0, 8.58306884765625e-06
sh, pt, 0.7948717948717948, 4.887580871582031e-05
sh, ro, 0.8571428571428571, 2.4080276489257812e-05
sh, ja, 1.0, 9.059906005859375e-06
sh, simple, 0.9090909090909091, 1.0251998901367188e-05
sh, it, 0.8735632183908045, 8.916854858398438e-05
sh, he, 1.0, 8.58306884765625e-06
sh, da, 1.0, 1.049041748046875e-05
sh, en, 0.8427672955974843, 8.893013000488281e-05
sh, sr, 0.6666666666666666, 1.3828277587890625e-05
sh, sv, 0.8408163265306123, 5.435943603515625e-05
sh, ckb, 1.0, 8.821487426757812e-06
sh, ru, 0.6666666666666666, 9.298324584960938e-06
sh, hi, 1.0, 7.3909759521484375e-06
sh, arz, 1.0, 7.152557373046875e-06
sh, bs, 0.8923076923076924, 1.9788742065429688e-05
sh, te, 1.0, 7.62939453125e-06
sh, zh, 1.0, 7.3909759521484375e-06
sh, mk, 1.0, 7.152557373046875e-06
sh, hu, 0.9090909090909091, 1.239776611328125e-05
sh, ko, 1.0, 7.3909759521484375e-06
sh, war, 1.0, 6.9141387939453125e-06
nl, nl, 1.0, 0.0008499622344970703
nl, si, 0.6666666666666666, 1.0251998901367188e-05
nl, pt, 0.918918918918919, 0.00013518333435058594
nl, ro, 0.9078014184397163, 6.628036499023438e-05
nl, ja, 0.6666666666666666, 1.0728836059570312e-05
nl, simple, 0.9523809523809523, 4.38690185546875e-05
nl, it, 0.901453957996769, 0.00014257431030273438
nl, he, 0.6666666666666666, 9.775161743164062e-06
nl, da, 0.9593495934959351, 6.318092346191406e-05
nl, en, 0.9155693261037956, 0.0002808570861816406
nl, sr, 0.7341772151898734, 2.6464462280273438e-05
nl, sv, 0.9178356713426854, 0.00011610984802246094
nl, ckb, 0.6666666666666666, 8.821487426757812e-06
nl, ru, 0.6666666666666666, 9.298324584960938e-06
