Language1, Language2, SimilarityScore, Time
id, id, 1.0, 0.0006611347198486328
id, fr, 0.02757508394692406, 0.001500844955444336
id, mr, 0.005025125628140704, 0.000274658203125
id, tr, 0.034785836664762995, 0.0002868175506591797
id, lv, 0.0171229632436529, 0.0002684593200683594
id, el, 0.005012531328320802, 0.0002789497375488281
id, es, 0.023559618953879986, 0.001054525375366211
id, pl, 0.041486820902394105, 0.0008702278137207031
id, vi, 0.015531461856628894, 0.0003235340118408203
id, de, 0.03314510467577603, 0.001150369644165039
id, ml, 0.008771929824561403, 0.0002856254577636719
id, sh, 0.05515387467556544, 0.00042057037353515625
id, nl, 0.04256244247675267, 0.0009341239929199219
id, si, 0.0025188916876574307, 0.00027823448181152344
id, pt, 0.06302270051679759, 0.0009458065032958984
id, ro, 0.05154845365165583, 0.0004825592041015625
id, ja, 0.004962779156327543, 0.0002772808074951172
id, simple, 0.03636853448275862, 0.00032830238342285156
id, it, 0.04501480261120539, 0.0017249584197998047
id, he, 0.005012531328320802, 0.0002849102020263672
id, da, 0.03283459737441172, 0.00041961669921875
id, en, 0.028397356796904822, 0.019562721252441406
id, sr, 0.02661664445978934, 0.0003528594970703125
id, sv, 0.05829470693779904, 0.00096893310546875
id, ckb, 0.0025188916876574307, 0.00026679039001464844
id, ru, 0.009708737864077669, 0.0002624988555908203
id, hi, 0.00628140703517588, 0.00026917457580566406
id, arz, 0.001256281407035176, 0.0002601146697998047
id, bs, 0.023305545487495468, 0.0003151893615722656
id, te, 0.0037593984962406013, 0.0002663135528564453
id, zh, 0.008728179551122194, 0.0002751350402832031
id, mk, 0.0037593984962406013, 0.00027370452880859375
id, hu, 0.025394279604383854, 0.0003027915954589844
id, ko, 0.007481296758104738, 0.00027680397033691406
id, war, 0.0075287563127396364, 0.00028014183044433594
id, union, 0.03242143109582562, 0.06599950790405273
fr, fr, 1.0, 0.003168344497680664
fr, mr, 0.0015365703749231714, 0.0012354850769042969
fr, tr, 0.009050293628642039, 0.0012593269348144531
fr, lv, 0.003056234718826406, 0.0012595653533935547
fr, el, 0.0018438844499078057, 0.02547168731689453
fr, es, 0.04339550818424058, 0.0024268627166748047
fr, pl, 0.050033361109098375, 0.0018682479858398438
fr, vi, 0.0032777115613825984, 0.0012578964233398438
fr, de, 0.051380184133485295, 0.0024704933166503906
fr, ml, 0.002148557397176182, 0.0011980533599853516
fr, sh, 0.01412550356368144, 0.025371313095092773
fr, nl, 0.07424633233005132, 0.0020864009857177734
fr, si, 0.0006146281499692685, 0.0012173652648925781
fr, pt, 0.08055929584977747, 0.0019855499267578125
fr, ro, 0.032069349416129614, 0.0014376640319824219
fr, ja, 0.003073140749846343, 0.001230478286743164
fr, simple, 0.014764425125448288, 0.0012440681457519531
fr, it, 0.08282210889455527, 0.027588605880737305
fr, he, 0.0018438844499078057, 0.0012066364288330078
fr, da, 0.029816672314260516, 0.0018131732940673828
fr, en, 0.07469815193390855, 0.03708791732788086
fr, sr, 0.011276752051452649, 0.0013277530670166016
fr, sv, 0.057657713541343594, 0.0023660659790039062
fr, ckb, 0.0006146281499692685, 0.0012469291687011719
fr, ru, 0.0052051439069197795, 0.0012428760528564453
fr, hi, 0.0018438844499078057, 0.0012359619140625
fr, arz, 0.0003071253071253071, 0.0012316703796386719
fr, bs, 0.010068649094388614, 0.01208949089050293
fr, te, 0.0015365703749231714, 0.0012040138244628906
fr, zh, 0.003380454824830977, 0.0011942386627197266
fr, mk, 0.0012285012285012285, 0.0012526512145996094
fr, hu, 0.004204204204204204, 0.0011532306671142578
fr, ko, 0.002764127764127764, 0.017406940460205078
fr, war, 0.0018340123737334035, 0.0012631416320800781
fr, union, 0.13369673563210308, 0.03921961784362793
mr, mr, 0.5, 2.6941299438476562e-05
mr, tr, 0.027777777777777776, 3.790855407714844e-05
mr, lv, 0.045454545454545456, 3.0279159545898438e-05
mr, el, 0.2857142857142857, 1.1444091796875e-05
mr, es, 0.0027085590465872156, 0.000720977783203125
mr, pl, 0.002, 0.0005536079406738281
mr, vi, 0.0234375, 4.887580871582031e-05
mr, de, 0.0013181019332161687, 0.0008101463317871094
mr, ml, 0.2777777777777778, 1.4543533325195312e-05
mr, sh, 0.006060606060606061, 0.0001220703125
mr, nl, 0.001201923076923077, 0.0005745887756347656
mr, si, 0.2, 1.5497207641601562e-05
mr, pt, 0.0022471910112359553, 0.0005726814270019531
mr, ro, 0.003484320557491289, 0.0001804828643798828
mr, ja, 0.125, 1.52587890625e-05
mr, simple, 0.013333333333333334, 5.53131103515625e-05
mr, it, 0.0013351134846461949, 0.0012366771697998047
mr, he, 0.1875, 1.6450881958007812e-05
mr, da, 0.007575757575757576, 0.00013566017150878906
mr, en, 0.0003875968992248062, 0.018478870391845703
mr, sr, 0.02054794520547945, 6.866455078125e-05
mr, sv, 0.003401360544217687, 0.0007412433624267578
mr, ckb, 0.08333333333333333, 1.7881393432617188e-05
mr, ru, 0.10869565217391304, 1.71661376953125e-05
mr, hi, 0.4166666666666667, 1.3589859008789062e-05
mr, arz, 0.08333333333333333, 1.2159347534179688e-05
mr, bs, 0.015151515151515152, 5.602836608886719e-05
mr, te, 0.3333333333333333, 1.3828277587890625e-05
mr, zh, 0.16666666666666666, 1.3113021850585938e-05
mr, mk, 0.125, 1.2636184692382812e-05
mr, hu, 0.027777777777777776, 3.62396240234375e-05
mr, ko, 0.18181818181818182, 1.33514404296875e-05
mr, war, 0.125, 1.3828277587890625e-05
mr, union, 0.0002280397701359117, 0.04053616523742676
tr, tr, 1.0, 8.916854858398438e-05
tr, lv, 0.1111111111111111, 4.792213439941406e-05
tr, el, 0.02702702702702703, 3.2901763916015625e-05
tr, es, 0.010816544231075585, 0.0007655620574951172
tr, pl, 0.0181095485671844, 0.0005831718444824219
tr, vi, 0.05762987012987013, 7.343292236328125e-05
tr, de, 0.010329568343638748, 0.0008542537689208984
tr, ml, 0.038461538461538464, 3.9577484130859375e-05
tr, sh, 0.04763837039441649, 0.00015211105346679688
tr, nl, 0.009926213519544258, 0.0007295608520507812
tr, si, 0.030303030303030304, 5.9604644775390625e-05
tr, pt, 0.014717078824893062, 0.024920940399169922
tr, ro, 0.02586029154038061, 0.00026035308837890625
tr, ja, 0.0375, 3.62396240234375e-05
tr, simple, 0.06123711340206185, 8.416175842285156e-05
tr, it, 0.006900028810141169, 0.0016710758209228516
tr, he, 0.041666666666666664, 5.340576171875e-05
tr, da, 0.04058080406801208, 0.00018334388732910156
tr, en, 0.0029517062486948383, 0.006738424301147461
tr, sr, 0.047318429282983895, 9.417533874511719e-05
tr, sv, 0.016866268840469857, 0.0007197856903076172
tr, ckb, 0.030303030303030304, 3.528594970703125e-05
tr, ru, 0.06, 3.2901763916015625e-05
tr, hi, 0.041666666666666664, 3.0279159545898438e-05
tr, arz, 0.014705882352941176, 2.956390380859375e-05
tr, bs, 0.06037847427557658, 7.104873657226562e-05
tr, te, 0.027777777777777776, 3.075599670410156e-05
tr, zh, 0.036585365853658534, 2.9802322387695312e-05
tr, mk, 0.027777777777777776, 2.8848648071289062e-05
tr, hu, 0.06049679487179487, 5.340576171875e-05
tr, ko, 0.06578947368421052, 3.075599670410156e-05
tr, war, 0.058823529411764705, 3.1948089599609375e-05
tr, union, 0.0026389296787017085, 0.06558537483215332
lv, lv, 1.0, 5.173683166503906e-05
lv, el, 0.043478260869565216, 2.4318695068359375e-05
lv, es, 0.004282655246252677, 0.0006768703460693359
lv, pl, 0.007825844227484497, 0.0005190372467041016
lv, vi, 0.07714804356595402, 6.031990051269531e-05
lv, de, 0.005631731408702793, 0.0007634162902832031
lv, ml, 0.06, 2.4557113647460938e-05
lv, sh, 0.04229182295573894, 0.0001323223114013672
lv, nl, 0.00825704652805368, 0.0005872249603271484
lv, si, 0.05263157894736842, 2.4318695068359375e-05
lv, pt, 0.011092621732246979, 0.0006518363952636719
