Language1, Language2, SimilarityScore, Time
pt, pt, 1.0, 0.00020933151245117188
pt, it, 0.004807692307692308, 7.414817810058594e-05
pt, en, 0.46256577442232893, 0.00020432472229003906
pt, ru, 0.004807692307692308, 7.200241088867188e-05
pt, union, 0.5507892930679479, 0.0002498626708984375
it, it, 0.5, 1.4543533325195312e-05
it, en, 0.0, 0.00010800361633300781
it, ru, 0.0, 1.0728836059570312e-05
it, union, 0.0026595744680851063, 0.00016236305236816406
en, en, 1.0, 0.0002300739288330078
en, ru, 0.0029239766081871343, 0.00011157989501953125
en, union, 0.9117764813543812, 0.0003027915954589844
ru, ru, 0.5, 1.2874603271484375e-05
ru, union, 0.0026595744680851063, 0.00016880035400390625
union, union, 1.0, 0.00035262107849121094
