Language1, Language2, SimilarityScore, Time
id, id, 1.0, 8.845329284667969e-05
id, fr, 0.500788643533123, 0.0006537437438964844
id, mr, 0.5, 4.458427429199219e-05
id, tr, 0.5, 3.266334533691406e-05
id, el, 0.5, 2.9087066650390625e-05
id, es, 0.5011618900077459, 0.0006456375122070312
id, pl, 0.5252905681772162, 9.107589721679688e-05
id, vi, 0.5, 3.0994415283203125e-05
id, de, 0.5004985044865404, 0.0003783702850341797
id, ml, 0.5, 3.24249267578125e-05
id, nl, 0.5058234400495133, 0.00029587745666503906
id, pt, 0.5014619883040936, 0.0002491474151611328
id, ro, 0.5, 6.222724914550781e-05
id, ja, 0.5, 3.0279159545898438e-05
id, simple, 0.5, 3.2901763916015625e-05
id, it, 0.5014347202295553, 0.001043558120727539
id, he, 0.5, 3.814697265625e-05
id, en, 0.5007863911995474, 0.008028745651245117
id, sr, 0.5, 6.318092346191406e-05
id, sv, 0.5015576323987538, 0.000179290771484375
id, ru, 0.5, 0.00014090538024902344
id, te, 0.5, 3.075599670410156e-05
id, zh, 0.5, 6.604194641113281e-05
id, mk, 0.5, 3.266334533691406e-05
id, hu, 0.5, 0.0001049041748046875
id, ko, 0.5, 3.266334533691406e-05
id, union, 0.5014717942505538, 0.040863990783691406
fr, fr, 1.0, 0.001352071762084961
fr, mr, 0.5, 0.0006117820739746094
fr, tr, 0.5014965119026112, 0.0006155967712402344
fr, el, 0.5, 0.0006124973297119141
fr, es, 0.5097765233927776, 0.0013074874877929688
fr, pl, 0.5051082830671063, 0.0006673336029052734
fr, vi, 0.5004128819157722, 0.0005986690521240234
fr, de, 0.5186612936650504, 0.017191410064697266
fr, ml, 0.5, 0.0006380081176757812
fr, nl, 0.5174236230710957, 0.0009121894836425781
fr, pt, 0.530702821567806, 0.0008575916290283203
fr, ro, 0.5003837298541827, 0.0006361007690429688
fr, ja, 0.5008077544426495, 0.0006270408630371094
fr, simple, 0.5012325390304027, 0.0006105899810791016
fr, it, 0.5482026677921664, 0.0017545223236083984
fr, he, 0.5007849293563579, 0.0006206035614013672
fr, en, 0.5149464619723005, 0.032233238220214844
fr, sr, 0.5012264922322158, 0.0248110294342041
fr, sv, 0.5123078721497419, 0.0007944107055664062
fr, ru, 0.5056107091785271, 0.0007307529449462891
