Language1, Language2, SimilarityScore, Time
id, id, 1.0, 0.0005052089691162109
id, fr, 0.2619047619047619, 0.00019073486328125
id, tr, 0.15789473684210525, 8.96453857421875e-05
id, lv, 0.0, 1.7642974853515625e-05
id, el, 0.0, 1.430511474609375e-05
id, es, 0.21333333333333335, 0.00011372566223144531
id, pl, 0.46551724137931033, 0.00010848045349121094
id, vi, 0.0, 1.621246337890625e-05
id, de, 0.46153846153846156, 7.796287536621094e-05
id, ml, 0.0, 1.5735626220703125e-05
id, sh, 0.26666666666666666, 3.266334533691406e-05
id, nl, 0.45, 0.00010633468627929688
id, pt, 0.0, 6.747245788574219e-05
id, ro, 0.6333333333333333, 6.67572021484375e-05
id, ja, 0.0, 1.9311904907226562e-05
id, simple, 0.5625, 4.00543212890625e-05
id, it, 0.28205128205128205, 7.343292236328125e-05
id, he, 0.0, 1.5020370483398438e-05
id, da, 0.42857142857142855, 3.2901763916015625e-05
id, en, 0.3700440528634361, 0.0003058910369873047
id, sr, 0.0, 1.621246337890625e-05
id, sv, 0.14634146341463414, 0.00010848045349121094
id, ckb, 0.0, 1.6450881958007812e-05
id, ru, 0.0, 1.7881393432617188e-05
id, hi, 0.0, 1.4543533325195312e-05
id, bs, 0.3333333333333333, 2.765655517578125e-05
id, zh, 0.0, 1.4543533325195312e-05
id, mk, 0.0, 1.1920928955078125e-05
id, ko, 0.0, 1.2159347534179688e-05
fr, fr, 1.0, 0.00040912628173828125
fr, tr, 0.5918367346938775, 8.559226989746094e-05
fr, lv, 0.0, 1.430511474609375e-05
fr, el, 0.0, 1.1920928955078125e-05
fr, es, 0.578125, 9.989738464355469e-05
fr, pl, 0.7066666666666667, 0.00010752677917480469
fr, vi, 0.0, 1.33514404296875e-05
fr, de, 0.6533333333333333, 0.00011301040649414062
fr, ml, 0.0, 1.2636184692382812e-05
fr, sh, 0.8571428571428571, 3.266334533691406e-05
fr, nl, 0.7021276595744681, 0.00014925003051757812
fr, pt, 0.14285714285714285, 7.05718994140625e-05
fr, ro, 0.696969696969697, 6.413459777832031e-05
fr, ja, 0.0, 1.430511474609375e-05
fr, simple, 0.875, 3.361701965332031e-05
fr, it, 0.5277777777777778, 0.00010251998901367188
fr, he, 0.0, 1.33514404296875e-05
fr, da, 0.7, 2.6464462280273438e-05
fr, en, 0.4150197628458498, 0.0002868175506591797
fr, sr, 0.0, 1.430511474609375e-05
fr, sv, 0.43636363636363634, 7.939338684082031e-05
fr, ckb, 0.0, 1.1682510375976562e-05
fr, ru, 0.0, 1.1205673217773438e-05
fr, hi, 0.0, 1.049041748046875e-05
fr, bs, 0.875, 3.1948089599609375e-05
fr, zh, 0.0, 1.1205673217773438e-05
fr, mk, 0.0, 1.0013580322265625e-05
fr, ko, 0.0, 1.0251998901367188e-05
tr, tr, 1.0, 0.00011372566223144531
tr, lv, 0.0, 1.1444091796875e-05
tr, el, 0.0, 9.775161743164062e-06
tr, es, 0.8125, 6.103515625e-05
tr, pl, 0.5641025641025641, 6.031990051269531e-05
tr, vi, 0.0, 1.1205673217773438e-05
tr, de, 0.5161290322580645, 5.078315734863281e-05
tr, ml, 0.0, 1.1444091796875e-05
tr, sh, 0.9166666666666666, 2.6702880859375e-05
tr, nl, 0.5777777777777777, 6.723403930664062e-05
tr, pt, 0.0, 3.0279159545898438e-05
tr, ro, 0.5384615384615384, 3.838539123535156e-05
tr, ja, 0.0, 1.049041748046875e-05
tr, simple, 0.6428571428571429, 2.5033950805664062e-05
tr, it, 0.7142857142857143, 4.9591064453125e-05
tr, he, 0.0, 1.0251998901367188e-05
tr, da, 0.8, 1.5497207641601562e-05
tr, en, 0.6507936507936508, 8.940696716308594e-05
tr, sr, 0.0, 1.1444091796875e-05
tr, sv, 1.0, 4.649162292480469e-05
tr, ckb, 0.0, 1.0967254638671875e-05
tr, ru, 0.0, 1.0251998901367188e-05
tr, hi, 0.0, 1.0251998901367188e-05
tr, bs, 1.0, 2.4557113647460938e-05
tr, zh, 0.0, 1.0251998901367188e-05
tr, mk, 0.0, 1.0013580322265625e-05
tr, ko, 0.0, 9.5367431640625e-06
lv, lv, 0.0, 9.5367431640625e-06
lv, el, 0.0, 8.821487426757812e-06
lv, es, 0.0, 9.298324584960938e-06
lv, pl, 0.0, 9.059906005859375e-06
lv, vi, 0.0, 8.58306884765625e-06
lv, de, 0.0, 8.821487426757812e-06
lv, ml, 0.0, 8.344650268554688e-06
lv, sh, 0.0, 8.821487426757812e-06
lv, nl, 0.0, 8.821487426757812e-06
lv, pt, 0.0, 9.298324584960938e-06
lv, ro, 0.0, 8.58306884765625e-06
lv, ja, 0.0, 8.344650268554688e-06
lv, simple, 0.0, 8.821487426757812e-06
lv, it, 0.0, 1.0013580322265625e-05
lv, he, 0.0, 9.298324584960938e-06
lv, da, 0.0, 8.58306884765625e-06
lv, en, 0.0, 1.049041748046875e-05
lv, sr, 0.0, 8.344650268554688e-06
lv, sv, 0.0, 8.821487426757812e-06
lv, ckb, 0.0, 8.344650268554688e-06
lv, ru, 0.0, 8.106231689453125e-06
lv, hi, 0.0, 8.344650268554688e-06
lv, bs, 0.0, 8.106231689453125e-06
lv, zh, 0.0, 8.106231689453125e-06
lv, mk, 0.0, 8.106231689453125e-06
lv, ko, 0.0, 8.344650268554688e-06
el, el, 0.0, 8.106231689453125e-06
el, es, 0.0, 8.344650268554688e-06
el, pl, 0.0, 8.344650268554688e-06
el, vi, 0.0, 7.867813110351562e-06
el, de, 0.0, 8.821487426757812e-06
el, ml, 0.0, 7.62939453125e-06
el, sh, 0.0, 8.344650268554688e-06
el, nl, 0.0, 7.867813110351562e-06
el, pt, 0.0, 8.344650268554688e-06
el, ro, 0.0, 8.344650268554688e-06
el, ja, 0.0, 7.62939453125e-06
el, simple, 0.0, 7.867813110351562e-06
el, it, 0.0, 9.298324584960938e-06
el, he, 0.0, 8.58306884765625e-06
el, da, 0.0, 8.58306884765625e-06
el, en, 0.0, 1.0251998901367188e-05
el, sr, 0.0, 8.821487426757812e-06
el, sv, 0.0, 8.106231689453125e-06
el, ckb, 0.0, 7.867813110351562e-06
el, ru, 0.0, 8.344650268554688e-06
el, hi, 0.0, 8.106231689453125e-06
el, bs, 0.0, 8.106231689453125e-06
el, zh, 0.0, 8.106231689453125e-06
el, mk, 0.0, 7.867813110351562e-06
el, ko, 0.0, 8.344650268554688e-06
es, es, 1.0, 0.00023555755615234375
es, pl, 0.4444444444444444, 5.6743621826171875e-05
es, vi, 0.0, 1.1205673217773438e-05
es, de, 0.6041666666666666, 6.365776062011719e-05
es, ml, 0.0, 1.0728836059570312e-05
es, sh, 0.9565217391304348, 4.482269287109375e-05
es, nl, 0.4444444444444444, 4.887580871582031e-05
es, pt, 0.058823529411764705, 4.9114227294921875e-05
es, ro, 0.25, 2.956390380859375e-05
es, ja, 0.0, 1.1920928955078125e-05
es, simple, 1.0, 2.5510787963867188e-05
es, it, 0.896551724137931, 8.630752563476562e-05
es, he, 0.0, 1.0728836059570312e-05
es, da, 0.9, 2.2172927856445312e-05
es, en, 0.5853658536585366, 0.0001804828643798828
es, sr, 0.0, 1.0728836059570312e-05
es, sv, 0.5, 3.5762786865234375e-05
es, ckb, 0.0, 9.059906005859375e-06
es, ru, 0.0, 8.106231689453125e-06
es, hi, 0.0, 7.867813110351562e-06
es, bs, 0.6, 2.288818359375e-05
es, zh, 0.0, 9.298324584960938e-06
es, mk, 0.0, 8.106231689453125e-06
es, ko, 0.0, 8.106231689453125e-06
pl, pl, 1.0, 0.0002646446228027344
pl, vi, 0.0, 1.1920928955078125e-05
pl, de, 0.5692307692307692, 6.723403930664062e-05
pl, ml, 0.0, 9.775161743164062e-06
pl, sh, 0.46153846153846156, 1.9550323486328125e-05
pl, nl, 0.5813953488372093, 8.153915405273438e-05
pl, pt, 0.08333333333333333, 4.7206878662109375e-05
pl, ro, 0.9629629629629629, 4.1484832763671875e-05
pl, ja, 0.0, 9.775161743164062e-06
pl, simple, 0.6666666666666666, 2.2649765014648438e-05
pl, it, 0.5609756097560976, 4.982948303222656e-05
pl, he, 0.0, 1.0013580322265625e-05
pl, da, 0.5454545454545454, 1.8358230590820312e-05
pl, en, 0.5038167938931297, 0.00013518333435058594
pl, sr, 0.0, 1.0967254638671875e-05
pl, sv, 0.49019607843137253, 5.269050598144531e-05
pl, ckb, 0.0, 9.298324584960938e-06
pl, ru, 0.0, 1.0013580322265625e-05
pl, hi, 0.0, 7.867813110351562e-06
pl, bs, 0.9090909090909091, 1.9550323486328125e-05
pl, zh, 0.0, 9.298324584960938e-06
pl, mk, 0.0, 7.867813110351562e-06
pl, ko, 0.0, 8.821487426757812e-06
vi, vi, 0.0, 7.3909759521484375e-06
vi, de, 0.0, 7.3909759521484375e-06
vi, ml, 0.0, 1.6450881958007812e-05
vi, sh, 0.0, 7.3909759521484375e-06
vi, nl, 0.0, 7.3909759521484375e-06
vi, pt, 0.0, 7.3909759521484375e-06
vi, ro, 0.0, 8.344650268554688e-06
vi, ja, 0.0, 7.3909759521484375e-06
vi, simple, 0.0, 7.152557373046875e-06
vi, it, 0.0, 7.867813110351562e-06
vi, he, 0.0, 7.3909759521484375e-06
vi, da, 0.0, 7.152557373046875e-06
vi, en, 0.0, 9.059906005859375e-06
vi, sr, 0.0, 7.152557373046875e-06
vi, sv, 0.0, 8.106231689453125e-06
vi, ckb, 0.0, 7.3909759521484375e-06
vi, ru, 0.0, 7.152557373046875e-06
vi, hi, 0.0, 7.152557373046875e-06
vi, bs, 0.0, 6.9141387939453125e-06
vi, zh, 0.0, 6.9141387939453125e-06
vi, mk, 0.0, 6.9141387939453125e-06
vi, ko, 0.0, 6.9141387939453125e-06
de, de, 1.0, 0.0002353191375732422
de, ml, 0.0, 9.5367431640625e-06
de, sh, 0.6363636363636364, 1.8596649169921875e-05
de, nl, 0.5584415584415584, 7.128715515136719e-05
