Language1, Language2, SimilarityScore, Kernel, Time
id, id, 1.0, 1.0892145153042612, 0.00024366378784179688
id, fr, 1.0, 1.070542919899387, 0.00013327598571777344
id, tr, 0.0, 0.0, 0.00013327598571777344
id, el, 1.0, 1.0, 4.673004150390625e-05
id, es, 0.8216064286890065, 1.015789473684211, 7.43865966796875e-05
id, pl, 1.0, 1.0605333951762521, 9.989738464355469e-05
id, de, 0.8755395908437883, 1.0400324675324675, 9.918212890625e-05
id, nl, 1.0, 1.100030778701139, 7.033348083496094e-05
id, pt, 1.0, 1.0, 5.91278076171875e-05
id, ja, 1.0, 1.0, 4.267692565917969e-05
id, it, 1.0, 1.070542919899387, 0.00013113021850585938
id, he, 1.0, 1.0, 4.315376281738281e-05
id, da, 1.0, 1.0, 4.267692565917969e-05
id, en, 0.8947424797973745, 1.089214515304261, 0.00016021728515625
id, sr, 0.0, 0.0, 0.00016021728515625
id, sv, 1.0, 1.0, 4.38690185546875e-05
id, ru, 1.0, 1.0, 4.267692565917969e-05
id, zh, 1.0, 1.0, 4.220008850097656e-05
fr, fr, 1.0, 5.5686886209584125, 0.022217988967895508
fr, tr, 0.8358801666417901, 1.089214515304261, 0.00019240379333496094
fr, el, 1.0, 1.0225000000000009, 7.939338684082031e-05
fr, es, 0.645207182278692, 1.3439932272173851, 0.0006239414215087891
fr, pl, 1.0, 1.070542919899387, 0.00013518333435058594
fr, de, 0.8199443723730211, 1.744684695332473, 0.0019731521606445312
fr, nl, 1.0, 1.1354503630978923, 0.0002372264862060547
fr, pt, 0.8055567530094857, 1.1325636942675144, 0.00022125244140625
fr, ja, 1.0, 1.0225000000000009, 7.510185241699219e-05
fr, it, 0.9846886286911563, 2.7770610122699564, 0.01732325553894043
fr, he, 1.0, 1.0, 5.6743621826171875e-05
fr, da, 0.9674935506945167, 1.3580498866213135, 0.0006625652313232422
fr, en, 0.6835005937250065, 3.284293639552743, 0.06446051597595215
fr, sr, 1.0, 1.0, 8.296966552734375e-05
fr, sv, 0.8231703347320635, 1.1741634091694115, 0.0004067420959472656
fr, ru, 1.0, 1.0900000000000025, 0.00023865699768066406
fr, zh, 1.0, 1.0, 5.459785461425781e-05
tr, tr, 1.0, 1.154703332831743, 0.0002567768096923828
tr, el, 1.0, 1.0, 4.458427429199219e-05
tr, es, 1.0, 1.0605333951762528, 0.00010013580322265625
tr, pl, 1.0, 1.0, 4.315376281738281e-05
tr, de, 1.0, 1.089214515304261, 0.00015974044799804688
tr, nl, 0.0, 0.0, 0.00015974044799804688
tr, pt, 1.0, 1.0, 4.4345855712890625e-05
tr, ja, 1.0, 1.0, 4.3392181396484375e-05
tr, it, 1.0, 1.0675000000000008, 0.0001323223114013672
tr, he, 0.0, 0.0, 0.0001323223114013672
tr, da, 1.0, 1.0, 4.38690185546875e-05
tr, en, 0.7776289012712982, 1.0705429198993877, 0.00014019012451171875
tr, sr, 0.0, 0.0, 0.00014019012451171875
tr, sv, 1.0, 1.0705429198993874, 0.00014519691467285156
tr, ru, 1.0, 1.0, 4.363059997558594e-05
tr, zh, 0.0, 0.0, 4.363059997558594e-05
el, el, 1.0, 1.0225000000000009, 7.295608520507812e-05
el, es, 1.0, 1.0225000000000009, 7.104873657226562e-05
el, pl, 1.0, 1.0, 4.267692565917969e-05
el, de, 1.0, 1.0225000000000009, 7.152557373046875e-05
el, nl, 1.0, 1.0, 4.315376281738281e-05
el, pt, 1.0, 1.0225000000000009, 7.009506225585938e-05
el, ja, 1.0, 1.0225000000000009, 6.842613220214844e-05
el, it, 1.0, 1.0, 4.458427429199219e-05
el, he, 1.0, 1.0, 4.220008850097656e-05
el, da, 1.0, 1.0, 4.1961669921875e-05
el, en, 1.0, 1.0225000000000009, 7.748603820800781e-05
el, sr, 0.0, 0.0, 7.748603820800781e-05
el, sv, 1.0, 1.0225000000000009, 7.009506225585938e-05
el, ru, 1.0, 1.0225000000000009, 6.866455078125e-05
el, zh, 1.0, 1.0, 4.220008850097656e-05
es, es, 1.0, 5.998135290054069, 0.026018142700195312
es, pl, 0.8216064286890065, 1.015789473684211, 8.702278137207031e-05
es, de, 0.7257876684512731, 1.765022154900783, 0.0020911693572998047
es, nl, 0.7863954451402115, 1.040032467532468, 0.00011420249938964844
es, pt, 0.6924547983983654, 1.277551597850187, 0.0004780292510986328
es, ja, 1.0, 1.0225000000000009, 7.82012939453125e-05
es, it, 0.8226832875415055, 1.4040365239294714, 0.0007462501525878906
es, he, 1.0, 1.0, 5.221366882324219e-05
es, da, 0.8755395908437883, 1.0400324675324675, 0.00012040138244628906
es, en, 0.6231248798724729, 2.76144080534977, 0.026073694229125977
es, sr, 1.0, 1.0, 8.487701416015625e-05
es, sv, 1.0, 1.0924019555744509, 0.00022125244140625
es, ru, 1.0, 1.0900000000000025, 0.0002620220184326172
es, zh, 1.0, 1.0, 7.772445678710938e-05
pl, pl, 1.0, 1.132345294602889, 0.000377655029296875
pl, de, 0.8216064286890065, 1.015789473684211, 0.0001366138458251953
pl, nl, 1.0, 1.100030778701139, 0.00011563301086425781
pl, pt, 1.0, 1.0, 6.842613220214844e-05
pl, ja, 1.0, 1.0, 6.651878356933594e-05
pl, it, 1.0, 1.0605333951762528, 0.00017976760864257812
pl, he, 1.0, 1.0, 6.771087646484375e-05
pl, da, 1.0, 1.1000307787011394, 0.00011539459228515625
pl, en, 0.8947424797973745, 1.089214515304261, 0.0002994537353515625
pl, sr, 0.0, 0.0, 0.0002994537353515625
pl, sv, 1.0, 1.1000307787011394, 0.00012040138244628906
pl, ru, 1.0, 1.0, 6.914138793945312e-05
pl, zh, 1.0, 1.0, 6.723403930664062e-05
de, de, 1.0, 9.105397370131097, 0.06263852119445801
de, nl, 0.8944468233865094, 1.1097080291970784, 0.0002186298370361328
de, pt, 0.7584325078215765, 1.0867307692307708, 0.00018405914306640625
de, ja, 1.0, 1.0450000000000004, 0.00010132789611816406
de, it, 0.7270567747937516, 1.6508129552537005, 0.0015723705291748047
de, he, 1.0, 1.0, 5.245208740234375e-05
de, da, 0.9215443959836817, 1.0867307692307715, 0.00016880035400390625
de, en, 0.6764357534166716, 3.661511563075105, 0.09788274765014648
de, sr, 1.0, 1.0, 5.793571472167969e-05
de, sv, 1.0, 1.0988028100421285, 0.00016999244689941406
de, ru, 1.0, 1.0675000000000008, 0.00013518333435058594
de, zh, 1.0, 1.0, 5.984306335449219e-05
nl, nl, 1.0, 1.5165593510901967, 0.0010790824890136719
nl, pt, 1.0, 1.0225000000000009, 7.724761962890625e-05
nl, ja, 1.0, 1.0, 4.6253204345703125e-05
nl, it, 1.0, 1.1595845063679013, 0.0002593994140625
nl, he, 1.0, 1.0, 4.744529724121094e-05
nl, da, 0.8216064286890065, 1.015789473684211, 7.62939453125e-05
nl, en, 0.9332258694917781, 1.20213756321616, 0.00034809112548828125
nl, sr, 0.0, 0.0, 0.00034809112548828125
nl, sv, 1.0, 1.0, 4.696846008300781e-05
nl, ru, 1.0, 1.0, 4.482269287109375e-05
nl, zh, 1.0, 1.0, 4.4345855712890625e-05
pt, pt, 1.0, 1.3158958754192, 0.0005347728729248047
pt, ja, 1.0, 1.0225000000000009, 7.319450378417969e-05
pt, it, 1.0, 1.0225000000000009, 7.367134094238281e-05
pt, he, 1.0, 1.0, 4.5299530029296875e-05
pt, da, 0.8216064286890065, 1.015789473684211, 7.343292236328125e-05
pt, en, 0.6996184724674889, 1.1433791656956407, 0.00023102760314941406
pt, sr, 1.0, 1.0, 4.506111145019531e-05
pt, sv, 1.0, 1.0225000000000009, 7.319450378417969e-05
pt, ru, 1.0, 1.0675000000000008, 0.00013208389282226562
pt, zh, 1.0, 1.0, 4.458427429199219e-05
ja, ja, 1.0, 1.0675000000000008, 0.00013184547424316406
ja, it, 1.0, 1.0225000000000009, 7.748603820800781e-05
ja, he, 1.0, 1.0, 4.363059997558594e-05
ja, da, 1.0, 1.0, 4.363059997558594e-05
ja, en, 1.0, 1.0675000000000008, 0.0001404285430908203
ja, sr, 0.0, 0.0, 0.0001404285430908203
ja, sv, 1.0, 1.0225000000000009, 7.271766662597656e-05
ja, ru, 1.0, 1.0450000000000004, 9.799003601074219e-05
ja, zh, 1.0, 1.0, 4.4345855712890625e-05
it, it, 1.0, 11.823730714068478, 0.11655354499816895
it, he, 1.0, 1.0, 0.00010132789611816406
it, da, 0.9611314405453947, 1.4483591446779311, 0.0016031265258789062
it, en, 0.6988231089305021, 5.2363043648954966, 0.025322675704956055
it, sr, 0.0, 0.0, 0.025322675704956055
it, sv, 1.0, 1.070542919899387, 0.00017380714416503906
it, ru, 1.0, 1.0450000000000004, 0.00010466575622558594
it, zh, 1.0, 1.0, 4.9114227294921875e-05
he, he, 1.0, 1.0, 4.38690185546875e-05
he, da, 1.0, 1.0, 4.291534423828125e-05
he, en, 1.0, 1.0, 4.601478576660156e-05
he, sr, 0.0, 0.0, 4.601478576660156e-05
he, sv, 1.0, 1.0, 4.38690185546875e-05
he, ru, 1.0, 1.0, 4.2438507080078125e-05
he, zh, 1.0, 1.0, 4.2438507080078125e-05
da, da, 1.0, 1.5385896881901897, 0.0011451244354248047
da, en, 0.9594601271725149, 1.4257903347901038, 0.0008528232574462891
da, sr, 0.0, 0.0, 0.0008528232574462891
da, sv, 1.0, 1.1000307787011394, 7.843971252441406e-05
da, ru, 1.0, 1.0, 4.76837158203125e-05
da, zh, 1.0, 1.0, 4.482269287109375e-05
en, en, 1.0, 20.98918134502501, 0.36684393882751465
en, sr, 1.0, 1.0, 6.198883056640625e-05
en, sv, 0.8767628766244525, 1.2186869656815185, 0.0003592967987060547
en, ru, 0.4493075654568811, 1.1378125000000017, 0.0001747608184814453
en, zh, 1.0, 1.0, 5.1975250244140625e-05
sr, sr, 1.0, 1.0, 4.458427429199219e-05
sr, sv, 0.0, 0.0, 4.458427429199219e-05
