Language1, Language2, SimilarityScore, Time
id, id, 1.0, 0.0002472400665283203
id, fr, 1.0, 0.00015974044799804688
id, tr, 0.0, 0.00015974044799804688
id, el, 1.0, 0.0001499652862548828
id, es, 0.585786437626905, 0.00012302398681640625
id, pl, 1.0, 0.00011992454528808594
id, de, 0.5, 0.00012230873107910156
id, nl, 1.0, 0.00011324882507324219
id, pt, 1.0, 0.00011420249938964844
id, ja, 1.0, 0.00010561943054199219
id, it, 1.0, 0.0001735687255859375
id, he, 1.0, 0.00011777877807617188
id, da, 1.0, 0.00011277198791503906
id, en, 0.585786437626905, 0.00020933151245117188
id, sr, 0.0, 0.00020933151245117188
id, sv, 1.0, 0.0001277923583984375
id, ru, 1.0, 0.00011157989501953125
id, zh, 1.0, 0.00020384788513183594
fr, fr, 1.0, 0.030695199966430664
fr, tr, 0.5, 0.00021886825561523438
fr, el, 1.0, 0.0001285076141357422
fr, es, 0.29893508442482547, 0.0002410411834716797
fr, pl, 1.0, 0.00013756752014160156
fr, de, 0.2204812092115424, 0.011412382125854492
fr, nl, 1.0, 0.00021982192993164062
fr, pt, 0.5, 0.0001480579376220703
fr, ja, 1.0, 0.00011897087097167969
fr, it, 0.5, 0.012473344802856445
fr, he, 1.0, 0.00015783309936523438
fr, da, 0.585786437626905, 0.00026679039001464844
fr, en, 0.1601526128622927, 0.010977983474731445
fr, sr, 1.0, 0.0001742839813232422
fr, sv, 0.44948974278317805, 0.0001595020294189453
fr, ru, 1.0, 0.00013017654418945312
fr, zh, 1.0, 0.00011801719665527344
tr, tr, 1.0, 0.0001373291015625
tr, el, 1.0, 0.00010442733764648438
tr, es, 1.0, 0.00011706352233886719
tr, pl, 1.0, 0.00010514259338378906
tr, de, 1.0, 0.0002448558807373047
tr, nl, 0.0, 0.0002448558807373047
tr, pt, 1.0, 0.0001380443572998047
tr, ja, 1.0, 0.00011730194091796875
tr, it, 1.0, 0.0001652240753173828
tr, he, 0.0, 0.0001652240753173828
tr, da, 1.0, 0.0001239776611328125
tr, en, 0.5, 0.00018024444580078125
tr, sr, 0.0, 0.00018024444580078125
tr, sv, 1.0, 0.00013327598571777344
tr, ru, 1.0, 0.00012421607971191406
tr, zh, 0.0, 0.00012421607971191406
el, el, 1.0, 0.00012040138244628906
el, es, 1.0, 0.00011920928955078125
el, pl, 1.0, 0.000118255615234375
el, de, 1.0, 0.0001227855682373047
el, nl, 1.0, 0.00020694732666015625
el, pt, 1.0, 0.00011682510375976562
el, ja, 1.0, 0.00010204315185546875
el, it, 1.0, 0.00012350082397460938
el, he, 1.0, 0.00011515617370605469
el, da, 1.0, 0.00010204315185546875
el, en, 1.0, 0.00021147727966308594
el, sr, 0.0, 0.00021147727966308594
el, sv, 1.0, 0.00012040138244628906
el, ru, 1.0, 0.000110626220703125
el, zh, 1.0, 0.00011801719665527344
es, es, 1.0, 0.011357307434082031
es, pl, 0.585786437626905, 0.000141143798828125
es, de, 0.38742588672279304, 0.0004699230194091797
es, nl, 0.585786437626905, 0.00011205673217773438
es, pt, 0.44948974278317805, 0.000213623046875
es, ja, 1.0, 0.00010585784912109375
es, it, 0.4142135623730951, 0.0003039836883544922
es, he, 1.0, 0.00011587142944335938
es, da, 0.5, 0.00011610984802246094
es, en, 0.2674788903885893, 0.0018146038055419922
es, sr, 1.0, 0.0001366138458251953
es, sv, 1.0, 0.00012803077697753906
es, ru, 1.0, 0.0001246929168701172
es, zh, 1.0, 0.00011372566223144531
pl, pl, 1.0, 0.0001277923583984375
pl, de, 0.585786437626905, 0.00012993812561035156
pl, nl, 1.0, 9.965896606445312e-05
pl, pt, 1.0, 0.000102996826171875
pl, ja, 1.0, 9.298324584960938e-05
pl, it, 1.0, 0.00010395050048828125
pl, he, 1.0, 9.298324584960938e-05
pl, da, 1.0, 9.489059448242188e-05
pl, en, 0.585786437626905, 0.0001380443572998047
pl, sr, 0.0, 0.0001380443572998047
pl, sv, 1.0, 0.00017452239990234375
pl, ru, 1.0, 0.0001049041748046875
pl, zh, 1.0, 9.083747863769531e-05
de, de, 1.0, 0.04285693168640137
de, nl, 0.4142135623730951, 0.00019097328186035156
de, pt, 0.585786437626905, 0.00012755393981933594
de, ja, 1.0, 0.00011801719665527344
de, it, 0.19074356983054616, 0.0004248619079589844
de, he, 1.0, 0.0001366138458251953
de, da, 0.4142135623730951, 0.00015425682067871094
de, en, 0.1293747423628055, 0.009432554244995117
de, sr, 1.0, 0.00016999244689941406
de, sv, 1.0, 0.00014281272888183594
de, ru, 1.0, 0.0001227855682373047
de, zh, 1.0, 0.00012230873107910156
nl, nl, 1.0, 0.0003120899200439453
nl, pt, 1.0, 0.00011014938354492188
nl, ja, 1.0, 0.00010561943054199219
nl, it, 1.0, 0.0001819133758544922
nl, he, 1.0, 0.00010991096496582031
nl, da, 0.585786437626905, 0.00010704994201660156
nl, en, 0.585786437626905, 0.00016832351684570312
nl, sr, 0.0, 0.00016832351684570312
nl, sv, 1.0, 0.00011229515075683594
nl, ru, 1.0, 0.00010180473327636719
nl, zh, 1.0, 9.894371032714844e-05
pt, pt, 1.0, 0.00019812583923339844
pt, ja, 1.0, 0.00010347366333007812
pt, it, 1.0, 0.0002200603485107422
pt, he, 1.0, 0.00012135505676269531
pt, da, 0.585786437626905, 0.00011348724365234375
pt, en, 0.5, 0.0002448558807373047
pt, sr, 1.0, 0.00012612342834472656
pt, sv, 1.0, 0.00011658668518066406
pt, ru, 1.0, 0.00012183189392089844
pt, zh, 1.0, 0.00011801719665527344
ja, ja, 1.0, 0.00011658668518066406
ja, it, 1.0, 0.00018286705017089844
ja, he, 1.0, 0.00011682510375976562
ja, da, 1.0, 0.00010704994201660156
ja, en, 1.0, 0.00016355514526367188
ja, sr, 0.0, 0.00016355514526367188
ja, sv, 1.0, 0.00011134147644042969
ja, ru, 1.0, 0.00011229515075683594
ja, zh, 1.0, 0.00011467933654785156
it, it, 1.0, 0.07271289825439453
it, he, 1.0, 0.00017333030700683594
it, da, 0.5, 0.0003170967102050781
it, en, 0.1601526128622927, 0.026435136795043945
it, sr, 0.0, 0.026435136795043945
it, sv, 1.0, 0.00022912025451660156
it, ru, 1.0, 0.00016236305236816406
it, zh, 1.0, 0.000133514404296875
he, he, 1.0, 9.393692016601562e-05
he, da, 1.0, 9.393692016601562e-05
he, en, 1.0, 0.00017261505126953125
he, sr, 0.0, 0.00017261505126953125
he, sv, 1.0, 9.560585021972656e-05
he, ru, 1.0, 0.0001537799835205078
he, zh, 1.0, 0.00018858909606933594
da, da, 1.0, 0.0004360675811767578
da, en, 0.5, 0.000362396240234375
da, sr, 0.0, 0.000362396240234375
da, sv, 1.0, 0.01202845573425293
da, ru, 1.0, 0.00011515617370605469
da, zh, 1.0, 9.608268737792969e-05
en, en, 1.0, 0.2645442485809326
en, sr, 1.0, 0.00021314620971679688
en, sv, 0.44948974278317805, 0.0002281665802001953
en, ru, 1.0, 0.00020360946655273438
en, zh, 1.0, 0.0002377033233642578
sr, sr, 1.0, 0.00010776519775390625
sr, sv, 0.0, 0.00010776519775390625
sr, ru, 1.0, 0.00010919570922851562
sr, zh, 0.0, 0.00010919570922851562
sv, sv, 1.0, 0.00024890899658203125
sv, ru, 1.0, 0.00011563301086425781
sv, zh, 1.0, 0.00011444091796875
ru, ru, 1.0, 0.00013303756713867188
ru, zh, 1.0, 0.00010943412780761719
zh, zh, 1.0, 0.00010728836059570312
