Language1, Language2, SimilarityScore, Time
id, id, 1.0, 2.47955322265625e-05
id, fr, 1.0, 2.0265579223632812e-05
id, tr, 0.0, 7.3909759521484375e-06
id, el, 1.0, 1.049041748046875e-05
id, es, 1.0, 1.33514404296875e-05
id, pl, 1.0, 1.4066696166992188e-05
id, de, 1.0, 1.4781951904296875e-05
id, nl, 1.0, 1.239776611328125e-05
id, pt, 1.0, 1.0251998901367188e-05
id, ja, 1.0, 9.775161743164062e-06
id, it, 1.0, 1.9311904907226562e-05
id, he, 1.0, 1.0251998901367188e-05
id, da, 1.0, 1.0728836059570312e-05
id, en, 1.0, 2.574920654296875e-05
id, sr, 0.0, 7.3909759521484375e-06
id, sv, 1.0, 1.0967254638671875e-05
id, ru, 1.0, 1.0013580322265625e-05
id, zh, 1.0, 9.775161743164062e-06
fr, fr, 1.0, 0.00034117698669433594
fr, tr, 1.0, 2.0742416381835938e-05
fr, el, 1.0, 1.1205673217773438e-05
fr, es, 1.0, 3.4809112548828125e-05
fr, pl, 1.0, 1.6450881958007812e-05
fr, de, 1.0, 6.914138793945312e-05
fr, nl, 1.0, 2.384185791015625e-05
fr, pt, 1.0, 1.7642974853515625e-05
fr, ja, 1.0, 3.123283386230469e-05
fr, it, 1.0, 0.00015306472778320312
fr, he, 1.0, 1.2636184692382812e-05
fr, da, 1.0, 3.933906555175781e-05
fr, en, 1.0, 0.00019049644470214844
fr, sr, 1.0, 1.1205673217773438e-05
fr, sv, 1.0, 2.193450927734375e-05
fr, ru, 1.0, 1.1205673217773438e-05
fr, zh, 1.0, 1.0013580322265625e-05
tr, tr, 1.0, 2.3126602172851562e-05
tr, el, 1.0, 9.5367431640625e-06
tr, es, 1.0, 1.4543533325195312e-05
tr, pl, 1.0, 9.775161743164062e-06
tr, de, 1.0, 1.8358230590820312e-05
tr, nl, 0.0, 7.3909759521484375e-06
tr, pt, 1.0, 1.0013580322265625e-05
tr, ja, 1.0, 9.775161743164062e-06
tr, it, 1.0, 1.0967254638671875e-05
tr, he, 0.0, 6.198883056640625e-06
tr, da, 1.0, 1.0728836059570312e-05
tr, en, 1.0, 2.384185791015625e-05
tr, sr, 0.0, 6.67572021484375e-06
tr, sv, 1.0, 1.52587890625e-05
tr, ru, 1.0, 9.5367431640625e-06
tr, zh, 0.0, 5.9604644775390625e-06
el, el, 1.0, 9.298324584960938e-06
el, es, 1.0, 1.0967254638671875e-05
el, pl, 1.0, 9.059906005859375e-06
el, de, 1.0, 1.1444091796875e-05
el, nl, 1.0, 9.775161743164062e-06
el, pt, 1.0, 8.344650268554688e-06
el, ja, 1.0, 8.821487426757812e-06
el, it, 1.0, 1.1444091796875e-05
el, he, 1.0, 8.821487426757812e-06
el, da, 1.0, 9.298324584960938e-06
el, en, 1.0, 1.6450881958007812e-05
el, sr, 0.0, 6.9141387939453125e-06
el, sv, 1.0, 9.059906005859375e-06
el, ru, 1.0, 8.821487426757812e-06
el, zh, 1.0, 8.58306884765625e-06
es, es, 1.0, 0.00034689903259277344
es, pl, 1.0, 1.1682510375976562e-05
es, de, 1.0, 7.224082946777344e-05
es, nl, 1.0, 1.1205673217773438e-05
es, pt, 1.0, 2.384185791015625e-05
es, ja, 1.0, 1.0013580322265625e-05
es, it, 1.0, 2.7179718017578125e-05
es, he, 1.0, 9.5367431640625e-06
es, da, 1.0, 1.33514404296875e-05
es, en, 1.0, 0.00015020370483398438
es, sr, 1.0, 1.0728836059570312e-05
es, sv, 1.0, 1.5020370483398438e-05
es, ru, 1.0, 1.1205673217773438e-05
es, zh, 1.0, 1.0013580322265625e-05
pl, pl, 1.0, 2.002716064453125e-05
pl, de, 1.0, 1.2159347534179688e-05
pl, nl, 1.0, 1.1682510375976562e-05
pl, pt, 1.0, 9.5367431640625e-06
pl, ja, 1.0, 8.58306884765625e-06
pl, it, 1.0, 1.8835067749023438e-05
pl, he, 1.0, 1.0013580322265625e-05
pl, da, 1.0, 1.2159347534179688e-05
pl, en, 1.0, 2.2172927856445312e-05
pl, sr, 0.0, 6.4373016357421875e-06
pl, sv, 1.0, 1.1444091796875e-05
pl, ru, 1.0, 8.821487426757812e-06
pl, zh, 1.0, 8.344650268554688e-06
de, de, 1.0, 0.0005917549133300781
de, nl, 1.0, 1.7404556274414062e-05
de, pt, 1.0, 1.3828277587890625e-05
de, ja, 1.0, 1.049041748046875e-05
de, it, 1.0, 6.246566772460938e-05
de, he, 1.0, 1.0967254638671875e-05
de, da, 1.0, 1.6689300537109375e-05
de, en, 1.0, 0.0002315044403076172
de, sr, 1.0, 1.2874603271484375e-05
de, sv, 1.0, 1.9073486328125e-05
de, ru, 1.0, 1.1682510375976562e-05
de, zh, 1.0, 1.0251998901367188e-05
nl, nl, 1.0, 6.866455078125e-05
nl, pt, 1.0, 1.0728836059570312e-05
nl, ja, 1.0, 9.775161743164062e-06
nl, it, 1.0, 2.384185791015625e-05
nl, he, 1.0, 1.049041748046875e-05
nl, da, 1.0, 1.1682510375976562e-05
nl, en, 1.0, 2.8133392333984375e-05
nl, sr, 0.0, 7.152557373046875e-06
nl, sv, 1.0, 9.775161743164062e-06
nl, ru, 1.0, 9.298324584960938e-06
nl, zh, 1.0, 8.58306884765625e-06
pt, pt, 1.0, 2.2172927856445312e-05
pt, ja, 1.0, 9.5367431640625e-06
pt, it, 1.0, 1.8596649169921875e-05
pt, he, 1.0, 9.775161743164062e-06
pt, da, 1.0, 1.1682510375976562e-05
pt, en, 1.0, 2.8133392333984375e-05
pt, sr, 1.0, 9.775161743164062e-06
pt, sv, 1.0, 1.0251998901367188e-05
pt, ru, 1.0, 9.298324584960938e-06
pt, zh, 1.0, 9.298324584960938e-06
ja, ja, 1.0, 8.58306884765625e-06
ja, it, 1.0, 1.6927719116210938e-05
ja, he, 1.0, 8.344650268554688e-06
ja, da, 1.0, 9.775161743164062e-06
ja, en, 1.0, 2.574920654296875e-05
ja, sr, 0.0, 8.344650268554688e-06
ja, sv, 1.0, 9.775161743164062e-06
ja, ru, 1.0, 9.5367431640625e-06
ja, zh, 1.0, 8.344650268554688e-06
it, it, 1.0, 0.0008304119110107422
it, he, 1.0, 1.4781951904296875e-05
it, da, 1.0, 5.364418029785156e-05
it, en, 1.0, 0.0003266334533691406
it, sr, 0.0, 8.58306884765625e-06
it, sv, 1.0, 1.9788742065429688e-05
it, ru, 1.0, 1.5735626220703125e-05
it, zh, 1.0, 1.4781951904296875e-05
he, he, 1.0, 9.298324584960938e-06
he, da, 1.0, 9.775161743164062e-06
he, en, 1.0, 2.2172927856445312e-05
he, sr, 0.0, 6.9141387939453125e-06
he, sv, 1.0, 9.5367431640625e-06
he, ru, 1.0, 8.58306884765625e-06
he, zh, 1.0, 9.298324584960938e-06
da, da, 1.0, 5.698204040527344e-05
