Language1, Language2, SimilarityScore, Time
id, id, 1.0, 0.011918067932128906
id, fr, 1.0, 0.0010876655578613281
id, mr, 1.0, 2.7418136596679688e-05
id, tr, 1.0, 0.0006201267242431641
id, lv, 1.0, 0.00010514259338378906
id, el, 1.0, 2.5987625122070312e-05
id, es, 1.0, 0.0010411739349365234
id, pl, 1.0, 0.0009839534759521484
id, vi, 1.0, 0.0008196830749511719
id, de, 1.0, 0.0009911060333251953
id, ml, 1.0, 3.0517578125e-05
id, sh, 1.0, 0.0004546642303466797
id, nl, 1.0, 0.0009174346923828125
id, si, 1.0, 1.8596649169921875e-05
id, pt, 1.0, 0.0004189014434814453
id, ro, 1.0, 0.0005261898040771484
id, ja, 1.0, 4.7206878662109375e-05
id, simple, 1.0, 0.0005910396575927734
id, it, 1.0, 0.0006535053253173828
id, ceb, 1.0, 0.0002048015594482422
id, he, 1.0, 2.86102294921875e-05
id, da, 1.0, 0.0004630088806152344
id, en, 1.0, 0.0014271736145019531
id, sr, 1.0, 0.00016498565673828125
id, sv, 1.0, 0.0005030632019042969
id, ckb, 1.0, 1.5735626220703125e-05
id, ru, 1.0, 3.4809112548828125e-05
id, hi, 1.0, 1.6927719116210938e-05
id, bs, 1.0, 0.00035071372985839844
id, te, 1.0, 1.33514404296875e-05
id, zh, 1.0, 2.5987625122070312e-05
id, mk, 1.0, 1.6450881958007812e-05
id, hu, 1.0, 0.0002052783966064453
id, ko, 1.0, 3.62396240234375e-05
id, war, 1.0, 3.24249267578125e-05
fr, fr, 1.0, 0.0033948421478271484
fr, mr, 1.0, 1.9550323486328125e-05
fr, tr, 1.0, 0.0003383159637451172
fr, lv, 1.0, 6.461143493652344e-05
fr, el, 1.0, 1.6927719116210938e-05
fr, es, 1.0, 0.0008766651153564453
fr, pl, 1.0, 0.0007741451263427734
fr, vi, 1.0, 0.0005979537963867188
fr, de, 1.0, 0.000993967056274414
fr, ml, 1.0, 1.7404556274414062e-05
fr, sh, 1.0, 0.0005779266357421875
fr, nl, 1.0, 0.0007758140563964844
fr, si, 1.0, 1.7404556274414062e-05
fr, pt, 1.0, 0.0008943080902099609
fr, ro, 1.0, 0.0005555152893066406
fr, ja, 1.0, 5.0067901611328125e-05
fr, simple, 1.0, 0.0004112720489501953
fr, it, 1.0, 0.0014390945434570312
fr, ceb, 1.0, 0.0001659393310546875
fr, he, 1.0, 3.0279159545898438e-05
fr, da, 1.0, 0.00048542022705078125
fr, en, 1.0, 0.004792928695678711
fr, sr, 1.0, 0.0004215240478515625
fr, sv, 1.0, 0.0011718273162841797
fr, ckb, 1.0, 2.3603439331054688e-05
fr, ru, 1.0, 9.131431579589844e-05
fr, hi, 1.0, 2.4557113647460938e-05
fr, bs, 1.0, 0.0003113746643066406
fr, te, 1.0, 1.6927719116210938e-05
fr, zh, 1.0, 3.147125244140625e-05
fr, mk, 1.0, 1.5497207641601562e-05
fr, hu, 1.0, 0.00018215179443359375
fr, ko, 1.0, 2.9802322387695312e-05
fr, war, 1.0, 2.002716064453125e-05
mr, mr, 1.0, 6.67572021484375e-06
mr, tr, 1.0, 1.1205673217773438e-05
