Language1, Language2, SimilarityScore, Time
id, id, 1.0, 0.0003428459167480469
id, fr, 0.05789473684210526, 0.0025196075439453125
id, mr, 0.015957446808510637, 0.0001976490020751953
id, tr, 0.109717868338558, 0.0002658367156982422
id, lv, 0.050761421319796954, 0.0001609325408935547
id, el, 0.03664921465968586, 0.00014853477478027344
id, es, 0.0734632683658171, 0.0016262531280517578
id, pl, 0.07364016736401674, 0.001272439956665039
id, vi, 0.08530805687203792, 0.00017571449279785156
id, de, 0.04551724137931035, 0.0024127960205078125
id, ml, 0.010526315789473684, 0.0001468658447265625
id, sh, 0.11652542372881355, 0.0006833076477050781
id, nl, 0.1181959564541213, 0.0005962848663330078
id, si, 0.005319148936170213, 0.00015616416931152344
id, pt, 0.07262569832402235, 0.0022017955780029297
id, ro, 0.09701492537313433, 0.0002601146697998047
id, ja, 0.03982300884955752, 0.0001595020294189453
id, simple, 0.15159574468085107, 0.0003254413604736328
id, it, 0.055640632976008166, 0.002487659454345703
id, he, 0.058823529411764705, 0.000148773193359375
id, da, 0.07672634271099744, 0.00029778480529785156
id, en, 0.017320370991172198, 0.07254338264465332
id, sr, 0.10467706013363029, 0.0004978179931640625
id, sv, 0.11074918566775244, 0.0005779266357421875
id, ckb, 0.010471204188481676, 0.00015854835510253906
id, ru, 0.05622489959839357, 0.00016117095947265625
id, hi, 0.031413612565445025, 0.00013637542724609375
id, arz, 0.005319148936170213, 0.00013399124145507812
id, bs, 0.14106583072100312, 0.0002589225769042969
id, te, 0.010582010582010581, 0.00013685226440429688
id, zh, 0.05357142857142857, 0.0001399517059326172
id, mk, 0.015789473684210527, 0.00013184547424316406
id, hu, 0.10074626865671642, 0.00019812583923339844
id, ko, 0.04455445544554455, 0.00013899803161621094
id, war, 0.010638297872340425, 0.00013327598571777344
id, union, 0.015284552845528456, 0.11092925071716309
fr, fr, 1.0, 0.00516200065612793
fr, mr, 0.001646542261251372, 0.0023381710052490234
fr, tr, 0.0364963503649635, 0.002482175827026367
fr, lv, 0.008214676889375685, 0.002260446548461914
fr, el, 0.0038356164383561643, 0.0022919178009033203
fr, es, 0.16048448145344435, 0.020279884338378906
fr, pl, 0.13723196881091618, 0.0037229061126708984
fr, vi, 0.016921397379912665, 0.002415895462036133
fr, de, 0.14269005847953217, 0.01718425750732422
fr, ml, 0.0021953896816684962, 0.0023844242095947266
fr, sh, 0.07458975634012929, 0.023389101028442383
fr, nl, 0.12101000476417341, 0.011324405670166016
fr, si, 0.0005488474204171241, 0.0022079944610595703
fr, pt, 0.20075757575757575, 0.0075016021728515625
fr, ro, 0.03156768325307651, 0.0024449825286865234
fr, ja, 0.01631321370309951, 0.0023038387298583984
