Language1, Language2, SimilarityScore, Time
id, id, 1.0, 0.002396106719970703
id, fr, 0.5012120001582091, 0.05247902870178223
id, tr, 0.5020120724346077, 0.0009996891021728516
id, lv, 0.5004306632213609, 0.0009009838104248047
id, el, 0.501953125, 0.0008678436279296875
id, es, 0.5047703184337742, 0.010778665542602539
id, pl, 0.5021336196658754, 0.7628145217895508
id, vi, 0.5010504201680672, 0.001074075698852539
id, de, 0.5040384351398631, 0.028856754302978516
id, sh, 0.5117433196709622, 0.002682209014892578
id, nl, 0.5047299078039751, 0.025913715362548828
id, pt, 0.505598483774677, 0.0012404918670654297
id, ro, 0.5046439628482972, 0.001538991928100586
id, ja, 0.501577287066246, 0.0009412765502929688
id, simple, 0.5050351981705218, 0.0009624958038330078
id, it, 0.5014774117293977, 0.036719322204589844
id, he, 0.5022461814914645, 0.017192602157592773
id, da, 0.5, 0.0009233951568603516
id, en, 0.5040660705165575, 0.06583070755004883
id, sr, 0.5015128593040847, 0.0009617805480957031
id, sv, 0.5053192485449547, 0.0037305355072021484
id, ru, 0.5005121901249744, 0.0011343955993652344
id, hi, 0.5, 0.0008919239044189453
id, arz, 0.5016216216216216, 0.0008738040924072266
id, bs, 0.5119745336916418, 0.0028486251831054688
id, zh, 0.5024201355275895, 0.0009224414825439453
id, mk, 0.5019762845849802, 0.0008943080902099609
id, hu, 0.5015197568389058, 0.0008826255798339844
id, ko, 0.5015136226034309, 0.0008707046508789062
id, union, 0.5029206325533117, 0.9409008026123047
fr, fr, 1.0, 0.03911733627319336
fr, tr, 0.5006927399756529, 0.018448829650878906
fr, lv, 0.5003826205254656, 0.01975536346435547
fr, el, 0.5006631016042781, 0.019127845764160156
fr, es, 0.5138194925685367, 0.03126811981201172
fr, pl, 0.5069509555327119, 0.9369819164276123
fr, vi, 0.5003001972724933, 0.03049612045288086
fr, de, 0.5237326322694624, 0.06097102165222168
fr, sh, 0.5118100730975529, 0.03208470344543457
fr, nl, 0.5117287178595712, 0.07255339622497559
fr, pt, 0.5018543329830427, 0.06870722770690918
fr, ro, 0.5043020140956854, 0.04544711112976074
fr, ja, 0.5003001972724933, 0.06383156776428223
fr, simple, 0.500719920644528, 0.045221567153930664
fr, it, 0.5604763238883281, 0.1002507209777832
fr, he, 0.5012159221809804, 0.06920194625854492
fr, da, 0.5000857706492838, 0.03606057167053223
fr, en, 0.5187923245270114, 0.12032604217529297
fr, sr, 0.5010145417653027, 0.016519784927368164
fr, sv, 0.5069063605310734, 0.09755444526672363
fr, ru, 0.5015452538631346, 0.026980876922607422
fr, hi, 0.5000643693944986, 0.05685544013977051
fr, arz, 0.5000643693944986, 0.052028656005859375
fr, bs, 0.5107605983409368, 0.08402633666992188
fr, zh, 0.5007913084391976, 0.023540496826171875
fr, mk, 0.5008563843452941, 0.03262591361999512
fr, hu, 0.5004283022100394, 0.031598567962646484
fr, ko, 0.5006211712290622, 0.03099966049194336
fr, union, 0.5620549663343091, 1.419379711151123
tr, tr, 1.0, 6.985664367675781e-05
tr, lv, 0.5064102564102565, 3.24249267578125e-05
tr, el, 0.5321637426900585, 2.47955322265625e-05
tr, es, 0.5011866045530456, 0.03461194038391113
tr, pl, 0.5007086242192011, 0.8651919364929199
tr, vi, 0.5142857142857143, 6.246566772460938e-05
tr, de, 0.5008895145249658, 0.028520822525024414
tr, sh, 0.5078369905956113, 0.0011484622955322266
tr, nl, 0.5007576801212288, 0.007913589477539062
tr, pt, 0.5050136736554239, 0.01621723175048828
tr, ro, 0.5013550135501355, 0.0004687309265136719
tr, ja, 0.5346534653465347, 2.7418136596679688e-05
tr, simple, 0.5105263157894737, 6.389617919921875e-05
tr, it, 0.5006255345155792, 0.028753280639648438
tr, he, 0.5190839694656488, 6.031990051269531e-05
tr, da, 0.5157894736842106, 2.3603439331054688e-05
tr, en, 0.5008116421472529, 0.05692934989929199
tr, sr, 0.5128205128205129, 6.771087646484375e-05
tr, sv, 0.5011337868480725, 0.003291606903076172
tr, ru, 0.5026125901965663, 0.00022125244140625
tr, hi, 0.5, 3.123283386230469e-05
tr, arz, 0.5125000000000001, 2.956390380859375e-05
tr, bs, 0.5050432276657061, 0.046871185302734375
tr, zh, 0.5333333333333333, 4.5299530029296875e-05
tr, mk, 0.5414012738853503, 3.170967102050781e-05
tr, hu, 0.5294117647058824, 2.6464462280273438e-05
tr, ko, 0.536231884057971, 2.7418136596679688e-05
tr, union, 0.5001990873847081, 1.220618486404419
lv, lv, 1.0, 6.461143493652344e-05
lv, el, 0.6989898989898989, 2.5987625122070312e-05
lv, es, 0.5009527108955483, 0.014576911926269531
lv, pl, 0.5006504657334652, 0.9064717292785645
lv, vi, 0.7157894736842105, 5.2928924560546875e-05
lv, de, 0.5006590096027114, 0.05599188804626465
