Language1, Language2, SimilarityScore, Time
fr, fr, 1.0, 2.3126602172851562e-05
fr, de, 1.0, 8.58306884765625e-06
fr, nl, 1.0, 6.9141387939453125e-06
fr, it, 1.0, 4.5299530029296875e-06
fr, en, 1.0, 6.9141387939453125e-06
fr, ru, 1.0, 6.4373016357421875e-06
fr, ko, 1.0, 6.4373016357421875e-06
de, de, 1.0, 2.1696090698242188e-05
de, nl, 1.0, 6.9141387939453125e-06
de, it, 1.0, 4.5299530029296875e-06
de, en, 1.0, 1.2874603271484375e-05
de, ru, 1.0, 6.9141387939453125e-06
de, ko, 1.0, 5.9604644775390625e-06
nl, nl, 1.0, 1.0251998901367188e-05
nl, it, 1.0, 4.76837158203125e-06
nl, en, 1.0, 7.62939453125e-06
nl, ru, 1.0, 6.67572021484375e-06
nl, ko, 1.0, 6.4373016357421875e-06
it, it, 1.0, 1.9311904907226562e-05
it, en, 1.0, 1.6450881958007812e-05
it, ru, 1.0, 5.0067901611328125e-06
it, ko, 1.0, 4.5299530029296875e-06
en, en, 1.0, 9.846687316894531e-05
en, ru, 1.0, 7.867813110351562e-06
en, ko, 1.0, 6.9141387939453125e-06
ru, ru, 1.0, 7.867813110351562e-06
ru, ko, 1.0, 6.4373016357421875e-06
ko, ko, 1.0, 6.198883056640625e-06
