Language1, Language2, SimilarityScore, Time
fr, fr, 1.0, 0.00036644935607910156
fr, es, 0.5016835016835017, 0.00012183189392089844
fr, pl, 0.5375690388206779, 0.00012564659118652344
fr, vi, 0.5016835016835017, 0.00010919570922851562
fr, de, 0.5391185088211459, 0.00013899803161621094
fr, nl, 0.5530749988200311, 0.0001423358917236328
fr, pt, 0.5118083896434067, 0.0001087188720703125
fr, ja, 0.5016835016835017, 0.00010585784912109375
fr, he, 0.5016835016835017, 0.00010704994201660156
fr, en, 0.6222222222222222, 0.000274658203125
fr, sr, 0.5016835016835017, 0.00010800361633300781
fr, ru, 0.5016835016835017, 0.00011396408081054688
fr, hi, 0.5016835016835017, 0.0001068115234375
fr, zh, 0.5016835016835017, 0.00010585784912109375
fr, union, 0.7254662896573193, 0.0004508495330810547
es, es, 1.0, 1.5735626220703125e-05
es, pl, 0.5135135135135135, 2.3365020751953125e-05
es, vi, 1.0, 1.2874603271484375e-05
es, de, 0.5061728395061729, 3.790855407714844e-05
es, nl, 0.5060240963855421, 3.790855407714844e-05
es, pt, 0.5, 1.4543533325195312e-05
es, ja, 1.0, 1.2636184692382812e-05
es, he, 1.0, 1.1682510375976562e-05
es, en, 0.5011547344110854, 0.000148773193359375
es, sr, 1.0, 1.33514404296875e-05
es, ru, 1.0, 1.1682510375976562e-05
es, hi, 0.6666666666666666, 1.1682510375976562e-05
es, zh, 1.0, 1.2159347534179688e-05
es, union, 0.5007704160246533, 0.0003428459167480469
pl, pl, 1.0, 3.600120544433594e-05
pl, vi, 0.5135135135135135, 2.0503997802734375e-05
pl, de, 0.5764365739067582, 4.744529724121094e-05
pl, nl, 0.5857864483539453, 4.887580871582031e-05
pl, pt, 0.5, 2.3365020751953125e-05
pl, ja, 0.5135135135135135, 2.0265579223632812e-05
pl, he, 0.5135135135135135, 2.002716064453125e-05
pl, en, 0.5234401028032936, 0.00015807151794433594
pl, sr, 0.5135135135135135, 2.1219253540039062e-05
pl, ru, 0.5135135135135135, 2.0265579223632812e-05
pl, hi, 0.5, 1.9788742065429688e-05
pl, zh, 0.5135135135135135, 2.0503997802734375e-05
pl, union, 0.5268445587526122, 0.00032782554626464844
vi, vi, 1.0, 1.2874603271484375e-05
vi, de, 0.5061728395061729, 3.504753112792969e-05
vi, nl, 0.5060240963855421, 3.552436828613281e-05
vi, pt, 0.5, 1.3113021850585938e-05
vi, ja, 1.0, 1.0728836059570312e-05
vi, he, 1.0, 1.0013580322265625e-05
vi, en, 0.5011547344110854, 0.000156402587890625
vi, sr, 1.0, 1.1444091796875e-05
vi, ru, 1.0, 1.0013580322265625e-05
vi, hi, 0.6666666666666666, 9.775161743164062e-06
vi, zh, 1.0, 9.298324584960938e-06
vi, union, 0.5007704160246533, 0.00031304359436035156
de, de, 1.0, 6.67572021484375e-05
de, nl, 0.5678080345106498, 6.365776062011719e-05
de, pt, 0.5, 3.600120544433594e-05
de, ja, 0.5061728395061729, 3.2901763916015625e-05
de, he, 0.5061728395061729, 3.24249267578125e-05
de, en, 0.5517241379310345, 0.00017642974853515625
de, sr, 0.5061728395061729, 3.4809112548828125e-05
de, ru, 0.5061728395061729, 3.314018249511719e-05
de, hi, 0.5, 3.24249267578125e-05
de, zh, 0.5061728395061729, 3.24249267578125e-05
de, union, 0.5598211584361448, 0.0003447532653808594
nl, nl, 1.0, 6.985664367675781e-05
nl, pt, 0.5054945054945055, 3.8623809814453125e-05
nl, ja, 0.5060240963855421, 3.457069396972656e-05
nl, he, 0.5060240963855421, 3.4332275390625e-05
nl, en, 0.534234655236315, 0.00017833709716796875
nl, sr, 0.5060240963855421, 3.62396240234375e-05
nl, ru, 0.5060240963855421, 4.363059997558594e-05
nl, hi, 0.5, 3.4809112548828125e-05
nl, zh, 0.5060240963855421, 3.457069396972656e-05
nl, union, 0.5621212628477685, 0.0003509521484375
pt, pt, 1.0, 1.8358230590820312e-05
pt, ja, 0.5, 1.239776611328125e-05
pt, he, 0.5, 1.1920928955078125e-05
pt, en, 0.505710398284819, 0.00014781951904296875
pt, sr, 0.5, 1.3589859008789062e-05
pt, ru, 0.5, 1.2159347534179688e-05
pt, hi, 0.5454545454545455, 1.2159347534179688e-05
pt, zh, 0.5, 1.1920928955078125e-05
pt, union, 0.5069055132726935, 0.0003154277801513672
ja, ja, 1.0, 1.239776611328125e-05
ja, he, 1.0, 1.0251998901367188e-05
ja, en, 0.5011547344110854, 0.00014495849609375
ja, sr, 1.0, 1.1444091796875e-05
ja, ru, 1.0, 1.0251998901367188e-05
ja, hi, 0.6666666666666666, 9.775161743164062e-06
ja, zh, 1.0, 9.775161743164062e-06
ja, union, 0.5007704160246533, 0.0003142356872558594
he, he, 1.0, 1.1682510375976562e-05
he, en, 0.5011547344110854, 0.0001442432403564453
he, sr, 1.0, 1.1205673217773438e-05
he, ru, 1.0, 1.0013580322265625e-05
he, hi, 0.6666666666666666, 9.775161743164062e-06
he, zh, 1.0, 9.5367431640625e-06
he, union, 0.5007704160246533, 0.00031280517578125
en, en, 1.0, 0.0003151893615722656
en, sr, 0.5011547344110854, 0.00014448165893554688
en, ru, 0.5011547344110854, 0.0001418590545654297
en, hi, 0.5011547344110854, 0.00014162063598632812
en, zh, 0.5011547344110854, 0.00014281272888183594
en, union, 0.8328248932275778, 0.024603843688964844
sr, sr, 1.0, 2.765655517578125e-05
sr, ru, 1.0, 1.4543533325195312e-05
sr, hi, 0.6666666666666666, 1.2636184692382812e-05
sr, zh, 1.0, 1.2159347534179688e-05
sr, union, 0.5007704160246533, 0.00033283233642578125
ru, ru, 1.0, 1.430511474609375e-05
ru, hi, 0.6666666666666666, 1.2874603271484375e-05
ru, zh, 1.0, 1.1920928955078125e-05
ru, union, 0.5007704160246533, 0.0002961158752441406
hi, hi, 1.0, 1.33514404296875e-05
hi, zh, 0.6666666666666666, 1.1682510375976562e-05
hi, union, 0.5007704160246533, 0.00030040740966796875
zh, zh, 1.0, 1.2159347534179688e-05
zh, union, 0.5007704160246533, 0.0002994537353515625
union, union, 1.0, 0.0006837844848632812
