Language1, Language2, SimilarityScore, Time
fr, fr, 1.0, 0.0002713203430175781
fr, es, 1.0, 1.9550323486328125e-05
fr, pl, 1.0, 3.647804260253906e-05
fr, vi, 1.0, 1.71661376953125e-05
fr, de, 1.0, 3.814697265625e-05
fr, nl, 0.9859154929577465, 5.3882598876953125e-05
fr, pt, 1.0, 1.9550323486328125e-05
fr, ja, 1.0, 1.4066696166992188e-05
fr, he, 1.0, 1.4066696166992188e-05
fr, en, 0.9863013698630138, 0.00015115737915039062
fr, sr, 1.0, 1.8358230590820312e-05
fr, ru, 1.0, 1.6450881958007812e-05
fr, hi, 1.0, 1.5735626220703125e-05
fr, zh, 1.0, 1.4781951904296875e-05
es, es, 1.0, 1.1682510375976562e-05
es, pl, 1.0, 1.2159347534179688e-05
es, vi, 1.0, 1.1444091796875e-05
es, de, 1.0, 1.33514404296875e-05
es, nl, 1.0, 1.3113021850585938e-05
es, pt, 1.0, 7.867813110351562e-06
es, ja, 1.0, 1.2159347534179688e-05
es, he, 1.0, 1.239776611328125e-05
es, en, 0.6666666666666666, 1.9788742065429688e-05
es, sr, 1.0, 1.239776611328125e-05
es, ru, 1.0, 1.1682510375976562e-05
es, hi, 1.0, 7.62939453125e-06
es, zh, 1.0, 1.1205673217773438e-05
pl, pl, 1.0, 4.3392181396484375e-05
pl, vi, 1.0, 1.3113021850585938e-05
pl, de, 1.0, 2.7894973754882812e-05
pl, nl, 1.0, 4.4345855712890625e-05
pl, pt, 1.0, 1.1205673217773438e-05
pl, ja, 1.0, 1.3589859008789062e-05
pl, he, 1.0, 1.2159347534179688e-05
pl, en, 0.9767441860465117, 4.124641418457031e-05
pl, sr, 1.0, 1.4066696166992188e-05
pl, ru, 1.0, 1.2874603271484375e-05
pl, hi, 1.0, 7.62939453125e-06
pl, zh, 1.0, 1.2636184692382812e-05
vi, vi, 1.0, 1.2159347534179688e-05
vi, de, 1.0, 1.3113021850585938e-05
vi, nl, 1.0, 1.3589859008789062e-05
vi, pt, 1.0, 7.152557373046875e-06
vi, ja, 1.0, 1.1682510375976562e-05
vi, he, 1.0, 1.1682510375976562e-05
vi, en, 0.6666666666666666, 2.1219253540039062e-05
vi, sr, 1.0, 1.4066696166992188e-05
vi, ru, 1.0, 1.2636184692382812e-05
vi, hi, 1.0, 8.106231689453125e-06
vi, zh, 1.0, 1.1920928955078125e-05
de, de, 1.0, 9.131431579589844e-05
de, nl, 1.0, 2.9087066650390625e-05
de, pt, 1.0, 8.821487426757812e-06
de, ja, 1.0, 1.3113021850585938e-05
de, he, 1.0, 1.239776611328125e-05
de, en, 0.979591836734694, 7.724761962890625e-05
de, sr, 1.0, 1.5497207641601562e-05
de, ru, 1.0, 1.2159347534179688e-05
de, hi, 1.0, 8.106231689453125e-06
de, zh, 1.0, 1.3113021850585938e-05
nl, nl, 1.0, 9.775161743164062e-05
nl, pt, 1.0, 1.621246337890625e-05
nl, ja, 1.0, 1.71661376953125e-05
nl, he, 1.0, 1.2159347534179688e-05
nl, en, 0.9850746268656717, 4.4345855712890625e-05
nl, sr, 1.0, 1.3113021850585938e-05
nl, ru, 1.0, 1.1920928955078125e-05
nl, hi, 1.0, 7.62939453125e-06
nl, zh, 1.0, 1.1444091796875e-05
pt, pt, 1.0, 1.811981201171875e-05
pt, ja, 1.0, 7.152557373046875e-06
pt, he, 1.0, 7.152557373046875e-06
pt, en, 1.0, 1.9073486328125e-05
pt, sr, 1.0, 7.867813110351562e-06
pt, ru, 1.0, 6.4373016357421875e-06
pt, hi, 1.0, 1.1205673217773438e-05
pt, zh, 1.0, 6.198883056640625e-06
ja, ja, 1.0, 1.049041748046875e-05
ja, he, 1.0, 1.049041748046875e-05
ja, en, 0.6666666666666666, 1.6689300537109375e-05
ja, sr, 1.0, 1.1920928955078125e-05
ja, ru, 1.0, 1.0013580322265625e-05
ja, hi, 1.0, 6.9141387939453125e-06
ja, zh, 1.0, 1.0728836059570312e-05
he, he, 1.0, 1.0251998901367188e-05
he, en, 0.6666666666666666, 1.6927719116210938e-05
he, sr, 1.0, 1.1920928955078125e-05
he, ru, 1.0, 1.049041748046875e-05
he, hi, 1.0, 6.9141387939453125e-06
he, zh, 1.0, 1.0251998901367188e-05
en, en, 1.0, 0.0003635883331298828
en, sr, 0.6666666666666666, 1.8358230590820312e-05
en, ru, 0.6666666666666666, 1.5974044799804688e-05
en, hi, 1.0, 1.6450881958007812e-05
en, zh, 0.6666666666666666, 1.5020370483398438e-05
sr, sr, 1.0, 1.239776611328125e-05
sr, ru, 1.0, 1.2159347534179688e-05
sr, hi, 1.0, 8.106231689453125e-06
sr, zh, 1.0, 1.2159347534179688e-05
ru, ru, 1.0, 1.1920928955078125e-05
ru, hi, 1.0, 7.3909759521484375e-06
ru, zh, 1.0, 1.1444091796875e-05
hi, hi, 1.0, 1.0728836059570312e-05
hi, zh, 1.0, 7.3909759521484375e-06
zh, zh, 1.0, 1.1444091796875e-05
