Language1, Language2, SimilarityScore, Time
fr, fr, 0.0, 2.4080276489257812e-05
fr, es, 0.0, 1.0251998901367188e-05
fr, nl, 0.0, 8.58306884765625e-06
fr, pt, 0.0, 8.821487426757812e-06
fr, en, 0.0, 8.821487426757812e-06
fr, sv, 0.0, 8.106231689453125e-06
es, es, 1.0, 4.1961669921875e-05
es, nl, 1.0, 1.811981201171875e-05
es, pt, 1.0, 1.7642974853515625e-05
es, en, 0.0, 9.5367431640625e-06
es, sv, 1.0, 1.4781951904296875e-05
nl, nl, 1.0, 4.506111145019531e-05
nl, pt, 1.0, 2.193450927734375e-05
nl, en, 0.0, 9.775161743164062e-06
nl, sv, 1.0, 1.3113021850585938e-05
pt, pt, 1.0, 4.100799560546875e-05
pt, en, 0.0, 9.775161743164062e-06
pt, sv, 1.0, 1.4781951904296875e-05
en, en, 0.0, 8.821487426757812e-06
en, sv, 0.0, 8.821487426757812e-06
sv, sv, 1.0, 2.6464462280273438e-05
