Language1, Language2, SimilarityScore, Time
id, id, 1.0, 0.05318641662597656
id, fr, 0.7494772061898788, 0.002002716064453125
id, mr, 1.0, 2.5033950805664062e-05
id, tr, 0.7677261613691931, 0.00035309791564941406
id, lv, 0.8256880733944955, 0.00014019012451171875
id, el, 0.6666666666666666, 3.314018249511719e-05
id, es, 0.7202970297029703, 0.0006611347198486328
id, pl, 0.7509293680297398, 0.0004355907440185547
id, vi, 0.6666666666666666, 0.00019812583923339844
id, de, 0.7679748822605965, 0.0012586116790771484
id, ml, 0.6666666666666666, 3.4809112548828125e-05
id, sh, 0.7616438356164383, 0.01630091667175293
id, nl, 0.7828267000940144, 0.01746368408203125
id, si, 0.6666666666666666, 2.8848648071289062e-05
id, pt, 0.7316421895861148, 0.0005693435668945312
id, ro, 0.7210884353741497, 0.000102996826171875
id, ja, 0.6918238993710693, 0.00014543533325195312
id, simple, 0.8093994778067886, 0.0003464221954345703
id, it, 0.7845107892403191, 0.0014369487762451172
id, ceb, 0.8444444444444446, 5.054473876953125e-05
id, he, 0.6666666666666666, 3.409385681152344e-05
id, da, 0.8096676737160121, 0.0002918243408203125
id, en, 0.8091628488129946, 0.028789758682250977
id, sr, 0.6666666666666666, 5.91278076171875e-05
id, sv, 0.7917555081734186, 0.0005869865417480469
id, ckb, 1.0, 2.8371810913085938e-05
id, ru, 0.72, 0.00011515617370605469
id, hi, 0.6666666666666666, 3.7670135498046875e-05
id, arz, 0.6666666666666666, 3.0994415283203125e-05
id, bs, 0.8148148148148148, 5.2928924560546875e-05
id, te, 1.0, 1.9073486328125e-05
id, zh, 0.6935779816513761, 0.000217437744140625
id, mk, 0.6666666666666666, 3.814697265625e-05
id, hu, 0.7710843373493976, 0.000339508056640625
id, ko, 0.7062706270627064, 0.00013899803161621094
id, war, 1.0, 3.218650817871094e-05
fr, fr, 1.0, 0.1328897476196289
fr, mr, 1.0, 2.2411346435546875e-05
fr, tr, 0.7561422808947561, 0.00106048583984375
fr, lv, 0.7153284671532846, 0.00014352798461914062
