Language1, Language2, SimilarityScore, Time
id, id, 1.0, 2.7894973754882812e-05
id, fr, 0.6666666666666666, 1.0251998901367188e-05
id, mr, 1.0, 8.821487426757812e-06
id, tr, 1.0, 7.3909759521484375e-06
id, el, 1.0, 7.3909759521484375e-06
id, es, 1.0, 1.1444091796875e-05
id, pl, 0.9333333333333333, 1.1444091796875e-05
id, vi, 1.0, 7.867813110351562e-06
id, de, 1.0, 7.867813110351562e-06
id, ml, 1.0, 7.152557373046875e-06
id, sh, 1.0, 8.344650268554688e-06
id, nl, 1.0, 9.775161743164062e-06
id, si, 1.0, 7.3909759521484375e-06
id, pt, 1.0, 8.58306884765625e-06
id, ro, 1.0, 7.3909759521484375e-06
id, ja, 1.0, 6.9141387939453125e-06
id, simple, 1.0, 1.1205673217773438e-05
id, it, 1.0, 1.5020370483398438e-05
id, he, 1.0, 7.62939453125e-06
id, da, 0.6666666666666666, 7.867813110351562e-06
id, en, 0.9433962264150942, 2.0742416381835938e-05
id, sr, 1.0, 7.867813110351562e-06
id, sv, 1.0, 1.2159347534179688e-05
id, ckb, 1.0, 5.4836273193359375e-06
id, ru, 1.0, 7.3909759521484375e-06
id, hi, 1.0, 7.152557373046875e-06
id, bs, 1.0, 8.106231689453125e-06
id, te, 1.0, 7.3909759521484375e-06
id, zh, 1.0, 6.9141387939453125e-06
id, mk, 1.0, 4.76837158203125e-06
id, hu, 1.0, 7.152557373046875e-06
id, ko, 1.0, 7.3909759521484375e-06
id, war, 1.0, 7.152557373046875e-06
fr, fr, 1.0, 0.0005724430084228516
fr, mr, 1.0, 1.1205673217773438e-05
fr, tr, 0.6666666666666666, 9.775161743164062e-06
fr, el, 1.0, 8.58306884765625e-06
fr, es, 1.0, 3.361701965332031e-05
fr, pl, 0.8108108108108107, 1.5974044799804688e-05
fr, vi, 1.0, 8.344650268554688e-06
fr, de, 0.9565217391304348, 2.8371810913085938e-05
fr, ml, 1.0, 8.106231689453125e-06
fr, sh, 0.9333333333333333, 1.1682510375976562e-05
fr, nl, 0.9375, 2.6941299438476562e-05
fr, si, 1.0, 8.821487426757812e-06
fr, pt, 0.9850746268656717, 2.7894973754882812e-05
fr, ro, 1.0, 1.0967254638671875e-05
fr, ja, 0.8571428571428571, 1.6927719116210938e-05
fr, simple, 0.6666666666666666, 1.0251998901367188e-05
fr, it, 0.782608695652174, 2.6226043701171875e-05
fr, he, 1.0, 8.344650268554688e-06
fr, da, 0.8800000000000001, 1.3828277587890625e-05
fr, en, 0.7818930041152263, 5.841255187988281e-05
fr, sr, 1.0, 1.2159347534179688e-05
fr, sv, 0.9090909090909091, 1.049041748046875e-05
fr, ckb, 1.0, 8.344650268554688e-06
fr, ru, 1.0, 8.344650268554688e-06
fr, hi, 1.0, 7.62939453125e-06
fr, bs, 0.6666666666666666, 7.867813110351562e-06
fr, te, 1.0, 7.62939453125e-06
fr, zh, 1.0, 1.8596649169921875e-05
fr, mk, 1.0, 7.867813110351562e-06
fr, hu, 0.6666666666666666, 8.344650268554688e-06
fr, ko, 1.0, 7.867813110351562e-06
fr, war, 0.6666666666666666, 7.62939453125e-06
mr, mr, 1.0, 7.3909759521484375e-06
mr, tr, 1.0, 4.5299530029296875e-06
mr, el, 1.0, 6.9141387939453125e-06
mr, es, 1.0, 6.67572021484375e-06
mr, pl, 1.0, 6.67572021484375e-06
mr, vi, 1.0, 6.67572021484375e-06
mr, de, 1.0, 6.67572021484375e-06
mr, ml, 1.0, 6.9141387939453125e-06
mr, sh, 1.0, 6.4373016357421875e-06
mr, nl, 1.0, 6.67572021484375e-06
mr, si, 1.0, 6.67572021484375e-06
mr, pt, 1.0, 6.4373016357421875e-06
mr, ro, 1.0, 6.198883056640625e-06
mr, ja, 1.0, 6.4373016357421875e-06
mr, simple, 1.0, 6.4373016357421875e-06
mr, it, 1.0, 6.9141387939453125e-06
mr, he, 1.0, 6.4373016357421875e-06
mr, da, 1.0, 6.67572021484375e-06
