Language1, Language2, SimilarityScore, Time
id, id, 1.0, 4.553794860839844e-05
id, fr, 1.0, 8.58306884765625e-06
id, tr, 1.0, 7.152557373046875e-06
id, es, 1.0, 2.1457672119140625e-05
id, pl, 1.0, 5.245208740234375e-06
id, vi, 1.0, 4.76837158203125e-06
id, de, 1.0, 4.5299530029296875e-06
id, nl, 1.0, 4.5299530029296875e-06
id, pt, 0.9090909090909091, 9.775161743164062e-06
id, ro, 1.0, 4.76837158203125e-06
id, ja, 1.0, 7.152557373046875e-06
id, simple, 1.0, 6.67572021484375e-06
id, it, 1.0, 2.574920654296875e-05
id, he, 1.0, 8.106231689453125e-06
id, en, 1.0, 3.504753112792969e-05
id, ru, 1.0, 7.62939453125e-06
id, hi, 1.0, 6.67572021484375e-06
id, zh, 1.0, 4.5299530029296875e-06
id, ko, 1.0, 4.5299530029296875e-06
fr, fr, 1.0, 8.916854858398438e-05
fr, tr, 1.0, 5.7220458984375e-06
fr, es, 1.0, 1.621246337890625e-05
fr, pl, 1.0, 1.0728836059570312e-05
fr, vi, 1.0, 8.106231689453125e-06
fr, de, 0.9230769230769231, 1.4066696166992188e-05
fr, nl, 1.0, 1.0013580322265625e-05
fr, pt, 0.9743589743589742, 1.6689300537109375e-05
fr, ro, 1.0, 1.239776611328125e-05
fr, ja, 1.0, 7.867813110351562e-06
fr, simple, 1.0, 9.059906005859375e-06
fr, it, 1.0, 1.430511474609375e-05
fr, he, 1.0, 5.245208740234375e-06
fr, en, 0.937062937062937, 4.4345855712890625e-05
fr, ru, 1.0, 8.344650268554688e-06
fr, hi, 1.0, 8.106231689453125e-06
fr, zh, 1.0, 7.62939453125e-06
fr, ko, 1.0, 7.62939453125e-06
tr, tr, 1.0, 7.3909759521484375e-06
tr, es, 1.0, 7.152557373046875e-06
tr, pl, 1.0, 4.5299530029296875e-06
tr, vi, 1.0, 4.5299530029296875e-06
tr, de, 1.0, 4.0531158447265625e-06
tr, nl, 1.0, 4.291534423828125e-06
tr, pt, 1.0, 7.62939453125e-06
tr, ro, 1.0, 4.291534423828125e-06
tr, ja, 1.0, 6.9141387939453125e-06
tr, simple, 1.0, 4.291534423828125e-06
tr, it, 1.0, 7.867813110351562e-06
tr, he, 1.0, 6.9141387939453125e-06
tr, en, 1.0, 7.867813110351562e-06
tr, ru, 1.0, 6.67572021484375e-06
tr, hi, 1.0, 6.9141387939453125e-06
tr, zh, 1.0, 4.76837158203125e-06
tr, ko, 1.0, 4.291534423828125e-06
es, es, 1.0, 0.0001804828643798828
es, pl, 1.0, 1.2636184692382812e-05
es, vi, 1.0, 8.821487426757812e-06
es, de, 1.0, 1.3113021850585938e-05
es, nl, 1.0, 1.0251998901367188e-05
es, pt, 0.9444444444444444, 2.7179718017578125e-05
es, ro, 1.0, 1.2636184692382812e-05
es, ja, 1.0, 8.344650268554688e-06
es, simple, 1.0, 1.0251998901367188e-05
es, it, 1.0, 5.507469177246094e-05
es, he, 1.0, 8.344650268554688e-06
es, en, 0.9662921348314606, 6.628036499023438e-05
es, ru, 1.0, 9.059906005859375e-06
es, hi, 1.0, 7.867813110351562e-06
es, zh, 1.0, 7.3909759521484375e-06
es, ko, 1.0, 6.67572021484375e-06
pl, pl, 1.0, 3.123283386230469e-05
pl, vi, 1.0, 7.152557373046875e-06
pl, de, 1.0, 1.0728836059570312e-05
pl, nl, 1.0, 8.58306884765625e-06
pl, pt, 1.0, 1.0728836059570312e-05
pl, ro, 1.0, 8.106231689453125e-06
pl, ja, 1.0, 7.152557373046875e-06
pl, simple, 1.0, 7.152557373046875e-06
pl, it, 1.0, 9.298324584960938e-06
pl, he, 1.0, 4.76837158203125e-06
pl, en, 0.9629629629629629, 1.430511474609375e-05
pl, ru, 1.0, 7.152557373046875e-06
pl, hi, 1.0, 6.67572021484375e-06
pl, zh, 1.0, 6.4373016357421875e-06
pl, ko, 1.0, 6.198883056640625e-06
vi, vi, 1.0, 6.4373016357421875e-06
vi, de, 1.0, 6.198883056640625e-06
vi, nl, 1.0, 6.4373016357421875e-06
vi, pt, 1.0, 6.67572021484375e-06
vi, ro, 1.0, 6.198883056640625e-06
vi, ja, 1.0, 5.9604644775390625e-06
vi, simple, 1.0, 5.9604644775390625e-06
vi, it, 1.0, 6.198883056640625e-06
vi, he, 1.0, 4.5299530029296875e-06
vi, en, 1.0, 7.152557373046875e-06
vi, ru, 1.0, 6.198883056640625e-06
vi, hi, 1.0, 6.198883056640625e-06
vi, zh, 1.0, 6.198883056640625e-06
vi, ko, 1.0, 5.7220458984375e-06
de, de, 1.0, 4.601478576660156e-05
de, nl, 1.0, 1.811981201171875e-05
de, pt, 1.0, 1.4066696166992188e-05
de, ro, 1.0, 1.1205673217773438e-05
de, ja, 1.0, 7.3909759521484375e-06
de, simple, 1.0, 6.67572021484375e-06
de, it, 1.0, 9.298324584960938e-06
de, he, 1.0, 4.76837158203125e-06
de, en, 1.0, 3.552436828613281e-05
de, ru, 1.0, 7.62939453125e-06
de, hi, 1.0, 6.67572021484375e-06
de, zh, 1.0, 6.4373016357421875e-06
de, ko, 1.0, 6.198883056640625e-06
nl, nl, 1.0, 0.00012350082397460938
nl, pt, 1.0, 1.239776611328125e-05
nl, ro, 1.0, 9.059906005859375e-06
nl, ja, 1.0, 7.3909759521484375e-06
nl, simple, 1.0, 7.867813110351562e-06
